AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.6727;0.0917;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8681;359.8681;273.3849;273.3849;0.1469;0.1469; ; ; ; ; ; ;371170;71.83417;4015.36;80.8147;-87.2490;1.1325;1.1031;-75.5273;-85.1018;352.3860;352.6303;278.5791;87.6901;359.4561;358.6342;;;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.2)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.5, -0.4, 0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.0000;-0.0285;0.0291
0.6846;0.1127;False;False;81.0058;81.0058;-0.0027;-0.0027;-75.1204;-75.1204;359.8588;359.8588;273.3837;273.3837;0.1456;0.1456;-0.0974;-0.0001;-0.0001;0.0030;0.0030;-0.0974;371174;63.39932;4015.44;80.8129;-87.2487;1.1325;1.1031;-75.5273;-85.1018;352.3804;352.6294;278.5784;87.6904;359.4547;358.6340;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.5, -0.4, 0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.0725;-0.0329;0.0291
0.7008;0.1451;False;False;80.9945;80.9945;-0.0027;-0.0027;-75.1200;-75.1200;359.8390;359.8390;273.3800;273.3800;0.1444;0.1444;-0.2285;-0.0003;-0.0003;0.0085;0.0085;-0.2285;371179;68.82911;4015.50;80.8034;-87.2472;1.1326;1.1031;-75.5269;-85.1014;352.3614;352.6263;278.5759;87.6904;359.4515;358.6336;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.3)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.5, -0.4, 0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.1423;-0.0363;0.0291
0.7194;0.2018;False;False;80.9750;80.9750;-0.0027;-0.0027;-75.1193;-75.1193;359.8183;359.8183;273.3709;273.3709;0.1433;0.1433;-0.3294;-0.0003;-0.0003;0.0128;0.0128;-0.3294;371184;70.74873;4015.57;80.7861;-87.2443;1.1326;1.1031;-75.5263;-85.1008;352.3406;352.6221;278.5684;87.6918;359.4485;358.6329;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.3)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.5, -0.4, 0.8)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.2119;-0.0366;0.0291
0.7399;0.2846;False;False;80.9462;80.9462;-0.0027;-0.0027;-75.1181;-75.1181;359.8001;359.8001;273.3565;273.3565;0.1424;0.1424;-0.4673;-0.0001;-0.0001;0.0188;0.0188;-0.4673;371189;69.30183;4015.65;80.7604;-87.2392;1.1327;1.1031;-75.5253;-85.0997;352.3224;352.6169;278.5557;87.6936;359.4460;358.6321;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.5, 0.5, -0.6, 0.3)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.5, -0.4, 0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.2839;-0.0361;0.0291
0.7587;0.3720;False;False;80.9099;80.9099;-0.0027;-0.0027;-75.1167;-75.1167;359.7863;359.7863;273.3378;273.3378;0.1416;0.1416;-0.5732;0.0000;0.0000;0.0234;0.0234;-0.5732;371194;71.08674;4015.72;80.7253;-87.2311;1.1327;1.1031;-75.5240;-85.0980;352.3075;352.6097;278.5378;87.6978;359.4438;358.6310;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.5, 0.5, -0.7, 0.2)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.5, -0.4, 0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.3533;-0.0354;0.0291
0.7793;0.4420;False;False;80.8645;80.8645;-0.0027;-0.0027;-75.1148;-75.1148;359.7759;359.7759;273.3144;273.3144;0.1408;0.1408;-0.7179;0.0002;0.0002;0.0296;0.0296;-0.7179;371199;71.20258;4015.79;80.6820;-87.2191;1.1327;1.1031;-75.5222;-85.0954;352.2966;352.6011;278.5155;87.7037;359.4420;358.6297;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.5, 0.5, -0.7, 0.2)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.5, -0.4, 0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.4236;-0.0351;0.0291
0.8071;0.4950;False;False;80.8103;80.8103;-0.0027;-0.0027;-75.1126;-75.1126;359.7684;359.7684;273.2863;273.2863;0.1398;0.1398;-0.8296;0.0004;0.0004;0.0342;0.0342;-0.8296;371204;71.32652;4015.86;80.6302;-87.2026;1.1328;1.1031;-75.5202;-85.0919;352.2887;352.5913;278.4888;87.7127;359.4403;358.6282;LeftFalse_RightFalse;LeftTrue_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.5, 0.5, -0.7, 0.2)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.5, -0.4, 0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.4934;-0.0351;0.0291
0.8403;0.5453;False;False;80.7467;80.7467;-0.0027;-0.0027;-75.1099;-75.1099;359.7627;359.7627;273.2529;273.2529;0.1386;0.1386;-0.9843;0.0005;0.0005;0.0403;0.0403;-0.9843;371209;71.48272;4015.93;80.5685;-87.1803;1.1329;1.1031;-75.5177;-85.0871;352.2827;352.5810;278.4565;87.7245;359.4386;358.6266;LeftFalse_RightFalse;LeftTrue_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.5, 0.5, -0.7, 0.2)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.5, -0.4, 0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.5635;-0.0351;0.0291
0.8695;0.5926;False;False;80.6741;80.6741;-0.0026;-0.0026;-75.1070;-75.1070;359.7580;359.7580;273.2144;273.2144;0.1373;0.1373;-1.1051;0.0006;0.0006;0.0448;0.0448;-1.1051;371214;71.82743;4016.00;80.4982;-87.1525;1.1329;1.1031;-75.5149;-85.0812;352.2781;352.5710;278.4193;87.7392;359.4368;358.6251;LeftFalse_RightFalse;LeftTrue_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, -0.1)_0.9297065_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.5, 0.5, -0.7, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.5, -0.4, 0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.5, 0.5)_0.9102177_System.String[];0.6331;-0.0351;0.0291
