AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;-86.5000;-86.5000;0.5653;0.5653;-65.1000;-65.1000;0.0000;0.0000;359.5096;359.5096;0.0000;0.0000; ; ; ; ; ; ;358444;71.54361;4598.23;-86.8661;54.3282;1.7878;2.2991;-64.9383;77.3026;352.5253;351.8170;354.7798;196.0485;0.6167;358.5482;;;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.5, -0.3, 0.0, 0.8)_0.9647081_System.String[];0.0000;0.0244;-0.0094
0.0000;0.0000;False;False;-86.5000;-86.5000;0.3040;0.3040;-65.1000;-65.1000;0.0000;0.0000;359.5096;359.5096;0.0000;0.0000;0.0000;-3.5817;-3.5817;0.0000;0.0000;0.0000;358449;67.31343;4598.31;-86.8661;54.3282;1.5368;2.0779;-64.9383;77.3026;352.5253;351.8170;354.7798;196.0485;0.6167;358.5481;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.8)_0.9647081_System.String[];0.0811;0.0244;-0.0094
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0902;0.0902;-65.0994;-65.0994;359.9235;359.9235;359.5085;359.5085;0.0001;0.0001;0.0001;-1.8470;-1.8470;0.0000;0.0000;0.0001;358454;70.37473;4598.38;-86.8661;54.3282;1.3060;1.8398;-64.9389;77.3026;352.4789;351.8170;354.7791;196.0485;0.6206;358.5481;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.8)_0.9647081_System.String[];0.1504;0.0244;-0.0094
0.0000;0.0000;False;False;-86.5000;-86.5000;-0.0024;-0.0024;-65.0985;-65.0985;359.7680;359.7680;359.5054;359.5054;0.0001;0.0001;0.0001;-0.7695;-0.7695;0.0001;0.0001;0.0001;358459;71.21952;4598.45;-86.8661;54.3282;1.1932;1.5570;-64.9412;77.3026;352.3213;351.8170;354.7739;196.0485;0.6338;358.5481;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.7)_0.9647081_System.String[];0.2202;0.0244;-0.0094
0.0000;0.0000;False;False;-86.5000;-86.5000;-0.0305;-0.0305;-65.0978;-65.0978;359.6767;359.6767;359.5072;359.5072;0.0001;0.0001;0.0000;-0.0705;-0.0705;0.0003;0.0003;0.0000;358464;71.4842;4598.52;-86.8661;54.3297;1.1564;1.2827;-64.9427;77.2973;352.2151;352.1385;354.7733;196.0322;0.6427;358.7079;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.8)_0.9647081_System.String[];0.2900;0.0244;-0.0094
-0.4500;0.0000;False;False;-86.5000;-86.5000;-0.0281;-0.0281;-65.0977;-65.0977;359.6664;359.6664;359.5090;359.5090;0.0000;0.0000;0.0000;0.1435;0.1435;0.0020;0.0020;0.0000;358469;71.82684;4598.59;-86.8661;54.3309;1.1545;1.1602;-64.9430;77.2956;352.1896;352.2311;354.7758;196.0258;0.6447;358.7944;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.8)_0.9647081_System.String[];0.3594;0.0000;-0.0094
0.0295;0.0000;False;False;-86.5000;-86.5000;-0.0146;-0.0146;-65.0983;-65.0983;359.7082;359.7082;359.5083;359.5083;-0.0001;-0.0001;0.0000;0.2190;0.2190;-0.0043;-0.0043;0.0000;358474;71.94368;4598.66;-86.8661;54.3314;1.1666;1.1264;-64.9428;77.2956;352.2237;352.2345;354.7753;196.0230;0.6418;358.8179;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.8)_0.9647081_System.String[];0.4287;0.0244;-0.0094
0.0174;0.0000;False;False;-86.5000;-86.5000;0.0014;0.0014;-65.0988;-65.0988;359.7743;359.7743;359.5071;359.5071;-0.0001;-0.0001;0.0000;0.2158;0.2158;0.0022;0.0022;0.0000;358479;70.12814;4598.73;-86.8661;54.3314;1.1825;1.1326;-64.9420;77.2953;352.2870;352.2550;354.7750;196.0192;0.6364;358.8254;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.5, -0.3, 0.0, 0.8)_0.9647081_System.String[];0.5005;0.0244;-0.0094
0.0103;0.0000;False;False;-86.5000;-86.5000;0.0151;0.0151;-65.0990;-65.0990;359.8395;359.8395;359.5078;359.5078;-0.0001;-0.0001;0.0000;0.1694;0.1694;0.0028;0.0028;0.0000;358484;71.37703;4598.80;-86.8661;54.3313;1.1965;1.1529;-64.9408;77.2946;352.3528;352.3060;354.7762;196.0193;0.6310;358.8314;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, 0.0, 0.8)_0.9647081_System.String[];0.5698;0.0244;-0.0094
0.0061;0.0000;False;False;-86.5000;-86.5000;0.0256;0.0256;-65.0990;-65.0990;359.8954;359.8954;359.5070;359.5070;0.0000;0.0000;0.0000;0.1303;0.1303;0.0067;0.0067;0.0000;358489;71.77371;4598.87;-86.8661;54.3311;1.2075;1.1750;-64.9397;77.2936;352.4110;352.3719;354.7758;196.0178;0.6261;358.8384;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.8)_0.9647081_System.String[];0.6396;0.0244;-0.0094
0.0036;0.0000;False;False;-86.5000;-86.5000;0.0333;0.0333;-65.0989;-65.0989;359.9383;359.9383;359.5064;359.5064;0.0000;0.0000;0.0000;0.0853;0.0853;0.0053;0.0053;0.0000;358494;71.75204;4598.94;-86.8661;54.3309;1.2156;1.1943;-64.9387;77.2927;352.4562;352.4381;354.7758;196.0158;0.6224;358.8456;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.8)_0.9647081_System.String[];0.7090;0.0244;-0.0094
0.0021;0.0000;False;False;-86.5000;-86.5000;0.0384;0.0384;-65.0986;-65.0986;359.9681;359.9681;359.5067;359.5067;0.0000;0.0000;0.0000;0.0593;0.0593;0.0047;0.0047;0.0000;358499;71.18271;4599.01;-86.8661;54.3308;1.2212;1.2091;-64.9378;77.2918;352.4886;352.4945;354.7767;196.0134;0.6197;358.8519;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.8)_0.9647081_System.String[];0.7793;0.0244;-0.0094
0.0013;0.0000;False;False;-86.5000;-86.5000;0.0418;0.0418;-65.0984;-65.0984;359.9873;359.9873;359.5077;359.5077;0.0000;0.0000;0.0000;0.0346;0.0346;0.0061;0.0061;0.0000;358504;71.59106;4599.08;-86.8661;54.3307;1.2247;1.2196;-64.9371;77.2912;352.5095;352.5366;354.7777;196.0113;0.6180;358.8567;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.6, -0.3, -0.1, 0.8)_0.9647081_System.String[];0.8491;0.0244;-0.0094
0.0007;0.0000;False;False;-86.5000;-86.5000;0.0438;0.0438;-65.0980;-65.0980;-0.0019;-0.0019;359.5080;359.5080;0.0000;0.0000;0.0000;0.0221;0.0221;0.0046;0.0046;0.0000;358509;71.83759;4599.15;-86.8661;54.3306;1.2269;1.2266;-64.9364;77.2907;352.5217;352.5652;354.7779;196.0107;0.6170;358.8599;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.5, -0.3, 0.0, 0.8)_0.9647081_System.String[];0.9185;0.0244;-0.0094
0.0004;0.0000;False;False;-86.5000;-86.5000;0.0450;0.0450;-65.0977;-65.0977;0.0039;0.0039;359.5079;359.5079;0.0000;0.0000;0.0000;0.0136;0.0136;0.0066;0.0066;0.0000;358514;71.93893;4599.22;-86.8661;54.3305;1.2282;1.2311;-64.9360;77.2905;352.5284;352.5828;354.7779;196.0107;0.6164;358.8618;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.5, -0.3, 0.0, 0.8)_0.9647081_System.String[];0.9883;0.0244;-0.0094
0.0003;0.0000;False;False;-86.5000;-86.5000;0.0456;0.0456;-65.0972;-65.0972;0.0058;0.0058;359.5084;359.5084;0.0000;0.0000;0.0000;0.0066;0.0066;0.0075;0.0075;0.0000;358519;71.98145;4599.29;-86.8661;54.3305;1.2289;1.2338;-64.9355;77.2904;352.5309;352.5923;354.7785;196.0111;0.6162;358.8627;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.5, -0.2)_(0.6, -0.2, -0.7, 0.2)_0.9172091_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.6, -0.2, 0.1)_0.9647081_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.6, -0.5, 0.6)_0.9172091_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.5, -0.3, -0.1, 0.8)_0.9647081_System.String[];1.0576;0.0244;-0.0094
