AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0007;0.0007;208.4238;208.4238;0.0000;0.0000; ; ; ; ; ; ;637006;63.5667;5157.84;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5048;352.5162;206.5117;220.9991;0.2495;359.5165;;;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.4, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.4, -0.5, 0.7)_0.9445807_System.String[];0.0000;-0.0172;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.1999;25.1999;0.0005;0.0005;208.4254;208.4254;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;637010;57.51407;5157.92;82.4302;107.6379;1.1215;1.1167;24.8853;69.4294;352.5047;352.5162;206.5134;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.2)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.4, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.4, -0.5, 0.7)_0.9445807_System.String[];0.0811;-0.0173;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0007;0.0007;208.4241;208.4241;0.0000;0.0000;0.0002;0.0000;0.0000;0.0004;0.0004;0.0002;637015;66.50668;5157.99;82.4302;107.6379;1.1215;1.1167;24.8853;69.4294;352.5048;352.5162;206.5118;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.4, -0.6, -0.2)_0.9445807_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.6, -0.5, -0.5, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.4, -0.5, 0.7)_0.9445807_System.String[];0.1509;-0.0173;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0008;0.0008;208.4218;208.4218;0.0000;0.0000;-0.0001;0.0000;0.0000;-0.0001;-0.0001;-0.0001;637020;70.10387;5158.06;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5049;352.5162;206.5103;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.2)_0.9445807_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.6, -0.5, -0.5, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.4, -0.5, 0.7)_0.9445807_System.String[];0.2202;-0.0174;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0006;0.0006;208.4225;208.4225;0.0000;0.0000;0.0002;0.0000;0.0000;0.0004;0.0004;0.0002;637025;71.18544;5158.13;82.4302;107.6379;1.1215;1.1167;24.8853;69.4294;352.5047;352.5162;206.5107;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.2)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.4, -0.5, 0.7)_0.9445807_System.String[];0.2896;-0.0185;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0008;0.0008;208.4219;208.4219;0.0000;0.0000;0.0001;0.0000;0.0000;0.0002;0.0002;0.0001;637030;71.54013;5158.20;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5049;352.5162;206.5095;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.2)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.4, -0.5, 0.7)_0.9445807_System.String[];0.3594;-0.0203;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0009;0.0009;208.4226;208.4226;0.0000;0.0000;0.0001;0.0000;0.0000;0.0001;0.0001;0.0001;637035;71.75822;5158.27;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5050;352.5162;206.5106;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.2)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.4, -0.5, 0.8)_0.9445807_System.String[];0.4292;-0.0224;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0007;0.0007;208.4232;208.4232;0.0000;0.0000;-0.0007;0.0000;0.0000;-0.0013;-0.0013;-0.0007;637040;69.19418;5158.34;82.4302;107.6379;1.1215;1.1167;24.8853;69.4294;352.5047;352.5162;206.5110;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.4, -0.5, 0.8)_0.9445807_System.String[];0.5015;-0.0237;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0006;0.0006;208.4224;208.4224;0.0000;0.0000;0.0003;0.0000;0.0000;0.0006;0.0006;0.0003;637045;70.86942;5158.41;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5047;352.5162;206.5103;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.4, -0.5, 0.8)_0.9445807_System.String[];0.5713;-0.0238;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0008;0.0008;208.4223;208.4223;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;637050;71.36377;5158.48;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5049;352.5162;206.5101;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.4, -0.6, -0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.4, -0.5, 0.8)_0.9445807_System.String[];0.6411;-0.0253;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0007;0.0007;208.4224;208.4224;0.0000;0.0000;-0.0004;0.0000;0.0000;-0.0008;-0.0008;-0.0004;637055;71.51825;5158.55;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5049;352.5162;206.5105;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.0)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.4, -0.5, 0.7)_0.9445807_System.String[];0.7109;-0.0261;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0006;0.0006;208.4227;208.4227;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;637060;71.83832;5158.62;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5048;352.5162;206.5102;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9445807_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.7803;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2001;25.2001;0.0009;0.0009;208.4232;208.4232;0.0000;0.0000;-0.0001;0.0000;0.0000;-0.0001;-0.0001;-0.0001;637065;71.95442;5158.69;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5051;352.5162;206.5106;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.8496;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2001;25.2001;0.0008;0.0008;208.4249;208.4249;0.0000;0.0000;0.0002;0.0000;0.0000;0.0004;0.0004;0.0002;637070;71.84883;5158.76;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5049;352.5162;206.5131;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.9194;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2001;25.2001;0.0007;0.0007;208.4238;208.4238;0.0000;0.0000;0.0004;0.0000;0.0000;0.0008;0.0008;0.0004;637075;71.70383;5158.83;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5048;352.5162;206.5119;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.9893;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0005;0.0005;208.4240;208.4240;0.0000;0.0000;-0.0007;0.0000;0.0000;-0.0014;-0.0014;-0.0007;637080;71.63004;5158.90;82.4302;107.6379;1.1215;1.1167;24.8854;69.4294;352.5047;352.5162;206.5123;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9445807_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];1.0591;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.1999;25.1999;0.0004;0.0004;208.4225;208.4225;0.0000;0.0000;-0.0007;0.0000;0.0000;-0.0015;-0.0015;-0.0007;637085;71.88125;5158.97;82.4302;107.6379;1.1215;1.1167;24.8853;69.4294;352.5045;352.5162;206.5107;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];1.1284;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.1999;82.1999;-0.0139;-0.0139;25.1999;25.1999;0.0004;0.0004;208.4235;208.4235;0.0000;0.0000;-0.0006;0.0000;0.0000;-0.0012;-0.0012;-0.0006;637090;71.95567;5159.04;82.4301;107.6379;1.1215;1.1167;24.8853;69.4294;352.5045;352.5162;206.5116;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];1.1982;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.1999;25.1999;0.0007;0.0007;208.4228;208.4228;0.0000;0.0000;-0.0006;0.0000;0.0000;-0.0011;-0.0011;-0.0006;637095;70.76844;5159.11;82.4301;107.6379;1.1215;1.1167;24.8853;69.4294;352.5048;352.5162;206.5110;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];1.2700;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.1999;82.1999;-0.0139;-0.0139;25.1998;25.1998;0.0006;0.0006;208.4232;208.4232;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;637100;71.47452;5159.18;82.4301;107.6379;1.1215;1.1167;24.8852;69.4294;352.5046;352.5162;206.5112;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];1.3394;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.1999;82.1999;-0.0139;-0.0139;25.1998;25.1998;0.0008;0.0008;208.4211;208.4211;0.0000;0.0000;-0.0001;0.0000;0.0000;-0.0002;-0.0002;-0.0001;637105;71.82844;5159.25;82.4301;107.6379;1.1215;1.1167;24.8852;69.4294;352.5049;352.5162;206.5092;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];1.4087;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.1999;82.1999;-0.0139;-0.0139;25.1998;25.1998;0.0007;0.0007;208.4207;208.4207;0.0000;0.0000;-0.0007;0.0000;0.0000;-0.0014;-0.0014;-0.0007;637110;71.85713;5159.32;82.4301;107.6379;1.1215;1.1167;24.8852;69.4294;352.5050;352.5162;206.5085;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];1.4785;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.1999;82.1999;-0.0139;-0.0139;25.1998;25.1998;0.0007;0.0007;208.4200;208.4200;0.0000;0.0000;-0.0002;0.0000;0.0000;-0.0004;-0.0004;-0.0002;637115;71.96014;5159.39;82.4301;107.6379;1.1215;1.1167;24.8852;69.4294;352.5049;352.5162;206.5080;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];1.5479;-0.0262;-2.0000
0.0000;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.1999;25.1999;0.0008;0.0008;208.4183;208.4183;0.0000;0.0000;-0.0001;0.0000;0.0000;-0.0001;-0.0001;-0.0001;637120;70.95709;5159.46;82.4302;107.6379;1.1215;1.1167;24.8853;69.4294;352.5050;352.5162;206.5069;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];1.6187;-0.0262;-2.0000
0.0364;-2.0000;False;False;82.2000;82.2000;-0.0139;-0.0139;25.1999;25.1999;0.0009;0.0009;208.4195;208.4195;0.0000;0.0000;0.0002;0.0000;0.0000;0.0003;0.0003;0.0002;637125;70.31618;5159.53;82.4302;107.6379;1.1215;1.1167;24.8853;69.4294;352.5050;352.5162;206.5071;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];1.6904;-0.0262;-2.0000
0.0215;-2.0000;False;False;82.1999;82.1999;-0.0139;-0.0139;25.1997;25.1997;0.0001;0.0001;208.4183;208.4183;0.0000;0.0000;-0.0023;0.0000;0.0000;-0.0044;-0.0044;-0.0023;637130;71.18615;5159.60;82.4301;107.6379;1.1215;1.1167;24.8852;69.4294;352.5045;352.5162;206.5063;220.9991;0.2495;359.5165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.7, -0.1)_(0.3, 0.6, -0.5, 0.6)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9445807_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.6, -0.5, -0.4, 0.5)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.5, 0.7)_0.9445807_System.String[];1.7603;-0.0262;-2.0000
