AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;-0.0952;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0018;0.0018;359.5096;359.5096;0.0000;0.0000; ; ; ; ; ; ;337308;71.65526;3532.49;-86.9162;54.4046;1.1820;1.1636;-64.9307;77.2332;352.5325;352.6284;4.7214;197.7758;359.3208;358.6343;;;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.0000;0.0117;0.0520
0.0000;-0.0873;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0013;0.0013;359.5100;359.5100;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0002;0.0002;0.0000;337312;63.30564;3532.56;-86.9162;54.4046;1.1820;1.1636;-64.9307;77.2332;352.5320;352.6274;4.7213;197.7759;359.3208;358.6341;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.0735;0.0117;0.0520
0.0328;-0.0714;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1003;-65.1003;0.0019;0.0019;359.5105;359.5105;0.0000;0.0000;0.0000;-0.0001;-0.0001;-0.0052;-0.0052;0.0000;337317;68.73157;3532.63;-86.9162;54.4046;1.1819;1.1636;-64.9309;77.2332;352.5325;352.6267;4.7221;197.7759;359.3208;358.6340;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.1433;0.0117;0.0520
0.0194;-0.0635;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1004;-65.1004;0.0014;0.0014;359.5097;359.5097;0.0000;0.0000;0.0000;-0.0001;-0.0001;-0.0006;-0.0006;0.0000;337322;70.68479;3532.70;-86.9162;54.4046;1.1819;1.1636;-64.9312;77.2332;352.5323;352.6262;4.7216;197.7759;359.3208;358.6339;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.2131;0.0117;0.0520
0.0114;-0.0635;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1004;-65.1004;0.0005;0.0005;359.5102;359.5102;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0035;0.0035;0.0000;337327;71.56454;3532.77;-86.9162;54.4046;1.1819;1.1636;-64.9312;77.2332;352.5314;352.6259;4.7220;197.7759;359.3207;358.6338;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.2827;0.0117;0.0520
0.0325;-0.0635;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1002;-65.1002;0.0001;0.0001;359.5084;359.5084;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0034;0.0034;0.0000;337332;71.63372;3532.84;-86.9162;54.4046;1.1819;1.1635;-64.9310;77.2332;352.5308;352.6257;4.7206;197.7759;359.3207;358.6338;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.3523;0.0117;0.0520
0.1229;-0.0635;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0995;-65.0995;-0.0013;-0.0013;359.5097;359.5097;0.0000;0.0000;0.0000;0.0000;0.0000;0.0169;0.0169;0.0000;337337;71.67914;3532.91;-86.9162;54.4046;1.1819;1.1635;-64.9305;77.2332;352.5298;352.6256;4.7210;197.7759;359.3206;358.6338;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.4221;0.0117;0.0520
0.2294;-0.0635;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0975;-65.0975;-0.0049;-0.0049;359.5108;359.5108;0.0001;0.0001;-0.0001;-0.0001;-0.0001;0.0411;0.0411;-0.0001;337342;71.87188;3532.98;-86.9162;54.4046;1.1819;1.1635;-64.9290;77.2332;352.5268;352.6255;4.7225;197.7759;359.3204;358.6337;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.4915;0.0117;0.0520
0.2936;-0.0714;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0931;-65.0931;359.9888;359.9888;359.5118;359.5118;0.0002;0.0002;-0.0003;-0.0001;-0.0001;0.0875;0.0875;-0.0003;337347;71.95952;3533.05;-86.9162;54.4046;1.1819;1.1635;-64.9252;77.2332;352.5209;352.6255;4.7230;197.7759;359.3199;358.6337;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.5610;0.0117;0.0520
0.3326;-0.0714;False;False;-86.5001;-86.5001;0.0461;0.0461;-65.0853;-65.0853;359.9806;359.9806;359.5128;359.5128;0.0003;0.0003;-0.0005;-0.0002;-0.0002;0.1309;0.1309;-0.0005;337352;71.75602;3533.12;-86.9162;54.4046;1.1820;1.1635;-64.9182;77.2332;352.5129;352.6255;4.7247;197.7759;359.3193;358.6337;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, -0.1)_0.9297065_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.5, 0.6, -0.6, 0.1)_0.9102177_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, 0.5, 0.5, -0.7)_0.9297065_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.4, 0.6)_0.9102177_System.String[];0.6309;0.0117;0.0520
