AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.9499;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8681;359.8681;273.3849;273.3849;0.1469;0.1469; ; ; ; ; ; ;109247;71.84711;488.10;80.5403;-87.2288;1.4307;1.5983;-75.8195;-84.3942;353.4610;353.5418;305.6904;107.7735;356.0533;356.1923;;;HandLeft_(0.2, -0.6, -0.1)_(0.3, 0.6, -0.7, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.5, 0.5, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.5, -0.4, 0.7)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.3, -0.5, -0.5, 0.7)_1.047682_System.String[];0.0000;-0.0037;0.0430
0.0000;0.9549;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1206;-75.1206;359.8681;359.8681;273.3890;273.3890;0.1461;0.1461;-0.0008;0.0000;0.0000;-0.0013;-0.0013;-0.0008;109248;35.58471;488.19;80.5403;-87.2288;1.4307;1.5983;-75.8195;-84.3942;353.4610;353.5418;305.6904;107.7735;356.0533;356.1923;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.1)_(0.3, 0.6, -0.7, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.4, 0.5, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.5, -0.4, 0.7)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.2, -0.4, -0.5, 0.7)_1.047682_System.String[];0.0848;-0.0037;0.0427
0.0000;0.9734;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1207;-75.1207;359.8682;359.8682;273.3924;273.3924;0.1459;0.1459;0.0006;0.0000;0.0000;-0.0014;-0.0014;0.0006;109253;53.69971;488.26;80.5402;-87.2100;1.4307;1.5986;-75.8196;-84.3905;353.4616;353.5049;305.6974;107.7948;356.0525;356.1732;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, 0.0)_(0.3, 0.6, -0.7, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.4, 0.5, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.5, -0.4, 0.7)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.2, -0.4, -0.5, 0.7)_1.047682_System.String[];0.1548;-0.0037;0.0408
0.0000;0.9843;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1208;-75.1208;359.8681;359.8681;273.3951;273.3951;0.1459;0.1459;0.0011;0.0000;0.0000;-0.0015;-0.0015;0.0011;109258;64.57899;488.33;80.5403;-87.1840;1.4307;1.5989;-75.8197;-84.3852;353.4616;353.4783;305.7002;107.8170;356.0525;356.1588;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, 0.0)_(0.3, 0.6, -0.7, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.4, 0.5, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.4, -0.5, 0.6)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.2, -0.4, -0.5, 0.7)_1.047682_System.String[];0.2246;-0.0037;0.0394
0.0000;0.9907;False;False;81.0094;81.0094;-0.0027;-0.0027;-75.1209;-75.1209;359.8682;359.8682;273.3983;273.3983;0.1461;0.1461;0.0038;0.0000;0.0000;-0.0016;-0.0016;0.0038;109263;69.16025;488.40;80.5403;-87.1467;1.4307;1.5991;-75.8198;-84.3776;353.4615;353.4553;305.7033;107.8459;356.0526;356.1461;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, 0.0)_(0.3, 0.6, -0.7, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.4, 0.5, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.4, -0.5, 0.7)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.2, -0.4, -0.5, 0.7)_1.047682_System.String[];0.2944;-0.0037;0.0381
0.0000;0.9945;False;False;81.0096;81.0096;-0.0027;-0.0027;-75.1210;-75.1210;359.8683;359.8683;273.4021;273.4021;0.1462;0.1462;0.0015;0.0000;0.0000;-0.0015;-0.0015;0.0015;109268;70.93715;488.47;80.5404;-87.0977;1.4307;1.5992;-75.8198;-84.3677;353.4615;353.4372;305.7072;107.8811;356.0528;356.1361;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, 0.0)_(0.3, 0.6, -0.7, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.4, 0.5, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.4, -0.5, 0.7)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.2, -0.4, -0.5, 0.7)_1.047682_System.String[];0.3641;-0.0037;0.0363
0.0000;0.9967;False;False;81.0098;81.0098;-0.0027;-0.0027;-75.1211;-75.1211;359.8683;359.8683;273.4047;273.4047;0.1463;0.1463;0.0022;0.0000;0.0000;-0.0015;-0.0015;0.0022;109273;71.6544;488.53;80.5405;-87.0375;1.4307;1.5993;-75.8199;-84.3554;353.4616;353.4237;305.7097;107.9214;356.0529;356.1286;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, 0.0)_(0.3, 0.6, -0.7, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.4, 0.5, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.5, -0.5, 0.6)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.2, -0.4, -0.5, 0.7)_1.047682_System.String[];0.4335;-0.0037;0.0351
0.0000;0.9981;False;False;81.0100;81.0100;-0.0027;-0.0027;-75.1212;-75.1212;359.8684;359.8684;273.4086;273.4086;0.1463;0.1463;0.0022;0.0000;0.0000;-0.0015;-0.0015;0.0022;109278;71.70739;488.60;80.5407;-86.9654;1.4307;1.5994;-75.8200;-84.3406;353.4616;353.4138;305.7137;107.9674;356.0529;356.1233;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, 0.0)_(0.3, 0.6, -0.7, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.4, 0.5, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.5, -0.4, 0.7)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.2, -0.4, -0.5, 0.7)_1.047682_System.String[];0.5032;-0.0037;0.0351
0.0000;0.9989;False;False;81.0102;81.0102;-0.0027;-0.0027;-75.1213;-75.1213;359.8683;359.8683;273.4122;273.4122;0.1463;0.1463;0.0041;0.0000;0.0000;-0.0016;-0.0016;0.0041;109283;71.67729;488.67;80.5409;-86.8819;1.4307;1.5994;-75.8201;-84.3236;353.4615;353.4064;305.7173;108.0195;356.0529;356.1197;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.1)_(0.3, 0.6, -0.8, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.4, 0.6, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.4, -0.4, 0.7)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.2, -0.4, -0.5, 0.7)_1.047682_System.String[];0.5730;-0.0037;0.0351
0.0000;0.9993;False;False;81.0105;81.0105;-0.0027;-0.0027;-75.1214;-75.1214;359.8683;359.8683;273.4166;273.4166;0.1463;0.1463;0.0057;0.0000;0.0000;-0.0017;-0.0017;0.0057;109288;71.78151;488.74;80.5412;-86.7865;1.4307;1.5994;-75.8202;-84.3043;353.4615;353.4009;305.7211;108.0786;356.0529;356.1174;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.1)_(0.3, 0.5, -0.8, 0.1)_1.101113_System.String[];HandLeft_(0.4, -0.7, 0.0)_(0.4, 0.6, -0.7, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.2)_(-0.4, -0.5, -0.4, 0.7)_1.101113_System.String[];HandRight_(0.6, -0.7, -0.2)_(-0.2, -0.4, -0.5, 0.7)_1.047682_System.String[];0.6426;-0.0037;0.0351
