AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.4523;0.0000;False;False;54.7020;-131.7001;0.0007;-0.0141;-115.2019;-68.6000;0.4474;0.0070;305.8757;85.1925;0.2043;0.0000; ; ; ; ; ; ;159434;71.85763;Infinity;1727.07;53.6746;-131.0878;1.4209;1.3038;-115.5557;-68.5071;354.5289;352.8905;346.8200;66.6844;355.5384;2.3724;;;HandLeft_(0.4, -0.7, 0.1)_(0.6, 0.1, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.5, 0.1, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.0000;-0.0149;-0.0251;54.3574;-131.5218;1.1404;1.1766;-115.5744;-68.1553;356.6434;7.4900;286.9691;112.6092;7.7997;351.7451
-0.4484;0.0000;False;False;54.7020;-131.7001;0.0008;-0.0139;-115.2019;-68.6000;0.4467;0.0065;305.8757;85.1924;0.2046;0.0000;-0.0003;0.0016;0.0017;0.0000;0.0000;0.0000;159437;67.71857;Infinity;1727.12;53.6746;-131.0878;1.4211;1.3040;-115.5558;-68.5071;354.5281;352.8902;346.8200;66.6842;355.5383;2.3726;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, 0.1)_(0.6, 0.1, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.4, 0.2, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.0483;-0.0149;-0.0251;54.3645;-131.5217;1.1417;1.1768;-115.5599;-68.1557;355.6223;7.3893;296.9004;112.2121;7.8750;351.6411
-0.4484;0.0000;False;False;54.7020;-131.7001;0.0009;-0.0139;-115.2019;-68.6000;0.4460;0.0058;305.8757;85.1938;0.2046;0.0000;-0.0007;0.0009;0.0009;0.0000;-0.0001;0.0000;159440;69.74287;Infinity;1727.16;53.6746;-131.0878;1.4211;1.3040;-115.5558;-68.5071;354.5276;352.8896;346.8200;66.6855;355.5379;2.3728;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, 0.1)_(0.6, 0.1, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.4, 0.1, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.0901;-0.0149;-0.0251;54.3711;-131.5214;1.1433;1.1769;-115.5491;-68.1558;354.6621;7.2200;304.4796;111.8315;7.4957;351.5603
-0.4206;0.0000;False;False;54.7020;-131.7001;0.0009;-0.0138;-115.2019;-68.6000;0.4452;0.0051;305.8757;85.1947;0.2046;0.0000;0.0010;0.0004;0.0004;0.0000;0.0001;0.0000;159443;70.55563;Infinity;1727.21;53.6746;-131.0878;1.4212;1.3041;-115.5558;-68.5071;354.5270;352.8889;346.8200;66.6859;355.5374;2.3730;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, 0.1)_(0.6, 0.1, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.4, 0.1, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.1321;-0.0149;-0.0251;54.3782;-131.5213;1.1449;1.1769;-115.5394;-68.1558;353.7662;7.1194;311.2017;111.4712;6.6742;351.5157
-0.2817;0.0000;False;False;54.7020;-131.7001;0.0009;-0.0138;-115.2019;-68.6000;0.4445;0.0044;305.8757;85.1951;0.2045;0.0000;-0.0011;0.0001;0.0001;0.0000;-0.0001;0.0000;159446;70.98021;Infinity;1727.25;53.6746;-131.0878;1.4212;1.3041;-115.5558;-68.5071;354.5265;352.8882;346.8201;66.6868;355.5369;2.3732;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, 0.1)_(0.6, 0.1, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.4, 0.1, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.1741;-0.0149;-0.0251;54.3850;-131.5213;1.1461;1.1769;-115.5312;-68.1554;353.0849;7.1605;316.9521;111.1538;5.7055;351.5032
0.0000;0.0000;False;False;54.7020;-131.7001;0.0009;-0.0138;-115.2019;-68.6000;0.4439;0.0038;305.8757;85.1948;0.2044;0.0000;-0.0005;-0.0001;-0.0001;0.0000;0.0000;0.0000;159449;71.11553;Infinity;1727.29;53.6746;-131.0878;1.4212;1.3041;-115.5558;-68.5071;354.5261;352.8876;346.8201;66.6868;355.5363;2.3734;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, 0.1)_(0.6, 0.1, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.4, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.2162;-0.0149;-0.0251;54.3912;-131.5211;1.1470;1.1770;-115.5247;-68.1549;352.7558;7.2623;321.4887;110.9219;4.8529;351.5568
0.0000;0.0000;False;False;54.7019;-131.7001;0.0009;-0.0138;-115.2019;-68.6000;0.4429;0.0032;305.8757;85.1945;0.2040;0.0000;-0.0012;-0.0002;-0.0002;0.0006;-0.0001;-0.0022;159452;71.24162;Infinity;1727.33;53.6746;-131.0878;1.4212;1.3041;-115.5558;-68.5071;354.5256;352.8870;346.8199;66.6862;355.5355;2.3736;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, 0.1)_(0.6, 0.1, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.4, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.2582;-0.0149;-0.0251;54.3965;-131.5209;1.1482;1.1770;-115.5196;-68.1543;352.6162;7.3810;324.9397;110.6709;4.1484;351.6608
0.0000;0.0000;False;False;54.7018;-131.7001;0.0009;-0.0139;-115.2018;-68.6000;0.4420;0.0026;305.8755;85.1954;0.2037;0.0000;0.0012;-0.0003;-0.0003;0.0021;0.0001;-0.0044;159455;71.30218;Infinity;1727.37;53.6745;-131.0879;1.4212;1.3041;-115.5557;-68.5071;354.5252;352.8866;346.8206;66.6867;355.5346;2.3738;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, 0.1)_(0.6, 0.1, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.4, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.3002;-0.0149;-0.0251;54.4004;-131.5207;1.1495;1.1770;-115.5155;-68.1536;352.4596;7.4905;327.3909;110.3776;3.4584;351.7306
0.0000;0.0000;False;False;54.7015;-131.7001;0.0009;-0.0139;-115.2017;-68.6000;0.4411;0.0022;305.8743;85.1939;0.2035;0.0000;0.0002;-0.0003;-0.0003;0.0042;0.0000;-0.0075;159458;71.3506;Infinity;1727.42;53.6743;-131.0879;1.4212;1.3041;-115.5556;-68.5071;354.5247;352.8861;346.8191;66.6865;355.5339;2.3739;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, 0.1)_(0.6, 0.1, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.3423;-0.0149;-0.0252;54.4033;-131.5206;1.1510;1.1767;-115.5121;-68.1529;352.2288;7.5725;329.2589;110.1013;2.7234;351.8193
0.0000;0.0000;False;False;54.7012;-131.7001;0.0009;-0.0139;-115.2015;-68.6000;0.4404;0.0018;305.8748;85.1929;0.2035;0.0000;0.0001;-0.0003;-0.0003;0.0053;0.0000;-0.0089;159461;71.66525;Infinity;1727.46;53.6740;-131.0879;1.4212;1.3041;-115.5555;-68.5071;354.5242;352.8857;346.8190;66.6850;355.5334;2.3741;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, 0.1)_(0.5, 0.2, -0.8, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.5, 0.1)_(0.7, 0.5, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.1, 0.6, 0.7, -0.3)_0.9962534_System.String[];0.3839;-0.0149;-0.0255;54.4056;-131.5203;1.1521;1.1765;-115.5086;-68.1521;352.0596;7.6281;330.7789;109.8016;2.0746;351.9117
