AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;-0.7656;False;False;81.0100;-87.2700;0.3536;0.3536;-75.1200;-85.5400;0.0000;0.0000;273.3925;77.1636;0.0000;0.0000; ; ; ; ; ; ;160674;71.9957;Infinity;1747.40;80.9527;-87.0520;1.5148;1.6371;-75.4607;-85.0953;352.5001;352.5109;273.6837;80.2748;359.9620;359.5941;;;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.7, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.045693_System.String[];0.0000;-0.0178;-0.0215;80.7864;-87.2586;1.4983;1.5550;-75.4628;-85.1647;358.1374;6.2163;251.9497;89.0935;358.8102;356.0865
0.0000;-0.7656;False;False;81.0094;-87.2699;0.0676;0.0619;-75.1195;-85.5400;359.8864;359.9582;273.3662;77.1636;0.0929;-0.0003;-0.0060;-2.2224;-2.3076;0.0020;-0.0012;0.0028;160675;35.96673;Infinity;1747.48;80.9527;-87.0520;1.4676;1.5898;-75.4607;-85.0953;352.5001;352.5109;273.6837;80.2748;359.9620;359.5941;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.7, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.045693_System.String[];0.0834;-0.0178;-0.0215;80.7856;-87.2592;1.4512;1.5090;-75.4602;-85.1610;357.6407;5.0484;252.4356;88.0989;358.4718;356.7460
0.0000;-0.7656;False;False;81.0088;-87.2695;-0.0122;-0.0210;-75.1191;-85.5399;359.7537;359.8602;273.3465;77.1635;0.1324;-0.0005;-0.0063;-1.3054;-1.3612;0.0018;-0.0013;0.0049;160678;47.586;Infinity;1747.52;80.9557;-87.0539;1.1237;1.2393;-75.4625;-85.0958;352.2967;352.4051;273.6265;80.2756;0.0835;359.5879;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.7, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.045693_System.String[];0.1251;-0.0178;-0.0215;80.7885;-87.2616;1.1079;1.1582;-75.4619;-85.1613;357.4470;4.7947;252.3915;87.9357;358.6260;356.8830
0.0000;-0.7656;False;False;81.0083;-87.2692;-0.0569;-0.0677;-75.1189;-85.5398;359.6399;359.7664;273.3381;77.1635;0.1530;-0.0005;-0.0050;-0.6848;-0.7197;0.0006;-0.0010;0.0040;160681;56.9382;Infinity;1747.57;80.9576;-87.0556;1.0685;1.1824;-75.4629;-85.0962;352.1742;352.3070;273.6125;80.2762;0.1092;359.5824;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.045693_System.String[];0.1669;-0.0178;-0.0215;80.7904;-87.2637;1.0535;1.1013;-75.4622;-85.1609;357.2934;4.5110;252.2330;87.7208;358.6689;357.0022
0.0000;-0.7656;False;False;81.0079;-87.2690;-0.0782;-0.0902;-75.1188;-85.5398;359.5615;359.6989;273.3341;77.1634;0.1621;-0.0005;-0.0031;-0.2783;-0.2985;-0.0004;-0.0006;0.0015;160684;63.42354;Infinity;1747.61;80.9590;-87.0570;1.0402;1.1531;-75.4631;-85.0964;352.0829;352.2294;273.6056;80.2768;0.1213;359.5781;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.045693_System.String[];0.2085;-0.0177;-0.0215;80.7918;-87.2658;1.0257;1.0719;-75.4624;-85.1600;357.2310;4.1990;252.0020;87.3942;358.6673;357.1779
0.0000;-0.7656;False;False;81.0078;-87.2689;-0.0849;-0.0975;-75.1188;-85.5397;359.5198;359.6625;273.3356;77.1634;0.1649;-0.0005;-0.0012;-0.0233;-0.0338;-0.0012;-0.0002;0.0000;160687;67.34282;Infinity;1747.65;80.9598;-87.0578;1.0293;1.1416;-75.4632;-85.0966;352.0290;352.1826;273.6049;80.2771;0.1257;359.5756;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.045693_System.String[];0.2502;-0.0177;-0.0215;80.7926;-87.2671;1.0151;1.0604;-75.4625;-85.1590;357.2448;4.0568;252.0367;86.9813;358.5826;357.3993
0.0000;-0.7656;False;False;81.0079;-87.2689;-0.0827;-0.0956;-75.1188;-85.5397;359.5102;359.6548;273.3377;77.1634;0.1646;-0.0005;0.0003;0.1263;0.1222;-0.0020;0.0001;0.0039;160690;69.5381;Infinity;1747.69;80.9602;-87.0581;1.0290;1.1410;-75.4633;-85.0967;352.0093;352.1658;273.6072;80.2772;0.1260;359.5747;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.045693_System.String[];0.2919;-0.0177;-0.0215;80.7929;-87.2678;1.0150;1.0599;-75.4625;-85.1577;357.2484;4.0447;252.0925;86.5093;358.4112;357.6484
0.0000;-0.7656;False;False;81.0082;-87.2689;-0.0756;-0.0886;-75.1190;-85.5397;359.5250;359.6693;273.3403;77.1634;0.1628;-0.0005;0.0015;0.2046;0.2045;-0.0024;0.0003;0.0054;160693;70.71622;Infinity;1747.73;80.9603;-87.0580;1.0349;1.1467;-75.4633;-85.0967;352.0169;352.1736;273.6092;80.2772;0.1246;359.5751;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.045693_System.String[];0.3335;-0.0177;-0.0215;80.7931;-87.2680;1.0208;1.0657;-75.4626;-85.1562;357.1725;4.0873;252.1847;85.9736;358.3175;357.8606
0.0000;-0.7656;False;False;81.0086;-87.2690;-0.0662;-0.0792;-75.1191;-85.5398;359.5554;359.6990;273.3445;77.1634;0.1604;-0.0004;0.0022;0.2362;0.2385;-0.0026;0.0004;0.0040;160696;71.34008;Infinity;1747.77;80.9601;-87.0575;1.0437;1.1554;-75.4634;-85.0966;352.0430;352.1990;273.6139;80.2770;0.1225;359.5765;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.6, -0.5, 0.6)_1.045693_System.String[];0.3752;-0.0177;-0.0215;80.7929;-87.2679;1.0296;1.0746;-75.4626;-85.1547;357.1392;4.1286;252.1362;85.4071;358.2153;358.0628
0.0000;-0.7656;False;False;81.0090;-87.2691;-0.0563;-0.0691;-75.1192;-85.5398;359.5949;359.7375;273.3483;77.1635;0.1581;-0.0004;0.0026;0.2386;0.2420;-0.0026;0.0005;0.0044;160699;71.65745;Infinity;1747.82;80.9598;-87.0569;1.0536;1.1652;-75.4634;-85.0964;352.0804;352.2353;273.6176;80.2768;0.1202;359.5786;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.5, -0.5, -0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.045693_System.String[];HandRight_(0.2, -0.1, -0.2)_(0.0, 0.1, -0.8, 0.6)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.5, 0.6)_1.045693_System.String[];0.4169;-0.0177;-0.0215;80.7926;-87.2674;1.0394;1.0846;-75.4626;-85.1532;357.2180;4.2159;251.5043;84.7938;358.1442;358.2201
