AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;-0.4404;False;False;98.1000;54.7000;0.6885;0.7352;55.4000;-115.2000;0.0000;0.0000;214.6056;305.8745;0.0000;0.0000; ; ; ; ; ; ;75883;71.99785;Infinity;992.82;98.3170;54.3441;1.8557;1.9410;55.0769;-115.4335;352.5112;352.5002;211.4560;305.5312;0.4109;0.0448;;;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.0000;-0.0368;-0.0306;98.4061;54.4505;1.8141;1.8853;55.1828;-115.4631;6.1497;0.0876;210.0246;306.3942;2.9481;358.5986
0.0000;-0.4404;False;False;98.1000;54.7000;0.4639;0.5254;55.4000;-115.2000;0.0000;0.0000;214.6056;305.8745;0.0000;0.0000;0.0000;-3.2174;-3.0341;0.0000;0.0000;0.0000;75884;36.81776;Infinity;992.90;98.3170;54.3441;1.8230;1.9109;55.0769;-115.4335;352.5112;352.5002;211.4560;305.5312;0.4109;0.0448;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.0802;-0.0368;-0.0306;98.4067;54.4505;1.7813;1.8552;55.1823;-115.4631;6.0339;0.0833;210.0163;306.3231;3.0870;358.6183
0.0000;-0.4404;False;False;98.1000;54.7000;0.3238;0.3930;55.4000;-115.2000;0.0000;0.0000;214.6056;305.8745;0.0000;0.0000;0.0000;-3.5817;-3.3999;0.0000;0.0000;0.0000;75887;48.34407;Infinity;992.95;98.3170;54.3441;1.5067;1.6145;55.0769;-115.4335;352.5112;352.5002;211.4560;305.5312;0.4109;0.0448;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.1219;-0.0368;-0.0306;98.4068;54.4505;1.4649;1.5587;55.1823;-115.4631;6.0079;0.0808;210.0179;306.3079;3.1049;358.6251
0.0000;-0.4404;False;False;98.1000;54.7000;0.1692;0.2447;55.4000;-115.2000;-0.0023;0.0000;214.6056;305.8745;0.0000;0.0000;0.0000;-3.7944;-3.7628;0.0000;0.0000;0.0000;75890;57.5745;Infinity;992.99;98.3170;54.3441;1.3562;1.4716;55.0769;-115.4335;352.5112;352.5002;211.4560;305.5312;0.4109;0.0448;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.1636;-0.0368;-0.0306;98.4068;54.4505;1.3145;1.4159;55.1823;-115.4631;5.9679;0.0784;210.0295;306.2971;3.1291;358.6495
0.0000;-0.4404;False;False;98.0998;54.7009;0.0430;0.1008;55.3996;-115.2003;359.9359;0.1345;214.6075;305.8759;-0.0001;0.0984;0.0087;-2.3047;-2.7942;0.0029;-0.0147;0.0021;75893;63.81438;Infinity;993.03;98.3172;54.3424;1.2122;1.3179;55.0772;-115.4337;352.4769;352.5900;211.4565;305.5242;0.4128;0.1076;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.2053;-0.0368;-0.0306;98.4071;54.4489;1.1703;1.2624;55.1826;-115.4632;5.8876;0.1627;210.0582;306.2962;3.1500;358.7422
0.0000;-0.4404;False;False;98.0994;54.7017;-0.0319;0.0088;55.3991;-115.2007;359.8351;0.1795;214.6101;305.8755;-0.0001;0.1608;0.0087;-1.3593;-1.6990;-0.0016;-0.0092;-0.0008;75896;67.56175;Infinity;993.07;98.3180;54.3410;1.1228;1.2078;55.0784;-115.4344;352.3805;352.6755;211.4578;305.5134;0.4181;0.1893;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.2469;-0.0368;-0.0306;98.4078;54.4475;1.0808;1.1525;55.1836;-115.4642;5.7777;0.2470;210.1047;306.2867;3.1591;358.8431
0.0000;-0.4404;False;False;98.0990;54.7021;-0.0732;-0.0440;55.3986;-115.2008;359.7445;0.1711;214.6105;305.8752;-0.0001;0.1947;0.0062;-0.7185;-0.9487;-0.0001;-0.0059;0.0001;75899;69.65675;Infinity;993.11;98.3186;54.3409;1.0721;1.1434;55.0793;-115.4352;352.2828;352.6785;211.4597;305.5076;0.4235;0.2314;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.2886;-0.0368;-0.0306;98.4085;54.4473;1.0298;1.0881;55.1845;-115.4652;5.6550;0.2447;210.1632;306.2674;3.1693;358.8980
0.0000;-0.4404;False;False;98.0988;54.7023;-0.0922;-0.0706;55.3982;-115.2008;359.6827;0.1510;214.6094;305.8750;-0.0001;0.2118;0.0032;-0.2978;-0.4491;-0.0003;-0.0035;-0.0001;75902;70.77728;Infinity;993.15;98.3192;54.3412;1.0471;1.1094;55.0801;-115.4359;352.2108;352.6589;211.4579;305.5045;0.4275;0.2532;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.3303;-0.0368;-0.0306;98.4090;54.4474;1.0046;1.0541;55.1852;-115.4660;5.5661;0.1947;210.2030;306.2470;3.1793;358.9312
0.0000;-0.4404;False;False;98.0987;54.7023;-0.0973;-0.0805;55.3981;-115.2008;359.6527;0.1383;214.6078;305.8749;0.0000;0.2193;0.0006;-0.0334;-0.1289;-0.0015;-0.0018;-0.0009;75905;71.37038;Infinity;993.20;98.3195;54.3414;1.0385;1.0950;55.0806;-115.4363;352.1710;352.6426;211.4562;305.5031;0.4298;0.2634;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.3719;-0.0368;-0.0306;98.4093;54.4476;0.9959;1.0397;55.1857;-115.4664;5.5055;0.1461;210.2306;306.2397;3.1763;358.9431
0.0000;-0.4404;False;False;98.0987;54.7023;-0.0941;-0.0802;55.3981;-115.2008;359.6503;0.1396;214.6090;305.8749;0.0001;0.2216;-0.0014;0.1224;0.0657;0.0010;-0.0005;0.0007;75908;71.67176;Infinity;993.24;98.3196;54.3414;1.0395;1.0927;55.0807;-115.4364;352.1602;352.6392;211.4560;305.5026;0.4304;0.2670;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.3, -0.5, 0.1)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.5, -0.3, 0.8)_1.039877_System.String[];0.4136;-0.0368;-0.0306;98.4094;54.4475;0.9969;1.0373;55.1858;-115.4666;5.4652;0.0784;210.2421;306.2427;3.1654;358.9511
