0.0000;-0.4444;False;False; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;76685;72.00143;Infinity;1004.03;98.3163;54.3364;1.1206;1.1738;55.0761;-115.4335;352.5119;352.9423;211.4761;305.5060;0.4109;0.2476;;;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, -0.1)_1.03652_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.3, -0.5, 0.3)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.4, -0.5, -0.3, 0.8)_1.039877_System.String[];11.2061;-0.0124;-0.0277;98.4023;54.4342;1.0880;1.1201;55.1944;-115.4554;0.2762;0.7313;213.8915;306.6766;2.5481;359.3981
AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;-0.4523;False;False;98.0999;54.7022;-0.0252;-0.0101;55.3999;-115.2016;359.9497;0.4034;214.6056;305.8757;0.0000;0.2071; ; ; ; ; ; ;79382;71.99803;Infinity;1041.60;98.3175;54.3266;1.1082;1.1786;55.0777;-115.4229;352.4541;352.8989;211.4556;305.5607;0.4141;0.2445;;;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.0000;0.0060;-0.0313;98.3959;54.4344;1.0641;1.1212;55.1844;-115.4526;6.4498;0.9650;212.0046;307.6714;1.6364;358.5617
0.0000;-0.4523;False;False;98.0999;54.7022;-0.0218;-0.0068;55.3999;-115.2016;359.9691;0.4191;214.6058;305.8758;0.0000;0.2063;-0.0015;0.0604;0.0583;-0.0006;-0.0001;-0.0004;79385;68.23158;Infinity;1041.65;98.3173;54.3263;1.1119;1.1822;55.0774;-115.4228;352.4753;352.9161;211.4560;305.5609;0.4129;0.2436;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.5, -0.5, 0.7)_1.039877_System.String[];0.0477;0.0060;-0.0313;98.3959;54.4341;1.0680;1.1247;55.1840;-115.4524;6.3849;0.9195;211.9444;307.6621;1.7021;358.6049
0.0000;-0.4523;False;False;98.1000;54.7022;-0.0196;-0.0046;55.3999;-115.2017;359.9819;0.4292;214.6064;305.8758;0.0000;0.2058;-0.0013;0.0464;0.0447;-0.0009;-0.0003;-0.0007;79388;70.02128;Infinity;1041.69;98.3172;54.3262;1.1143;1.1845;55.0772;-115.4227;352.4894;352.9274;211.4564;305.5610;0.4121;0.2430;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_1.03652_System.String[];HandRight_(0.2, -0.4, -0.2)_(-0.1, -0.5, -0.5, 0.7)_1.039877_System.String[];0.0894;0.0060;-0.0313;98.3961;54.4340;1.0705;1.1272;55.1837;-115.4523;6.3456;0.8575;211.8938;307.6480;1.7517;358.6555
0.0000;-0.4523;False;False;98.1000;54.7022;-0.0179;-0.0030;55.3999;-115.2017;359.9912;0.4366;214.6060;305.8758;0.0000;0.2054;-0.0011;0.0350;0.0337;-0.0002;-0.0004;-0.0002;79391;70.96964;Infinity;1041.73;98.3170;54.3260;1.1161;1.1863;55.0770;-115.4226;352.4997;352.9356;211.4567;305.5611;0.4115;0.2425;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.2, -0.4, -0.2)_(-0.1, -0.5, -0.5, 0.7)_1.039877_System.String[];0.1310;0.0060;-0.0313;98.3961;54.4339;1.0725;1.1293;55.1834;-115.4523;6.3171;0.7918;211.8408;307.6173;1.7828;358.7144
0.0000;-0.4523;False;False;98.1000;54.7022;-0.0166;-0.0018;55.3999;-115.2018;-0.0023;0.4416;214.6048;305.8758;0.0000;0.2050;-0.0009;0.0260;0.0250;-0.0009;-0.0005;-0.0006;79394;71.46722;Infinity;1041.77;98.3170;54.3259;1.1175;1.1876;55.0769;-115.4226;352.5071;352.9413;211.4553;305.5611;0.4111;0.2421;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.6)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.5, -0.5, 0.7)_1.039877_System.String[];0.1727;0.0060;-0.0313;98.3962;54.4336;1.0739;1.1309;55.1833;-115.4526;6.2989;0.7474;211.8087;307.5637;1.7876;358.7785
0.0000;-0.4523;False;False;98.0999;54.7021;-0.0157;-0.0009;55.3999;-115.2018;0.0020;0.4448;214.6051;305.8758;0.0000;0.2048;-0.0008;0.0190;0.0183;-0.0002;-0.0006;-0.0002;79397;71.72462;Infinity;1041.81;98.3169;54.3258;1.1185;1.1886;55.0768;-115.4225;352.5119;352.9452;211.4551;305.5612;0.4109;0.2417;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.2144;0.0060;-0.0313;98.3961;54.4334;1.0749;1.1320;55.1831;-115.4528;6.2968;0.7471;211.8226;307.5106;1.7845;358.8341
0.0000;-0.4523;False;False;98.0999;54.7021;-0.0151;-0.0003;55.3999;-115.2018;0.0047;0.4467;214.6050;305.8758;0.0000;0.2046;-0.0007;0.0137;0.0131;-0.0008;-0.0006;-0.0006;79400;71.86137;Infinity;1041.86;98.3168;54.3258;1.1192;1.1893;55.0767;-115.4225;352.5151;352.9474;211.4553;305.5612;0.4107;0.2415;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.2560;0.0060;-0.0313;98.3961;54.4332;1.0756;1.1328;55.1830;-115.4529;6.3045;0.7624;211.8597;307.4784;1.7923;358.8822
0.0000;-0.4523;False;False;98.0999;54.7021;-0.0146;0.0002;55.3998;-115.2019;0.0061;0.4476;214.6054;305.8758;0.0000;0.2044;-0.0006;0.0096;0.0092;-0.0023;-0.0007;-0.0016;79403;71.92355;Infinity;1041.90;98.3168;54.3257;1.1197;1.1897;55.0767;-115.4225;352.5170;352.9486;211.4555;305.5612;0.4106;0.2413;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.2977;0.0060;-0.0313;98.3961;54.4331;1.0762;1.1333;55.1829;-115.4530;6.3026;0.7946;211.8824;307.4630;1.7979;358.9147
