AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0119;False;False;81.0089;-86.3200;-0.0039;-0.0144;-75.3204;-84.7400;359.8227;0.0075;275.6130;78.2197;0.0681;-0.0002; ; ; ; ; ; ;92148;71.99569;Infinity;1255.81;80.6374;-86.1863;1.0783;1.0381;-75.1644;-84.3409;352.4344;352.5422;266.2693;72.6813;1.3094;0.7209;;;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.0000;-0.0008;-0.8082;80.7857;-86.1507;1.0579;1.0593;-75.6444;-84.3269;355.8142;354.8852;274.6266;75.1363;0.9902;2.8602
0.0000;0.0119;False;False;81.0090;-86.3200;-0.0039;-0.0143;-75.3204;-84.7399;359.8217;0.0061;275.6163;78.2163;0.0673;-0.0009;0.0023;0.0000;0.0006;-0.0013;0.0024;0.0007;92149;41.17107;Infinity;1255.87;80.6374;-86.1863;1.0783;1.0381;-75.1644;-84.3409;352.4342;352.5421;266.2693;72.6813;1.3095;0.7209;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.0659;-0.0008;-0.8082;80.7853;-86.1499;1.0574;1.0586;-75.6439;-84.3267;356.0182;355.0655;274.8125;75.0454;0.8727;2.7821
0.0000;0.0119;False;False;81.0090;-86.3199;-0.0039;-0.0143;-75.3205;-84.7399;359.8211;0.0052;275.6189;78.2127;0.0670;-0.0012;0.0024;-0.0002;0.0002;-0.0015;0.0019;0.0017;92152;52.04338;Infinity;1255.91;80.6374;-86.1862;1.0783;1.0382;-75.1645;-84.3408;352.4326;352.5400;266.2743;72.6757;1.3086;0.7201;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.1075;-0.0008;-0.8082;80.7852;-86.1497;1.0573;1.0586;-75.6439;-84.3265;356.0660;355.1118;274.8150;75.0245;0.8385;2.7676
0.0000;0.0119;False;False;81.0090;-86.3197;-0.0039;-0.0143;-75.3206;-84.7398;359.8207;0.0044;275.6216;78.2098;0.0668;-0.0011;0.0038;-0.0002;0.0000;-0.0014;0.0028;0.0003;92155;60.18609;Infinity;1255.95;80.6375;-86.1862;1.0783;1.0382;-75.1645;-84.3407;352.4323;352.5392;266.2766;72.6727;1.3085;0.7203;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.1492;-0.0008;-0.8082;80.7852;-86.1496;1.0571;1.0586;-75.6439;-84.3264;356.0973;355.1509;274.7402;75.0176;0.7953;2.7418
0.0000;0.0119;False;False;81.0091;-86.3196;-0.0039;-0.0143;-75.3206;-84.7397;359.8203;0.0036;275.6244;78.2062;0.0667;-0.0013;0.0036;-0.0003;-0.0002;-0.0015;0.0024;0.0015;92158;65.41914;Infinity;1256.00;80.6376;-86.1861;1.0783;1.0382;-75.1646;-84.3406;352.4319;352.5383;266.2805;72.6685;1.3085;0.7200;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.1909;-0.0008;-0.8082;80.7851;-86.1494;1.0571;1.0586;-75.6439;-84.3263;356.0925;355.1790;274.5897;75.0100;0.7532;2.7186
0.0000;0.0119;False;False;81.0092;-86.3193;-0.0039;-0.0143;-75.3207;-84.7395;359.8199;0.0029;275.6270;78.2032;0.0667;-0.0014;0.0063;-0.0003;-0.0002;-0.0015;0.0048;0.0013;92161;68.4759;Infinity;1256.04;80.6377;-86.1859;1.0783;1.0382;-75.1646;-84.3405;352.4315;352.5377;266.2823;72.6667;1.3085;0.7204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.2325;-0.0008;-0.8082;80.7848;-86.1492;1.0570;1.0586;-75.6440;-84.3261;356.0581;355.1913;274.3427;74.9909;0.7151;2.7055
0.0000;0.0119;False;False;81.0092;-86.3191;-0.0039;-0.0143;-75.3208;-84.7393;359.8196;0.0023;275.6285;78.1988;0.0668;-0.0015;0.0060;-0.0002;-0.0003;-0.0016;0.0040;0.0023;92164;70.14958;Infinity;1256.08;80.6378;-86.1857;1.0783;1.0382;-75.1646;-84.3403;352.4310;352.5370;266.2846;72.6616;1.3086;0.7201;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.2743;-0.0008;-0.8082;80.7846;-86.1490;1.0570;1.0586;-75.6442;-84.3259;356.0472;355.2290;274.0332;74.9368;0.6859;2.7139
0.0000;0.0119;False;False;81.0093;-86.3188;-0.0039;-0.0143;-75.3208;-84.7392;359.8192;0.0018;275.6299;78.1932;0.0668;-0.0014;0.0070;-0.0002;-0.0003;-0.0017;0.0043;0.0033;92167;71.04204;Infinity;1256.12;80.6379;-86.1855;1.0782;1.0382;-75.1647;-84.3401;352.4308;352.5364;266.2856;72.6564;1.3087;0.7200;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.3159;-0.0008;-0.8082;80.7846;-86.1487;1.0570;1.0585;-75.6447;-84.3257;356.0731;355.2844;273.6824;74.8502;0.6814;2.7227
0.0000;0.0119;False;False;81.0094;-86.3185;-0.0039;-0.0143;-75.3209;-84.7390;359.8191;0.0014;275.6313;78.1880;0.0668;-0.0014;0.0092;-0.0002;-0.0002;-0.0016;0.0062;0.0027;92170;71.50549;Infinity;1256.16;80.6380;-86.1852;1.0782;1.0382;-75.1648;-84.3399;352.4305;352.5361;266.2871;72.6515;1.3088;0.7204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.3575;-0.0008;-0.8082;80.7846;-86.1485;1.0570;1.0585;-75.6451;-84.3255;356.1230;355.3205;273.3230;74.7604;0.6771;2.7219
0.0000;0.0119;False;False;81.0095;-86.3181;-0.0039;-0.0143;-75.3209;-84.7387;359.8189;0.0010;275.6319;78.1801;0.0668;-0.0019;0.0096;-0.0001;-0.0002;-0.0017;0.0065;0.0028;92173;71.7462;Infinity;1256.20;80.6381;-86.1849;1.0782;1.0382;-75.1648;-84.3396;352.4304;352.5356;266.2879;72.6447;1.3088;0.7200;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.2, -0.1)_(0.7, 0.5, -0.6, -0.1)_0.9005778_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.3, -0.7, 0.1)_1.051929_System.String[];HandRight_(-0.4, -0.2, -0.2)_(0.2, -0.6, -0.5, 0.6)_0.9005778_System.String[];HandRight_(0.1, -0.2, -0.2)_(-0.2, -0.7, -0.3, 0.6)_1.051929_System.String[];0.3993;-0.0008;-0.8082;80.7847;-86.1482;1.0570;1.0585;-75.6458;-84.3253;356.1753;355.3353;272.9565;74.6870;0.6554;2.7100
