AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0153;0.1375;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7764;359.7764;278.9333;278.9333;0.0114;0.0114; ; ; ; ; ; ;97753;70.62802;1343.21;80.9015;79.7583;1.1398;1.5848;-75.8375;87.0312;353.9813;352.5021;240.0403;242.7431;4.8493;359.8911;;;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.2, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.1, 0.8, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.0000;-0.0301;0.0108
0.0155;0.2130;False;False;81.2387;81.2387;-0.0050;-0.0050;-75.3998;-75.3998;359.7761;359.7761;278.9334;278.9334;0.0114;0.0114;-0.0024;0.0000;0.0000;0.0003;0.0003;-0.0024;97757;62.87218;1343.28;80.9015;79.7579;1.1398;1.5848;-75.8375;87.0309;353.9811;352.5005;240.0405;242.7412;4.8494;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.7, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.2, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.0745;-0.0310;0.0108
0.0173;0.2707;False;False;81.2384;81.2384;-0.0050;-0.0050;-75.3998;-75.3998;359.7757;359.7757;278.9315;278.9315;0.0113;0.0113;-0.0062;0.0000;0.0000;0.0008;0.0008;-0.0062;97762;55.45443;1343.37;80.9013;79.7558;1.1398;1.5848;-75.8374;87.0298;353.9807;352.4951;240.0384;242.7395;4.8497;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.7, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.2, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.1606;-0.0310;0.0108
0.0183;0.3064;False;False;81.2379;81.2379;-0.0050;-0.0050;-75.3997;-75.3997;359.7752;359.7752;278.9313;278.9313;0.0113;0.0113;-0.0079;0.0000;0.0000;0.0010;0.0010;-0.0079;97767;62.71294;1343.44;80.9008;79.7492;1.1398;1.5848;-75.8374;87.0263;353.9805;352.4852;240.0384;242.7401;4.8499;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.2, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, -0.1)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.2316;-0.0310;0.0108
0.0190;0.3411;False;False;81.2373;81.2373;-0.0050;-0.0050;-75.3996;-75.3996;359.7751;359.7751;278.9315;278.9315;0.0114;0.0114;-0.0090;0.0000;0.0000;0.0012;0.0012;-0.0090;97773;69.89963;1343.52;80.9002;79.7397;1.1398;1.5849;-75.8373;87.0213;353.9802;352.4760;240.0378;242.7426;4.8501;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.7, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.2, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, -0.1)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.3103;-0.0310;0.0108
0.0194;0.3296;False;False;81.2365;81.2365;-0.0050;-0.0050;-75.3995;-75.3995;359.7747;359.7747;278.9313;278.9313;0.0113;0.0113;-0.0138;0.0000;0.0000;0.0019;0.0019;-0.0138;97778;69.68216;1343.59;80.8995;79.7275;1.1398;1.5849;-75.8372;87.0149;353.9801;352.4684;240.0379;242.7454;4.8502;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.7, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.2, -0.3, 0.0)_(0.0, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, -0.1)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.3807;-0.0310;0.0108
0.0196;0.2835;False;False;81.2356;81.2356;-0.0050;-0.0050;-75.3994;-75.3994;359.7748;359.7748;278.9315;278.9315;0.0114;0.0114;-0.0124;0.0000;0.0000;0.0017;0.0017;-0.0124;97783;68.57102;1343.66;80.8986;79.7115;1.1398;1.5849;-75.8371;87.0065;353.9800;352.4621;240.0387;242.7489;4.8503;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.7, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.2, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.4521;-0.0310;0.0108
0.0197;0.3623;False;False;81.2346;81.2346;-0.0050;-0.0050;-75.3993;-75.3993;359.7749;359.7749;278.9326;278.9326;0.0114;0.0114;-0.0152;0.0000;0.0000;0.0022;0.0022;-0.0152;97788;70.06542;1343.73;80.8977;79.6930;1.1398;1.5850;-75.8369;86.9967;353.9801;352.4587;240.0391;242.7527;4.8502;359.8910;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.7, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.2, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, -0.1)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.5209;-0.0310;0.0088
0.0197;0.5636;False;False;81.2334;81.2334;-0.0050;-0.0050;-75.3991;-75.3991;359.7746;359.7746;278.9322;278.9322;0.0113;0.0113;-0.0182;0.0000;0.0000;0.0026;0.0026;-0.0182;97793;70.25544;1343.80;80.8965;79.6708;1.1398;1.5850;-75.8368;86.9850;353.9798;352.4553;240.0393;242.7565;4.8504;359.8909;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.2, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, -0.1)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.5911;-0.0310;0.0041
0.0198;0.6731;False;False;81.2318;81.2318;-0.0050;-0.0050;-75.3989;-75.3989;359.7745;359.7745;278.9330;278.9330;0.0113;0.0113;-0.0206;0.0000;0.0000;0.0029;0.0029;-0.0206;97798;64.95301;1343.88;80.8949;79.6389;1.1399;1.5850;-75.8366;86.9680;353.9797;352.4466;240.0394;242.7590;4.8505;359.8913;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, -0.1)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.6689;-0.0310;-0.0030
0.0225;0.6505;False;False;81.2301;81.2301;-0.0050;-0.0050;-75.3986;-75.3986;359.7745;359.7745;278.9337;278.9337;0.0113;0.0113;-0.0236;0.0000;0.0000;0.0034;0.0034;-0.0236;97804;71.57431;1343.95;80.8932;79.6012;1.1399;1.5850;-75.8363;86.9479;353.9797;352.4352;240.0405;242.7567;4.8504;359.8906;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, -0.1)_(0.0, -0.6, -0.2, 0.8)_1.086072_System.String[];0.7467;-0.0310;-0.0160
0.0385;0.5934;False;False;81.2283;81.2283;-0.0050;-0.0050;-75.3984;-75.3984;359.7745;359.7745;278.9324;278.9324;0.0113;0.0113;-0.0271;0.0000;0.0000;0.0039;0.0039;-0.0271;97809;70.40609;1344.02;80.8915;79.5603;1.1399;1.5850;-75.8361;86.9257;353.9798;352.4262;240.0392;242.7447;4.8504;359.8887;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.6, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, -0.1)_(0.0, -0.5, -0.2, 0.8)_1.086072_System.String[];0.8174;-0.0310;-0.0313
0.0740;0.5653;False;False;81.2262;81.2262;-0.0050;-0.0050;-75.3981;-75.3981;359.7741;359.7741;278.9332;278.9332;0.0112;0.0112;-0.0335;0.0000;0.0000;0.0048;0.0048;-0.0335;97814;70.19579;1344.09;80.8895;79.5130;1.1399;1.5851;-75.8358;86.8997;353.9796;352.4209;240.0404;242.7187;4.8505;359.8860;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.5, -0.6, -0.1)_(0.0, -0.5, -0.2, 0.8)_1.086072_System.String[];0.8875;-0.0329;-0.0448
0.1510;0.5653;False;False;81.2232;81.2232;-0.0050;-0.0050;-75.3976;-75.3976;359.7724;359.7724;278.9296;278.9296;0.0111;0.0111;-0.0523;0.0000;0.0000;0.0074;0.0074;-0.0523;97819;69.856;1344.16;80.8869;79.4605;1.1399;1.5850;-75.8354;86.8702;353.9784;352.4193;240.0375;242.6753;4.8513;359.8830;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.5, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.5, -0.6, -0.1)_(0.1, -0.5, -0.1, 0.8)_1.086072_System.String[];0.9575;-0.0363;-0.0567
0.2460;0.6207;False;False;81.2188;81.2188;-0.0050;-0.0050;-75.3970;-75.3970;359.7689;359.7689;278.9269;278.9269;0.0108;0.0108;-0.0785;0.0000;0.0000;0.0110;0.0110;-0.0785;97824;70.44997;1344.23;80.8829;79.4032;1.1399;1.5850;-75.8349;86.8376;353.9759;352.4200;240.0340;242.6149;4.8531;359.8803;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.8, -0.5, 0.1, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.8, 0.0)_(0.5, 0.6, -0.6, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.5, -0.6, -0.1)_(0.1, -0.5, -0.1, 0.8)_1.086072_System.String[];1.0267;-0.0397;-0.0669
