AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0035;-0.4762;False;False;53.6000;53.6000;0.0462;0.0462;72.1999;72.1999;0.0029;0.0029;180.3439;180.3439;0.0000;0.0000; ; ; ; ; ; ;102756;72.03178;1349.57;53.9226;64.0793;1.2460;1.2139;72.0639;105.8420;352.6886;352.5084;193.1870;237.8458;358.3381;359.7157;;;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.2, 0.5, 0.5, -0.7)_0.9022688_System.String[];0.0000;-0.0161;-0.0169
0.0205;-0.4762;False;False;53.6000;53.6000;0.0461;0.0461;72.1999;72.1999;0.0020;0.0020;180.3431;180.3431;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0005;0.0005;0.0000;102761;68.45622;1349.65;53.9226;64.0793;1.2460;1.2139;72.0638;105.8420;352.6877;352.5076;193.1867;237.8458;358.3379;359.7155;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.2, 0.5, 0.5, -0.7)_0.9022688_System.String[];0.0782;-0.0161;-0.0169
0.0349;-0.4762;False;False;53.6000;53.6000;0.0461;0.0461;72.1997;72.1997;0.0011;0.0011;180.3425;180.3425;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0040;-0.0040;0.0000;102766;70.16415;1349.72;53.9226;64.0793;1.2460;1.2139;72.0637;105.8420;352.6868;352.5070;193.1856;237.8458;358.3377;359.7155;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.1476;-0.0161;-0.0169
0.0523;-0.4762;False;False;53.6000;53.6000;0.0461;0.0461;72.1990;72.1990;-0.0005;-0.0005;180.3423;180.3423;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0142;-0.0142;0.0000;102771;69.87778;1349.79;53.9226;64.0793;1.2460;1.2139;72.0632;105.8420;352.6855;352.5067;193.1856;237.8458;358.3374;359.7154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.2186;-0.0161;-0.0169
0.0747;-0.4762;False;False;53.6000;53.6000;0.0461;0.0461;72.1978;72.1978;-0.0023;-0.0023;180.3405;180.3405;-0.0001;-0.0001;0.0000;-0.0001;-0.0001;-0.0222;-0.0222;0.0000;102776;69.80071;1349.86;53.9226;64.0793;1.2460;1.2139;72.0621;105.8421;352.6837;352.5064;193.1838;237.8458;358.3369;359.7154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.2888;-0.0161;-0.0169
0.1041;-0.4762;False;False;53.6000;53.6000;0.0461;0.0461;72.1957;72.1957;-0.0044;-0.0044;180.3405;180.3405;-0.0001;-0.0001;0.0000;-0.0001;-0.0001;-0.0382;-0.0382;0.0000;102781;70.34878;1349.93;53.9226;64.0793;1.2460;1.2139;72.0603;105.8420;352.6818;352.5063;193.1837;237.8458;358.3364;359.7154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.3585;-0.0161;-0.0169
0.1450;-0.4762;False;False;53.6000;53.6000;0.0461;0.0461;72.1924;72.1924;359.9927;359.9927;180.3399;180.3399;-0.0001;-0.0001;0.0000;-0.0001;-0.0001;-0.0541;-0.0541;0.0000;102786;70.17525;1350.00;53.9226;64.0793;1.2460;1.2139;72.0573;105.8420;352.6791;352.5062;193.1832;237.8458;358.3358;359.7154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.4287;-0.0161;-0.0169
0.1772;-0.4762;False;False;53.6000;53.6000;0.0461;0.0461;72.1874;72.1874;359.9890;359.9890;180.3372;180.3372;-0.0002;-0.0002;0.0001;-0.0001;-0.0001;-0.0863;-0.0863;0.0001;102791;69.50898;1350.07;53.9226;64.0793;1.2460;1.2139;72.0530;105.8420;352.6759;352.5061;193.1816;237.8458;358.3350;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.8, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, 0.0, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.4993;-0.0161;-0.0169
0.1972;-0.4762;False;False;53.6000;53.6000;0.0461;0.0461;72.1807;72.1807;359.9850;359.9850;180.3358;180.3358;-0.0003;-0.0003;0.0001;-0.0001;-0.0001;-0.1107;-0.1107;0.0001;102796;70.88515;1350.14;53.9226;64.0793;1.2460;1.2139;72.0466;105.8421;352.6718;352.5061;193.1791;237.8458;358.3340;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.5679;-0.0161;-0.0169
0.2102;-0.4762;False;False;53.6000;53.6000;0.0461;0.0461;72.1713;72.1713;359.9805;359.9805;180.3331;180.3331;-0.0004;-0.0004;0.0001;-0.0001;-0.0001;-0.1493;-0.1493;0.0001;102801;69.52494;1350.21;53.9226;64.0793;1.2460;1.2139;72.0381;105.8420;352.6676;352.5061;193.1777;237.8458;358.3329;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.6394;-0.0161;-0.0169
0.2256;-0.4762;False;False;53.6000;53.6000;0.0460;0.0460;72.1598;72.1598;359.9767;359.9767;180.3298;180.3298;-0.0004;-0.0004;0.0001;-0.0001;-0.0001;-0.1791;-0.1791;0.0001;102806;70.23232;1350.28;53.9227;64.0793;1.2460;1.2139;72.0270;105.8420;352.6638;352.5061;193.1744;237.8458;358.3320;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.7091;-0.0161;-0.0169
0.2461;-0.4762;False;False;53.6000;53.6000;0.0460;0.0460;72.1457;72.1457;359.9733;359.9733;180.3259;180.3259;-0.0005;-0.0005;0.0001;-0.0001;-0.0001;-0.2199;-0.2199;0.0001;102811;69.97859;1350.35;53.9227;64.0793;1.2460;1.2139;72.0137;105.8420;352.6603;352.5061;193.1707;237.8458;358.3311;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.7794;-0.0159;-0.0169
0.2837;-0.4682;False;False;53.6000;53.6000;0.0460;0.0460;72.1291;72.1291;359.9701;359.9701;180.3212;180.3212;-0.0005;-0.0005;0.0002;-0.0001;-0.0001;-0.2556;-0.2556;0.0002;102816;70.46418;1350.42;53.9227;64.0793;1.2460;1.2139;71.9976;105.8420;352.6572;352.5061;193.1662;237.8458;358.3304;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.8491;-0.0158;-0.0169
0.3573;-0.4206;False;False;53.6001;53.6001;0.0460;0.0460;72.1091;72.1091;359.9663;359.9663;180.3158;180.3158;-0.0006;-0.0006;0.0002;-0.0001;-0.0001;-0.3126;-0.3126;0.0002;102821;69.85905;1350.49;53.9227;64.0793;1.2460;1.2139;71.9789;105.8420;352.6538;352.5061;193.1613;237.8458;358.3295;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.9193;-0.0158;-0.0169
0.4400;-0.2262;False;False;53.6001;53.6001;0.0460;0.0460;72.0853;72.0853;359.9609;359.9609;180.3094;180.3094;-0.0007;-0.0007;0.0003;-0.0001;-0.0001;-0.3663;-0.3663;0.0003;102826;70.40141;1350.56;53.9228;64.0793;1.2460;1.2139;71.9557;105.8420;352.6489;352.5061;193.1551;237.8458;358.3282;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.2, 0.6, 0.5, -0.7)_0.9022688_System.String[];0.9891;-0.0158;-0.0175
