AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0164;0.8028;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7764;359.7764;278.9333;278.9333;0.0114;0.0114; ; ; ; ; ; ;79125;71.89342;1096.19;81.1469;79.4084;1.6530;1.3755;-77.3202;88.1391;352.2827;352.5198;281.3558;237.8637;359.6859;0.5275;;;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.5, -0.4, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.0000;0.0257;-0.1104
0.0771;0.8221;False;False;81.2386;81.2386;-0.0050;-0.0050;-75.3998;-75.3998;359.7760;359.7760;278.9344;278.9344;0.0114;0.0114;-0.0063;0.0000;0.0000;0.0010;0.0010;-0.0063;79129;64.23287;1096.26;81.1469;79.4061;1.6530;1.3755;-77.3202;88.1377;352.2826;352.5110;281.3566;237.8565;359.6859;0.5263;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.9, -0.6)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.5, -0.4, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.0724;0.0257;-0.1104
0.1495;0.8465;False;False;81.2378;81.2378;-0.0050;-0.0050;-75.3997;-75.3997;359.7742;359.7742;278.9373;278.9373;0.0115;0.0115;-0.0217;0.0000;0.0000;0.0036;0.0036;-0.0217;79134;68.49682;1096.33;81.1462;79.3960;1.6530;1.3756;-77.3201;88.1316;352.2812;352.4873;281.3592;237.8302;359.6859;0.5247;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.9, -0.6)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.5, -0.4, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.1415;0.0253;-0.1104
0.1608;0.8697;False;False;81.2354;81.2354;-0.0050;-0.0050;-75.3993;-75.3993;359.7702;359.7702;278.9382;278.9382;0.0116;0.0116;-0.0432;0.0000;0.0000;0.0072;0.0072;-0.0432;79139;70.16904;1096.40;81.1442;79.3769;1.6530;1.3756;-77.3198;88.1201;352.2774;352.4604;281.3606;237.7838;359.6858;0.5234;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.9, -0.6)_(0.7, 0.4, -0.7, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.5, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.2112;0.0208;-0.1104
0.1148;0.8937;False;False;81.2313;81.2313;-0.0050;-0.0050;-75.3986;-75.3986;359.7662;359.7662;278.9376;278.9376;0.0116;0.0116;-0.0679;0.0000;0.0000;0.0111;0.0111;-0.0679;79144;71.8567;1096.47;81.1405;79.3492;1.6530;1.3756;-77.3192;88.1035;352.2732;352.4368;281.3599;237.7192;359.6856;0.5224;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.9, -0.6)_(0.6, 0.4, -0.7, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.2804;0.0145;-0.1104
0.0678;0.9186;False;False;81.2257;81.2257;-0.0050;-0.0050;-75.3977;-75.3977;359.7639;359.7639;278.9373;278.9373;0.0115;0.0115;-0.0836;0.0000;0.0000;0.0136;0.0136;-0.0836;79149;67.83865;1096.54;81.1356;79.3132;1.6530;1.3756;-77.3184;88.0818;352.2706;352.4178;281.3601;237.6369;359.6854;0.5215;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.6, 0.4, -0.7, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.5, -0.5, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.3538;0.0150;-0.1104
0.0360;0.9439;False;False;81.2187;81.2187;-0.0050;-0.0050;-75.3966;-75.3966;359.7639;359.7639;278.9391;278.9391;0.0114;0.0114;-0.0923;0.0001;0.0001;0.0150;0.0150;-0.0923;79155;72.27113;1096.62;81.1283;79.2566;1.6530;1.3755;-77.3172;88.0476;352.2701;352.4013;281.3618;237.5094;359.6853;0.5210;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.6, 0.4, -0.7, 0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.4, -0.5, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.4335;0.0165;-0.1104
0.0213;0.9646;False;False;81.2121;81.2121;-0.0050;-0.0050;-75.3955;-75.3955;359.7656;359.7656;278.9417;278.9417;0.0114;0.0114;-0.0928;0.0001;0.0001;0.0151;0.0151;-0.0928;79160;70.97134;1096.69;81.1216;79.1986;1.6530;1.3755;-77.3161;88.0124;352.2715;352.3922;281.3637;237.3798;359.6853;0.5194;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.6, 0.4, -0.7, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.4, -0.5, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.5044;0.0165;-0.1104
0.0126;0.9791;False;False;81.2056;81.2056;-0.0050;-0.0050;-75.3944;-75.3944;359.7682;359.7682;278.9424;278.9424;0.0113;0.0113;-0.0953;0.0002;0.0002;0.0155;0.0155;-0.0953;79165;71.70111;1096.76;81.1149;79.1313;1.6530;1.3754;-77.3150;87.9714;352.2741;352.3861;281.3649;237.2298;359.6853;0.5174;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.5, 0.4, -0.7, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.4, -0.5, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.5745;0.0165;-0.1104
0.0074;0.9877;False;False;81.1990;81.1990;-0.0050;-0.0050;-75.3933;-75.3933;359.7708;359.7708;278.9423;278.9423;0.0112;0.0112;-0.0934;0.0002;0.0002;0.0152;0.0152;-0.0934;79170;71.77453;1096.83;81.1083;79.0543;1.6530;1.3753;-77.3139;87.9242;352.2766;352.3820;281.3646;237.0588;359.6854;0.5151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.5, 0.5, -0.7, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.5, -0.5, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.6442;0.0141;-0.1104
