AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;53.6000;53.6000;0.0449;0.0449;72.2000;72.2000;0.0040;0.0040;180.3439;180.3439;0.0000;0.0000; ; ; ; ; ; ;188940;72.77805;2636.55;55.5122;63.6598;1.7039;1.3141;72.3894;106.4100;352.5099;352.5240;182.7666;231.6176;359.6840;0.5307;;;HandLeft_(1.3, -0.9, -0.6)_(0.6, 0.5, -0.5, -0.3)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.7, -0.9, -0.6)_(0.0, -0.4, -0.4, 0.8)_1.252726_System.String[];HandRight_(-0.1, -0.4, -0.4)_(-0.1, -0.6, 0.0, 0.8)_0.9998702_System.String[];0.0000;0.0185;-0.0980
0.0000;0.0000;False;False;53.6000;53.6000;0.0456;0.0456;72.1999;72.1999;0.0061;0.0061;180.3447;180.3447;0.0000;0.0000;0.0000;0.0066;0.0066;0.0002;0.0002;0.0000;188945;68.97281;2636.63;55.5122;63.6597;1.7048;1.3149;72.3892;106.4100;352.5125;352.5257;182.7673;231.6164;359.6841;0.5293;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.5, -0.6, -0.2)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.7, -0.9, -0.6)_(0.0, -0.4, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.2, -0.4, -0.4)_(-0.1, -0.6, -0.1, 0.8)_0.9998702_System.String[];0.0784;0.0185;-0.0980
0.0000;0.0000;False;False;53.6000;53.6000;0.0459;0.0459;72.1998;72.1998;0.0064;0.0064;180.3434;180.3434;0.0000;0.0000;0.0000;0.0029;0.0029;-0.0014;-0.0014;0.0000;188950;69.70886;2636.70;55.5122;63.6597;1.7052;1.3153;72.3892;106.4100;352.5131;352.5256;182.7666;231.6158;359.6841;0.5286;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.4, -0.6, -0.1)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.5, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.2, -0.4, -0.4)_(-0.1, -0.6, 0.0, 0.8)_0.9998702_System.String[];0.1489;0.0185;-0.0980
0.0000;0.0000;False;False;53.6000;53.6000;0.0461;0.0461;72.1998;72.1998;0.0057;0.0057;180.3436;180.3436;0.0000;0.0000;0.0000;0.0013;0.0013;-0.0013;-0.0013;0.0000;188955;70.56876;2636.77;55.5122;63.6597;1.7053;1.3155;72.3892;106.4100;352.5125;352.5248;182.7666;231.6167;359.6841;0.5282;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.2, -0.4, -0.4)_(-0.1, -0.6, 0.0, 0.8)_0.9998702_System.String[];0.2185;0.0186;-0.0980
0.0000;0.0000;False;False;53.6000;53.6000;0.0462;0.0462;72.1998;72.1998;0.0047;0.0047;180.3413;180.3413;0.0000;0.0000;0.0000;0.0003;0.0003;0.0002;0.0002;0.0000;188960;70.29546;2636.84;55.5122;63.6597;1.7054;1.3156;72.3893;106.4100;352.5117;352.5235;182.7645;231.6139;359.6841;0.5279;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.2, -0.4, -0.4)_(-0.1, -0.6, 0.0, 0.8)_0.9998702_System.String[];0.2888;0.0213;-0.0980
0.0000;0.0000;False;False;53.6000;53.6000;0.0462;0.0462;72.1998;72.1998;0.0038;0.0038;180.3417;180.3417;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0012;0.0012;0.0000;188965;70.39788;2636.91;55.5122;63.6597;1.7054;1.3156;72.3893;106.4100;352.5106;352.5223;182.7641;231.6138;359.6840;0.5278;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.5, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.2, -0.4, -0.4)_(-0.1, -0.6, 0.0, 0.8)_0.9998702_System.String[];0.3589;0.0249;-0.0980
0.0000;0.0000;False;False;53.6000;53.6000;0.0462;0.0462;72.1998;72.1998;0.0029;0.0029;180.3428;180.3428;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0001;-0.0001;0.0000;188970;70.98131;2636.98;55.5122;63.6598;1.7054;1.3156;72.3894;106.4101;352.5098;352.5215;182.7651;231.6136;359.6840;0.5278;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.1, -0.4, -0.5)_(0.0, -0.6, 0.0, 0.8)_0.9998702_System.String[];0.4282;0.0277;-0.0980
0.0000;0.0000;False;False;53.6000;53.6000;0.0461;0.0461;72.1998;72.1998;0.0021;0.0021;180.3427;180.3427;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0003;0.0003;0.0000;188975;71.05768;2637.05;55.5122;63.6598;1.7054;1.3156;72.3894;106.4101;352.5089;352.5207;182.7652;231.6137;359.6840;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.6, 0.4, -0.7, 0.0)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.1, -0.4, -0.4)_(0.0, -0.6, -0.1, 0.8)_0.9998702_System.String[];0.4980;0.0277;-0.0980
0.0000;0.0000;False;False;53.6000;53.6000;0.0461;0.0461;72.1998;72.1998;0.0015;0.0015;180.3435;180.3435;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0016;-0.0016;0.0000;188980;70.54243;2637.12;55.5122;63.6598;1.7054;1.3155;72.3893;106.4101;352.5082;352.5203;182.7659;231.6128;359.6840;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.6, 0.4, -0.7, 0.1)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.5, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.2, -0.4, -0.4)_(0.0, -0.5, -0.1, 0.9)_0.9998702_System.String[];0.5684;0.0276;-0.0980
0.0000;0.0000;False;False;53.6000;53.6000;0.0461;0.0461;72.1998;72.1998;0.0012;0.0012;180.3418;180.3418;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0003;0.0003;0.0000;188985;70.78316;2637.19;55.5122;63.6598;1.7054;1.3155;72.3894;106.4100;352.5079;352.5196;182.7650;231.6125;359.6839;0.5276;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.9, -0.6)_(0.6, 0.4, -0.7, 0.0)_1.252726_System.String[];HandLeft_(-0.9, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.1)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.5, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.2, -0.4, -0.4)_(0.0, -0.5, -0.1, 0.9)_0.9998702_System.String[];0.6382;0.0275;-0.0980
