AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.1815;0.1481;False;False;54.7021;54.7021;0.0003;0.0003;-115.2019;-115.2019;0.4478;0.4478;305.8757;305.8757;0.2043;0.2043; ; ; ; ; ; ;171258;71.3951;2388.92;53.7311;97.7762;1.6541;1.2548;-116.8654;55.4569;352.9453;352.5250;308.2691;210.5596;359.9087;0.5272;;;HandLeft_(1.4, -1.1, -0.5)_(0.8, 0.3, -0.1, 0.6)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(-0.4, -0.4, -0.1, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.0000;0.0243;-0.0540
0.2736;0.2124;False;False;54.7009;54.7009;0.0006;0.0006;-115.2011;-115.2011;0.4434;0.4434;305.8780;305.8780;0.2043;0.2043;-0.0368;0.0030;0.0030;0.0261;0.0261;-0.0368;171262;66.88375;2388.99;53.7304;97.7759;1.6545;1.2553;-116.8649;55.4564;352.9426;352.5237;308.2706;210.5593;359.9084;0.5271;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.8, 0.3, -0.1, 0.6)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.5)_(-0.3, -0.4, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.0674;0.0243;-0.0540
0.4143;0.2689;False;False;54.6969;54.6969;0.0008;0.0008;-115.1982;-115.1982;0.4333;0.4333;305.8792;305.8792;0.2044;0.2044;-0.0777;0.0008;0.0008;0.0563;0.0563;-0.0777;171267;69.48504;2389.06;53.7273;97.7744;1.6547;1.2555;-116.8627;55.4541;352.9336;352.5172;308.2718;210.5570;359.9082;0.5272;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.8, 0.3, -0.1, 0.6)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.5)_(-0.3, -0.4, -0.2, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.1377;0.0243;-0.0541
0.5264;0.3049;False;False;54.6889;54.6889;0.0007;0.0007;-115.1924;-115.1924;0.4186;0.4186;305.8835;305.8835;0.2048;0.2048;-0.1520;-0.0012;-0.0012;0.1111;0.1111;-0.1520;171272;71.27664;2389.13;53.7204;97.7713;1.6546;1.2556;-116.8577;55.4494;352.9196;352.5085;308.2759;210.5513;359.9079;0.5273;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.8, 0.3, -0.1, 0.6)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.7, -1.0, -0.5)_(-0.3, -0.4, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.2073;0.0243;-0.0541
0.5940;0.3461;False;False;54.6759;54.6759;0.0006;0.0006;-115.1829;-115.1829;0.4018;0.4018;305.8901;305.8901;0.2052;0.2052;-0.2192;-0.0023;-0.0023;0.1606;0.1606;-0.2192;171277;71.67419;2389.20;53.7087;97.7663;1.6544;1.2556;-116.8492;55.4418;352.9030;352.4989;308.2821;210.5426;359.9076;0.5276;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.8, 0.3, -0.1, 0.6)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.7, -0.9, -0.5)_(-0.3, -0.4, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.2773;0.0243;-0.0542
0.6346;0.3996;False;False;54.6573;54.6573;0.0004;0.0004;-115.1692;-115.1692;0.3849;0.3849;305.8997;305.8997;0.2056;0.2056;-0.3168;-0.0034;-0.0034;0.2327;0.2327;-0.3168;171282;71.73341;2389.26;53.6914;97.7593;1.6542;1.2556;-116.8366;55.4311;352.8860;352.4898;308.2910;210.5309;359.9073;0.5278;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.8, 0.3, -0.1, 0.6)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.4, 0.4)_0.9998702_System.String[];HandRight_(1.7, -0.9, -0.5)_(-0.3, -0.4, -0.2, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.3469;0.0243;-0.0543
0.6617;0.4493;False;False;54.6325;54.6325;0.0002;0.0002;-115.1510;-115.1510;0.3694;0.3694;305.9123;305.9123;0.2060;0.2060;-0.3938;-0.0041;-0.0041;0.2896;0.2896;-0.3938;171287;71.94222;2389.33;53.6676;97.7498;1.6539;1.2556;-116.8192;55.4165;352.8698;352.4807;308.3032;210.5143;359.9071;0.5279;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.8, 0.3, -0.1, 0.6)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.4, 0.4)_0.9998702_System.String[];HandRight_(1.7, -0.9, -0.5)_(-0.3, -0.3, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.4167;0.0243;-0.0543
0.6928;0.4937;False;False;54.6012;54.6012;-0.0002;-0.0002;-115.1280;-115.1280;0.3559;0.3559;305.9282;305.9282;0.2065;0.2065;-0.5003;-0.0050;-0.0050;0.3684;0.3684;-0.5003;171292;71.52528;2389.40;53.6379;97.7377;1.6535;1.2556;-116.7974;55.3981;352.8562;352.4720;308.3182;210.4934;359.9069;0.5280;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.8, 0.3, -0.1, 0.6)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.4, 0.3)_0.9998702_System.String[];HandRight_(1.7, -0.9, -0.5)_(-0.1, -0.2, -0.5, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.4868;0.0243;-0.0543
0.7369;0.5266;False;False;54.5628;54.5628;-0.0005;-0.0005;-115.0997;-115.0997;0.3443;0.3443;305.9477;305.9477;0.2069;0.2069;-0.5842;-0.0057;-0.0057;0.4306;0.4306;-0.5842;171297;70.7771;2389.48;53.6009;97.7224;1.6531;1.2556;-116.7702;55.3747;352.8442;352.4635;308.3369;210.4671;359.9069;0.5281;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.8, 0.3, -0.1, 0.6)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.4)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.1, -0.3, -0.5, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.5576;0.0243;-0.0543
0.7795;0.5502;False;False;54.5175;54.5175;-0.0010;-0.0010;-115.0662;-115.0662;0.3338;0.3338;305.9708;305.9708;0.2075;0.2075;-0.7027;-0.0067;-0.0067;0.5187;0.5187;-0.7027;171302;70.85256;2389.55;53.5570;97.7040;1.6526;1.2556;-116.7380;55.3465;352.8336;352.4556;308.3590;210.4356;359.9070;0.5281;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.9, -0.6)_(0.7, 0.6, -0.3, -0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.4)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.3, -0.4, -0.5, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.6279;0.0243;-0.0543
