Path;Validity
Data\CrossCultureResearchRawData\ISR01\Simulator outputs\csv\CSVScenario-CP7_Session-isr01_2022-05-31-12-12-23.csv;True
Data\CrossCultureResearchRawData\ISR02\Simulator outputs\csv\CSVScenario-CP7_Session-ISR02_2022-05-31-15-34-27.csv;True
Data\CrossCultureResearchRawData\ISR03\Simulator outputs\csv\CSVScenario-CP7_Session-ISR03_2022-06-01-10-34-59.csv;True
Data\CrossCultureResearchRawData\ISR04\Simulator outputs\csv\CSVScenario-CP7_Session-ISR04_2022-06-01-12-21-56.csv;False
Data\CrossCultureResearchRawData\ISR05\Simulator outputs\csv\CSVScenario-CP7_Session-ISR05_2022-06-01-14-12-14.csv;True
Data\CrossCultureResearchRawData\ISR06\Simulator outputs\csv\CSVScenario-CP7_Session-ISR06_2022-06-01-16-06-59.csv;True
Data\CrossCultureResearchRawData\ISR07\Simulator outputs\csv\CSVScenario-CP7_Session-isr07_2022-06-01-16-46-37.csv;True
Data\CrossCultureResearchRawData\ISR08\Simulator outputs\csv\CSVScenario-CP7_Session-ISR08_2022-06-06-10-16-56.csv;False
Data\CrossCultureResearchRawData\ISR09\Simulator outputs\csv\CSVScenario-CP7_Session-ISR09_2022-06-06-12-31-26.csv;True
Data\CrossCultureResearchRawData\ISR10\Simulator outputs\csv\CSVScenario-CP7_Session-ISR10_2022-06-06-14-38-34.csv;True
Data\CrossCultureResearchRawData\ISR11\Simulator outputs\csv\CSVScenario-CP7_Session-ISR11_2022-06-06-16-35-54.csv;True
Data\CrossCultureResearchRawData\ISR11\Simulator outputs\csv\CSVScenario-CP7_Session-ISR11_2022-06-06-16-37-16.csv;False
Data\CrossCultureResearchRawData\ISR12\Simulator outputs\csv\CSVScenario-CP7_Session-ISR12_2022-06-07-12-06-02.csv;True
Data\CrossCultureResearchRawData\ISR13\Simulator outputs\csv\CSVScenario-CP7_Session-ISR13_2022-06-07-14-36-12.csv;True
Data\CrossCultureResearchRawData\ISR14\Simulator outputs\csv\CSVScenario-CP7_Session-ISR14_2022-06-07-16-36-34.csv;True
Data\CrossCultureResearchRawData\ISR15\Simulator outputs\csv\CSVScenario-CP7_Session-isr15_2022-06-09-10-27-18.csv;True
Data\CrossCultureResearchRawData\ISR16\Simulator outputs\csv\CSVScenario-CP7_Session-ISR16_2022-06-09-12-28-21.csv;True
Data\CrossCultureResearchRawData\ISR17\Simulator outputs\csv\CSVScenario-CP7_Session-ISR17_2022-06-09-14-13-59.csv;True
Data\CrossCultureResearchRawData\ISR18\Simulator outputs\csv\CSVScenario-CP7_Session-ISR18_2022-06-12-10-04-42.csv;False
Data\CrossCultureResearchRawData\ISR19\Simulator outputs\csv\CSVScenario-CP7_Session-ISR19_2022-06-12-14-18-04.csv;False
Data\CrossCultureResearchRawData\ISR20\Simulator outputs\csv\CSVScenario-CP7_Session-isr20_2022-06-13-11-23-05.csv;True
Data\CrossCultureResearchRawData\ISR22\Simulator outputs\csv\CSVScenario-CP7_Session-ISR22_2022-06-13-17-26-17.csv;True
Data\CrossCultureResearchRawData\ISR23\Simulator outputs\csv\CSVScenario-CP7_Session-ISR23_2022-06-15-11-15-32.csv;True
Data\CrossCultureResearchRawData\ISR24\Simulator outputs\csv\CSVScenario-CP7_Session-ISR24_2022-06-15-12-32-27.csv;True
Data\CrossCultureResearchRawData\ISR25\Simulator outputs\csv\CSVScenario-CP7_Session-ISR25_2022-06-16-13-10-37.csv;True
Data\CrossCultureResearchRawData\ISR26\Simulator outputs\csv\CSVScenario-CP7_Session-ISR26_2022-06-16-15-50-15.csv;True
Data\CrossCultureResearchRawData\ISR27\Simulator outputs\csv\CSVScenario-CP7_Session-isr27_2022-06-26-11-51-21.csv;False
Data\CrossCultureResearchRawData\ISR28\Simulator outputs\csv\CSVScenario-CP7_Session-ISR28_2022-06-26-14-48-15.csv;True
Data\CrossCultureResearchRawData\ISR29\Simulator outputs\csv\CSVScenario-CP7_Session-ISR29_2022-06-26-17-46-50.csv;True
