AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;81.0291;81.0291;-0.0039;-0.0039;-75.3304;-75.3304;359.8398;359.8398;271.6666;271.6666;0.0961;0.0961; ; ; ; ; ; ;198965;71.30501;404.73;80.8459;-87.1477;1.1310;1.1112;-75.7371;87.9931;352.3971;352.7159;279.4738;173.0384;359.0569;358.4330;;;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.0000;0.0000;-0.0289
0.0000;0.0000;False;False;81.0291;81.0291;-0.0035;-0.0035;-75.3304;-75.3304;359.8383;359.8383;271.6667;271.6667;0.0971;0.0971;0.0000;0.0006;0.0006;0.0000;0.0000;0.0000;198966;22.71185;404.89;80.8459;-87.1477;1.1311;1.1113;-75.7371;87.9931;352.3972;352.7160;279.4738;173.0384;359.0569;358.4330;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.1640;0.0000;-0.0289
0.0000;0.0000;False;False;81.0291;81.0291;-0.0035;-0.0035;-75.3304;-75.3304;359.8372;359.8372;271.6667;271.6667;0.0970;0.0970;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;198971;41.90798;404.96;80.8459;-87.1477;1.1315;1.1118;-75.7372;87.9931;352.3947;352.7135;279.4739;173.0406;359.0575;358.4325;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.2344;0.0000;-0.0289
0.0000;0.0000;False;False;81.0291;81.0291;-0.0035;-0.0035;-75.3304;-75.3304;359.8362;359.8362;271.6667;271.6667;0.0968;0.0968;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;198976;58.15125;405.03;80.8459;-87.1477;1.1315;1.1118;-75.7372;87.9930;352.3937;352.7123;279.4739;173.0404;359.0572;358.4322;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.3041;0.0000;-0.0289
0.0000;0.0000;False;False;81.0291;81.0291;-0.0035;-0.0035;-75.3304;-75.3304;359.8355;359.8355;271.6667;271.6667;0.0967;0.0967;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;198981;66.57101;405.10;80.8459;-87.1476;1.1315;1.1118;-75.7372;87.9929;352.3929;352.7115;279.4740;173.0406;359.0569;358.4321;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.3739;0.0000;-0.0289
0.0000;0.0000;False;False;81.0291;81.0291;-0.0035;-0.0035;-75.3304;-75.3304;359.8349;359.8349;271.6667;271.6667;0.0966;0.0966;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;198986;70.12533;405.17;80.8460;-87.1476;1.1315;1.1118;-75.7372;87.9927;352.3923;352.7107;279.4740;173.0419;359.0568;358.4319;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.4433;0.0000;-0.0289
0.0000;0.0000;False;False;81.0291;81.0291;-0.0035;-0.0035;-75.3304;-75.3304;359.8345;359.8345;271.6667;271.6667;0.0965;0.0965;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;198991;71.0237;405.24;80.8460;-87.1475;1.1315;1.1118;-75.7372;87.9924;352.3919;352.7101;279.4740;173.0433;359.0566;358.4317;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.5132;0.0000;-0.0289
0.0000;0.0000;False;False;81.0291;81.0291;-0.0035;-0.0035;-75.3304;-75.3304;359.8343;359.8343;271.6667;271.6667;0.0965;0.0965;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;198996;71.5293;405.31;80.8460;-87.1474;1.1314;1.1118;-75.7372;87.9922;352.3916;352.7099;279.4740;173.0446;359.0565;358.4317;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.5829;0.0000;-0.0289
0.0000;0.0000;False;False;81.0291;81.0291;-0.0035;-0.0035;-75.3304;-75.3304;359.8341;359.8341;271.6667;271.6667;0.0965;0.0965;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;199001;71.78053;405.38;80.8460;-87.1473;1.1314;1.1118;-75.7372;87.9919;352.3914;352.7096;279.4740;173.0427;359.0565;358.4316;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.6524;0.0000;-0.0289
0.0000;0.0000;False;False;81.0291;81.0291;-0.0036;-0.0036;-75.3304;-75.3304;359.8340;359.8340;271.6667;271.6667;0.0964;0.0964;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;199006;71.92577;405.45;80.8460;-87.1472;1.1314;1.1118;-75.7371;87.9916;352.3914;352.7095;279.4741;173.0439;359.0564;358.4316;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.2, -0.4)_(-0.2, -0.4, 0.9, -0.3)_0.9155868_System.String[];HandLeft_(-0.2, -0.2, 0.2)_(-0.8, -0.4, 0.4, -0.3)_0.914926_System.String[];HandRight_(0.2, -0.1, -0.1)_(-0.2, 0.0, -0.6, 0.8)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(0.1, 0.0, 0.6, -0.8)_0.914926_System.String[];0.7219;0.0000;-0.0289
