AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;-0.2143;False;False;81.0092;81.0092;-0.0033;-0.0033;-75.1204;-75.1204;359.8735;359.8735;273.3847;273.3847;0.1469;0.1469; ; ; ; ; ; ;286452;71.73885;1563.42;80.8602;-87.5021;1.1447;1.1370;-75.5312;-84.9792;352.3984;352.5927;279.3124;85.6955;359.3596;358.8915;;;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.4, -0.7)_1.022031_System.String[];0.0000;-0.0013;0.0108
0.0000;-0.2262;False;False;81.0093;81.0093;-0.0029;-0.0029;-75.1205;-75.1205;359.8744;359.8744;273.3888;273.3888;0.1468;0.1468;0.0017;0.0043;0.0043;-0.0015;-0.0015;0.0017;286456;63.76003;1563.49;80.8602;-87.5020;1.1452;1.1378;-75.5313;-84.9791;352.3996;352.5951;279.3156;85.6955;359.3596;358.8918;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.4, -0.7)_1.022031_System.String[];0.0729;-0.0013;0.0108
0.0000;-0.2262;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1206;-75.1206;359.8736;359.8736;273.3927;273.3927;0.1467;0.1467;-0.0012;0.0016;0.0016;-0.0013;-0.0013;-0.0012;286461;69.04871;1563.56;80.8602;-87.5021;1.1455;1.1382;-75.5314;-84.9791;352.3992;352.5953;279.3197;85.6955;359.3594;358.8919;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.5, -0.7)_1.022031_System.String[];0.1423;-0.0013;0.0108
0.0000;-0.2143;False;False;81.0093;81.0093;-0.0026;-0.0026;-75.1207;-75.1207;359.8726;359.8726;273.3954;273.3954;0.1467;0.1467;0.0008;0.0006;0.0006;-0.0014;-0.0014;0.0008;286466;70.78826;1563.63;80.8601;-87.5021;1.1456;1.1384;-75.5315;-84.9791;352.3982;352.5945;279.3224;85.6955;359.3593;358.8918;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.5, -0.7)_1.022031_System.String[];0.2120;-0.0013;0.0108
0.0000;-0.1984;False;False;81.0093;81.0093;-0.0026;-0.0026;-75.1208;-75.1208;359.8714;359.8714;273.3987;273.3987;0.1466;0.1466;0.0018;0.0000;0.0000;-0.0015;-0.0015;0.0018;286471;69.72033;1563.70;80.8602;-87.5021;1.1456;1.1384;-75.5316;-84.9792;352.3971;352.5934;279.3257;85.6955;359.3591;358.8916;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.5, -0.7)_1.022031_System.String[];0.2834;-0.0013;0.0108
0.0000;-0.1667;False;False;81.0094;81.0094;-0.0026;-0.0026;-75.1209;-75.1209;359.8705;359.8705;273.4019;273.4019;0.1466;0.1466;0.0020;-0.0002;-0.0002;-0.0015;-0.0015;0.0020;286476;71.23743;1563.77;80.8603;-87.5021;1.1456;1.1385;-75.5317;-84.9792;352.3961;352.5923;279.3289;85.6955;359.3590;358.8914;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.1)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.5, -0.7)_1.022031_System.String[];0.3529;-0.0013;0.0108
0.0000;-0.0794;False;False;81.0096;81.0096;-0.0026;-0.0026;-75.1210;-75.1210;359.8700;359.8700;273.4058;273.4058;0.1466;0.1466;0.0017;-0.0003;-0.0003;-0.0015;-0.0015;0.0017;286481;71.18201;1563.84;80.8604;-87.5021;1.1456;1.1384;-75.5318;-84.9792;352.3956;352.5913;279.3325;85.6956;359.3589;358.8913;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.1)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.5, -0.7)_1.022031_System.String[];0.4230;-0.0013;0.0108
0.0000;0.0000;False;False;81.0098;81.0098;-0.0026;-0.0026;-75.1211;-75.1211;359.8694;359.8694;273.4091;273.4091;0.1465;0.1465;0.0026;-0.0002;-0.0002;-0.0015;-0.0015;0.0026;286486;71.39271;1563.91;80.8606;-87.5021;1.1456;1.1384;-75.5319;-84.9792;352.3950;352.5905;279.3359;85.6956;359.3588;358.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.1)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.5, -0.7)_1.022031_System.String[];0.4929;-0.0013;0.0108
0.0000;0.0000;False;False;81.0101;81.0101;-0.0026;-0.0026;-75.1212;-75.1212;359.8691;359.8691;273.4120;273.4120;0.1465;0.1465;0.0030;-0.0002;-0.0002;-0.0016;-0.0016;0.0030;286491;71.08275;1563.98;80.8609;-87.5022;1.1456;1.1384;-75.5320;-84.9792;352.3947;352.5901;279.3393;85.6929;359.3587;358.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.1)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.5, -0.7)_1.022031_System.String[];0.5632;-0.0013;0.0108
0.0000;0.0000;False;False;81.0103;81.0103;-0.0027;-0.0027;-75.1213;-75.1213;359.8688;359.8688;273.4140;273.4140;0.1464;0.1464;0.0040;-0.0001;-0.0001;-0.0016;-0.0016;0.0040;286496;71.68871;1564.05;80.8611;-87.5021;1.1456;1.1384;-75.5321;-84.9792;352.3943;352.5894;279.3415;85.6926;359.3586;358.8910;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, -0.1)_1.025159_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.1)_1.022031_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_1.025159_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.5, 0.4, -0.7)_1.022031_System.String[];0.6327;-0.0013;0.0108
