AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;54.7022;-131.6989;-0.0566;-0.0778;-115.2010;-68.5999;0.2084;359.6970;305.8750;85.1924;0.2176;0.0000; ; ; ; ; ; ;98408;71.9863;Infinity;1342.46;54.1033;-131.2278;1.6010;1.6122;-115.8643;-67.6918;355.7060;352.7055;1.7289;106.3318;354.0835;357.1894;;;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.4, -0.4, 0.4)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.0000;0.0145;0.0004;54.3848;-131.6687;1.0249;1.1031;-115.4190;-68.2366;348.7391;347.9301;305.0483;89.3691;356.8690;359.9344
0.0000;0.0000;False;False;54.7021;-131.6991;-0.0456;-0.0665;-115.2011;-68.5999;0.2477;359.7414;305.8743;85.1932;0.2151;0.0000;0.0016;0.2224;0.2363;0.0033;0.0001;-0.0070;98411;68.73673;Infinity;1342.50;54.1025;-131.2267;1.6121;1.6231;-115.8637;-67.6917;355.7298;352.7448;1.7259;106.3306;354.1142;357.2047;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.4, -0.4, 0.5)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.0468;0.0145;0.0004;54.3839;-131.6674;1.0360;1.1156;-115.4183;-68.2352;348.8656;347.5569;305.0175;88.9642;356.9242;0.3244
0.0000;0.0000;False;False;54.7020;-131.6993;-0.0367;-0.0569;-115.2010;-68.5999;0.2827;359.7839;305.8748;85.1918;0.2131;0.0000;0.0019;0.1985;0.2163;0.0045;0.0002;-0.0086;98414;70.14274;Infinity;1342.55;54.1015;-131.2257;1.6213;1.6325;-115.8630;-67.6916;355.7513;352.7841;1.7242;106.3278;354.1423;357.2200;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.3, -0.4, 0.5)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.0886;0.0145;0.0004;54.3831;-131.6657;1.0452;1.1264;-115.4177;-68.2339;348.9565;347.2629;305.0110;88.6162;356.9449;0.7041
0.0000;0.0000;False;False;54.7017;-131.6994;-0.0288;-0.0483;-115.2009;-68.6000;0.3155;359.8253;305.8754;85.1922;0.2113;0.0000;0.0029;0.1710;0.1900;0.0064;0.0002;-0.0111;98417;70.86481;Infinity;1342.59;54.1005;-131.2246;1.6295;1.6411;-115.8623;-67.6915;355.7718;352.8234;1.7230;106.3257;354.1693;357.2353;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.3, -0.4, 0.5)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.1305;0.0145;0.0004;54.3823;-131.6633;1.0534;1.1362;-115.4172;-68.2324;349.0305;347.0288;305.0255;88.2306;356.9258;1.1763
0.0000;0.0000;False;False;54.7014;-131.6996;-0.0222;-0.0409;-115.2007;-68.6000;0.3443;359.8632;305.8739;85.1929;0.2098;0.0000;0.0020;0.1434;0.1618;0.0082;0.0002;-0.0134;98420;71.30551;Infinity;1342.63;54.0995;-131.2236;1.6365;1.6485;-115.8616;-67.6915;355.7901;352.8600;1.7202;106.3248;354.1935;357.2496;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.3, -0.4, 0.5)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.1724;0.0145;0.0004;54.3814;-131.6601;1.0604;1.1448;-115.4166;-68.2305;349.0809;346.9657;305.0568;87.7635;356.9246;1.7358
0.0000;0.0000;False;False;54.7009;-131.6997;-0.0168;-0.0347;-115.2005;-68.6000;0.3689;359.8964;305.8740;85.1929;0.2086;0.0000;0.0026;0.1176;0.1344;0.0093;0.0002;-0.0148;98423;71.64287;Infinity;1342.67;54.0985;-131.2227;1.6423;1.6547;-115.8609;-67.6914;355.8058;352.8925;1.7178;106.3230;354.2144;357.2623;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.1)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.3, -0.4, 0.5)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.2140;0.0145;0.0004;54.3806;-131.6565;1.0662;1.1524;-115.4160;-68.2288;349.1073;347.0515;305.0859;87.2181;356.9355;2.2941
0.0000;0.0000;False;False;54.7003;-131.6998;-0.0124;-0.0297;-115.2001;-68.6000;0.3892;359.9243;305.8747;85.1923;0.2076;0.0000;0.0015;0.0946;0.1093;0.0112;0.0001;-0.0173;98426;71.81572;Infinity;1342.71;54.0975;-131.2219;1.6470;1.6599;-115.8602;-67.6913;355.8189;352.9202;1.7177;106.3219;354.2318;357.2730;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.3, -0.4, 0.5)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.2557;0.0145;0.0004;54.3797;-131.6527;1.0708;1.1590;-115.4154;-68.2271;349.1739;347.1697;305.0850;86.6112;356.9645;2.8756
0.0000;0.0000;False;False;54.6996;-131.6999;-0.0090;-0.0257;-115.1997;-68.6000;0.4054;359.9471;305.8746;85.1914;0.2068;0.0000;0.0021;0.0748;0.0873;0.0121;0.0002;-0.0184;98429;71.90588;Infinity;1342.75;54.0964;-131.2213;1.6507;1.6640;-115.8595;-67.6913;355.8294;352.9430;1.7162;106.3195;354.2458;357.2819;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.1)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.3, -0.4, 0.5)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.2974;0.0145;0.0004;54.3786;-131.6486;1.0746;1.1644;-115.4148;-68.2257;349.3036;347.3259;305.0422;85.9806;356.9689;3.4780
0.0000;0.0000;False;False;54.6988;-131.6999;-0.0063;-0.0225;-115.1991;-68.6000;0.4178;359.9652;305.8755;85.1908;0.2062;0.0000;0.0019;0.0581;0.0686;0.0145;0.0002;-0.0217;98432;71.51852;Infinity;1342.80;54.0953;-131.2208;1.6536;1.6672;-115.8587;-67.6912;355.8376;352.9612;1.7160;106.3183;354.2567;357.2890;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.3, -0.4, 0.5)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.3395;0.0145;0.0004;54.3773;-131.6439;1.0775;1.1688;-115.4141;-68.2244;349.4608;347.5902;304.9684;85.3222;356.9793;4.0980
0.0000;0.0000;False;False;54.6979;-131.6999;-0.0043;-0.0201;-115.1986;-68.6000;0.4272;359.9788;305.8750;85.1900;0.2057;0.0000;0.0034;0.0445;0.0530;0.0149;0.0003;-0.0222;98435;71.76537;Infinity;1342.84;54.0942;-131.2203;1.6558;1.6697;-115.8579;-67.6912;355.8438;352.9753;1.7157;106.3167;354.2649;357.2945;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.3, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.7, -0.8, 0.1)_(0.7, -0.3, -0.4, 0.5)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(0.5, 0.2, 0.1, -0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(0.0, -0.4, -0.3, 0.9)_1.030932_System.String[];0.3811;0.0145;0.0004;54.3760;-131.6391;1.0797;1.1725;-115.4134;-68.2235;349.6269;347.9188;304.8751;84.7098;357.0353;4.6457
