AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.4166;0.0000;False;False;81.2388;79.6700;-0.0051;0.1061;-75.3998;87.9400;359.7824;0.0064;278.9333;241.9098;0.0115;-0.0001; ; ; ; ; ; ;167771;71.50786;Infinity;1843.45;80.5003;79.1442;1.4252;1.4240;-76.1786;87.6126;354.1531;352.8900;319.9356;223.4018;354.9540;2.3725;;;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.9, -0.7, 0.0)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.0000;-0.0128;-0.0244;81.1150;79.6956;1.1370;1.2992;-75.9008;87.4695;354.3342;7.3708;240.7992;281.7641;6.0093;348.8194
-0.4206;0.0000;False;False;81.2388;79.6700;-0.0050;0.1061;-75.3998;87.9400;359.7819;0.0059;278.9333;241.9109;0.0115;-0.0001;0.0008;0.0016;0.0010;0.0000;0.0004;0.0000;167774;68.34937;Infinity;1843.49;80.5003;79.1442;1.4254;1.4241;-76.1786;87.6126;354.1528;352.8895;319.9356;223.4023;354.9537;2.3727;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.9, -0.7, 0.0)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.0471;-0.0128;-0.0245;81.1129;79.6955;1.1357;1.2992;-75.9015;87.4668;355.0668;7.5919;240.2783;281.2171;5.5734;349.0691
-0.4166;0.0000;False;False;81.2388;79.6700;-0.0050;0.1062;-75.3998;87.9400;359.7813;0.0053;278.9333;241.9125;0.0115;-0.0001;0.0009;0.0009;0.0005;0.0000;0.0005;0.0000;167777;69.81193;Infinity;1843.54;80.5003;79.1442;1.4254;1.4241;-76.1786;87.6126;354.1523;352.8889;319.9357;223.4038;354.9533;2.3729;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.9, -0.7, 0.0)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.0891;-0.0128;-0.0249;81.1105;79.6954;1.1345;1.2989;-75.9013;87.4645;355.6870;7.7836;239.8212;280.6546;4.8615;349.2505
-0.4166;0.0000;False;False;81.2388;79.6700;-0.0050;0.1062;-75.3998;87.9400;359.7806;0.0047;278.9333;241.9131;0.0115;-0.0001;0.0003;0.0004;0.0002;0.0000;0.0002;0.0000;167780;70.70084;Infinity;1843.58;80.5003;79.1443;1.4255;1.4241;-76.1786;87.6127;354.1519;352.8885;319.9357;223.4049;354.9529;2.3730;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, 0.0)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.1310;-0.0128;-0.0253;81.1074;79.6954;1.1331;1.2987;-75.9007;87.4624;356.3292;7.8736;239.1795;280.2120;3.7983;349.4675
-0.4166;0.0000;False;False;81.2388;79.6699;-0.0050;0.1062;-75.3998;87.9400;359.7799;0.0040;278.9333;241.9116;0.0115;-0.0001;-0.0013;0.0001;0.0000;0.0000;-0.0008;0.0000;167783;71.01554;Infinity;1843.62;80.5003;79.1443;1.4255;1.4241;-76.1786;87.6127;354.1513;352.8879;319.9358;223.4036;354.9525;2.3732;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, 0.0)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.1731;-0.0128;-0.0257;81.1044;79.6955;1.1317;1.2987;-75.8999;87.4601;356.8507;7.9347;238.3680;279.8644;2.6084;349.6596
-0.4166;0.0000;False;False;81.2388;79.6699;-0.0050;0.1062;-75.3998;87.9400;359.7793;0.0035;278.9333;241.9110;0.0115;-0.0001;0.0001;-0.0002;-0.0002;0.0000;0.0000;0.0000;167786;71.22282;Infinity;1843.66;80.5003;79.1443;1.4255;1.4241;-76.1786;87.6126;354.1508;352.8872;319.9358;223.4033;354.9520;2.3734;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, 0.0)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.2151;-0.0128;-0.0262;81.1017;79.6956;1.1307;1.2987;-75.8989;87.4584;357.2750;7.9448;237.5408;279.7238;1.5907;349.8004
-0.4166;0.0000;False;False;81.2388;79.6699;-0.0050;0.1062;-75.3998;87.9400;359.7787;0.0030;278.9333;241.9104;0.0115;-0.0001;0.0009;-0.0002;-0.0002;0.0000;0.0005;0.0000;167789;71.34246;Infinity;1843.70;80.5003;79.1443;1.4255;1.4241;-76.1786;87.6126;354.1504;352.8868;319.9359;223.4022;354.9516;2.3736;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, 0.0)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.2571;-0.0128;-0.0269;81.0987;79.6958;1.1299;1.2986;-75.8976;87.4571;357.7685;7.9563;237.0404;279.7238;0.8444;349.8865
-0.4206;0.0000;False;False;81.2388;79.6700;-0.0050;0.1061;-75.3998;87.9400;359.7783;0.0028;278.9333;241.9099;0.0115;-0.0001;0.0003;-0.0003;-0.0002;0.0000;0.0002;0.0000;167792;71.35119;Infinity;1843.75;80.5003;79.1443;1.4255;1.4241;-76.1786;87.6127;354.1500;352.8865;319.9359;223.4018;354.9513;2.3737;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, 0.0)_(-0.2, -0.3, 0.0, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.2992;-0.0128;-0.0273;81.0959;79.6957;1.1288;1.2987;-75.8958;87.4560;358.5157;8.0453;237.4018;279.7430;0.4174;349.9142
-0.4166;0.0000;False;False;81.2388;79.6700;-0.0050;0.1061;-75.3998;87.9400;359.7778;0.0024;278.9333;241.9081;0.0114;-0.0001;-0.0008;-0.0003;-0.0002;0.0000;-0.0005;0.0000;167795;71.36112;Infinity;1843.79;80.5003;79.1443;1.4255;1.4241;-76.1786;87.6126;354.1497;352.8863;319.9359;223.4005;354.9510;2.3738;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, 0.0)_(-0.2, -0.3, 0.1, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.3412;-0.0128;-0.0273;81.0933;79.6954;1.1265;1.2987;-75.8940;87.4551;359.7664;8.1875;238.8999;279.7698;0.2900;349.9749
-0.4166;0.0000;False;False;81.2388;79.6699;-0.0050;0.1061;-75.3998;87.9400;359.7775;0.0020;278.9333;241.9089;0.0114;-0.0001;-0.0008;-0.0002;-0.0002;0.0000;-0.0004;0.0000;167798;71.60452;Infinity;1843.83;80.5003;79.1443;1.4255;1.4241;-76.1786;87.6126;354.1494;352.8858;319.9359;223.4001;354.9507;2.3739;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.8, 0.1)_(0.6, 0.1, -0.8, 0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.7, 0.5, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, 0.0)_(-0.2, -0.3, 0.1, 0.9)_1.025087_System.String[];HandRight_(-0.3, -0.5, 0.2)_(0.2, 0.6, 0.7, -0.4)_0.9962534_System.String[];0.3829;-0.0128;-0.0273;81.0917;79.6951;1.1232;1.2988;-75.8937;87.4544;1.6627;8.3493;240.7934;279.7592;0.6109;350.1089
