AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0462;-65.1000;77.4034;0.0021;0.0042;359.5096;187.2493;0.0000;0.0001; ; ; ; ; ; ;187928;71.57475;Infinity;2124.72;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7852;354.3265;352.8881;40.4982;168.7412;355.0902;2.3733;;;HandLeft_(0.5, -0.6, 0.1)_(0.5, 0.3, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.5, -0.5, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.7, -0.1)_(0.1, 0.2, 0.4, -0.9)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.0000;-0.0122;0.0055;-86.8629;54.4511;1.1931;1.2432;-65.0897;77.1611;354.8300;7.5590;51.9227;205.4754;359.6959;357.5642
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0462;-65.0999;77.4034;0.0017;0.0033;359.5094;187.2488;0.0000;0.0001;0.0000;-0.0002;-0.0003;0.0007;0.0004;0.0000;187931;69.57551;Infinity;2124.77;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7852;354.3262;352.8873;40.4981;168.7409;355.0899;2.3736;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.6, 0.1)_(0.5, 0.3, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.5, -0.5, 0.4)_0.9962534_System.String[];HandRight_(0.8, -0.6, -0.1)_(0.0, 0.2, 0.4, -0.9)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.0452;-0.0122;0.0055;-86.8695;54.4458;1.1924;1.2432;-65.0834;77.1623;355.8047;7.6420;45.3224;207.9467;359.9591;356.7332
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0462;-65.1000;77.4034;0.0015;0.0029;359.5093;187.2486;0.0000;0.0000;-0.0001;-0.0002;-0.0003;0.0017;-0.0004;0.0000;187934;70.7367;Infinity;2124.81;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7852;354.3260;352.8867;40.4980;168.7403;355.0898;2.3738;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.6, 0.1)_(0.5, 0.3, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.5, -0.5, 0.4)_0.9962534_System.String[];HandRight_(0.7, -0.6, -0.1)_(0.0, 0.2, 0.4, -0.9)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.0867;-0.0122;0.0055;-86.8769;54.4415;1.1923;1.2432;-65.0774;77.1632;356.4643;7.8087;38.7916;209.9330;0.0136;355.9124
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0999;77.4034;0.0012;0.0024;359.5093;187.2488;0.0000;0.0000;0.0001;-0.0002;-0.0003;0.0004;0.0010;0.0000;187937;71.29288;Infinity;2124.85;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7853;354.3257;352.8862;40.4982;168.7405;355.0895;2.3739;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.6, 0.1)_(0.5, 0.3, -0.8, -0.1)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.5, -0.5, 0.4)_0.9962534_System.String[];HandRight_(0.7, -0.6, -0.2)_(-0.1, 0.2, 0.5, -0.8)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.1284;-0.0122;0.0055;-86.8852;54.4375;1.1925;1.2431;-65.0714;77.1640;356.8746;7.9834;32.2222;211.5971;359.9137;355.1942
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0999;77.4034;0.0011;0.0020;359.5096;187.2493;0.0000;0.0000;0.0001;-0.0001;-0.0003;0.0008;0.0011;0.0000;187940;71.32268;Infinity;2124.89;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7853;354.3257;352.8858;40.4979;168.7407;355.0894;2.3741;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, 0.4)_(0.6, 0.3, -0.7, -0.3)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.5, -0.5, 0.4)_0.9962534_System.String[];HandRight_(0.7, -0.6, -0.2)_(-0.2, 0.2, 0.5, -0.8)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.1704;-0.0122;0.0055;-86.8939;54.4342;1.1928;1.2428;-65.0657;77.1647;357.1171;8.1666;25.9038;212.9210;359.8163;354.6286
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0999;77.4034;0.0010;0.0017;359.5101;187.2510;0.0000;0.0000;0.0000;-0.0001;-0.0003;0.0000;-0.0003;0.0000;187943;71.40857;Infinity;2124.93;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7853;354.3256;352.8856;40.4987;168.7421;355.0894;2.3741;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, 0.2)_(0.5, 0.4, -0.6, -0.4)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.5, -0.5, 0.4)_0.9962534_System.String[];HandRight_(0.7, -0.6, -0.2)_(-0.2, 0.2, 0.5, -0.8)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.2124;-0.0122;0.0055;-86.9023;54.4317;1.1933;1.2423;-65.0605;77.1650;357.3460;8.3799;20.3969;213.8010;0.0162;354.1537
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0999;77.4034;0.0009;0.0014;359.5103;187.2505;0.0000;0.0000;-0.0001;-0.0001;-0.0002;0.0008;-0.0007;0.0000;187946;71.38674;Infinity;2124.98;-87.3889;53.9633;1.4744;1.3641;-64.4934;76.7853;354.3255;352.8853;40.4993;168.7427;355.0894;2.3742;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, 0.0)_(0.5, 0.4, -0.6, -0.5)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.6, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.7, -0.5, -0.2)_(-0.2, 0.2, 0.5, -0.8)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.2544;-0.0122;0.0055;-86.9098;54.4299;1.1938;1.2418;-65.0559;77.1652;357.6925;8.6101;15.7285;214.2872;0.3193;353.7965
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0999;77.4034;0.0007;0.0012;359.5100;187.2500;0.0000;0.0000;0.0000;-0.0001;-0.0002;0.0016;0.0002;0.0000;187949;71.43156;Infinity;2125.02;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7853;354.3254;352.8850;40.4988;168.7412;355.0892;2.3743;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, 0.0)_(0.5, 0.4, -0.6, -0.5)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.6, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(-0.1, 0.3, 0.5, -0.8)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.2964;-0.0122;0.0055;-86.9169;54.4285;1.1934;1.2408;-65.0517;77.1650;358.0930;8.9887;11.8144;214.3734;0.6622;353.6132
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0999;77.4034;0.0005;0.0011;359.5092;187.2503;0.0000;0.0000;0.0001;-0.0001;-0.0002;0.0019;0.0009;0.0000;187952;71.43532;Infinity;2125.06;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7853;354.3253;352.8849;40.4981;168.7421;355.0891;2.3744;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.3, -0.7, -0.4)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.6, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(-0.1, 0.3, 0.5, -0.8)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.3384;-0.0122;0.0055;-86.9229;54.4280;1.1926;1.2402;-65.0480;77.1645;358.4546;9.3919;8.6602;214.1246;0.9578;353.5033
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0998;77.4034;0.0006;0.0008;359.5082;187.2512;0.0000;0.0000;0.0001;0.0000;-0.0001;-0.0011;0.0006;0.0000;187955;71.41205;Infinity;2125.10;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7853;354.3252;352.8847;40.4973;168.7424;355.0891;2.3744;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.6, 0.3, -0.7, -0.4)_1.025087_System.String[];HandLeft_(-0.6, -0.6, 0.1)_(0.6, 0.6, -0.4, 0.4)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(-0.1, 0.3, 0.4, -0.9)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.3804;-0.0123;0.0055;-86.9280;54.4278;1.1916;1.2394;-65.0449;77.1641;358.7661;9.7000;6.3261;213.7696;1.2742;353.4810
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0999;77.4034;0.0007;0.0009;359.5088;187.2516;0.0000;0.0000;0.0000;0.0000;-0.0001;0.0006;-0.0004;0.0000;187958;71.62292;Infinity;2125.14;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7853;354.3253;352.8847;40.4969;168.7430;355.0891;2.3744;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.6, 0.3, -0.7, -0.3)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.6, 0.6, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, 0.3, 0.4, -0.9)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.4221;-0.0123;0.0055;-86.9323;54.4280;1.1900;1.2387;-65.0426;77.1637;359.1659;9.9708;4.6465;213.3326;1.6772;353.5355
0.0000;0.0000;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0999;77.4034;0.0008;0.0008;359.5100;187.2517;0.0000;0.0000;0.0001;0.0000;-0.0001;-0.0008;0.0007;0.0000;187961;71.77655;Infinity;2125.19;-87.3890;53.9633;1.4744;1.3641;-64.4934;76.7853;354.3253;352.8846;40.4985;168.7435;355.0892;2.3745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.6, 0.3, -0.7, -0.3)_1.025087_System.String[];HandLeft_(-0.6, -0.5, 0.1)_(0.6, 0.6, -0.3, 0.4)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.0, 0.4, 0.4, -0.8)_1.025087_System.String[];HandRight_(-0.4, -0.6, 0.2)_(0.1, 0.7, 0.7, -0.2)_0.9962534_System.String[];0.4639;-0.0123;0.0055;-86.9361;54.4283;1.1882;1.2380;-65.0410;77.1634;359.7577;10.2188;3.4193;212.8163;2.1311;353.6054
