AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;81.0092;81.0092;-0.0026;-0.0026;-75.1205;-75.1205;359.8712;359.8712;273.3849;273.3849;0.1475;0.1475; ; ; ; ; ; ;79056;71.35303;1059.26;80.3603;-86.7974;1.2061;1.0377;-75.6535;-83.8841;352.5813;352.5146;260.8949;79.4095;1.7881;359.7068;;;HandLeft_(0.0, -0.4, 0.2)_(0.7, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.0000;-0.0147;0.0039
0.0000;0.0000;False;False;81.0093;81.0093;-0.0026;-0.0026;-75.1206;-75.1206;359.8704;359.8704;273.3876;273.3876;0.1466;0.1466;0.0018;-0.0002;-0.0002;-0.0014;-0.0014;0.0018;79061;69.35054;1059.34;80.3604;-86.7974;1.2061;1.0377;-75.6535;-83.8841;352.5802;352.5137;260.8973;79.4088;1.7875;359.7068;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.7, 0.5, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.0764;-0.0147;0.0039
0.0000;0.0031;False;False;81.0092;81.0092;-0.0026;-0.0026;-75.1206;-75.1206;359.8694;359.8694;273.3909;273.3909;0.1462;0.1462;-0.0002;-0.0003;-0.0003;-0.0014;-0.0014;-0.0002;79066;69.23525;1059.41;80.3604;-86.7974;1.2061;1.0377;-75.6536;-83.8841;352.5792;352.5128;260.9004;79.4089;1.7872;359.7067;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.7, 0.5, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.1472;-0.0147;0.0039
0.0000;0.0151;False;False;81.0093;81.0093;-0.0026;-0.0026;-75.1208;-75.1208;359.8691;359.8691;273.3961;273.3961;0.1462;0.1462;0.0015;-0.0002;-0.0002;-0.0015;-0.0015;0.0015;79071;70.31639;1059.48;80.3604;-86.7973;1.2061;1.0377;-75.6536;-83.8841;352.5788;352.5120;260.9045;79.4092;1.7872;359.7067;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.7, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.2166;-0.0147;0.0039
0.0000;0.0529;False;False;81.0095;81.0095;-0.0027;-0.0027;-75.1209;-75.1209;359.8688;359.8688;273.3987;273.3987;0.1462;0.1462;0.0021;-0.0002;-0.0002;-0.0015;-0.0015;0.0021;79076;70.97122;1059.55;80.3605;-86.7971;1.2061;1.0377;-75.6537;-83.8841;352.5785;352.5110;260.9084;79.4097;1.7873;359.7067;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.7, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.2858;-0.0147;0.0039
0.0203;0.1255;False;False;81.0095;81.0095;-0.0027;-0.0027;-75.1210;-75.1210;359.8684;359.8684;273.4005;273.4005;0.1463;0.1463;0.0016;-0.0001;-0.0001;-0.0015;-0.0015;0.0016;79081;70.17745;1059.62;80.3606;-86.7965;1.2061;1.0377;-75.6538;-83.8839;352.5781;352.5098;260.9099;79.4092;1.7874;359.7066;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.3564;-0.0154;0.0039
0.0562;0.2317;False;False;81.0094;81.0094;-0.0027;-0.0027;-75.1211;-75.1211;359.8676;359.8676;273.4055;273.4055;0.1463;0.1463;-0.0021;-0.0001;-0.0001;-0.0013;-0.0013;-0.0021;79086;69.57998;1059.69;80.3605;-86.7948;1.2061;1.0377;-75.6539;-83.8835;352.5775;352.5066;260.9144;79.4093;1.7876;359.7065;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.4271;-0.0162;0.0039
0.0819;0.3532;False;False;81.0088;81.0088;-0.0027;-0.0027;-75.1211;-75.1211;359.8660;359.8660;273.4098;273.4098;0.1463;0.1463;-0.0144;-0.0001;-0.0001;-0.0007;-0.0007;-0.0144;79091;70.59378;1059.76;80.3600;-86.7908;1.2061;1.0378;-75.6539;-83.8827;352.5761;352.5005;260.9194;79.4108;1.7879;359.7063;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.4960;-0.0182;0.0033
0.0928;0.4875;False;False;81.0072;81.0072;-0.0027;-0.0027;-75.1211;-75.1211;359.8636;359.8636;273.4142;273.4142;0.1462;0.1462;-0.0306;-0.0001;-0.0001;0.0002;0.0002;-0.0306;79096;70.67898;1059.83;80.3587;-86.7835;1.2061;1.0379;-75.6539;-83.8810;352.5739;352.4911;260.9233;79.4105;1.7883;359.7060;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.5653;-0.0214;0.0018
0.0954;0.6223;False;False;81.0047;81.0047;-0.0027;-0.0027;-75.1211;-75.1211;359.8613;359.8613;273.4167;273.4167;0.1460;0.1460;-0.0413;-0.0001;-0.0001;0.0007;0.0007;-0.0413;79101;69.91154;1059.90;80.3564;-86.7710;1.2061;1.0381;-75.6538;-83.8782;352.5716;352.4784;260.9267;79.4103;1.7887;359.7054;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.6357;-0.0247;0.0000
