AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.7700;0.0000;False;False;53.6000;53.6000;0.0461;0.0461;72.1999;72.1999;0.0027;0.0027;180.3439;180.3439;0.0000;0.0000; ; ; ; ; ; ;178133;68.96343;2469.87;54.1636;64.1086;1.2549;1.0982;71.5775;104.5267;352.6777;352.5088;167.8761;237.9099;1.6142;359.7073;;;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.3, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.0, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.0000;0.0024;-0.0473
0.8491;0.0000;False;False;53.5999;53.5999;0.0461;0.0461;72.1910;72.1910;359.9799;359.9799;180.3458;180.3458;0.0001;0.0001;-0.0014;-0.0006;-0.0006;-0.1928;-0.1928;-0.0014;178137;47.31339;2469.97;54.1636;64.1086;1.2550;1.0982;71.5749;104.5267;352.6688;352.5079;167.8769;237.9102;1.6162;359.7072;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.4, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.1, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.0999;0.0024;-0.0476
0.9198;0.0000;False;False;53.5998;53.5998;0.0461;0.0461;72.1706;72.1706;359.9502;359.9502;180.3469;180.3469;0.0002;0.0002;-0.0026;-0.0007;-0.0007;-0.3631;-0.3631;-0.0026;178143;65.13007;2470.04;54.1634;64.1086;1.2553;1.0982;71.5541;104.5268;352.6323;352.5072;167.8775;237.9109;1.6244;359.7071;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.1, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.1760;0.0024;-0.0508
0.9526;0.0000;False;False;53.5996;53.5996;0.0460;0.0460;72.1415;72.1415;359.9242;359.9242;180.3482;180.3482;0.0002;0.0002;-0.0035;-0.0007;-0.0007;-0.4979;-0.4979;-0.0035;178148;71.23316;2470.11;54.1632;64.1086;1.2556;1.0982;71.5269;104.5268;352.6055;352.5070;167.8780;237.9106;1.6305;359.7071;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.2, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.2441;0.0024;-0.0560
0.9720;0.0000;False;False;53.5993;53.5993;0.0460;0.0460;72.1004;72.1004;359.9008;359.9008;180.3500;180.3500;0.0003;0.0003;-0.0049;-0.0006;-0.0006;-0.6828;-0.6828;-0.0049;178153;71.55864;2470.18;54.1629;64.1086;1.2558;1.0982;71.4887;104.5268;352.5822;352.5067;167.8790;237.9108;1.6358;359.7070;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.3, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.2, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.3147;0.0024;-0.0640
0.9835;0.0000;False;False;53.5989;53.5989;0.0459;0.0459;72.0479;72.0479;359.8824;359.8824;180.3523;180.3523;0.0003;0.0003;-0.0059;-0.0005;-0.0005;-0.8238;-0.8238;-0.0059;178158;71.48103;2470.25;54.1625;64.1086;1.2559;1.0982;71.4392;104.5267;352.5634;352.5064;167.8806;237.9113;1.6400;359.7070;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.3, 0.7, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.2, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.3848;0.0024;-0.0721
0.9902;0.0000;False;False;53.5985;53.5985;0.0459;0.0459;71.9834;71.9834;359.8682;359.8682;180.3551;180.3551;0.0004;0.0004;-0.0073;-0.0004;-0.0004;-1.0135;-1.0135;-0.0073;178163;70.81416;2470.32;54.1621;64.1086;1.2561;1.0981;71.3783;104.5267;352.5490;352.5064;167.8828;237.9120;1.6433;359.7070;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.3, 0.7, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.2, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.4556;0.0024;-0.0771
0.9942;0.0000;False;False;53.5979;53.5979;0.0459;0.0459;71.9085;71.9085;359.8579;359.8579;180.3583;180.3583;0.0004;0.0004;-0.0083;-0.0003;-0.0003;-1.1566;-1.1566;-0.0083;178168;71.60072;2470.39;54.1615;64.1086;1.2562;1.0981;71.3050;104.5267;352.5381;352.5064;167.8856;237.9123;1.6458;359.7070;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.2, 0.7, -0.6, 0.4)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.2, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.5249;0.0024;-0.0793
0.9966;0.0153;False;False;53.5973;53.5973;0.0459;0.0459;71.8208;71.8208;359.8502;359.8502;180.3620;180.3620;0.0005;0.0005;-0.0098;-0.0002;-0.0002;-1.3478;-1.3478;-0.0098;178173;71.40681;2470.46;54.1609;64.1085;1.2562;1.0981;71.2201;104.5267;352.5302;352.5063;167.8890;237.9120;1.6476;359.7069;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.2, 0.7, -0.6, 0.4)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.2, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.5955;0.0024;-0.0818
0.9980;0.0647;False;False;53.5966;53.5966;0.0458;0.0458;71.7235;71.7235;359.8447;359.8447;180.3661;180.3661;0.0006;0.0006;-0.0109;-0.0002;-0.0002;-1.4915;-1.4915;-0.0109;178178;72.80635;2470.53;54.1601;64.1084;1.2563;1.0982;71.1237;104.5266;352.5244;352.5060;167.8929;237.9126;1.6489;359.7069;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.4)_(0.8, 0.5, 0.0, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.2, 0.7, -0.6, 0.4)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.2, -0.7, -0.4, 0.6)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(0.1, 0.7, 0.4, -0.5)_1.020326_System.String[];0.6643;0.0024;-0.0869
