AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;81.0090;81.0090;-0.0144;-0.0144;-75.1198;-75.1198;359.8112;359.8112;273.3842;273.3842;0.1489;0.1489; ; ; ; ; ; ;191241;71.92726;2673.63;80.7149;-87.4168;1.1280;1.4560;-75.5907;-84.4701;354.0894;352.4729;234.4823;77.9970;4.9394;359.8903;;;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.7, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.0000;0.0019;0.0019
0.0000;0.0000;False;False;81.0091;81.0091;-0.0090;-0.0090;-75.1200;-75.1200;359.8433;359.8433;273.3878;273.3878;0.1480;0.1480;-0.0007;0.0518;0.0518;-0.0016;-0.0016;-0.0007;191246;68.0078;2673.71;80.7143;-87.4163;1.1336;1.4599;-75.5908;-84.4700;354.1155;352.4955;234.4873;77.9976;4.9170;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.7, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.0801;0.0019;0.0019
0.0125;0.0000;False;False;81.0092;81.0092;-0.0061;-0.0061;-75.1201;-75.1201;359.8603;359.8603;273.3908;273.3908;0.1475;0.1475;0.0004;0.0295;0.0295;-0.0016;-0.0016;0.0004;191251;68.9239;2673.78;80.7140;-87.4160;1.1367;1.4620;-75.5909;-84.4699;354.1298;352.5066;234.4918;77.9976;4.9048;359.8908;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.2, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.7, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.1516;0.0019;0.0019
0.0344;0.0000;False;False;81.0091;81.0091;-0.0044;-0.0044;-75.1202;-75.1202;359.8691;359.8691;273.3944;273.3944;0.1473;0.1473;-0.0032;0.0185;0.0185;-0.0013;-0.0013;-0.0032;191256;66.49256;2673.86;80.7138;-87.4159;1.1386;1.4632;-75.5909;-84.4699;354.1375;352.5121;234.4963;77.9968;4.8982;359.8909;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.2, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.7, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.2263;0.0019;0.0019
0.1120;0.0000;False;False;81.0084;81.0084;-0.0034;-0.0034;-75.1203;-75.1203;359.8715;359.8715;273.3988;273.3988;0.1471;0.1471;-0.0157;0.0093;0.0093;-0.0005;-0.0005;-0.0157;191262;72.83825;2673.94;80.7131;-87.4159;1.1398;1.4639;-75.5910;-84.4699;354.1406;352.5142;234.5005;77.9954;4.8954;359.8909;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.3, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.2, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.7, 0.2)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.3035;0.0019;0.0019
0.2229;0.0000;False;False;81.0066;81.0066;-0.0029;-0.0029;-75.1203;-75.1203;359.8693;359.8693;273.4041;273.4041;0.1469;0.1469;-0.0421;0.0042;0.0042;0.0011;0.0011;-0.0421;191267;72.78536;2674.01;80.7115;-87.4158;1.1403;1.4642;-75.5910;-84.4698;354.1392;352.5137;234.5060;77.9960;4.8964;359.8909;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.3, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, 0.0)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.2)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.3733;0.0019;0.0019
0.3758;0.0000;False;False;81.0023;81.0023;-0.0027;-0.0027;-75.1201;-75.1201;359.8626;359.8626;273.4088;273.4088;0.1468;0.1468;-0.0837;0.0020;0.0020;0.0036;0.0036;-0.0837;191272;72.27687;2674.08;80.7078;-87.4157;1.1406;1.4643;-75.5908;-84.4698;354.1346;352.5126;234.5103;77.9947;4.8998;359.8909;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.2, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.2)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.4434;0.0018;0.0019
0.4872;0.0000;False;False;80.9938;80.9938;-0.0026;-0.0026;-75.1197;-75.1197;359.8517;359.8517;273.4130;273.4130;0.1466;0.1466;-0.1612;0.0005;0.0005;0.0083;0.0083;-0.1612;191277;71.45506;2674.15;80.7005;-87.4156;1.1407;1.4644;-75.5905;-84.4698;354.1266;352.5113;234.5137;77.9955;4.9062;359.8909;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.2)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.5139;0.0018;0.0019
0.5561;0.0217;False;False;80.9785;80.9785;-0.0026;-0.0026;-75.1189;-75.1189;359.8367;359.8367;273.4176;273.4176;0.1464;0.1464;-0.2603;-0.0001;-0.0001;0.0142;0.0142;-0.2603;191282;69.55782;2674.22;80.6866;-87.4155;1.1408;1.4644;-75.5897;-84.4698;354.1151;352.5104;234.5174;77.9945;4.9152;359.8909;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.2)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.5896;0.0018;0.0019
0.6408;0.1125;False;False;80.9578;80.9578;-0.0026;-0.0026;-75.1177;-75.1177;359.8226;359.8226;273.4224;273.4224;0.1461;0.1461;-0.3439;-0.0003;-0.0003;0.0193;0.0193;-0.3439;191287;71.57037;2674.29;80.6672;-87.4153;1.1409;1.4644;-75.5886;-84.4697;354.1038;352.5091;234.5212;77.9926;4.9241;359.8909;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.6592;0.0018;0.0019
