AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.1262;0.0000;False;False;53.6000;53.6000;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0000;0.0000; ; ; ; ; ; ;112928;72.33093;1559.30;54.0829;64.1282;1.1900;1.5247;71.9274;105.3468;354.1487;352.5015;141.4665;236.4974;4.6988;359.8913;;;HandLeft_(0.1, -0.4, -0.1)_(-0.7, -0.5, 0.2, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.5, -0.4, 0.7)_1.086072_System.String[];0.0000;-0.0085;-0.0396
0.1265;-0.4500;False;False;53.6000;53.6000;0.0461;0.0461;72.1991;72.1991;-0.0016;-0.0016;180.3435;180.3435;0.0000;0.0000;-0.0001;0.0000;0.0000;-0.0243;-0.0243;-0.0001;112933;67.00996;1559.38;54.0829;64.1282;1.1900;1.5247;71.9269;105.3468;354.1476;352.5014;141.4662;236.4974;4.6997;359.8912;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.4, -0.1)_(-0.7, -0.5, 0.2, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.5, -0.4, 0.7)_1.086072_System.String[];0.0808;-0.0085;0.0000
0.1267;0.0295;False;False;53.6000;53.6000;0.0461;0.0461;72.1967;72.1967;-0.0056;-0.0056;180.3437;180.3437;-0.0001;-0.0001;-0.0001;-0.0001;-0.0001;-0.0416;-0.0416;-0.0001;112938;70.23634;1559.45;54.0829;64.1281;1.1900;1.5247;71.9249;105.3467;354.1444;352.5011;141.4653;236.4974;4.7023;359.8912;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.4, -0.1)_(-0.7, -0.5, 0.2, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.5, -0.4, 0.7)_1.086072_System.String[];0.1505;-0.0085;-0.0402
0.1268;0.0174;False;False;53.6000;53.6000;0.0461;0.0461;72.1929;72.1929;359.9906;359.9906;180.3423;180.3423;-0.0001;-0.0001;-0.0002;-0.0001;-0.0001;-0.0668;-0.0668;-0.0002;112943;71.38145;1559.53;54.0828;64.1277;1.1900;1.5248;71.9215;105.3464;354.1415;352.5001;141.4647;236.4977;4.7046;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.4, -0.1)_(-0.7, -0.5, 0.2, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.5, -0.4, 0.7)_1.086072_System.String[];0.2213;-0.0085;-0.0402
0.1269;0.0103;False;False;53.6000;53.6000;0.0461;0.0461;72.1877;72.1877;359.9875;359.9875;180.3420;180.3420;-0.0001;-0.0001;-0.0002;-0.0001;-0.0001;-0.0836;-0.0836;-0.0002;112948;71.63334;1559.59;54.0828;64.1271;1.1901;1.5248;71.9166;105.3460;354.1388;352.4995;141.4633;236.4964;4.7067;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.4, -0.1)_(-0.7, -0.5, 0.2, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.6, -0.4, 0.7)_1.086072_System.String[];0.2903;-0.0085;-0.0407
0.1269;0.0061;False;False;53.6000;53.6000;0.0461;0.0461;72.1811;72.1811;359.9854;359.9854;180.3394;180.3394;-0.0001;-0.0001;-0.0003;-0.0001;-0.0001;-0.1047;-0.1047;-0.0003;112953;70.74146;1559.66;54.0828;64.1264;1.1901;1.5248;71.9104;105.3455;354.1370;352.4992;141.4613;236.4941;4.7082;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.4, -0.1)_(-0.7, -0.5, 0.2, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.5, -0.4, 0.7)_1.086072_System.String[];0.3606;-0.0085;-0.0421
0.1302;0.0036;False;False;53.5999;53.5999;0.0461;0.0461;72.1731;72.1731;359.9841;359.9841;180.3383;180.3383;-0.0001;-0.0001;-0.0003;0.0000;0.0000;-0.1222;-0.1222;-0.0003;112958;70.21956;1559.73;54.0828;64.1256;1.1901;1.5248;71.9028;105.3449;354.1359;352.4992;141.4601;236.4933;4.7090;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.4, -0.1)_(-0.8, -0.5, 0.2, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.5, -0.4, 0.7)_1.086072_System.String[];0.4308;-0.0085;-0.0438
0.1321;0.0021;False;False;53.5999;53.5999;0.0461;0.0461;72.1637;72.1637;359.9829;359.9829;180.3371;180.3371;-0.0002;-0.0002;-0.0004;0.0000;0.0000;-0.1456;-0.1456;-0.0004;112963;70.28968;1559.80;54.0828;64.1248;1.1901;1.5248;71.8938;105.3444;354.1350;352.4997;141.4588;236.4936;4.7098;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.4, -0.1)_(-0.8, -0.5, 0.2, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.5, -0.4, 0.7)_1.086072_System.String[];0.5007;-0.0085;-0.0449
0.1333;0.0013;False;False;53.5999;53.5999;0.0461;0.0461;72.1525;72.1525;359.9819;359.9819;180.3349;180.3349;-0.0002;-0.0002;-0.0004;0.0000;0.0000;-0.1648;-0.1648;-0.0004;112968;71.50327;1559.88;54.0828;64.1239;1.1901;1.5248;71.8819;105.3437;354.1341;352.5001;141.4567;236.4914;4.7105;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.4, -0.1)_(-0.8, -0.5, 0.2, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.5, -0.4, 0.7)_1.086072_System.String[];0.5732;-0.0085;-0.0451
0.1339;0.0007;False;False;53.5999;53.5999;0.0461;0.0461;72.1398;72.1398;359.9807;359.9807;180.3336;180.3336;-0.0002;-0.0002;-0.0005;0.0000;0.0000;-0.1894;-0.1894;-0.0005;112973;71.68608;1559.95;54.0828;64.1231;1.1901;1.5247;71.8705;105.3431;354.1332;352.5004;141.4553;236.4901;4.7112;359.8912;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.4, -0.1)_(-0.8, -0.5, 0.2, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.7, 0.4, -0.5, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(-0.1, -0.5, -0.4, 0.7)_1.086072_System.String[];0.6445;-0.0085;-0.0451
