AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0028;0.4521;False;False;-131.7000;-131.7000;-0.0139;-0.0139;-68.6000;-68.6000;0.0007;0.0007;85.1925;85.1925;0.0000;0.0000; ; ; ; ; ; ;204651;70.72642;2864.50;-131.4719;53.9119;1.1300;1.4737;-68.0946;-115.6778;354.1487;352.9388;46.3150;306.6813;4.6988;0.1031;;;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.4, 0.3, -0.5)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.7, 0.3, -0.6, -0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(-0.1, -0.8, -0.5, 0.4)_0.9334885_System.String[];HandRight_(0.6, -0.8, 0.1)_(-0.3, -0.6, -0.3, 0.7)_1.086072_System.String[];0.0000;-0.0549;0.0418
0.0019;0.3599;False;False;-131.7000;-131.7000;-0.0139;-0.0139;-68.6000;-68.6000;0.0008;0.0008;85.1917;85.1917;0.0000;0.0000;-0.0007;0.0000;0.0000;-0.0001;-0.0001;-0.0007;204655;59.89525;2864.58;-131.4719;53.9111;1.1300;1.4738;-68.0946;-115.6772;354.1487;352.9351;46.3147;306.6825;4.6988;0.1030;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.3, 0.3, -0.5)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.7, 0.3, -0.6, -0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(-0.1, -0.8, -0.5, 0.4)_0.9334885_System.String[];HandRight_(0.6, -0.8, 0.1)_(-0.3, -0.6, -0.3, 0.7)_1.086072_System.String[];0.0750;-0.0549;0.0418
0.0010;0.2171;False;False;-131.7000;-131.7000;-0.0139;-0.0139;-68.6000;-68.6000;0.0005;0.0005;85.1914;85.1914;0.0000;0.0000;0.0012;0.0000;0.0000;0.0002;0.0002;0.0012;204661;64.54209;2864.66;-131.4719;53.9054;1.1300;1.4738;-68.0946;-115.6730;354.1487;352.9211;46.3139;306.6874;4.6989;0.1032;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.3, 0.3, -0.5)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.7, 0.3, -0.6, -0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(-0.1, -0.8, -0.5, 0.4)_0.9334885_System.String[];HandRight_(0.6, -0.8, 0.1)_(-0.3, -0.6, -0.3, 0.7)_1.086072_System.String[];0.1575;-0.0549;0.0418
0.0006;0.1282;False;False;-131.6999;-131.6999;-0.0139;-0.0139;-68.6000;-68.6000;0.0005;0.0005;85.1924;85.1924;0.0000;0.0000;-0.0001;0.0000;0.0000;0.0000;0.0000;-0.0001;204666;66.92416;2864.73;-131.4718;53.8977;1.1300;1.4737;-68.0946;-115.6673;354.1485;352.9124;46.3145;306.6954;4.6990;0.1035;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.3, 0.3, -0.5)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.7, 0.3, -0.5, -0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(-0.1, -0.8, -0.5, 0.4)_0.9334885_System.String[];HandRight_(0.6, -0.8, 0.1)_(-0.3, -0.6, -0.3, 0.7)_1.086072_System.String[];0.2263;-0.0549;0.0418
0.0003;0.0681;False;False;-131.6998;-131.6998;-0.0139;-0.0139;-68.6000;-68.6000;0.0006;0.0006;85.1916;85.1916;0.0000;0.0000;-0.0004;0.0000;0.0000;-0.0001;-0.0001;-0.0004;204672;72.17088;2864.81;-131.4718;53.8861;1.1300;1.4736;-68.0946;-115.6586;354.1487;352.9081;46.3146;306.7056;4.6989;0.1037;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.3, 0.3, -0.6)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.8, 0.3, -0.5, -0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.0, -0.8, -0.5, 0.4)_0.9334885_System.String[];HandRight_(0.6, -0.8, 0.1)_(-0.2, -0.6, -0.3, 0.7)_1.086072_System.String[];0.3040;-0.0549;0.0416
0.0002;0.0821;False;False;-131.6998;-131.6998;-0.0139;-0.0139;-68.6000;-68.6000;0.0006;0.0006;85.1895;85.1895;0.0000;0.0000;0.0008;0.0000;0.0000;0.0001;0.0001;0.0008;204677;60.65821;2864.89;-131.4717;53.8751;1.1300;1.4735;-68.0946;-115.6504;354.1487;352.9088;46.3125;306.7144;4.6989;0.1037;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.3, 0.3, -0.6)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.8, 0.3, -0.5, -0.2)_1.086072_System.String[];HandRight_(0.2, -0.2, 0.1)_(0.0, -0.8, -0.5, 0.3)_0.9334885_System.String[];HandRight_(0.6, -0.8, 0.1)_(-0.3, -0.6, -0.3, 0.7)_1.086072_System.String[];0.3865;-0.0549;0.0390
0.0001;0.1199;False;False;-131.6997;-131.6997;-0.0139;-0.0139;-68.6000;-68.6000;0.0007;0.0007;85.1891;85.1891;0.0000;0.0000;0.0013;0.0000;0.0000;0.0001;0.0001;0.0013;204683;70.70707;2864.97;-131.4717;53.8601;1.1300;1.4734;-68.0946;-115.6393;354.1487;352.9117;46.3115;306.7253;4.6988;0.1037;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.3, 0.3, -0.6)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.8, 0.3, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.2, -0.3, 0.0)_(0.0, -0.8, -0.5, 0.3)_0.9334885_System.String[];HandRight_(0.6, -0.8, 0.1)_(-0.3, -0.6, -0.3, 0.7)_1.086072_System.String[];0.4629;-0.0549;0.0309
0.0001;0.1395;False;False;-131.6996;-131.6996;-0.0139;-0.0139;-68.6000;-68.6000;0.0004;0.0004;85.1889;85.1889;0.0000;0.0000;0.0025;0.0000;0.0000;0.0003;0.0003;0.0025;204688;71.24196;2865.04;-131.4715;53.8469;1.1300;1.4733;-68.0946;-115.6295;354.1486;352.9133;46.3112;306.7334;4.6989;0.1034;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.3, 0.3, -0.6)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.8, 0.2, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.0, -0.8, -0.5, 0.4)_0.9334885_System.String[];HandRight_(0.7, -0.7, 0.1)_(-0.2, -0.6, -0.3, 0.7)_1.086072_System.String[];0.5332;-0.0549;0.0188
0.0000;0.1523;False;False;-131.6996;-131.6996;-0.0139;-0.0139;-68.6000;-68.6000;0.0007;0.0007;85.1901;85.1901;0.0000;0.0000;0.0006;0.0000;0.0000;0.0001;0.0001;0.0006;204693;60.97564;2865.12;-131.4715;53.8326;1.1300;1.4731;-68.0946;-115.6190;354.1487;352.9132;46.3122;306.7388;4.6989;0.1029;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.3, 0.3, -0.6)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.8, 0.2, -0.6, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.0, -0.8, -0.5, 0.4)_0.9334885_System.String[];HandRight_(0.7, -0.7, 0.1)_(-0.2, -0.6, -0.4, 0.7)_1.086072_System.String[];0.6152;-0.0549;0.0062
0.0000;0.1620;False;False;-131.6995;-131.6995;-0.0139;-0.0139;-68.6000;-68.6000;0.0007;0.0007;85.1916;85.1916;0.0000;0.0000;-0.0002;0.0000;0.0000;0.0000;0.0000;-0.0002;204699;71.97482;2865.19;-131.4714;53.8122;1.1300;1.4730;-68.0946;-115.6042;354.1487;352.9119;46.3144;306.7413;4.6988;0.1021;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.7, -0.3, 0.3, -0.5)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.1)_(0.8, 0.2, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.0, -0.8, -0.5, 0.4)_0.9334885_System.String[];HandRight_(0.7, -0.7, 0.1)_(-0.2, -0.6, -0.4, 0.7)_1.086072_System.String[];0.6899;-0.0549;-0.0005
