AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.1506;-0.4801;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0024;0.0024;208.4238;208.4238;0.0000;0.0000; ; ; ; ; ; ;127051;71.22074;1689.70;82.4206;107.6564;1.1860;1.1539;24.9281;69.3652;352.6880;352.5079;221.2668;219.4735;358.3380;359.7154;;;HandLeft_(-0.3, -0.4, -0.2)_(0.7, 0.5, -0.5, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.2, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9022688_System.String[];0.0000;-0.0001;-0.0077
0.2094;-0.4801;False;False;82.1996;82.1996;-0.0139;-0.0139;25.1992;25.1992;-0.0009;-0.0009;208.4249;208.4249;0.0000;0.0000;-0.0116;-0.0003;-0.0003;-0.0214;-0.0214;-0.0116;127056;68.63777;1689.78;82.4204;107.6564;1.1860;1.1539;24.9276;69.3652;352.6857;352.5072;221.2682;219.4735;358.3374;359.7154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.7, 0.5, -0.5, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9022688_System.String[];0.0781;-0.0001;-0.0077
0.2922;-0.4801;False;False;82.1980;82.1980;-0.0139;-0.0139;25.1962;25.1962;359.9924;359.9924;208.4253;208.4253;0.0000;0.0000;-0.0328;-0.0003;-0.0003;-0.0606;-0.0606;-0.0328;127061;69.74357;1689.85;82.4191;107.6564;1.1860;1.1539;24.9253;69.3652;352.6798;352.5068;221.2683;219.4735;358.3361;359.7154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9022688_System.String[];0.1481;-0.0001;-0.0077
0.3513;-0.4801;False;False;82.1949;82.1949;-0.0139;-0.0139;25.1905;25.1905;359.9836;359.9836;208.4266;208.4266;0.0000;0.0000;-0.0543;-0.0003;-0.0003;-0.1003;-0.1003;-0.0543;127066;70.57314;1689.92;82.4164;107.6564;1.1860;1.1539;24.9204;69.3652;352.6715;352.5065;221.2695;219.4735;358.3342;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2174;-0.0001;-0.0077
0.4171;-0.4801;False;False;82.1898;82.1898;-0.0139;-0.0139;25.1811;25.1811;359.9734;359.9734;208.4270;208.4270;0.0000;0.0000;-0.0885;-0.0003;-0.0003;-0.1636;-0.1636;-0.0885;127071;70.75648;1689.99;82.4119;107.6564;1.1860;1.1539;24.9121;69.3652;352.6619;352.5063;221.2709;219.4735;358.3320;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.7, 0.5, -0.4, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2869;-0.0001;-0.0077
0.5175;-0.4801;False;False;82.1825;82.1825;-0.0140;-0.0140;25.1675;25.1675;359.9629;359.9629;208.4266;208.4266;0.0000;0.0000;-0.1187;-0.0003;-0.0003;-0.2193;-0.2193;-0.1187;127076;70.22425;1690.06;82.4053;107.6564;1.1860;1.1539;24.8998;69.3652;352.6518;352.5062;221.2707;219.4735;358.3297;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.3571;-0.0001;-0.0077
0.6247;-0.4801;False;False;82.1724;82.1724;-0.0140;-0.0140;25.1489;25.1489;359.9513;359.9513;208.4266;208.4266;0.0000;0.0000;-0.1692;-0.0003;-0.0003;-0.3127;-0.3127;-0.1692;127081;70.49832;1690.13;82.3959;107.6564;1.1860;1.1539;24.8825;69.3652;352.6407;352.5061;221.2710;219.4735;358.3271;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.7, 0.6, -0.4, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.4266;-0.0001;-0.0077
0.7159;-0.4801;False;False;82.1587;82.1587;-0.0140;-0.0140;25.1237;25.1237;359.9381;359.9381;208.4265;208.4265;0.0000;0.0000;-0.2141;-0.0003;-0.0003;-0.3956;-0.3956;-0.2141;127086;69.92364;1690.20;82.3831;107.6564;1.1860;1.1539;24.8589;69.3652;352.6281;352.5061;221.2713;219.4735;358.3242;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.7, 0.6, -0.4, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.4972;-0.0001;-0.0077
0.7912;-0.4801;False;False;82.1411;82.1411;-0.0140;-0.0140;25.0912;25.0912;359.9241;359.9241;208.4265;208.4265;0.0000;0.0000;-0.2816;-0.0003;-0.0003;-0.5203;-0.5203;-0.2816;127091;70.07281;1690.27;82.3667;107.6564;1.1860;1.1539;24.8285;69.3652;352.6147;352.5061;221.2716;219.4735;358.3211;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.5673;-0.0001;-0.0077
0.8458;-0.4762;False;False;82.1196;82.1196;-0.0140;-0.0140;25.0514;25.0514;359.9103;359.9103;208.4264;208.4264;0.0000;0.0000;-0.3367;-0.0003;-0.0003;-0.6221;-0.6221;-0.3367;127096;70.80933;1690.34;82.3460;107.6564;1.1861;1.1539;24.7902;69.3652;352.6010;352.5061;221.2720;219.4735;358.3180;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.8, 0.5, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.3, -0.3)_(-0.3, -0.2, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.6366;-0.0001;-0.0077
