ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;-0.2341;-0.1266;80.6788;-84.9843;-75.682;78.1863;-0.0016;-0.0337
0.0693;-0.2341;-0.2815;80.6789;-84.9843;-75.682;78.1864;-0.0016;-0.0337
0.1387;-0.2341;-0.2816;80.6789;-84.9843;-75.682;78.1864;-0.0016;-0.0337
0.2085;-0.2381;-0.1785;80.6789;-84.9843;-75.682;78.1864;-0.0016;-0.0337
0.2783;-0.2381;-0.1388;80.6789;-84.9843;-75.682;78.1864;-0.0016;-0.0337
0.3479;-0.2381;0.0;80.6789;-84.9843;-75.682;78.1864;-0.0016;-0.0337
0.4172;-0.2381;0.0;80.6789;-84.9842;-75.682;78.1863;-0.0016;-0.0337
0.4868;-0.2341;0.0;80.6789;-84.9842;-75.682;78.1863;-0.0016;-0.0337
0.5566;-0.2341;0.0;80.6789;-84.9842;-75.682;78.1863;-0.0016;-0.0337
0.6265;-0.2262;0.0;80.6789;-84.9842;-75.682;78.1863;-0.0016;-0.034
0.696;-0.127;0.0;80.6789;-84.9842;-75.682;78.1863;-0.0016;-0.0346
0.7656;0.0;0.0;80.6789;-84.9842;-75.682;78.1863;-0.0016;-0.0348
0.835;0.0;0.0065;80.6789;-84.9842;-75.6821;78.1863;-0.0016;-0.0348
0.9045;0.0;0.0338;80.679;-84.9842;-75.6821;78.1863;-0.0016;-0.0354
0.9746;0.0;0.0534;80.679;-84.984;-75.6822;78.186;-0.0016;-0.0384
1.0452;0.0;0.0587;80.679;-84.9835;-75.6823;78.1852;-0.0016;-0.0412
1.1147;0.0;0.0672;80.6791;-84.9827;-75.6824;78.1838;-0.0016;-0.0434
1.1841;0.0;0.0738;80.6791;-84.9815;-75.6825;78.182;-0.0016;-0.045
1.2537;0.0;0.0788;80.6793;-84.9798;-75.6826;78.1793;-0.0016;-0.0457
1.3235;0.0;0.0823;80.6793;-84.9777;-75.6827;78.176;-0.0016;-0.0457
1.395;0.0;0.0815;80.6794;-84.9751;-75.6828;78.1719;-0.0016;-0.0457
1.4646;0.0;0.0786;80.6796;-84.972;-75.6829;78.167;-0.0016;-0.0457
1.5342;0.0;0.0741;80.6798;-84.9685;-75.683;78.1615;-0.0016;-0.0457
1.6038;0.0;0.0746;80.68;-84.9646;-75.6831;78.1553;-0.0016;-0.0457
1.6738;0.0157;0.0749;80.6802;-84.9603;-75.6832;78.1485;-0.0016;-0.0458
1.7432;0.0239;0.0774;80.6803;-84.9556;-75.6833;78.1411;-0.0016;-0.0479
1.813;0.0287;0.0916;80.6802;-84.9504;-75.6834;78.133;-0.0016;-0.0519
1.8823;0.0334;0.1178;80.6797;-84.9448;-75.6835;78.1242;-0.0016;-0.0566
1.9519;0.0402;0.1601;80.679;-84.9385;-75.6836;78.1144;-0.0016;-0.0606
2.0212;0.0606;0.233;80.6778;-84.9313;-75.6837;78.1032;-0.0016;-0.0638
2.0908;0.0764;0.2976;80.676;-84.923;-75.6837;78.0902;-0.0018;-0.0663
2.1606;0.0871;0.3378;80.6734;-84.9128;-75.6838;78.0746;-0.0018;-0.0697
2.2302;0.0937;0.356;80.6699;-84.9008;-75.6839;78.0561;-0.0018;-0.0758
2.2998;0.098;0.3617;80.6655;-84.8866;-75.684;78.0344;-0.0018;-0.087
2.3694;0.1124;0.3613;80.66;-84.8701;-75.6841;78.0095;-0.0018;-0.1046
2.4387;0.1354;0.3579;80.6533;-84.8513;-75.6842;77.9815;-0.0018;-0.1246
2.5083;0.1523;0.3596;80.6454;-84.8302;-75.6843;77.9507;-0.0018;-0.1402
2.5779;0.1663;0.3665;80.6358;-84.8066;-75.6844;77.9168;-0.0018;-0.1492
2.6475;0.1839;0.3776;80.6244;-84.7808;-75.6844;77.8801;-0.0018;-0.1528
2.7168;0.2032;0.3869;80.611;-84.7524;-75.6845;77.8403;-0.0018;-0.1565
2.7864;0.2159;0.396;80.5957;-84.7217;-75.6845;77.7974;-0.0018;-0.1624
2.8735;0.2256;0.4057;80.5768;-84.6864;-75.6846;77.7485;-0.0018;-0.1728
2.9749;0.2366;0.4175;80.5493;-84.6375;-75.6847;77.6821;-0.0018;-0.1828
3.0515;0.2518;0.4323;80.5152;-84.58;-75.6848;77.6051;-0.0018;-0.1861
3.1211;0.2632;0.4438;80.4881;-84.5361;-75.6848;77.5471;-0.0018;-0.1893
3.1909;0.2834;0.4491;80.4583;-84.4891;-75.685;77.4857;-0.0024;-0.1954
3.2603;0.3036;0.4477;80.4259;-84.4391;-75.6853;77.4212;-0.0041;-0.2064
3.3298;0.3194;0.4463;80.3905;-84.3857;-75.6854;77.3536;-0.0064;-0.2187
3.3997;0.3332;0.4512;80.3518;-84.3288;-75.6854;77.2829;-0.008;-0.2277
3.4692;0.3428;0.458;80.3099;-84.2688;-75.6854;77.2099;-0.0081;-0.2343
3.5391;0.3502;0.4673;80.2642;-84.2051;-75.6855;77.1337;-0.0081;-0.2408
3.6084;0.3682;0.4765;80.2152;-84.138;-75.6855;77.0551;-0.0081;-0.2479
