ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.0;0.0;80.8785;-87.1782;-75.7109;87.993;0.0014;0.0141
0.0728;0.0;0.0;80.8785;-87.1782;-75.7109;87.9931;0.0014;0.0141
0.1426;0.0;0.0;80.8786;-87.1782;-75.711;87.993;0.0014;0.0141
0.2124;0.0;0.0;80.8787;-87.1781;-75.7111;87.9929;0.0014;0.0141
0.2822;0.0096;0.0;80.8788;-87.1781;-75.7112;87.9928;0.0014;0.0141
0.3521;0.0589;0.0;80.8788;-87.1781;-75.7113;87.9927;0.0014;0.0141
0.4219;0.1022;0.0;80.8784;-87.178;-75.7114;87.9926;0.0014;0.0141
0.4912;0.137;0.0;80.877;-87.1779;-75.7114;87.9924;0.0014;0.0141
0.561;0.1627;0.0;80.8741;-87.1778;-75.7114;87.9921;0.0014;0.0141
0.6304;0.1805;0.0;80.8696;-87.1778;-75.7114;87.9918;0.0014;0.0141
0.6997;0.1911;0.0;80.863;-87.1776;-75.7113;87.9915;0.0014;0.0141
0.7695;0.1973;0.0;80.8543;-87.1775;-75.7111;87.9912;0.0014;0.0141
0.8535;0.2037;0.0;80.8432;-87.1774;-75.7108;87.9908;0.0014;0.0141
0.9321;0.2163;0.0;80.8301;-87.1773;-75.7105;87.9905;0.0014;0.0141
1.0054;0.2338;0.0044;80.8123;-87.1771;-75.7101;87.99;0.0014;0.0141
1.0854;0.2546;0.0346;80.7873;-87.1769;-75.7094;87.9894;0.0014;0.0141
1.1563;0.2861;0.0734;80.7651;-87.1766;-75.7088;87.9886;0.0014;0.0141
1.2256;0.3285;0.111;80.7405;-87.1761;-75.7082;87.9871;0.0014;0.0141
1.2974;0.3548;0.15;80.7116;-87.1753;-75.7074;87.9844;0.0014;0.0141
1.3667;0.3693;0.1824;80.6798;-87.1739;-75.7065;87.9804;0.0014;0.0141
1.4375;0.3746;0.2049;80.6435;-87.1718;-75.7055;87.9744;0.0014;0.0141
1.5088;0.3748;0.2199;80.6027;-87.169;-75.7043;87.966;0.0013;0.0141
1.5781;0.3719;0.229;80.5588;-87.1654;-75.703;87.9555;0.0013;0.016
1.6523;0.3655;0.2343;80.5077;-87.1607;-75.7015;87.9416;0.0013;0.0237
1.7236;0.3604;0.2375;80.4542;-87.1553;-75.7001;87.9255;0.0013;0.0344
1.793;0.3574;0.2394;80.3988;-87.1493;-75.6988;87.9073;0.0013;0.0434
1.8628;0.3557;0.2405;80.3399;-87.1426;-75.6974;87.8866;0.0013;0.0505
1.9326;0.3546;0.2411;80.2772;-87.135;-75.6959;87.8632;0.0013;0.0558
2.002;0.354;0.2415;80.2116;-87.1268;-75.6942;87.8374;0.0013;0.0588
2.0718;0.3537;0.2417;80.1426;-87.1179;-75.6921;87.8092;0.0006;0.0597
2.1416;0.3531;0.2419;80.07;-87.1082;-75.6898;87.7783;-0.0028;0.0597
2.2114;0.3515;0.2419;79.994;-87.0977;-75.6874;87.7451;-0.0081;0.0597
2.2813;0.3505;0.242;79.9147;-87.0865;-75.685;87.7094;-0.0126;0.0597
2.3516;0.35;0.242;79.8315;-87.0745;-75.6827;87.6711;-0.0152;0.0597
2.4214;0.3497;0.242;79.7455;-87.0618;-75.6805;87.6307;-0.0164;0.0597
2.4917;0.3495;0.242;79.6559;-87.0484;-75.6782;87.5877;-0.0166;0.0597
2.5615;0.3493;0.242;79.5635;-87.0344;-75.676;87.5427;-0.0168;0.0597
2.6313;0.3493;0.2434;79.4679;-87.0197;-75.6738;87.4954;-0.0181;0.0595
2.7007;0.3492;0.2445;79.3695;-87.0044;-75.6715;87.4459;-0.0201;0.0585
2.77;0.3508;0.2451;79.2682;-86.9884;-75.6693;87.3944;-0.0221;0.0561
2.8467;0.3518;0.2455;79.1554;-86.9704;-75.667;87.3362;-0.024;0.0524
2.9189;0.3523;0.2461;79.0419;-86.9521;-75.6648;87.2771;-0.0246;0.0471
2.9883;0.354;0.2477;78.9302;-86.9338;-75.6629;87.2182;-0.0246;0.0391
3.0581;0.3583;0.2486;78.8162;-86.9149;-75.6609;87.1577;-0.0246;0.0301
3.1274;0.3611;0.2492;78.6993;-86.8951;-75.6587;87.0952;-0.0253;0.0215
3.1982;0.3627;-0.2255;78.5778;-86.8742;-75.6558;87.0298;-0.0282;0.0
3.2681;0.3637;0.2645;78.4545;-86.8534;-75.6537;86.9653;-0.0323;0.014
3.3374;0.365;0.2585;78.3292;-86.8322;-75.6523;86.8999;-0.0358;0.014
3.4072;0.367;0.255;78.2005;-86.8102;-75.6514;86.832;-0.0374;0.014
3.4771;0.3708;0.253;78.0681;-86.7875;-75.6507;86.7616;-0.0381;0.0141
3.5469;0.3755;0.2521;77.9335;-86.7642;-75.6503;86.6895;-0.0393;0.0152
3.6162;0.3854;0.2529;77.7963;-86.7404;-75.6502;86.6156;-0.0416;0.0163
3.6855;0.396;0.2533;77.656;-86.716;-75.6504;86.5396;-0.0452;0.0165
3.7554;0.4029;0.2536;77.5116;-86.6908;-75.651;86.4612;-0.0499;0.0165
3.8252;0.408;0.2537;77.3649;-86.6652;-75.6521;86.3811;-0.054;0.0165
3.9077;0.4203;0.2538;77.2032;-86.637;-75.6539;86.2928;-0.0553;0.0165
3.9951;0.438;0.2538;77.0124;-86.6037;-75.6568;86.1884;-0.0542;0.0158
4.0757;0.4577;0.2539;76.8147;-86.5692;-75.6604;86.0803;-0.0538;0.0116
4.1479;0.475;0.2539;76.636;-86.5381;-75.6641;85.9831;-0.0538;0.001
4.2178;0.487;0.2539;76.4682;-86.5088;-75.668;85.8922;-0.054;-0.015
4.2871;0.4979;0.2539;76.2959;-86.4783;-75.6725;85.7997;-0.0553;-0.0303
4.3569;0.5051;0.2539;76.1187;-86.4466;-75.6776;85.7055;-0.059;-0.04
4.4277;0.5098;0.2539;75.9344;-86.4133;-75.6836;85.6083;-0.0619;-0.0433
4.4976;0.5152;0.2539;75.7492;-86.3797;-75.6904;85.5114;-0.0649;-0.0433
4.5669;0.5222;0.254;75.5588;-86.3452;-75.6982;85.4125;-0.0692;-0.0433
4.6367;0.5288;0.2584;75.364;-86.3099;-75.7072;85.3119;-0.0723;-0.0433
4.7065;0.5368;0.2725;75.1646;-86.2739;-75.7174;85.2097;-0.0725;-0.0433
4.7764;0.55;0.2997;74.9599;-86.237;-75.7288;85.1052;-0.0725;-0.0433
4.8457;0.571;0.3378;74.7517;-86.1994;-75.7414;84.9994;-0.0725;-0.0433
4.9155;0.5927;0.377;74.5383;-86.1607;-75.7552;84.891;-0.0725;-0.0433
4.9854;0.6083;0.4088;74.3188;-86.1206;-75.7703;84.7792;-0.0725;-0.0433
5.0547;0.6183;0.4347;74.0944;-86.0793;-75.7869;84.6644;-0.0725;-0.0433
5.124;0.6256;0.4524;73.8649;-86.0365;-75.8049;84.5462;-0.0725;-0.0433
5.1938;0.6301;0.4638;73.6297;-85.9921;-75.8244;84.424;-0.0725;-0.0433
5.2632;0.6328;0.4705;73.3889;-85.9461;-75.8456;84.298;-0.0725;-0.0433
5.3325;0.6344;0.4744;73.142;-85.8982;-75.8686;84.1677;-0.0725;-0.0431
5.4023;0.6354;0.4768;72.8896;-85.8487;-75.8933;84.0334;-0.0725;-0.0439
5.4756;0.6372;0.4758;72.6169;-85.7944;-75.9216;83.8872;-0.0725;-0.0486
5.5459;0.6386;0.4736;72.3504;-85.7404;-75.9507;83.7432;-0.0725;-0.055
5.6152;0.6394;0.4703;72.0811;-85.6849;-75.9815;83.5971;-0.0725;-0.0634
5.6846;0.6385;0.4619;71.8063;-85.6272;-76.0145;83.4474;-0.0719;-0.0736
5.7544;0.6354;0.4471;71.5261;-85.5671;-76.0498;83.2944;-0.071;-0.0823
5.8242;0.6303;0.4182;71.2394;-85.5043;-76.0875;83.1378;-0.071;-0.0922
5.8945;0.6205;0.3609;70.9436;-85.4382;-76.1281;82.9765;-0.071;-0.1095
5.9639;0.6093;0.2685;70.6477;-85.3706;-76.1705;82.8161;-0.0712;-0.1309
6.0337;0.5982;0.1738;70.347;-85.3005;-76.2154;82.6553;-0.0717;-0.1534
6.103;0.5872;0.1027;70.0403;-85.2278;-76.2633;82.4951;-0.0727;-0.1749
6.1729;0.5776;0.0606;69.7292;-85.1532;-76.3134;82.3371;-0.0761;-0.1935
6.2427;0.5698;0.0358;69.4137;-85.077;-76.3662;82.1827;-0.0802;-0.209
6.314;0.5652;0.0211;69.0849;-84.9973;-76.4253;82.0274;-0.0844;-0.2224
6.3833;0.5625;0.0125;68.7624;-84.9185;-76.4859;81.8799;-0.0887;-0.2322
6.4531;0.5593;0.0074;68.4376;-84.8388;-76.5498;81.736;-0.0931;-0.2408
6.5229;0.5574;0.0055;68.1083;-84.7578;-76.6177;81.5948;-0.0954;-0.2499
6.5923;0.5552;0.0127;67.7776;-84.6764;-76.6892;81.4577;-0.0956;-0.2587
6.6616;0.5489;0.0199;67.4436;-84.5941;-76.7647;81.3239;-0.0965;-0.2651
6.7314;0.5256;0.0304;67.107;-84.511;-76.8443;81.1932;-0.102;-0.2683
6.8008;0.4886;0.0526;66.768;-84.4272;-76.9263;81.0654;-0.1103;-0.2684
