ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.0;0.0;80.5532;79.6221;-76.3614;87.5755;-0.0391;0.0079
0.0471;0.0;0.0;80.5528;79.622;-76.3613;87.5754;-0.0391;0.0079
0.0888;0.0;0.0;80.5522;79.6216;-76.3612;87.5752;-0.0391;0.0079
0.1308;0.0;0.0;80.5516;79.6211;-76.3611;87.5749;-0.0391;0.0079
0.1724;0.0;0.0;80.5509;79.6206;-76.361;87.5746;-0.0391;0.0079
0.2144;0.0;0.0;80.5502;79.6201;-76.3609;87.5744;-0.0391;0.0079
0.2563;0.0;0.0;80.5496;79.6196;-76.3608;87.5741;-0.0391;0.0079
0.298;0.0;0.0;80.5491;79.6191;-76.3608;87.5739;-0.0391;0.0079
0.3396;0.0;0.0;80.5487;79.6188;-76.3607;87.5737;-0.0391;0.0079
0.3813;0.0;0.0;80.5484;79.6184;-76.3607;87.5735;-0.0391;0.0079
0.423;0.0;0.0;80.5482;79.6182;-76.3606;87.5734;-0.0393;0.0079
0.4647;0.0;0.0;80.5481;79.618;-76.3606;87.5733;-0.0395;0.0079
0.5065;0.0;0.0;80.5481;79.6178;-76.3606;87.5732;-0.0396;0.0079
0.5485;0.0;0.0;80.5481;79.6177;-76.3606;87.5731;-0.0396;0.0079
0.5904;0.0;0.0;80.5482;79.6176;-76.3606;87.5731;-0.0396;0.0079
0.632;0.0;0.0;80.5483;79.6176;-76.3606;87.573;-0.0396;0.0079
0.6739;0.0;0.0012;80.5485;79.6175;-76.3606;87.573;-0.0396;0.0079
0.7156;0.0;0.0074;80.5487;79.6175;-76.3607;87.573;-0.0396;0.0079
0.7573;0.0;0.0151;80.549;79.6174;-76.3607;87.5729;-0.0396;0.0079
0.7989;0.0;0.0218;80.5492;79.6173;-76.3607;87.5729;-0.0396;0.0079
0.8412;0.0;0.0266;80.5495;79.6171;-76.3608;87.5728;-0.0396;0.0079
0.8828;0.0;0.0294;80.5498;79.6169;-76.3608;87.5727;-0.0396;0.0079
0.9249;0.0;0.0315;80.5502;79.6166;-76.3609;87.5725;-0.0396;0.0079
0.9669;0.0;0.0367;80.5505;79.6162;-76.3609;87.5723;-0.0396;0.0079
1.0085;0.0;0.0452;80.5509;79.6156;-76.361;87.572;-0.0396;0.0079
1.0502;0.0;0.06;80.5512;79.6149;-76.3611;87.5716;-0.0396;0.0079
