ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;-0.4603;0.0;80.9972;-87.1433;-75.757;87.8246;0.0255;0.0193
0.0479;-0.4603;0.0;80.9994;-87.1439;-75.7572;87.8263;0.0255;0.0193
0.0896;-0.4603;0.0;81.0008;-87.1442;-75.7572;87.8273;0.0255;0.0193
0.1311;-0.4603;0.0;81.0016;-87.1444;-75.7573;87.8278;0.0255;0.0193
0.1729;-0.4603;0.0;81.0019;-87.1445;-75.7573;87.8279;0.0255;0.0193
0.2146;-0.4444;0.0;81.0018;-87.1443;-75.7574;87.8277;0.0255;0.0193
0.2561;-0.3333;0.0;81.0013;-87.1442;-75.7574;87.8273;0.0255;0.0193
0.2979;-0.1071;0.0;81.0007;-87.144;-75.7575;87.8268;0.0255;0.0193
0.3396;0.0;0.0;81.0001;-87.1439;-75.7575;87.8263;0.0255;0.0193
0.3813;0.0;0.0;80.9994;-87.1437;-75.7576;87.8258;0.0255;0.0193
0.4229;0.0;0.0;80.9988;-87.1436;-75.7577;87.8254;0.0255;0.0193
0.4646;0.0;0.0;80.9982;-87.1434;-75.7577;87.825;0.0255;0.0193
0.5063;0.0;0.0;80.9977;-87.1433;-75.7578;87.8246;0.0255;0.0193
0.5479;0.0;0.0;80.9973;-87.1432;-75.7579;87.8243;0.0255;0.0193
0.5896;0.0;0.0;80.997;-87.1431;-75.7579;87.8241;0.0255;0.0193
0.6313;0.0;0.0;80.9967;-87.1431;-75.758;87.8239;0.0255;0.0193
0.6729;0.0;0.0;80.9965;-87.143;-75.758;87.8238;0.0255;0.0193
0.7146;0.0;0.0;80.9964;-87.143;-75.7581;87.8237;0.0255;0.0193
0.7563;0.0;0.0;80.9962;-87.1429;-75.7582;87.8237;0.0255;0.0193
0.7979;0.0;0.0;80.9962;-87.1429;-75.7582;87.8235;0.0255;0.0193
0.8396;0.0;0.0;80.9962;-87.1429;-75.7583;87.8234;0.0255;0.0193
0.8813;0.0;0.0;80.9962;-87.1428;-75.7583;87.8233;0.0256;0.0193
0.9229;0.0;0.0;80.9962;-87.1428;-75.7584;87.8232;0.0259;0.0195
0.9646;0.0;0.0;80.9962;-87.1428;-75.7585;87.8232;0.0265;0.0229
1.0063;0.0;0.0;80.9962;-87.1428;-75.7585;87.8231;0.0271;0.0296
1.0479;0.0059;0.0;80.9962;-87.1427;-75.7586;87.823;0.0278;0.0363
1.0896;0.0162;0.0;80.9963;-87.1427;-75.7586;87.8229;0.0283;0.0434
1.1313;0.0266;0.0;80.9963;-87.1427;-75.7587;87.8228;0.0285;0.0492
1.1729;0.0355;0.0;80.9962;-87.1426;-75.7588;87.8226;0.0287;0.0531
1.2146;0.0443;0.0;80.996;-87.1426;-75.7588;87.8224;0.0287;0.0543
1.2563;0.0609;0.0;80.9957;-87.1425;-75.7588;87.8223;0.0287;0.0543
1.2979;0.0873;0.0;80.9952;-87.1425;-75.7589;87.8221;0.0287;0.0543
1.3396;0.1176;0.0;80.9943;-87.1424;-75.7589;87.8219;0.0291;0.0543
1.3813;0.1435;0.0;80.9931;-87.1424;-75.7589;87.8217;0.0293;0.0543
1.4229;0.1631;0.0;80.9914;-87.1423;-75.7589;87.8216;0.0295;0.0543
1.4646;0.1836;0.0;80.989;-87.1423;-75.7589;87.8213;0.0296;0.0543
1.5063;0.2101;0.0163;80.9859;-87.1422;-75.7588;87.8211;0.0296;0.0543
1.5479;0.2413;0.0604;80.982;-87.1421;-75.7587;87.8209;0.0296;0.0543
1.5896;0.2698;0.1099;80.9773;-87.142;-75.7585;87.8205;0.0296;0.0543
1.6313;0.2917;0.1586;80.9715;-87.1417;-75.7583;87.8197;0.0296;0.0543
1.6729;0.3121;0.2066;80.9646;-87.1413;-75.7581;87.8184;0.0296;0.0543
1.7146;0.3368;0.2541;80.9564;-87.1407;-75.7578;87.8164;0.0295;0.0544
1.7563;0.3659;0.3036;80.9469;-87.1398;-75.7575;87.8135;0.0287;0.0554
1.7979;0.3974;0.359;80.9361;-87.1386;-75.7571;87.8095;0.0276;0.0571
1.8396;0.4279;0.4251;80.9236;-87.1369;-75.7566;87.8042;0.0265;0.0594
1.8813;0.456;0.4967;80.9096;-87.1347;-75.7561;87.7973;0.0258;0.0622
1.9229;0.4825;0.5634;80.8938;-87.132;-75.7555;87.7886;0.0257;0.0651
1.9646;0.5068;0.6211;80.8761;-87.1287;-75.7548;87.7778;0.0257;0.0683
2.0063;0.5283;0.6693;80.8564;-87.1246;-75.754;87.7646;0.0257;0.0715
2.0479;0.5464;0.71;80.8346;-87.1198;-75.7532;87.7489;0.0257;0.0748
2.0896;0.5617;0.7427;80.8107;-87.1142;-75.7522;87.7304;0.0257;0.0783
2.1313;0.5754;0.7687;80.7845;-87.1077;-75.7512;87.709;0.0257;0.0816
2.1729;0.5871;0.7902;80.7561;-87.1004;-75.75;87.6846;0.0257;0.0848
2.2146;0.5963;0.809;80.7253;-87.0921;-75.7488;87.657;0.0257;0.0874
2.2563;0.603;0.8237;80.6922;-87.083;-75.7474;87.6261;0.0257;0.089
2.2979;0.6079;0.8355;80.6566;-87.073;-75.7459;87.5919;0.0257;0.0895
2.3396;0.6122;0.8441;80.6187;-87.062;-75.7443;87.5543;0.0257;0.0895
2.3813;0.6157;0.8511;80.5783;-87.0501;-75.7427;87.5134;0.0257;0.0895
2.4229;0.6182;0.8569;80.5356;-87.0373;-75.7411;87.4691;0.0257;0.0895
2.4646;0.62;0.8622;80.4905;-87.0235;-75.7393;87.4213;0.0255;0.0895
2.5063;0.6214;0.8675;80.443;-87.0088;-75.7375;87.37;0.0247;0.0895
2.5479;0.6234;0.8727;80.3932;-86.9931;-75.7356;87.3153;0.0231;0.0895
2.5896;0.6249;0.8779;80.341;-86.9766;-75.7336;87.2571;0.0211;0.0895
2.6313;0.626;0.8832;80.2865;-86.9591;-75.7313;87.1953;0.0191;0.0892
2.6731;0.6268;0.8891;80.2296;-86.9408;-75.7288;87.1301;0.0173;0.0887
2.7146;0.6273;0.8955;80.1703;-86.9215;-75.7262;87.0611;0.0159;0.0876
2.7563;0.6278;0.9009;80.1086;-86.9014;-75.7234;86.9887;0.0143;0.0853
2.7981;0.6165;0.9063;80.0445;-86.8803;-75.7205;86.9125;0.0119;0.0813
2.8396;0.6198;0.9113;79.9781;-86.8584;-75.7176;86.8328;0.0077;0.0752
2.8813;0.6223;0.9152;79.9093;-86.8354;-75.7146;86.7495;0.0021;0.0684
2.9231;0.6241;0.9191;79.8382;-86.8114;-75.7115;86.6626;-0.0047;0.0627
2.9646;0.6254;0.922;79.7648;-86.7864;-75.7085;86.5722;-0.0117;0.0595
3.0063;0.6263;0.9241;79.6891;-86.7603;-75.7057;86.4781;-0.0182;0.0572
3.0481;0.627;0.9266;79.6111;-86.7332;-75.7029;86.3804;-0.0235;0.0552
3.0896;0.6275;0.9285;79.5309;-86.7052;-75.7002;86.2791;-0.0279;0.0524
3.1313;0.6279;0.9303;79.4483;-86.6761;-75.6976;86.1741;-0.0321;0.048
3.1731;0.6282;0.933;79.3635;-86.6461;-75.6952;86.0654;-0.0371;0.0424
3.2146;0.6284;0.9353;79.2763;-86.6151;-75.6929;85.9531;-0.0417;0.0364
3.2563;0.6285;0.9369;79.1869;-86.5829;-75.6908;85.8372;-0.0454;0.03
3.2981;0.6286;0.9381;79.0952;-86.5497;-75.6889;85.7176;-0.0477;0.0231
3.3396;0.6287;0.939;79.0013;-86.5153;-75.6871;85.5945;-0.0485;0.0149
3.3813;0.6287;0.9404;78.9052;-86.4796;-75.6855;85.4679;-0.0492;0.0067
3.4231;0.6288;0.9417;78.8067;-86.4427;-75.6837;85.3378;-0.0511;-0.0031
3.4646;0.6288;0.9427;78.706;-86.4043;-75.6819;85.2043;-0.0557;-0.0135
3.5063;0.6288;0.9434;78.6031;-86.3645;-75.6805;85.0673;-0.0611;-0.0224
3.5481;0.6288;0.9439;78.4982;-86.323;-75.6795;84.9271;-0.0663;-0.0307
3.5896;0.6289;0.9443;78.3911;-86.28;-75.679;84.7835;-0.0695;-0.0383
3.6313;0.6281;0.9446;78.2819;-86.2353;-75.6789;84.6366;-0.07;-0.0454
3.6731;0.6269;0.9448;78.1705;-86.1888;-75.6792;84.4865;-0.0694;-0.0529
3.7146;0.6242;0.9449;78.0569;-86.1406;-75.6798;84.3331;-0.0675;-0.0599
3.7563;0.6208;0.945;77.9412;-86.0905;-75.6807;84.1765;-0.067;-0.0665
3.7981;0.6177;0.9451;77.8233;-86.0384;-75.6818;84.0167;-0.067;-0.0717
3.8396;0.6155;0.9441;77.7033;-85.9844;-75.6833;83.8538;-0.067;-0.0758
3.8813;0.6138;0.9423;77.5812;-85.9284;-75.685;83.6877;-0.067;-0.082
3.9231;0.6126;0.941;77.457;-85.8704;-75.6871;83.5185;-0.0667;-0.0893
3.9646;0.6117;0.9393;77.3306;-85.8101;-75.6894;83.3464;-0.0657;-0.0963
4.0063;0.6111;0.9377;77.2022;-85.7476;-75.6921;83.1714;-0.0659;-0.1028
4.0481;0.6106;0.9366;77.0717;-85.6826;-75.6952;82.9935;-0.0689;-0.1083
4.0896;0.6103;0.9354;76.9392;-85.6151;-75.6986;82.8129;-0.074;-0.113
4.1313;0.6089;0.9339;76.8046;-85.5451;-75.7025;82.6295;-0.0796;-0.1172
4.1731;0.6055;0.9327;76.6682;-85.4724;-75.707;82.4436;-0.0847;-0.121
4.2146;0.6023;0.9319;76.5298;-85.3969;-75.7122;82.255;-0.0883;-0.124
4.2563;0.5992;0.9309;76.3896;-85.3186;-75.718;82.0638;-0.0905;-0.126
