ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;-0.4166;0.0;80.8109;79.6568;-76.2164;87.521;-0.0009;0.0199
0.0471;-0.4166;0.0;80.8099;79.6562;-76.2162;87.5207;-0.0009;0.0199
0.0886;-0.4166;0.0;80.809;79.6558;-76.2161;87.5205;-0.0009;0.0199
0.1304;-0.4166;0.0;80.8083;79.6553;-76.216;87.5202;-0.0009;0.0199
0.1721;-0.4166;0.0;80.8077;79.6549;-76.2159;87.52;-0.0009;0.0199
0.2136;-0.4166;0.0;80.8071;79.6546;-76.2158;87.5198;-0.0009;0.0199
0.2554;-0.4166;0.0;80.8067;79.6543;-76.2157;87.5197;-0.0009;0.0199
0.2971;-0.4166;0.0;80.8064;79.6541;-76.2157;87.5196;-0.0009;0.0199
0.3389;-0.4166;0.0;80.8061;79.6538;-76.2157;87.5194;-0.0009;0.0199
0.3804;-0.4166;0.0;80.8059;79.6537;-76.2156;87.5194;-0.0009;0.0199
0.4221;-0.4166;0.0;80.8058;79.6535;-76.2156;87.5193;-0.0009;0.0199
0.4636;-0.4166;0.0;80.8057;79.6534;-76.2156;87.5192;-0.0009;0.0199
0.5054;-0.4166;0.0;80.8057;79.6532;-76.2156;87.5191;-0.0009;0.0199
0.5471;-0.4166;0.0;80.8057;79.6531;-76.2156;87.5191;-0.0009;0.0199
0.5889;-0.4166;0.0;80.8057;79.653;-76.2156;87.519;-0.0009;0.0199
0.6304;-0.4166;0.0;80.8057;79.6529;-76.2156;87.5189;-0.0009;0.0199
0.6721;-0.4166;0.0;80.8057;79.6528;-76.2156;87.5189;-0.0009;0.0199
0.7139;-0.4166;0.0;80.8057;79.6528;-76.2156;87.5188;-0.0009;0.0199
0.7554;-0.4087;0.0;80.8057;79.6527;-76.2156;87.5188;-0.0011;0.0199
0.7971;-0.4087;0.0;80.8057;79.6526;-76.2156;87.5188;-0.0013;0.0199
0.8389;-0.4047;0.0;80.8057;79.6526;-76.2156;87.5188;-0.0013;0.0199
0.8804;-0.4047;0.0;80.8057;79.6525;-76.2156;87.5187;-0.0013;0.0199
0.9221;-0.4008;0.0;80.8057;79.6524;-76.2156;87.5187;-0.0015;0.0199
0.9639;-0.4008;0.0;80.8057;79.6523;-76.2156;87.5186;-0.0023;0.0199
1.0054;-0.3928;0.0;80.8057;79.6522;-76.2156;87.5186;-0.0031;0.0199
1.0471;-0.3849;0.0;80.8058;79.6522;-76.2156;87.5185;-0.0044;0.0199
1.0889;-0.3373;0.0;80.8058;79.6521;-76.2156;87.5185;-0.0065;0.0199
1.1304;-0.2976;0.0;80.8058;79.6521;-76.2156;87.5185;-0.0096;0.0199
1.1721;-0.2579;0.0;80.8058;79.652;-76.2156;87.5184;-0.0124;0.0199
