ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.0;0.0;80.6027;-84.9355;-74.1877;78.0427;-0.0153;-0.0004
0.0474;0.0;0.0;80.6028;-84.9355;-74.1877;78.0427;-0.0153;-0.0026
0.0894;0.0;0.0;80.6028;-84.9355;-74.1877;78.0427;-0.0153;-0.005
0.1318;0.0;0.0;80.6029;-84.9355;-74.1878;78.0428;-0.0153;-0.0064
0.1733;0.0;0.0;80.6029;-84.9355;-74.1878;78.0428;-0.0153;-0.0066
0.2153;0.0;0.0;80.603;-84.9355;-74.1879;78.0427;-0.0153;-0.0066
0.2568;0.0;0.0;80.6031;-84.9355;-74.1879;78.0427;-0.0153;-0.0066
0.2988;0.0;0.0;80.6032;-84.9355;-74.188;78.0427;-0.0153;-0.0066
0.3408;0.0;0.0;80.6033;-84.9355;-74.188;78.0427;-0.0153;-0.0066
0.3828;0.0;0.0;80.6034;-84.9355;-74.1881;78.0427;-0.0153;-0.0066
0.4248;0.0;0.0;80.6035;-84.9354;-74.1881;78.0427;-0.0153;-0.0066
0.4668;0.0;0.0;80.6036;-84.9354;-74.1882;78.0426;-0.0153;-0.0066
0.5083;0.0;0.0;80.6038;-84.9354;-74.1883;78.0426;-0.0153;-0.0066
0.5503;0.0;0.0;80.6039;-84.9354;-74.1883;78.0426;-0.0153;-0.0066
0.5918;0.0;0.0;80.604;-84.9354;-74.1884;78.0426;-0.0153;-0.0066
0.6338;0.0;0.0;80.6041;-84.9354;-74.1884;78.0426;-0.0153;-0.0069
0.6758;0.0;0.0;80.6043;-84.9354;-74.1885;78.0426;-0.0153;-0.0075
0.7173;0.0;0.0223;80.6044;-84.9354;-74.1885;78.0426;-0.0153;-0.0085
0.7593;0.0;0.1132;80.6045;-84.9354;-74.1886;78.0426;-0.0153;-0.0095
0.8013;0.0;0.2477;80.6047;-84.9352;-74.1886;78.0423;-0.0153;-0.0105
0.8438;0.0;0.4015;80.6049;-84.9346;-74.1887;78.0414;-0.0153;-0.0111
0.8857;0.0;0.5513;80.605;-84.9334;-74.1887;78.0394;-0.0153;-0.0117
0.9272;0.0;0.6729;80.6052;-84.9311;-74.1888;78.0357;-0.0153;-0.0123
0.9692;0.0;0.7616;80.6054;-84.9275;-74.1889;78.0298;-0.0153;-0.0132
1.0112;0.0;0.8262;80.6056;-84.9223;-74.1889;78.0213;-0.0153;-0.0147
1.0532;0.0;0.8733;80.6058;-84.9153;-74.189;78.0101;-0.0153;-0.0163
1.0957;0.0;0.9076;80.606;-84.9064;-74.189;77.9957;-0.0153;-0.0175
1.1377;0.0;0.9326;80.6061;-84.8956;-74.1891;77.9783;-0.0153;-0.0185
1.1797;0.0;0.9509;80.6064;-84.8826;-74.1891;77.9573;-0.0153;-0.0195
