ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;81.0081;81.0081;-0.0669;-0.0669;-75.119;-75.119;359.5515;359.5515;273.3835;273.3835;0.1604;0.1604; ; ; ; ; ; ;166362;71.61694;2247.73;80.4345;-82.8206;0.858;1.0114;-76.9652;78.0815;352.0536;352.254;270.9936;148.3692;0.4906;359.9131;;;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.0;0.0159;0.0085
0.0;0.0;False;False;81.0084;81.0084;-0.0501;-0.0501;-75.1193;-75.1193;359.6209;359.6209;273.3897;273.3897;0.1563;0.1563;-0.0006;0.2237;0.2237;-0.0024;-0.0024;-0.0006;166366;64.38632;2247.8;80.4336;-82.82;0.8745;1.0266;-76.9653;78.0805;352.1197;352.3253;270.9988;148.3678;0.4835;359.9139;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.0713;0.0159;0.0085
0.0;0.0;False;False;81.0087;81.0087;-0.0356;-0.0356;-75.1195;-75.1195;359.6919;359.6919;273.3964;273.3964;0.1533;0.1533;-0.0009;0.1864;0.1864;-0.0023;-0.0023;-0.0009;166371;69.24092;2247.87;80.4325;-82.8195;0.889;1.0381;-76.9653;78.0797;352.1912;352.3857;271.0074;148.3682;0.4773;359.9146;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.1406;0.0159;0.0085
0.0;0.0;False;False;81.009;81.009;-0.0244;-0.0244;-75.1196;-75.1196;359.7534;359.7534;273.4035;273.4035;0.1511;0.1511;0.0003;0.1316;0.1316;-0.0021;-0.0021;0.0003;166376;71.02784;2247.94;80.4315;-82.8191;0.9005;1.0465;-76.9653;78.079;352.2549;352.4324;271.015;148.3672;0.4723;359.9152;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.2102;0.0159;0.0085
0.0;0.0;False;False;81.0093;81.0093;-0.0163;-0.0163;-75.1198;-75.1198;359.7999;359.7999;273.4084;273.4084;0.1497;0.1497;-0.0013;0.0957;0.0957;-0.0018;-0.0018;-0.0013;166381;71.68273;2248.01;80.4309;-82.8188;0.9088;1.0522;-76.9653;78.0785;352.3046;352.465;271.0204;148.367;0.4685;359.9155;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.2798;0.0159;0.0085
0.0;0.0;False;False;81.0095;81.0095;-0.0108;-0.0108;-75.1199;-75.1199;359.8326;359.8326;273.4132;273.4132;0.1487;0.1487;0.0013;0.0670;0.0670;-0.0018;-0.0018;0.0013;166386;71.88579;2248.08;80.4304;-82.8185;0.9144;1.0559;-76.9654;78.0781;352.3397;352.486;271.0257;148.3669;0.466;359.9158;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.3491;0.0159;0.0085
0.0;0.0;False;False;81.0097;81.0097;-0.0073;-0.0073;-75.1201;-75.1201;359.8533;359.8533;273.417;273.417;0.148;0.148;0.0020;0.0394;0.0394;-0.0017;-0.0017;0.0020;166391;71.76854;2248.15;80.4301;-82.8183;0.9181;1.0581;-76.9655;78.0778;352.3626;352.4982;271.0297;148.3677;0.4643;359.9159;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.4189;0.0159;0.0085
0.0;0.0;False;False;81.0098;81.0098;-0.0052;-0.0052;-75.1202;-75.1202;359.8654;359.8654;273.4204;273.4204;0.1476;0.1476;0.0006;0.0254;0.0254;-0.0016;-0.0016;0.0006;166396;71.9202;2248.22;80.4299;-82.8182;0.9204;1.0595;-76.9655;78.0776;352.3762;352.5045;271.0335;148.3664;0.4633;359.916;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.4883;0.0159;0.0085
0.0;0.0364;False;False;81.01;81.01;-0.0039;-0.0039;-75.1203;-75.1203;359.8715;359.8715;273.4235;273.4235;0.1472;0.1472;0.0014;0.0133;0.0133;-0.0015;-0.0015;0.0014;166401;71.79666;2248.29;80.4298;-82.8181;0.9218;1.0602;-76.9656;78.0775;352.3832;352.507;271.0364;148.3655;0.4626;359.916;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.5579;0.0159;0.0085
0.0;0.0215;False;False;81.0101;81.0101;-0.0032;-0.0032;-75.1204;-75.1204;359.8739;359.8739;273.4268;273.4268;0.147;0.147;0.0013;0.0077;0.0077;-0.0015;-0.0015;0.0013;166406;71.93228;2248.36;80.4298;-82.8179;0.9226;1.0606;-76.9657;78.0772;352.3862;352.5066;271.0396;148.3645;0.4622;359.916;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, 0.0, 0.0)_(0.5, 0.5, -0.7, 0.3)_0.9145005_System.String[];HandLeft_(-0.2, -0.5, -0.1)_(0.8, 0.3, -0.5, 0.1)_0.9979076_System.String[];HandRight_(1.6, -0.1, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9145005_System.String[];HandRight_(0.2, -0.6, -0.1)_(-0.2, -0.5, -0.4, 0.7)_0.9979076_System.String[];0.6274;0.0159;0.0085
