ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;81.0291;81.0291;-0.0036;-0.0036;-75.3304;-75.3304;359.8339;359.8339;271.6667;271.6667;0.0964;0.0964; ; ; ; ; ; ;39086;71.3988;150.06;80.0996;-87.1746;1.2314;1.1114;-77.1888;88.0132;352.4068;352.5593;280.3688;164.5617;358.938;359.5204;;;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.0;0.0042;0.0034
0.0;0.0;False;False;81.0295;81.0295;-0.0036;-0.0036;-75.3309;-75.3309;359.8341;359.8341;271.6825;271.6825;0.0957;0.0957;0.0015;0.0000;0.0000;-0.0014;-0.0014;0.0015;39087;12.84169;150.39;80.0996;-87.1746;1.2314;1.1114;-77.1888;88.0132;352.4068;352.5593;280.3688;164.5617;358.938;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.3333;0.0042;0.0034
0.0;0.0;False;False;81.0297;81.0297;-0.0036;-0.0036;-75.331;-75.331;359.834;359.834;271.6848;271.6848;0.0957;0.0957;0.0029;0.0000;0.0000;-0.0015;-0.0015;0.0029;39092;28.49429;150.46;80.0996;-87.1744;1.2314;1.1114;-77.1891;88.0127;352.407;352.559;280.3868;164.5611;358.9373;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.4057;0.0042;0.0034
0.0;0.0;False;False;81.0299;81.0299;-0.0036;-0.0036;-75.3312;-75.3312;359.834;359.834;271.6876;271.6876;0.0958;0.0958;0.0021;0.0000;0.0000;-0.0015;-0.0015;0.0021;39097;47.9882;150.53;80.0997;-87.1744;1.2314;1.1114;-77.1891;88.0124;352.407;352.5588;280.3896;164.5613;358.9374;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.4752;0.0042;0.0034
0.0;0.0;False;False;81.03;81.03;-0.0036;-0.0036;-75.3313;-75.3313;359.8337;359.8337;271.6918;271.6918;0.0958;0.0958;0.0024;0.0000;0.0000;-0.0015;-0.0015;0.0024;39102;61.45716;150.6;80.0997;-87.1743;1.2314;1.1114;-77.1892;88.0122;352.4067;352.5589;280.3926;164.5602;358.9374;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.5451;0.0042;0.0034
0.0;0.0;False;False;81.0302;81.0302;-0.0036;-0.0036;-75.3314;-75.3314;359.8339;359.8339;271.6968;271.6968;0.0958;0.0958;0.0042;0.0000;0.0000;-0.0015;-0.0015;0.0042;39107;68.03094;150.67;80.0998;-87.1742;1.2314;1.1114;-77.1892;88.012;352.4068;352.5591;280.3981;164.5599;358.9374;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.6147;0.0042;0.0034
0.0;0.0;False;False;81.0305;81.0305;-0.0036;-0.0036;-75.3315;-75.3315;359.8338;359.8338;271.702;271.702;0.0958;0.0958;0.0034;0.0000;0.0000;-0.0015;-0.0015;0.0034;39112;70.48408;150.74;80.0998;-87.1741;1.2314;1.1114;-77.1892;88.0117;352.4068;352.5591;280.4034;164.5619;358.9374;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.6845;0.0042;0.0034
0.0;0.0;False;False;81.0308;81.0308;-0.0036;-0.0036;-75.3316;-75.3316;359.8339;359.8339;271.7032;271.7032;0.0957;0.0957;0.0054;0.0000;0.0000;-0.0016;-0.0016;0.0054;39117;71.45433;150.81;80.1;-87.174;1.2314;1.1114;-77.1893;88.0114;352.4068;352.5589;280.4048;164.562;358.9373;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.754;0.0042;0.0034
0.0;0.0;False;False;81.0311;81.0311;-0.0036;-0.0036;-75.3317;-75.3317;359.8339;359.8339;271.7066;271.7066;0.0957;0.0957;0.0035;0.0000;0.0000;-0.0015;-0.0015;0.0035;39122;71.82069;150.88;80.1003;-87.1739;1.2314;1.1114;-77.1894;88.0111;352.4069;352.5588;280.4079;164.5617;358.9373;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.8235;0.0042;0.0034
0.0;0.0;False;False;81.0313;81.0313;-0.0036;-0.0036;-75.3318;-75.3318;359.8336;359.8336;271.7114;271.7114;0.0957;0.0957;0.0035;0.0000;0.0000;-0.0015;-0.0015;0.0035;39127;71.62949;150.95;80.1004;-87.1738;1.2314;1.1114;-77.1894;88.0107;352.4066;352.5589;280.4131;164.5637;358.9373;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.8934;0.0042;0.0034
0.0;0.0;False;False;81.0317;81.0317;-0.0036;-0.0036;-75.3319;-75.3319;359.8336;359.8336;271.7157;271.7157;0.0956;0.0956;0.0050;0.0000;0.0000;-0.0015;-0.0015;0.0050;39132;71.68681;151.02;80.1006;-87.1736;1.2314;1.1114;-77.1894;88.0103;352.4066;352.5588;280.4168;164.5644;358.9372;359.5204;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.2, 0.4)_(0.8, 0.6, -0.1, -0.1)_0.956722_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.7, 0.7, 0.0, 0.0)_0.9267229_System.String[];HandRight_(1.7, -0.1, 0.5)_(-0.2, 0.0, -0.6, 0.8)_0.956722_System.String[];HandRight_(0.2, -0.2, 0.0)_(-0.3, -0.4, -0.4, 0.8)_0.9267229_System.String[];0.9631;0.0042;0.0034
