ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;80.8693;80.8693;-0.0024;-0.0024;-75.1505;-75.1505;359.8797;359.8797;269.9953;269.9953;0.1600;0.1600; ; ; ; ; ; ;14183;71.71646;94.65;80.5141;-84.8995;1.1736;1.0969;-77.1804;78.2071;352.378;352.6608;271.0325;160.3135;0.0211;358.4904;;; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.0;0.0021;-0.0009
0.0;0.0;False;False;80.8694;80.8694;-0.0024;-0.0024;-75.1507;-75.1507;359.8798;359.8798;270.0038;270.0038;0.1590;0.1590;0.0008;0.0000;0.0000;-0.0014;-0.0014;0.0008;14184;25.46249;94.79;80.5141;-84.8995;1.1736;1.0969;-77.1804;78.2071;352.378;352.6608;271.0325;160.3135;0.0211;358.4904;LeftFalse_RightFalse;LeftFalse_RightFalse; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.1406;0.0021;-0.0009
0.0;0.0;False;False;80.8695;80.8695;-0.0024;-0.0024;-75.1508;-75.1508;359.8798;359.8798;270.0102;270.0102;0.1591;0.1591;0.0001;0.0000;0.0000;-0.0014;-0.0014;0.0001;14189;44.10154;94.86;80.5137;-84.8995;1.1737;1.0969;-77.1805;78.2071;352.3782;352.6608;271.0461;160.3138;0.0201;358.4904;LeftFalse_RightFalse;LeftFalse_RightFalse; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.2156;0.0021;-0.0009
0.0;0.0;False;False;80.8696;80.8696;-0.0024;-0.0024;-75.1509;-75.1509;359.8798;359.8798;270.0149;270.0149;0.1592;0.1592;0.0010;0.0000;0.0000;-0.0014;-0.0014;0.0010;14194;59.31216;94.93;80.5136;-84.8995;1.1737;1.0969;-77.1806;78.2071;352.3781;352.6608;271.0515;160.3138;0.0202;358.4904;LeftFalse_RightFalse;LeftFalse_RightFalse; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.2859;0.0021;-0.0009
0.0;0.0;False;False;80.8697;80.8697;-0.0024;-0.0024;-75.1510;-75.1510;359.8797;359.8797;270.0162;270.0162;0.1593;0.1593;0.0005;0.0000;0.0000;-0.0014;-0.0014;0.0005;14199;67.12627;95.0;80.5136;-84.8995;1.1737;1.0969;-77.1807;78.2071;352.3781;352.661;271.0537;160.3131;0.0203;358.4905;LeftFalse_RightFalse;LeftFalse_RightFalse; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.3556;0.0021;-0.0009
0.0;0.0;False;False;80.8698;80.8698;-0.0024;-0.0024;-75.1511;-75.1511;359.8795;359.8795;270.0174;270.0174;0.1593;0.1593;0.0025;0.0000;0.0000;-0.0014;-0.0014;0.0025;14204;70.22215;95.07;80.5137;-84.8995;1.1737;1.0969;-77.1808;78.2071;352.3779;352.6608;271.0545;160.3118;0.0204;358.4904;LeftFalse_RightFalse;LeftFalse_RightFalse; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.4252;0.0021;-0.0009
0.0;0.0;False;False;80.8700;80.8700;-0.0024;-0.0024;-75.1512;-75.1512;359.8797;359.8797;270.0202;270.0202;0.1594;0.1594;0.0012;0.0000;0.0000;-0.0014;-0.0014;0.0012;14209;70.92574;95.14;80.5138;-84.8995;1.1736;1.0969;-77.1809;78.2071;352.3781;352.6608;271.0571;160.311;0.0205;358.4904;LeftFalse_RightFalse;LeftFalse_RightFalse; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.4951;0.0021;-0.0009
0.0;0.0;False;False;80.8701;80.8701;-0.0024;-0.0024;-75.1513;-75.1513;359.8796;359.8796;270.0225;270.0225;0.1594;0.1594;0.0027;0.0000;0.0000;-0.0014;-0.0014;0.0027;14214;71.40074;95.21;80.5138;-84.8995;1.1736;1.0969;-77.181;78.2071;352.378;352.6608;271.0591;160.3102;0.0205;358.4904;LeftFalse_RightFalse;LeftFalse_RightFalse; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.5649;0.0021;-0.0009
0.0;0.0;False;False;80.8703;80.8703;-0.0024;-0.0024;-75.1514;-75.1514;359.8796;359.8796;270.0266;270.0266;0.1594;0.1594;0.0023;0.0000;0.0000;-0.0014;-0.0014;0.0023;14219;71.19579;95.28;80.5139;-84.8994;1.1736;1.0969;-77.1811;78.207;352.378;352.6606;271.0632;160.3093;0.0205;358.4904;LeftFalse_RightFalse;LeftFalse_RightFalse; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.6351;0.0021;-0.0009
0.0;0.0;False;False;80.8705;80.8705;-0.0024;-0.0024;-75.1515;-75.1515;359.8795;359.8795;270.0296;270.0296;0.1594;0.1594;0.0039;0.0000;0.0000;-0.0014;-0.0014;0.0039;14224;71.53892;95.35;80.514;-84.8994;1.1736;1.0969;-77.1812;78.207;352.3779;352.6608;271.0657;160.3076;0.0205;358.4904;LeftFalse_RightFalse;LeftFalse_RightFalse; ;HandLeft_(-0.2, -0.2, -0.1)_(0.7, 0.6, -0.3, -0.1)_0.9117737_System.String[]; ;HandRight_(0.1, -0.2, -0.1)_(-0.2, -0.3, -0.5, 0.8)_0.9117737_System.String[];0.7049;0.0021;-0.0009
