ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;82.1999;82.1999;-0.0264;-0.0264;25.1998;25.1998;359.943;359.943;208.4238;208.4238;0.0;0.0; ; ; ; ; ; ;261811;71.91785;3497.93;82.5172;107.6314;1.1004;1.1227;24.8727;69.4195;352.4654;353.5803;213.539;249.6702;359.3275;355.9447;;;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.4, -0.7, 0.2)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.0;-0.0076;0.0109
0.0;0.0;False;False;82.2;82.2;-0.0209;-0.0209;25.1999;25.1999;359.9747;359.9747;208.4222;208.4222;0.0;0.0;-0.0006;0.0530;0.0530;-0.0011;-0.0011;-0.0006;261815;61.83614;3498.0;82.5169;107.631;1.1063;1.1301;24.8723;69.419;352.4995;353.6164;213.5369;249.6682;359.3306;355.9677;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.4, -0.7, 0.2)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.0771;-0.0076;0.0108
0.0;0.0;False;False;82.2;82.2;-0.0178;-0.0178;25.2;25.2;359.9919;359.9919;208.4211;208.4211;0.0;0.0;-0.0001;0.0350;0.0350;-0.0002;-0.0002;-0.0001;261820;67.5423;3498.07;82.5168;107.6306;1.1097;1.1345;24.872;69.4185;352.5188;353.6377;213.5359;249.6654;359.3323;355.9813;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.4, -0.7, 0.2)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.1479;-0.0076;0.0103
0.0;0.0;False;False;82.2;82.2;-0.0159;-0.0159;25.1999;25.1999;0.0012;0.0012;208.4218;208.4218;0.0;0.0;-0.0006;0.0190;0.0190;-0.0012;-0.0012;-0.0006;261825;70.30442;3498.14;82.5167;107.6304;1.1117;1.1373;24.8718;69.4183;352.5294;353.6505;213.536;249.6658;359.3333;355.9894;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.5, -0.6, 0.3)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.2175;-0.0076;0.0094
0.0;0.0;False;False;82.1999;82.1999;-0.0149;-0.0149;25.1999;25.1999;0.0055;0.0055;208.4208;208.4208;0.0;0.0;-0.0003;0.0115;0.0115;-0.0005;-0.0005;-0.0003;261830;71.43029;3498.21;82.5166;107.6303;1.1129;1.1389;24.8716;69.4181;352.5344;353.6575;213.5356;249.6654;359.3337;355.9939;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.5, -0.6, 0.3)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.2871;-0.0076;0.0091
0.0;0.0;False;False;82.1999;82.1999;-0.0143;-0.0143;25.1998;25.1998;0.0068;0.0068;208.422;208.422;0.0;0.0;-0.0004;0.0054;0.0054;-0.0007;-0.0007;-0.0004;261835;71.60373;3498.28;82.5166;107.6303;1.1135;1.1398;24.8715;69.418;352.5361;353.6605;213.536;249.6656;359.3339;355.9958;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.5, -0.7, 0.3)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.3567;-0.0076;0.0091
0.0;0.0;False;False;82.1999;82.1999;-0.014;-0.014;25.1997;25.1997;0.0067;0.0067;208.4218;208.4218;0.0;0.0;-0.0009;0.0028;0.0028;-0.0018;-0.0018;-0.0009;261840;71.64839;3498.35;82.5165;107.6301;1.1138;1.1403;24.8715;69.4179;352.5363;353.6611;213.5357;249.6673;359.3339;355.9962;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.5, -0.7, 0.3)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.4265;-0.0076;0.0091
0.0;0.0;False;False;82.1998;82.1998;-0.0139;-0.0139;25.1997;25.1997;0.0058;0.0058;208.4224;208.4224;0.0;0.0;-0.0008;0.0009;0.0009;-0.0015;-0.0015;-0.0008;261845;71.54103;3498.42;82.5165;107.6301;1.114;1.1406;24.8714;69.4178;352.5354;353.6608;213.5365;249.669;359.3338;355.996;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.5, -0.7, 0.3)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.4966;-0.0076;0.0091
0.0;0.0;False;False;82.1998;82.1998;-0.0138;-0.0138;25.1995;25.1995;0.0045;0.0045;208.4223;208.4223;0.0;0.0;0.0000;0.0002;0.0002;0.0000;0.0000;0.0000;261850;71.66604;3498.49;82.5164;107.6301;1.1141;1.1407;24.8713;69.4178;352.5342;353.6599;213.5368;249.6678;359.3337;355.9954;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.5, -0.7, 0.3)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.5662;-0.0076;0.0091
0.0;0.0;False;False;82.1997;82.1997;-0.0138;-0.0138;25.1994;25.1994;0.0034;0.0034;208.4219;208.4219;0.0;0.0;-0.0001;-0.0002;-0.0002;-0.0002;-0.0002;-0.0001;261855;68.02456;3498.57;82.5164;107.63;1.1141;1.1407;24.8712;69.4177;352.5331;353.659;213.5363;249.6685;359.3336;355.9948;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9330845_System.String[];HandLeft_(-0.3, -0.3, -0.2)_(0.5, 0.5, -0.7, 0.2)_0.9983099_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.5, 0.6)_0.9330845_System.String[];HandRight_(-0.1, -0.3, -0.4)_(0.4, 0.2, 0.3, -0.8)_0.9983099_System.String[];0.6396;-0.0076;0.0091
