ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8681;359.8681;273.3849;273.3849;0.1469;0.1469; ; ; ; ; ; ;2585914;71.80109;6249.21;80.8679;-87.3153;1.1335;1.109;-75.4463;-85.2007;352.4771;352.5135;264.6715;79.8037;1.2968;359.6553;;;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.3)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.0;0.0021;0.0105
0.0;0.0;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8682;359.8682;273.3884;273.3884;0.1462;0.1462;0.0005;0.0000;0.0000;-0.0013;-0.0013;0.0005;2585918;65.78706;6249.27;80.8679;-87.3153;1.1335;1.109;-75.4463;-85.2007;352.477;352.5134;264.6736;79.8039;1.2962;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.3)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.0684;0.0021;0.0105
0.0;0.0;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1206;-75.1206;359.8681;359.8681;273.3924;273.3924;0.1459;0.1459;0.0009;0.0000;0.0000;-0.0014;-0.0014;0.0009;2585923;69.84197;6249.34;80.8679;-87.3153;1.1335;1.109;-75.4464;-85.2007;352.4769;352.5133;264.6781;79.8037;1.2958;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.3)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.1377;0.0021;0.0105
0.0;0.0;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1207;-75.1207;359.8683;359.8683;273.3968;273.3968;0.1459;0.1459;0.0006;0.0000;0.0000;-0.0014;-0.0014;0.0006;2585928;71.27462;6249.41;80.868;-87.3153;1.1335;1.109;-75.4465;-85.2007;352.4771;352.5134;264.6831;79.8032;1.2958;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.3)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.2075;0.0021;0.0105
0.0;0.0;False;False;81.0094;81.0094;-0.0027;-0.0027;-75.1208;-75.1208;359.8682;359.8682;273.3999;273.3999;0.146;0.146;0.0031;0.0000;0.0000;-0.0016;-0.0016;0.0031;2585933;71.49857;6249.48;80.868;-87.3152;1.1335;1.109;-75.4466;-85.2007;352.4769;352.5132;264.6858;79.8031;1.2959;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.3)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.2773;0.0021;0.0105
0.0;0.0;False;False;81.0096;81.0096;-0.0027;-0.0027;-75.121;-75.121;359.8683;359.8683;273.402;273.402;0.1461;0.1461;0.0026;0.0000;0.0000;-0.0016;-0.0016;0.0026;2585938;71.51067;6249.55;80.8682;-87.3152;1.1335;1.109;-75.4467;-85.2007;352.4771;352.5132;264.6884;79.8036;1.296;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.4)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.3472;0.0021;0.0105
0.0;0.0;False;False;81.0097;81.0097;-0.0027;-0.0027;-75.1211;-75.1211;359.8683;359.8683;273.4073;273.4073;0.1462;0.1462;0.0023;0.0000;0.0000;-0.0015;-0.0015;0.0023;2585943;71.62545;6249.62;80.8683;-87.3151;1.1335;1.109;-75.4468;-85.2007;352.4771;352.5133;264.6929;79.8047;1.2961;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.3)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.417;0.0021;0.0105
0.0;0.0;False;False;81.0099;81.0099;-0.0027;-0.0027;-75.1212;-75.1212;359.8683;359.8683;273.4113;273.4113;0.1463;0.1463;0.0038;0.0000;0.0000;-0.0016;-0.0016;0.0038;2585948;71.75629;6249.69;80.8685;-87.3151;1.1335;1.109;-75.4469;-85.2007;352.4771;352.5133;264.6976;79.803;1.2962;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.3)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.4863;0.0021;0.0105
0.0;0.0;False;False;81.0101;81.0101;-0.0027;-0.0027;-75.1213;-75.1213;359.8682;359.8682;273.4164;273.4164;0.1463;0.1463;0.0032;0.0000;0.0000;-0.0016;-0.0016;0.0032;2585953;71.92287;6249.76;80.8687;-87.3151;1.1335;1.109;-75.447;-85.2007;352.4771;352.5135;264.7021;79.8024;1.2962;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.3)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.5562;0.0021;0.0105
0.0;0.0;False;False;81.0104;81.0104;-0.0027;-0.0027;-75.1214;-75.1214;359.8683;359.8683;273.4214;273.4214;0.1463;0.1463;0.0038;0.0000;0.0000;-0.0016;-0.0016;0.0038;2585958;71.84261;6249.83;80.8689;-87.3151;1.1335;1.109;-75.4471;-85.2007;352.4771;352.5136;264.7075;79.8026;1.2962;359.6553;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.6, -0.1)_(0.8, 0.0, -0.5, 0.4)_1.073194_System.String[];HandLeft_(-0.1, -0.2, 0.0)_(-0.8, -0.6, 0.1, -0.2)_1.07408_System.String[];HandRight_(0.0, -0.6, -0.1)_(-0.5, -0.5, -0.1, 0.7)_1.073194_System.String[];HandRight_(0.2, -0.2, -0.2)_(-0.4, -0.4, -0.2, 0.8)_1.07408_System.String[];0.6255;0.0021;0.0105
