ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0;0.0;False;False;81.0089;-86.3199;-0.0097;-0.0203;-75.3199;-84.74;359.7966;359.9817;275.6125;78.2197;0.0675;-0.0002; ; ; ; ; ; ;107323;71.96861;inf;1466.66;80.838;-85.9541;1.6535;1.6695;-76.1914;-83.7797;355.6037;352.9781;331.4982;99.3459;353.6626;357.2954;;;HandLeft_(0.0, -0.8, -0.4)_(0.2, 0.5, -0.9, 0.1)_1.034994_System.String[];HandLeft_(0.6, -0.8, 0.1)_(0.9, 0.3, -0.3, 0.0)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.3, -0.2, -0.3, 0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(-0.5, -0.5, -0.4, 0.6)_1.030932_System.String[];0.0;0.0018;0.0152;80.8426;-86.3058;1.0714;1.1643;-75.634;-84.419;345.3851;346.7913;270.7128;80.8889;359.029;351.0515
0.0;0.0;False;False;81.0089;-86.32;-0.0077;-0.0182;-75.32;-84.74;359.8084;359.9931;275.6138;78.2179;0.0674;-0.0002;0.0010;0.0343;0.0350;-0.0015;0.0002;-0.0006;107326;66.30969;inf;1466.72;80.8377;-85.9538;1.6557;1.6717;-76.1915;-83.7796;355.6112;352.9901;331.498;99.3444;353.6735;357.3;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.4)_(0.2, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.6, -0.8, 0.1)_(0.8, 0.4, -0.4, -0.1)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.4, -0.2, -0.2, 0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(-0.5, -0.4, -0.4, 0.6)_1.030932_System.String[];0.0509;0.0004;0.0152;80.8429;-86.3041;1.0736;1.1671;-75.6347;-84.4201;345.5298;346.7909;270.5565;81.361;358.9208;350.6972
0.0;0.0;False;False;81.009;-86.32;-0.0065;-0.017;-75.3201;-84.74;359.8152;-0.0005;275.6161;78.2181;0.0673;-0.0002;0.0002;0.0255;0.0261;-0.0015;0.0000;-0.0006;107329;68.62028;inf;1466.76;80.8375;-85.9536;1.657;1.6729;-76.1915;-83.7796;355.6155;352.9966;331.5003;99.3431;353.6798;357.3026;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.4)_(0.2, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.6, -0.8, 0.1)_(0.8, 0.5, -0.4, -0.1)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.4, -0.2, -0.1, 0.9)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(-0.5, -0.4, -0.4, 0.6)_1.030932_System.String[];0.0929;-0.0024;0.0152;80.8433;-86.3027;1.0749;1.1688;-75.6356;-84.4208;345.7604;346.8033;270.4441;81.7482;358.8547;350.3425
0.0;0.0099;False;False;81.009;-86.32;-0.0056;-0.0161;-75.3201;-84.74;359.8196;0.0038;275.6174;78.218;0.0673;-0.0002;0.0002;0.0186;0.0190;-0.0013;0.0000;-0.0016;107332;70.10635;inf;1466.8;80.8373;-85.9535;1.658;1.6739;-76.1915;-83.7796;355.6185;353.0013;331.5009;99.3434;353.6841;357.3044;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.4)_(0.2, 0.4, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.6, -0.7, 0.1)_(0.7, 0.5, -0.5, -0.2)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.5, -0.2, -0.1, 0.8)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.0)_(-0.6, -0.4, -0.4, 0.6)_1.030932_System.String[];0.1348;-0.0033;0.0152;80.8436;-86.3014;1.0754;1.1701;-75.6367;-84.4213;346.0076;346.8527;270.3445;82.1289;358.7753;349.9524
0.0;0.0237;False;False;81.009;-86.3199;-0.005;-0.0155;-75.3202;-84.74;359.8224;0.0059;275.6191;78.2173;0.0673;-0.0002;0.0034;0.0112;0.0115;-0.0016;0.0007;0.0020;107335;70.8807;inf;1466.84;80.8372;-85.9534;1.6586;1.6746;-76.1916;-83.7795;355.6202;353.0039;331.5024;99.3424;353.6867;357.3055;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.4)_(0.2, 0.5, -0.9, 0.0)_1.034994_System.String[];HandLeft_(0.5, -0.7, 0.1)_(0.6, 0.5, -0.5, -0.2)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.6, -0.2, -0.1, 0.8)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(-0.5, -0.4, -0.4, 0.7)_1.030932_System.String[];0.1766;-0.0033;0.0152;80.8438;-86.3003;1.0757;1.1709;-75.6379;-84.4216;346.1771;347.0029;270.248;82.4685;358.6523;349.5871
0.0;0.0345;False;False;81.0091;-86.3198;-0.0046;-0.015;-75.3203;-84.74;359.8241;0.0069;275.6205;78.2169;0.0673;-0.0002;0.0055;0.0078;0.0080;-0.0016;0.0011;0.0023;107338;71.17663;inf;1466.88;80.8372;-85.9532;1.6591;1.675;-76.1916;-83.7795;355.6214;353.0052;331.5037;99.3418;353.6884;357.3059;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.4)_(0.2, 0.5, -0.8, 0.0)_1.034994_System.String[];HandLeft_(0.5, -0.7, 0.1)_(0.6, 0.5, -0.6, -0.2)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.6, -0.2, -0.2, 0.8)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(-0.5, -0.4, -0.4, 0.6)_1.030932_System.String[];0.2186;-0.0022;0.0152;80.8441;-86.2991;1.0759;1.1711;-75.639;-84.4214;346.4044;347.2809;270.1434;82.7381;358.5642;349.2919
0.0;0.0424;False;False;81.0092;-86.3194;-0.0043;-0.0147;-75.3203;-84.7399;359.8247;0.0068;275.6227;78.2173;0.0673;-0.0001;0.0082;0.0053;0.0054;-0.0015;0.0017;0.0008;107341;71.57675;inf;1466.92;80.8372;-85.953;1.6594;1.6754;-76.1917;-83.7794;355.6219;353.0054;331.5056;99.342;353.6892;357.3061;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.1, 0.5, -0.8, 0.0)_1.034994_System.String[];HandLeft_(0.5, -0.7, 0.1)_(0.6, 0.4, -0.6, -0.2)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.5, -0.3, -0.3, 0.8)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(-0.5, -0.4, -0.4, 0.7)_1.030932_System.String[];0.2603;-0.0005;0.0152;80.8446;-86.298;1.0756;1.1712;-75.6402;-84.4205;346.6939;347.6227;269.9956;82.9317;358.5611;349.0582
0.0;0.0474;False;False;81.0092;-86.319;-0.0041;-0.0145;-75.3204;-84.7398;359.8248;0.0062;275.6259;78.2186;0.0673;-0.0001;0.0137;0.0034;0.0035;-0.0017;0.0028;0.0034;107344;71.77996;inf;1466.97;80.8372;-85.9526;1.6597;1.6756;-76.1918;-83.7794;355.622;353.0049;331.5087;99.3432;353.6893;357.3059;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.1, 0.4, -0.9, -0.1)_1.034994_System.String[];HandLeft_(0.5, -0.7, 0.1)_(0.6, 0.4, -0.7, -0.1)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.5, -0.3, -0.3, 0.8)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(-0.5, -0.4, -0.4, 0.7)_1.030932_System.String[];0.302;0.0001;0.0152;80.8452;-86.2969;1.0754;1.1711;-75.6415;-84.4192;347.0143;347.9738;269.8065;83.043;358.5946;348.9775
0.0;0.0518;False;False;81.0093;-86.3183;-0.004;-0.0144;-75.3205;-84.7397;359.8244;0.005;275.6284;78.2194;0.0673;-0.0001;0.0193;0.0021;0.0022;-0.0016;0.0039;0.0018;107347;71.88866;inf;1467.01;80.8373;-85.952;1.6598;1.6758;-76.1918;-83.7793;355.6219;353.004;331.5113;99.3441;353.6892;357.3055;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.1, 0.4, -0.9, -0.1)_1.034994_System.String[];HandLeft_(0.5, -0.7, 0.0)_(0.6, 0.3, -0.7, -0.1)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.5, -0.3, -0.3, 0.8)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(-0.5, -0.4, -0.4, 0.7)_1.030932_System.String[];0.3436;0.0008;0.0152;80.8456;-86.2958;1.0752;1.1709;-75.6424;-84.4177;347.2355;348.2911;269.614;83.0919;358.5816;349.0745
0.0;0.0561;False;False;81.0094;-86.3174;-0.0039;-0.0144;-75.3205;-84.7395;359.8238;0.0034;275.6303;78.2203;0.0672;-0.0001;0.0245;0.0012;0.0012;-0.0015;0.0049;0.0017;107350;71.94201;inf;1467.05;80.8373;-85.9512;1.6599;1.6759;-76.1919;-83.7791;355.6217;353.0026;331.5134;99.3451;353.6887;357.305;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.8, -0.5)_(0.1, 0.4, -0.9, -0.1)_1.034994_System.String[];HandLeft_(0.5, -0.7, 0.0)_(0.6, 0.3, -0.7, -0.1)_1.030932_System.String[];HandRight_(0.1, -0.8, -0.7)_(-0.5, -0.3, -0.3, 0.8)_1.034994_System.String[];HandRight_(0.6, -0.9, 0.1)_(-0.5, -0.4, -0.4, 0.7)_1.030932_System.String[];0.3853;0.0012;0.0152;80.8461;-86.2942;1.0751;1.1709;-75.6433;-84.4161;347.282;348.5643;269.4424;83.102;358.5103;349.3173
