ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.9983;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8681;359.8681;273.3849;273.3849;0.1469;0.1469; ; ; ; ; ; ;14630;71.5185;184.34;80.7891;-87.0494;1.5091;1.2417;-75.9294;-85.3122;353.0272;352.7457;298.6171;91.7418;356.8864;358.1186;;;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.4, -0.8, 0.2)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.0;-0.0145;-0.0146
0.0;0.9985;False;False;81.0094;81.0094;-0.0027;-0.0027;-75.1206;-75.1206;359.8686;359.8686;273.3899;273.3899;0.1460;0.1460;0.0025;0.0000;0.0000;-0.0015;-0.0015;0.0025;14631;33.52103;184.43;80.7891;-87.0494;1.5091;1.2417;-75.9294;-85.3122;353.0272;352.7457;298.6171;91.7418;356.8864;358.1186;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.4, -0.8, 0.2)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.0932;-0.0145;-0.0146
0.0;0.9991;False;False;81.0095;81.0095;-0.0027;-0.0027;-75.1207;-75.1207;359.8684;359.8684;273.3936;273.3936;0.1459;0.1459;0.0005;0.0000;0.0000;-0.0014;-0.0014;0.0005;14636;52.31895;184.5;80.7893;-87.0214;1.5091;1.2421;-75.9296;-85.3056;353.0279;352.6927;298.6253;91.7353;356.8857;358.1035;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.5, -0.8, 0.3)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.1627;-0.0145;-0.0146
0.0;0.9995;False;False;81.0096;81.0096;-0.0027;-0.0027;-75.1208;-75.1208;359.8683;359.8683;273.3982;273.3982;0.1460;0.1460;0.0015;0.0000;0.0000;-0.0015;-0.0015;0.0015;14641;64.09823;184.57;80.7893;-86.9908;1.5091;1.2423;-75.9297;-85.2983;353.0278;352.6641;298.6294;91.7277;356.8857;358.0956;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.5, -0.8, 0.3)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.6, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.2321;-0.0145;-0.0146
0.0;0.9997;False;False;81.0098;81.0098;-0.0027;-0.0027;-75.1209;-75.1209;359.8684;359.8684;273.4016;273.4016;0.1461;0.1461;0.0012;0.0000;0.0000;-0.0015;-0.0015;0.0012;14646;69.13135;184.64;80.7894;-86.9486;1.5091;1.2425;-75.9298;-85.2883;353.0278;352.6407;298.6335;91.717;356.8858;358.0891;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.4, -0.8, 0.2)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.6, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.3017;-0.0145;-0.0146
0.0;0.9998;False;False;81.0099;81.0099;-0.0027;-0.0027;-75.1210;-75.1210;359.8681;359.8681;273.4057;273.4057;0.1462;0.1462;0.0015;0.0000;0.0000;-0.0015;-0.0015;0.0015;14651;71.03669;184.71;80.7895;-86.8952;1.5091;1.2426;-75.9299;-85.2756;353.0275;352.6229;298.6368;91.7033;356.8858;358.0841;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.4, -0.8, 0.2)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.3712;-0.0145;-0.0146
0.0;0.9999;False;False;81.0101;81.0101;-0.0027;-0.0027;-75.1211;-75.1211;359.8681;359.8681;273.4114;273.4114;0.1463;0.1463;0.0025;0.0000;0.0000;-0.0015;-0.0015;0.0025;14656;71.68178;184.78;80.7896;-86.8303;1.5091;1.2427;-75.9300;-85.2603;353.0274;352.6101;298.6422;91.6866;356.8859;358.0804;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.4, -0.8, 0.2)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.4406;-0.0145;-0.0146
0.0;0.9987;False;False;81.0103;81.0103;-0.0027;-0.0027;-75.1212;-75.1212;359.8683;359.8683;273.4140;273.4140;0.1463;0.1463;0.0039;0.0000;0.0000;-0.0016;-0.0016;0.0039;14661;71.79694;184.85;80.7898;-86.7541;1.5091;1.2428;-75.9300;-85.2421;353.0276;352.6009;298.6458;91.667;356.8860;358.0777;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.4, -0.8, 0.2)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.5101;-0.0145;-0.0146
0.0;0.8874;False;False;81.0106;81.0106;-0.0027;-0.0027;-75.1213;-75.1213;359.8683;359.8683;273.4181;273.4181;0.1463;0.1463;0.0035;0.0000;0.0000;-0.0016;-0.0016;0.0035;14666;71.70537;184.92;80.7901;-86.6662;1.5091;1.2428;-75.9301;-85.2212;353.0276;352.5945;298.6493;91.6443;356.8860;358.0757;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.4, -0.8, 0.2)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.5799;-0.0145;-0.0144
0.0;0.6724;False;False;81.0109;81.0109;-0.0027;-0.0027;-75.1215;-75.1215;359.8680;359.8680;273.4216;273.4216;0.1463;0.1463;0.0041;0.0000;0.0000;-0.0016;-0.0016;0.0041;14671;71.68874;184.99;80.7902;-86.5677;1.5091;1.2428;-75.9302;-85.1978;353.0273;352.5922;298.6535;91.6191;356.8858;358.075;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.6, -0.3)_(0.3, 0.4, -0.8, 0.2)_1.041874_System.String[];HandLeft_(-0.6, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.2)_1.047682_System.String[];HandRight_(0.4, -0.6, -0.4)_(-0.4, -0.5, -0.3, 0.7)_1.041874_System.String[];HandRight_(-0.3, -0.3, 0.2)_(-0.1, -0.5, -0.6, 0.6)_1.047682_System.String[];0.6497;-0.0145;-0.0143
