ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0;0.0;False;False;82.2;107.4;-0.0139;-0.0139;25.2;69.7;0.0008;0.0011;208.4238;217.2918;0.0;0.0; ; ; ; ; ; ;69444;71.44819;inf;470.74;82.6849;107.0585;1.4144;1.3041;24.2393;69.1835;354.3254;352.8849;249.4125;198.7835;355.0893;2.3744;;;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.5, -0.7, 0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.4, -0.4, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.2, 0.4, 0.4, -0.8)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(-0.1, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.0;-0.0094;0.0257;82.5365;107.636;1.1288;1.1811;24.9451;69.2327;6.3423;5.2727;222.0296;227.0413;357.6265;355.8828
0.0;0.0;False;False;82.2;107.4;-0.0139;-0.0139;25.2;69.6999;0.0009;0.0007;208.4233;217.2926;0.0;0.0;0.0003;0.0000;-0.0001;0.0007;0.0003;0.0004;69445;41.41941;inf;470.8;82.6849;107.0585;1.4144;1.3041;24.2393;69.1835;354.3254;352.8848;249.4125;198.7835;355.0893;2.3744;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.5, -0.7, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.4, -0.4, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.2, 0.5, 0.4, -0.8)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(-0.1, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.0647;-0.0091;0.0257;82.5217;107.6367;1.1084;1.1811;24.9539;69.2324;16.8821;5.2539;228.503;226.8626;353.4575;356.0346
0.0;0.0;False;False;82.2;107.4;-0.0139;-0.0139;25.2;69.6999;0.0009;0.0008;208.4249;217.2914;0.0;0.0;0.0002;0.0000;-0.0001;-0.0013;0.0003;-0.0007;69448;52.24809;inf;470.85;82.6849;107.0585;1.4143;1.3041;24.2393;69.1834;354.3255;352.8846;249.4132;198.7837;355.0893;2.3745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.5, -0.7, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.4, -0.3, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.5, -0.2)_(0.1, 0.5, 0.5, -0.7)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(-0.1, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.1064;-0.0074;0.0257;82.5164;107.6368;1.1025;1.1811;24.9579;69.2324;20.1068;5.2889;231.2668;226.8216;352.7736;356.0906
0.0;0.0;False;False;82.2;107.4;-0.0139;-0.0139;25.2;69.7;0.0007;0.0008;208.4249;217.2918;0.0;0.0;0.0003;0.0000;-0.0001;0.0005;0.0003;0.0003;69451;60.25318;inf;470.89;82.6849;107.0585;1.4143;1.3041;24.2393;69.1834;354.3253;352.8846;249.4138;198.7832;355.0892;2.3745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.4, -0.7, 0.2)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.4, -0.3, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.6, -0.2)_(0.1, 0.5, 0.5, -0.7)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(-0.1, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.1482;-0.0065;0.0257;82.5094;107.6373;1.0981;1.1814;24.963;69.2323;22.501;5.3208;235.1913;226.7807;352.8726;356.1783
0.0;0.0;False;False;82.2;107.4;-0.0139;-0.0139;25.2;69.6999;0.0007;0.0007;208.425;217.2915;0.0;0.0;-0.0008;0.0000;0.0000;-0.0015;-0.0010;-0.0008;69454;65.47168;inf;470.93;82.6849;107.0585;1.4143;1.3041;24.2393;69.1834;354.3254;352.8846;249.4137;198.7834;355.0892;2.3745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.5, -0.7, 0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.4, -0.3, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.6, -0.2)_(0.2, 0.5, 0.6, -0.7)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(0.0, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.1898;-0.0065;0.0257;82.5014;107.6381;1.0946;1.182;24.9689;69.2321;23.9443;5.2331;239.4999;226.7368;353.1176;356.3187
0.0;0.0;False;False;82.2;107.4;-0.0139;-0.0139;25.2001;69.6999;0.0008;0.0008;208.4245;217.2917;0.0;0.0;0.0005;0.0000;0.0000;0.0003;0.0006;0.0002;69457;68.34284;inf;470.97;82.6849;107.0585;1.4143;1.3041;24.2393;69.1834;354.3254;352.8845;249.4137;198.7832;355.0892;2.3745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.5, -0.7, 0.0)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.4, -0.3, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.6, -0.2)_(0.2, 0.5, 0.6, -0.6)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(0.0, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.2317;-0.0065;0.0257;82.4944;107.6389;1.0913;1.1824;24.975;69.2318;25.0949;5.0901;243.331;226.6734;353.1884;356.4829
0.0;0.0;False;False;82.2;107.4;-0.0139;-0.0139;25.2;69.7;0.0007;0.0009;208.4241;217.2919;0.0;0.0;-0.0002;0.0000;0.0000;-0.0007;-0.0002;-0.0004;69460;69.92735;inf;471.01;82.6849;107.0585;1.4143;1.3041;24.2393;69.1835;354.3253;352.8847;249.4129;198.7836;355.0892;2.3744;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.5, -0.7, 0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.4, -0.3, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.6, -0.2)_(0.1, 0.5, 0.6, -0.6)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(0.0, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.2736;-0.0065;0.0257;82.4889;107.64;1.0876;1.1826;24.9811;69.2315;26.5723;4.9983;246.3847;226.569;353.0263;356.692
0.0;0.0;False;False;82.2;107.4;-0.0139;-0.0139;25.2;69.6999;0.0007;0.0007;208.4241;217.2921;0.0;0.0;-0.0002;0.0000;0.0000;0.0007;-0.0003;0.0004;69463;70.92545;inf;471.05;82.6849;107.0585;1.4143;1.3041;24.2393;69.1834;354.3253;352.8845;249.413;198.7839;355.0891;2.3745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.5, -0.7, 0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.4, -0.4, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.6, -0.2)_(0.1, 0.5, 0.7, -0.6)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(0.0, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.3152;-0.0065;0.0257;82.4848;107.6414;1.0849;1.183;24.9866;69.2311;27.9937;4.9473;248.7757;226.4294;352.8594;356.9649
0.0;0.0;False;False;82.2;107.4;-0.0139;-0.0139;25.2001;69.6999;0.0008;0.0008;208.4236;217.2921;0.0;0.0;0.0004;0.0000;0.0000;0.0005;0.0005;0.0003;69466;71.44569;inf;471.1;82.6849;107.0585;1.4143;1.3041;24.2394;69.1834;354.3254;352.8845;249.4122;198.7832;355.0892;2.3745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.5, -0.7, 0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.3, -0.4, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.6, -0.2)_(0.1, 0.5, 0.7, -0.6)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(0.0, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.3569;-0.0065;0.0257;82.4814;107.6427;1.0848;1.1833;24.9915;69.2305;28.2681;4.8735;250.5644;226.2733;352.4369;357.2772
0.0;0.0;False;False;82.2001;107.4;-0.0139;-0.0139;25.2001;69.6999;0.0007;0.0007;208.4242;217.2934;0.0;0.0;0.0006;0.0000;0.0000;-0.0017;0.0008;-0.0009;69469;71.3795;inf;471.14;82.6849;107.0585;1.4143;1.3041;24.2394;69.1834;354.3254;352.8845;249.4128;198.7847;355.0893;2.3745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.5, -0.1)_(0.5, 0.5, -0.7, 0.1)_1.025087_System.String[];HandLeft_(-0.5, -0.4, 0.0)_(0.8, 0.3, -0.4, 0.2)_0.9962534_System.String[];HandRight_(0.6, -0.6, -0.2)_(0.0, 0.4, 0.7, -0.6)_1.025087_System.String[];HandRight_(-0.3, -0.4, 0.1)_(0.0, 0.7, 0.4, -0.6)_0.9962534_System.String[];0.3989;-0.0065;0.0257;82.4773;107.6441;1.0886;1.1837;24.996;69.2297;26.4412;4.7719;252.041;226.0588;351.866;357.6799
