ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0033;0.0037;False;False;53.6;63.9415;0.0461;0.0461;72.1999;106.2406;0.0007;0.0007;180.3439;235.6641;0.0;0.0; ; ; ; ; ; ;18230;71.87028;inf;233.84;54.3543;63.7155;1.6102;1.7116;71.7944;106.2498;353.8023;352.6165;214.7628;225.5254;355.7693;1.3165;;;HandLeft_(0.2, -0.7, -0.1)_(0.4, 0.6, -0.7, 0.2)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.4, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.0;-0.0082;-0.0042;53.9898;63.9576;1.2055;1.2625;72.0515;105.8323;355.1231;10.9789;180.2359;234.1688;5.1359;358.2618
0.0029;0.0033;False;False;53.6;63.9415;0.0461;0.0461;72.2;106.2406;0.0008;0.0007;180.3439;235.6649;0.0;0.0;-0.0012;0.0000;0.0000;-0.0006;-0.0008;0.0000;18231;41.66447;inf;233.9;54.3543;63.7155;1.6102;1.7116;71.7944;106.2498;353.8023;352.6165;214.7628;225.5254;355.7693;1.3165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.2)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.4, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.0643;-0.0082;-0.0042;53.9904;63.9561;1.2073;1.2626;72.0505;105.8322;354.3663;10.883;180.2552;234.3662;5.0892;358.1614
0.0021;0.0024;False;False;53.6;63.9414;0.0461;0.0461;72.1999;106.2405;0.0005;0.0005;180.3439;235.6638;0.0;0.0;-0.0020;0.0000;0.0000;-0.0008;-0.0014;0.0000;18234;52.44776;inf;233.95;54.3543;63.7155;1.6102;1.7116;71.7944;106.2498;353.8023;352.6164;214.7628;225.5255;355.7693;1.3165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.4, 0.6, -0.7, 0.2)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.4, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.106;-0.0082;-0.0042;53.99;63.9557;1.208;1.2627;72.0499;105.8322;354.0871;10.8901;180.3138;234.4427;5.0492;358.1385
0.0016;0.0018;False;False;53.6;63.9413;0.0461;0.0461;72.1998;106.2405;0.0004;0.0003;180.3433;235.6642;0.0;0.0;-0.0013;0.0000;0.0000;-0.0025;-0.0009;0.0000;18237;60.37718;inf;233.99;54.3543;63.7154;1.6102;1.7116;71.7944;106.2497;353.8022;352.6161;214.7624;225.5249;355.7692;1.3165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.2)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.4, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.1478;-0.0082;-0.0042;53.9895;63.9556;1.2084;1.2627;72.0491;105.8321;353.763;10.982;180.4716;234.5512;5.0168;358.1194
0.0011;0.0013;False;False;53.6;63.9413;0.0461;0.0461;72.1998;106.2404;0.0003;0.0003;180.3423;235.6655;0.0;0.0;-0.0025;0.0000;0.0000;-0.0016;-0.0017;0.0000;18240;65.41109;inf;234.03;54.3543;63.7154;1.6102;1.7116;71.7943;106.2497;353.802;352.6161;214.7618;225.5265;355.7691;1.3165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.2)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.4, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.1897;-0.0082;-0.0042;53.9891;63.9556;1.2088;1.2627;72.0483;105.8321;353.4519;11.1339;180.7421;234.6779;4.9615;358.0859
0.0008;0.0009;False;False;53.6;63.9412;0.0461;0.0461;72.1997;106.2404;0.0003;0.0003;180.3421;235.6662;0.0;0.0;-0.0023;0.0000;0.0000;-0.0020;-0.0015;0.0000;18243;68.0585;inf;234.07;54.3543;63.7153;1.6102;1.7116;71.7942;106.2497;353.802;352.6161;214.7612;225.5275;355.7691;1.3165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.4, 0.6, -0.7, 0.2)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.4, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.2319;-0.0082;-0.0042;53.9886;63.9553;1.209;1.2627;72.0474;105.8319;353.2356;11.2297;181.1029;234.8109;4.8693;358.0623
0.0006;0.0007;False;False;53.6;63.9412;0.0461;0.0461;72.1996;106.2404;0.0003;0.0004;180.342;235.6663;0.0;0.0;-0.0025;0.0000;0.0000;-0.0009;-0.0017;0.0000;18246;69.77155;inf;234.11;54.3543;63.7153;1.6102;1.7116;71.7941;106.2496;353.802;352.6162;214.7607;225.5276;355.7691;1.3165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.4, 0.6, -0.7, 0.1)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.4, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.2738;-0.0082;-0.0042;53.9879;63.9554;1.2092;1.2628;72.0463;105.831;353.0484;11.1904;181.5589;234.8896;4.7764;358.0859
0.0004;0.0005;False;False;53.6;63.9411;0.0461;0.0461;72.1996;106.2403;0.0004;0.0005;180.3433;235.6659;0.0;0.0;-0.0010;0.0000;0.0000;-0.0016;-0.0007;0.0000;18249;70.85532;inf;234.15;54.3543;63.7152;1.6102;1.7116;71.7941;106.2496;353.8021;352.6163;214.762;225.5271;355.7692;1.3165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.2)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.8, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.4, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.3154;-0.0082;-0.0042;53.9866;63.9556;1.2095;1.2628;72.0452;105.8305;352.9326;11.2461;182.1135;234.8963;4.7153;358.1393
0.0003;0.0004;False;False;53.6;63.9411;0.0461;0.0461;72.1995;106.2403;0.0005;0.0008;180.3443;235.6655;0.0;0.0;-0.0008;0.0000;0.0000;-0.0013;-0.0005;0.0000;18252;71.07159;inf;234.2;54.3543;63.7152;1.6102;1.7116;71.794;106.2496;353.8022;352.6166;214.763;225.5271;355.7692;1.3165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.1)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.5, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.3576;-0.0082;-0.0042;53.9849;63.9562;1.2092;1.2628;72.0442;105.8297;352.9824;11.253;182.9957;234.8301;4.6655;358.2383
0.0002;0.0003;False;False;53.6;63.941;0.0461;0.0461;72.1994;106.2403;0.0005;0.0006;180.3448;235.6648;0.0;0.0;-0.0023;0.0000;0.0000;-0.0002;-0.0016;0.0000;18255;71.19596;inf;234.24;54.3543;63.7152;1.6102;1.7116;71.7939;106.2495;353.8021;352.6165;214.7632;225.5258;355.7692;1.3165;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.7, -0.1)_(0.3, 0.6, -0.7, 0.1)_1.034973_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.021865_System.String[];HandRight_(0.5, -0.7, -0.3)_(-0.5, -0.4, -0.3, 0.7)_1.034973_System.String[];HandRight_(-0.3, -0.8, -0.3)_(0.0, -0.5, -0.5, 0.7)_1.021865_System.String[];0.3996;-0.0082;-0.0042;53.9829;63.9567;1.2086;1.2628;72.0433;105.8291;353.2339;11.17;184.2233;234.7358;4.5563;358.3974
