ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0;0.0;False;False;53.6;63.9406;-0.025;-0.025;72.1988;106.2401;359.6738;359.7232;180.3439;235.6638;0.0;0.067; ; ; ; ; ; ;274399;71.85677;inf;3378.97;54.0114;63.7361;1.0969;0.8362;72.0939;105.1662;352.2022;352.2719;185.7309;243.0479;359.267;359.0696;;;HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.4, 0.0, 0.3)_(0.5, 0.7, -0.5, -0.1)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.6, 0.5, -0.5)_0.9500589_System.String[];0.0;-0.0061;-0.0134;54.0278;64.0181;1.112;1.0724;72.1194;105.8701;349.7271;346.8061;182.759;237.0099;0.3588;357.7897
0.0;0.0;False;False;53.6;63.9407;-0.0144;-0.0144;72.199;106.2401;359.7082;359.7558;180.344;235.6637;0.0;0.0593;-0.0019;0.2258;0.2260;0.0006;-0.0002;0.0000;274402;65.74962;inf;3379.02;54.0114;63.7357;1.1068;0.8458;72.0935;105.166;352.2313;352.3016;185.7308;243.0482;359.2697;359.0671;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.3, 0.0, 0.3)_(0.5, 0.6, -0.6, -0.2)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.6, 0.5, -0.5)_0.9500589_System.String[];0.0518;-0.0061;-0.0134;54.0282;64.018;1.1221;1.0818;72.1187;105.8691;349.8566;347.0789;182.654;235.9722;0.4546;357.7533
0.0;0.0;False;False;53.6;63.9408;-0.005;-0.005;72.1991;106.2402;359.7456;359.7888;180.3448;235.6626;0.0;0.051;-0.0018;0.2230;0.2231;-0.0023;0.0000;0.0000;274405;68.65591;inf;3379.06;54.0114;63.7354;1.1161;0.8549;72.093;105.1659;352.2666;352.334;185.7304;243.0477;359.2731;359.0632;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.3, 0.0, 0.3)_(0.5, 0.6, -0.6, -0.2)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.5, 0.6, -0.5)_0.9500589_System.String[];0.0935;-0.0061;-0.0134;54.0284;64.0178;1.1319;1.0908;72.1181;105.8682;349.925;347.3991;182.5258;235.1326;0.5564;357.7744
0.0;0.0;False;False;53.6;63.941;0.0041;0.0042;72.1993;106.2403;359.7861;359.8236;180.3466;235.6636;0.0;0.0426;-0.0019;0.2062;0.2062;-0.0027;0.0000;0.0000;274408;70.07301;inf;3379.1;54.0114;63.735;1.1253;0.8638;72.0923;105.1658;352.3063;352.3694;185.7317;243.0489;359.2769;359.0593;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.3, 0.0, 0.3)_(0.5, 0.6, -0.7, -0.1)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.5, 0.6, -0.5)_0.9500589_System.String[];0.1353;-0.0061;-0.0134;54.0288;64.0176;1.1416;1.0994;72.1172;105.8673;349.9794;347.7852;182.375;234.3334;0.6688;357.8272
0.0;0.0;False;False;53.6;63.9411;0.0124;0.0124;72.1995;106.2403;359.8261;359.8576;180.3477;235.6635;0.0;0.035;-0.0023;0.1824;0.1824;-0.0018;-0.0004;0.0000;274411;70.75135;inf;3379.15;54.0114;63.7346;1.1338;0.872;72.0917;105.1657;352.3464;352.4044;185.7322;243.0495;359.2807;359.0558;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.3, 0.0, 0.3)_(0.5, 0.6, -0.7, -0.1)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.5, 0.6, -0.5)_0.9500589_System.String[];0.1772;-0.0061;-0.0134;54.0292;64.0175;1.151;1.1075;72.1162;105.8663;350.0754;348.1896;182.2116;233.6001;0.8217;357.8979
0.0;0.0;False;False;53.6;63.9412;0.0197;0.0197;72.1997;106.2404;359.864;359.8895;180.349;235.6628;0.0;0.0282;-0.0028;0.1562;0.1561;-0.0012;-0.0009;0.0000;274414;70.15215;inf;3379.19;54.0114;63.7343;1.1413;0.8792;72.0911;105.1656;352.3846;352.4375;185.7338;243.0492;359.2844;359.053;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.3, 0.0, 0.3)_(0.5, 0.5, -0.7, -0.1)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.5, 0.6, -0.5)_0.9500589_System.String[];0.2202;-0.0061;-0.0134;54.0294;64.0174;1.1591;1.1147;72.1155;105.8652;350.2025;348.6159;182.0633;232.914;1.0213;357.9332
0.0;0.0;False;False;53.6;63.9413;0.0257;0.0258;72.1998;106.2405;359.8968;359.9172;180.3478;235.6621;0.0;0.0226;-0.0014;0.1303;0.1302;0.0001;0.0000;0.0000;274417;70.69147;inf;3379.23;54.0114;63.734;1.1478;0.8855;72.0906;105.1655;352.4196;352.4677;185.7322;243.049;359.2877;359.0507;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.3, 0.0, 0.3)_(0.5, 0.5, -0.7, -0.1)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.5, 0.6, -0.5)_0.9500589_System.String[];0.2622;-0.0061;-0.0134;54.03;64.0172;1.166;1.1206;72.1148;105.8644;350.287;349.0344;181.9741;232.3613;1.2796;357.928
0.0;0.0;False;False;53.6;63.9413;0.0308;0.0309;72.1999;106.2405;359.9254;359.9411;180.3483;235.6621;0.0;0.0177;-0.0024;0.1064;0.1063;-0.0014;-0.0009;0.0000;274420;69.5815;inf;3379.28;54.0114;63.7337;1.1532;0.8907;72.0901;105.1654;352.4501;352.4938;185.7323;243.0487;359.2906;359.0489;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.3, 0.0, 0.3)_(0.5, 0.5, -0.7, 0.0)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.5, 0.6, -0.5)_0.9500589_System.String[];0.3062;-0.0061;-0.0134;54.0304;64.0169;1.1718;1.1252;72.1147;105.8638;350.3242;349.4629;181.8837;231.9133;1.5851;357.8928
0.0;0.0;False;False;53.6;63.9414;0.0347;0.0347;72.2001;106.2406;359.9477;359.9598;180.3482;235.6623;0.0;0.014;-0.0013;0.0853;0.0852;-0.0005;-0.0003;0.0000;274423;70.74094;inf;3379.32;54.0114;63.7335;1.1573;0.8946;72.0898;105.1653;352.4738;352.5141;185.7314;243.0491;359.2928;359.0475;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.3, 0.0, 0.3)_(0.5, 0.5, -0.7, 0.0)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.5, 0.6, -0.5)_0.9500589_System.String[];0.3479;-0.0061;-0.0134;54.0307;64.0167;1.1763;1.1283;72.1147;105.8634;350.3152;349.8848;181.7856;231.6414;1.8558;357.8359
0.0;0.0;False;False;53.6;63.9415;0.0378;0.0378;72.2001;106.2406;359.9651;359.9746;180.3488;235.6634;0.0;0.011;-0.0015;0.0672;0.0671;-0.0026;-0.0005;0.0000;274426;71.00338;inf;3379.36;54.0114;63.7333;1.1606;0.8977;72.0895;105.1653;352.4926;352.5304;185.732;243.0496;359.2946;359.0464;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.5, -0.5, 0.1)_1.085012_System.String[];HandLeft_(0.3, 0.0, 0.3)_(0.6, 0.5, -0.7, 0.0)_0.9500589_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_1.085012_System.String[];HandRight_(0.5, -0.1, 0.3)_(0.4, 0.5, 0.6, -0.5)_0.9500589_System.String[];0.3899;-0.0061;-0.0134;54.0313;64.0162;1.1798;1.1309;72.115;105.8629;350.2091;350.3333;181.6646;231.5372;2.0774;357.7475
