ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;80.8693;80.8693;-0.0024;-0.0024;-75.1505;-75.1505;359.8797;359.8797;269.9953;269.9953;0.16;0.16; ; ; ; ; ; ;164185;75.34847;2271.97;80.2529;-83.5598;1.2061;1.0378;-75.7213;78.1172;352.592;352.5137;257.5039;150.9081;1.7986;359.7066;;;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.4, 0.6, -0.7, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.0;-0.0264;0.0013
0.0;0.0;False;False;80.8694;80.8694;-0.0024;-0.0024;-75.1506;-75.1506;359.8796;359.8796;269.998;269.998;0.1592;0.1592;-0.0005;0.0000;0.0000;-0.0013;-0.0013;-0.0005;164189;66.29678;2272.04;80.2529;-83.5597;1.2061;1.0378;-75.7213;78.1172;352.5919;352.5136;257.5065;150.9068;1.7979;359.7066;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.4, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.0706;-0.0264;0.0013
0.0;0.0;False;False;80.8694;80.8694;-0.0024;-0.0024;-75.1507;-75.1507;359.8796;359.8796;270.0028;270.0028;0.159;0.159;0.0012;0.0000;0.0000;-0.0014;-0.0014;0.0012;164194;68.36678;2272.11;80.2529;-83.5598;1.2061;1.0378;-75.7213;78.1172;352.5917;352.5138;257.511;150.9082;1.7976;359.7066;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.4, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.1416;-0.0264;0.0013
0.0;0.0;False;False;80.8694;80.8694;-0.0024;-0.0024;-75.1508;-75.1508;359.8797;359.8797;270.0065;270.0065;0.1591;0.1591;0.0005;0.0000;0.0000;-0.0014;-0.0014;0.0005;164199;70.93633;2272.18;80.2529;-83.5597;1.2061;1.0378;-75.7214;78.1172;352.5919;352.5136;257.5146;150.9086;1.7976;359.7066;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.4, 0.6, -0.7, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.2095;-0.0264;0.0013
0.0;0.0;False;False;80.8695;80.8695;-0.0024;-0.0024;-75.1509;-75.1509;359.8796;359.8796;270.0114;270.0114;0.1592;0.1592;0.0005;0.0000;0.0000;-0.0014;-0.0014;0.0005;164204;71.13181;2272.25;80.2529;-83.5597;1.2061;1.0378;-75.7215;78.1172;352.5919;352.5137;257.519;150.9075;1.7977;359.7066;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.4, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.2788;-0.0265;0.0013
0.0;0.0;False;False;80.8696;80.8696;-0.0024;-0.0024;-75.151;-75.151;359.8797;359.8797;270.0157;270.0157;0.1593;0.1593;0.0020;0.0000;0.0000;-0.0014;-0.0014;0.0020;164209;71.10601;2272.32;80.253;-83.5597;1.2061;1.0378;-75.7215;78.1173;352.5919;352.5137;257.5239;150.906;1.7978;359.7066;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.4, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.5)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.3486;-0.0265;0.0013
0.0;0.0;False;False;80.8697;80.8697;-0.0024;-0.0024;-75.1511;-75.1511;359.8796;359.8796;270.0186;270.0186;0.1594;0.1594;-0.0003;0.0000;0.0000;-0.0014;-0.0014;-0.0003;164214;70.75374;2272.39;80.2531;-83.5597;1.2061;1.0378;-75.7216;78.1173;352.5919;352.5136;257.5262;150.9051;1.7979;359.7066;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.5)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.4185;-0.0265;0.0013
0.0;0.0;False;False;80.8698;80.8698;-0.0024;-0.0024;-75.1512;-75.1512;359.8795;359.8795;270.0223;270.0223;0.1594;0.1594;0.0007;0.0000;0.0000;-0.0014;-0.0014;0.0007;164219;70.7571;2272.46;80.2531;-83.5597;1.2061;1.0378;-75.7217;78.1172;352.5918;352.5137;257.5306;150.9062;1.798;359.7066;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.5)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.488;-0.0265;0.0013
0.0;0.0;False;False;80.8699;80.8699;-0.0024;-0.0024;-75.1513;-75.1513;359.8794;359.8794;270.0287;270.0287;0.1594;0.1594;0.0010;0.0000;0.0000;-0.0014;-0.0014;0.0010;164224;69.89317;2272.53;80.2532;-83.5597;1.2061;1.0378;-75.7217;78.1172;352.5917;352.5136;257.536;150.9053;1.798;359.7066;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.5)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.5583;-0.0265;0.0013
0.0;0.0;False;False;80.87;80.87;-0.0024;-0.0024;-75.1514;-75.1514;359.8795;359.8795;270.0318;270.0318;0.1594;0.1594;0.0026;0.0000;0.0000;-0.0014;-0.0014;0.0026;164229;71.10685;2272.6;80.2532;-83.5596;1.2061;1.0378;-75.7218;78.1171;352.5916;352.5134;257.54;150.9056;1.798;359.7065;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.6, 0.5)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.627;-0.0265;0.0013
