ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.2843;0.5114;False;False;64.0915;64.0915;0.0461;0.0461;105.9506;105.9506;0.0007;0.0007;235.6641;235.6641;0.0;0.0; ; ; ; ; ; ;272008;70.91548;3807.06;63.9003;-97.61;1.2549;1.0981;105.133;-104.8312;352.6756;352.5064;223.1962;39.1287;1.6146;359.707;;;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(0.2, 0.6, 0.6, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.0;-0.1121;-0.0089
0.5181;0.3856;False;False;64.089;64.089;0.0461;0.0461;105.9487;105.9487;359.9926;359.9926;235.6559;235.6559;-0.0015;-0.0015;-0.0700;-0.0001;-0.0001;-0.0533;-0.0533;-0.0700;272013;66.33496;3807.14;63.8989;-97.6082;1.2549;1.0983;105.1318;-104.8287;352.6698;352.4973;223.1906;39.1267;1.6148;359.7065;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.4, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(0.2, 0.6, 0.6, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.0823;-0.1121;-0.0075
0.7154;0.2369;False;False;64.0822;64.0822;0.0461;0.0461;105.9435;105.9435;359.9777;359.9777;235.6362;235.6362;-0.0036;-0.0036;-0.1412;-0.0003;-0.0003;-0.1072;-0.1072;-0.1412;272018;70.03421;3807.21;63.8936;-97.6033;1.2551;1.0984;105.1275;-104.8222;352.6561;352.4843;223.1731;39.1244;1.6158;359.7059;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.3, -0.4, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(0.3, 0.7, 0.6, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.1506;-0.1121;-0.0055
0.832;0.1399;False;False;64.0688;64.0688;0.046;0.046;105.9333;105.9333;359.9566;359.9566;235.6006;235.6006;359.9937;359.9937;-0.2278;-0.0004;-0.0004;-0.1725;-0.1725;-0.2278;272023;70.06317;3807.28;63.8823;-97.5964;1.2553;1.0986;105.1185;-104.8128;352.6357;352.4757;223.1408;39.1231;1.6176;359.7056;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.2, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(0.3, 0.7, 0.6, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.5, -0.6, 0.5)_1.020326_System.String[];0.2214;-0.1121;-0.0036
0.9008;0.0826;False;False;64.0477;64.0477;0.046;0.046;105.9174;105.9174;359.9337;359.9337;235.5466;235.5466;359.9908;359.9908;-0.3596;-0.0005;-0.0005;-0.2722;-0.2722;-0.3596;272028;70.2753;3807.35;63.8646;-97.5886;1.2555;1.0986;105.1045;-104.8023;352.6135;352.4734;223.0921;39.1223;1.6197;359.7055;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.2, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(0.3, 0.7, 0.6, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.5, -0.6, 0.5)_1.020326_System.String[];0.291;-0.1121;-0.0031
0.9414;0.0488;False;False;64.0188;64.0188;0.046;0.046;105.8954;105.8954;359.912;359.912;235.4735;235.4735;359.9882;359.9882;-0.4646;-0.0005;-0.0005;-0.3520;-0.3520;-0.4646;272033;70.84145;3807.42;63.8383;-97.5799;1.2558;1.0985;105.0837;-104.7907;352.5909;352.4757;223.022;39.1215;1.6219;359.7057;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.2, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(0.3, 0.7, 0.5, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.3601;-0.112;-0.0031
0.9654;0.0288;False;False;63.9808;63.9808;0.0459;0.0459;105.8666;105.8666;359.8931;359.8931;235.3789;235.3789;359.9856;359.9856;-0.6099;-0.0004;-0.0004;-0.4632;-0.4632;-0.6099;272038;70.79021;3807.49;63.8042;-97.571;1.256;1.0985;105.0565;-104.7787;352.5714;352.4803;222.9323;39.1208;1.6236;359.7059;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.2, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.3, 0.7, 0.6, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.4299;-0.112;-0.0031
0.96;0.017;False;False;63.9335;63.9335;0.0459;0.0459;105.8306;105.8306;359.8775;359.8775;235.2619;235.2619;359.9832;359.9832;-0.7202;-0.0004;-0.0004;-0.5485;-0.5485;-0.7202;272043;70.21162;3807.56;63.7606;-97.5618;1.2561;1.0984;105.0219;-104.7664;352.5548;352.4858;222.8196;39.12;1.6247;359.7061;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.2, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(0.3, 0.7, 0.6, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.5005;-0.112;-0.0031
0.8683;0.01;False;False;63.8772;63.8772;0.0459;0.0459;105.7876;105.7876;359.8662;359.8662;235.1235;235.1235;359.981;359.981;-0.8611;-0.0003;-0.0003;-0.6584;-0.6584;-0.8611;272048;69.90034;3807.63;63.7089;-97.5527;1.2563;1.0983;104.9806;-104.7543;352.5424;352.4909;222.6873;39.1192;1.6252;359.7063;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.2, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.3, -0.4, 0.3)_(0.3, 0.7, 0.5, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.5708;-0.112;-0.0031
0.7333;0.0059;False;False;63.8129;63.8129;0.0459;0.0459;105.7383;105.7383;359.8606;359.8606;234.9671;234.9671;359.9793;359.9793;-0.9524;-0.0002;-0.0002;-0.7308;-0.7308;-0.9524;272053;69.90337;3807.7;63.6484;-97.5436;1.2564;1.0983;104.9321;-104.7421;352.5351;352.4953;222.5341;39.1185;1.6249;359.7065;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.6, 0.3)_(0.7, 0.2, -0.5, 0.5)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(0.3, 0.7, 0.6, -0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.6411;-0.112;-0.0031
