ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;98.1;98.1;-0.0139;-0.0139;55.4;55.4;0.0058;0.0058;214.6056;214.6056;0.0;0.0; ; ; ; ; ; ;192174;70.97195;2670.48;98.2154;53.1372;1.1948;1.041;54.5682;-115.9377;352.6808;352.9436;202.1378;308.0924;1.6135;359.9306;;;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.5, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.0;0.019;0.0087
0.0;0.0131;False;False;98.1;98.1;-0.0138;-0.0138;55.4;55.4;0.0047;0.0047;214.6055;214.6055;0.0;0.0;0.0006;0.0002;0.0002;0.0008;0.0008;0.0006;192179;69.67072;2670.56;98.2154;53.1372;1.1949;1.0411;54.5683;-115.9377;352.6797;352.942;202.1377;308.0925;1.6137;359.93;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.6, -0.4, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.5, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.0754;0.0199;0.0079
0.0;0.0777;False;False;98.1001;98.1001;-0.0138;-0.0138;55.4001;55.4001;0.0036;0.0036;214.6034;214.6034;0.0;0.0;-0.0003;-0.0002;-0.0002;-0.0004;-0.0004;-0.0003;192184;69.66633;2670.63;98.2155;53.1367;1.1949;1.0412;54.5683;-115.9375;352.6787;352.9397;202.1356;308.0927;1.6139;359.9296;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.1, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.1458;0.0206;0.0053
0.0;0.187;False;False;98.1001;98.1001;-0.0139;-0.0139;55.4001;55.4001;0.0027;0.0027;214.6035;214.6035;0.0;0.0;-0.0014;-0.0003;-0.0003;-0.0019;-0.0019;-0.0014;192189;69.90708;2670.7;98.2155;53.1354;1.1949;1.0412;54.5683;-115.9366;352.6776;352.9358;202.1356;308.0924;1.6142;359.9293;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.2158;0.0206;0.0008
0.0;0.3317;False;False;98.1;98.1;-0.0139;-0.0139;55.4001;55.4001;0.0019;0.0019;214.6035;214.6035;0.0;0.0;0.0000;-0.0003;-0.0003;-0.0001;-0.0001;0.0000;192194;71.62579;2670.77;98.2155;53.1325;1.1949;1.0412;54.5683;-115.9346;352.6769;352.9298;202.1361;308.0929;1.6144;359.929;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.5, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.6, 0.5)_1.020326_System.String[];0.2839;0.0206;-0.0042
0.0;0.5113;False;False;98.1;98.1;-0.0139;-0.0139;55.4;55.4;0.0013;0.0013;214.6026;214.6026;0.0;0.0;-0.0005;-0.0002;-0.0002;-0.0007;-0.0007;-0.0005;192199;66.71485;2670.85;98.2155;53.1262;1.1949;1.0413;54.5684;-115.9302;352.6764;352.9191;202.1348;308.0916;1.6145;359.9285;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.3606;0.0206;-0.0089
0.0;0.7332;False;False;98.1;98.1;-0.0139;-0.0139;55.4;55.4;0.0011;0.0011;214.6026;214.6026;0.0;0.0;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;192205;73.5857;2670.92;98.2155;53.1139;1.1949;1.0414;54.5684;-115.9215;352.6761;352.9024;202.1343;308.0894;1.6145;359.9275;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.4382;0.0205;-0.0128
0.0144;0.8424;False;False;98.1;98.1;-0.0139;-0.0139;55.4;55.4;0.0008;0.0008;214.6022;214.6022;0.0;0.0;-0.0007;-0.0001;-0.0001;-0.0010;-0.0010;-0.0007;192210;72.54692;2670.99;98.2155;53.096;1.1949;1.0415;54.5683;-115.9089;352.6758;352.8828;202.1341;308.084;1.6146;359.9262;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.5076;0.0204;-0.0163
0.1701;0.907;False;False;98.0998;98.0998;-0.0139;-0.0139;55.3998;55.3998;-0.0001;-0.0001;214.5994;214.5994;0.0;0.0;-0.0071;-0.0001;-0.0001;-0.0101;-0.0101;-0.0071;192215;71.01929;2671.06;98.2154;53.0703;1.1949;1.0416;54.5682;-115.8908;352.6752;352.8612;202.1318;308.0745;1.6148;359.9246;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.5779;0.0189;-0.0212
0.3534;0.9451;False;False;98.0986;98.0986;-0.0139;-0.0139;55.3981;55.3981;-0.0049;-0.0049;214.6011;214.6011;0.0002;0.0002;-0.0299;-0.0001;-0.0001;-0.0426;-0.0426;-0.0299;192220;71.83815;2671.13;98.2146;53.0358;1.1949;1.0416;54.567;-115.8666;352.6716;352.8401;202.1329;308.0587;1.6157;359.9226;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.6467;0.0157;-0.0268
0.5062;0.9675;False;False;98.0952;98.0952;-0.0139;-0.0139;55.3931;55.3931;359.9846;359.9846;214.6023;214.6023;0.0003;0.0003;-0.0753;-0.0002;-0.0002;-0.1079;-0.1079;-0.0753;192225;70.94268;2671.2;98.2118;52.9925;1.195;1.0415;54.5631;-115.8366;352.6625;352.8214;202.1332;308.034;1.6179;359.9202;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.3, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.717;0.0109;-0.0317
0.6603;0.9808;False;False;98.0884;98.0884;-0.014;-0.014;55.3834;55.3834;359.9697;359.9697;214.604;214.604;0.0003;0.0003;-0.1226;-0.0003;-0.0003;-0.1765;-0.1765;-0.1226;192230;70.66159;2671.27;98.206;52.9392;1.1951;1.0412;54.5548;-115.7999;352.6489;352.8054;202.1348;307.9985;1.621;359.9176;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.3, -0.6, -0.5, 0.5)_1.020326_System.String[];0.7874;0.0051;-0.0347
