ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.9887;0.0;False;False;54.7022;54.7022;-0.0215;-0.0215;-115.2014;-115.2014;0.3494;0.3494;305.8755;305.8755;0.2097;0.2097; ; ; ; ; ; ;234553;67.76136;3270.71;53.8598;98.8732;1.1794;1.0085;-115.2977;53.8627;353.052;352.3425;293.3904;216.8523;1.7476;359.7005;;;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.2, 0.4)_(-0.2, -0.6, -0.5, 0.5)_1.020326_System.String[];0.0;-0.009;-0.0023
0.9926;0.0;False;False;54.6968;54.6968;-0.0133;-0.0133;-115.1976;-115.1976;0.3697;0.3697;305.8736;305.8736;0.2075;0.2075;-0.1617;0.0930;0.0930;0.1144;0.1144;-0.1617;234557;66.0451;3270.78;53.8553;98.8727;1.1883;1.0191;-115.2946;53.8619;353.0798;352.4036;293.39;216.8521;1.739;359.7029;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.6, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.7, -0.6, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.2, -0.6, -0.6, 0.5)_1.020326_System.String[];0.0693;-0.0084;-0.0042
0.9956;0.0;False;False;54.682;54.682;-0.008;-0.008;-115.1871;-115.1871;0.3654;0.3654;305.8704;305.8704;0.2059;0.2059;-0.2810;0.0632;0.0632;0.2004;0.2004;-0.2810;234562;70.93728;3270.85;53.8428;98.8723;1.1939;1.0259;-115.2857;53.8614;353.0781;352.4447;293.3872;216.8515;1.7377;359.7045;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.5, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.7, -0.7, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.2, -0.6, -0.5, 0.5)_1.020326_System.String[];0.1372;-0.0062;-0.0096
0.9974;0.0;False;False;54.6569;54.6569;-0.0045;-0.0045;-115.1692;-115.1692;0.3506;0.3506;305.8667;305.8667;0.2049;0.2049;-0.4405;0.0343;0.0343;0.3158;0.3158;-0.4405;234567;70.64172;3270.92;53.8203;98.872;1.1978;1.0307;-115.2697;53.861;353.0649;352.4746;293.3833;216.8509;1.7395;359.7057;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.7, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.2, -0.7, -0.5, 0.5)_1.020326_System.String[];0.208;-0.0024;-0.0172
0.9955;0.0;False;False;54.6229;54.6229;-0.0027;-0.0027;-115.1448;-115.1448;0.3336;0.3336;305.8647;305.8647;0.2047;0.2047;-0.5599;0.0194;0.0194;0.4033;0.4033;-0.5599;234572;72.91234;3270.99;53.7876;98.8718;1.2002;1.0339;-115.2462;53.8607;353.0479;352.4943;293.3803;216.8506;1.7429;359.7065;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.5, 0.6, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.7, 0.4)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.2, -0.7, -0.5, 0.5)_1.020326_System.String[];0.2764;0.0033;-0.0258
0.9873;0.0;False;False;54.5786;54.5786;-0.0018;-0.0018;-115.1127;-115.1127;0.3171;0.3171;305.8679;305.8679;0.2053;0.2053;-0.7174;0.0061;0.0061;0.5204;0.5204;-0.7174;234577;72.0106;3271.06;53.7461;98.8716;1.2014;1.0358;-115.2163;53.8604;353.032;352.505;293.3817;216.8508;1.7469;359.7069;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.5, -0.5, 0.4)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.4, 0.6, -0.7, 0.2)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.1, -0.6, -0.7, 0.3)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.2, -0.7, -0.5, 0.5)_1.020326_System.String[];0.3467;0.0112;-0.0341
0.9789;0.0;False;False;54.5244;54.5244;-0.0015;-0.0015;-115.0733;-115.0733;0.303;0.303;305.8807;305.8807;0.207;0.207;-0.8335;-0.0003;-0.0003;0.6088;0.6088;-0.8335;234582;71.64029;3271.13;53.694;98.8715;1.2019;1.037;-115.1783;53.8602;353.0179;352.5105;293.3916;216.8501;1.7515;359.7071;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.0, -0.2, 0.4)_(0.3, 0.6, -0.7, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.2, -0.6, -0.7, 0.3)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.4)_(-0.2, -0.7, -0.5, 0.6)_1.020326_System.String[];0.417;0.0203;-0.0432
0.9708;0.0;False;False;54.4605;54.4605;-0.0018;-0.0018;-115.0264;-115.0264;0.2916;0.2916;305.9077;305.9077;0.2095;0.2095;-0.9861;-0.0059;-0.0059;0.7264;0.7264;-0.9861;234587;70.9696;3271.2;53.633;98.8715;1.2018;1.0376;-115.1333;53.8601;353.0069;352.5125;293.4147;216.8485;1.7564;359.7072;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.3, 0.6, -0.7, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.2, -0.6, -0.7, 0.3)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(-0.1, -0.7, -0.4, 0.6)_1.020326_System.String[];0.4878;0.0273;-0.0532
0.9652;0.0;False;False;54.3883;54.3883;-0.0022;-0.0022;-114.9731;-114.9731;0.2826;0.2826;305.9482;305.9482;0.212;0.212;-1.0995;-0.0086;-0.0086;0.8139;0.8139;-1.0995;234592;71.62092;3271.27;53.5618;98.8714;1.2015;1.0379;-115.0804;53.86;352.9981;352.5123;293.4523;216.8467;1.7611;359.7072;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.3, 0.6, -0.7, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.2, -0.6, -0.7, 0.3)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(-0.1, -0.7, -0.4, 0.6)_1.020326_System.String[];0.5574;0.0306;-0.0646
0.9651;0.0;False;False;54.3065;54.3065;-0.0029;-0.0029;-114.9124;-114.9124;0.2753;0.2753;306.0001;306.0001;0.2139;0.2139;-1.2504;-0.0111;-0.0111;0.9291;0.9291;-1.2504;234597;71.49205;3271.34;53.4823;98.8714;1.2009;1.0381;-115.0208;53.8599;352.9913;352.5116;293.5017;216.8473;1.7647;359.7071;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, 0.2)_(0.6, 0.5, -0.5, 0.3)_1.039649_System.String[];HandLeft_(1.1, -0.2, 0.4)_(0.3, 0.7, -0.6, 0.3)_1.020326_System.String[];HandRight_(0.2, -0.4, 0.3)_(-0.2, -0.6, -0.7, 0.3)_1.039649_System.String[];HandRight_(1.3, -0.1, 0.3)_(-0.1, -0.7, -0.4, 0.6)_1.020326_System.String[];0.6272;0.0309;-0.0767
