ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.895;0.0;False;False;80.8693;80.8693;-0.0024;-0.0024;-75.1505;-75.1505;359.8797;359.8797;269.9953;269.9953;0.16;0.16; ; ; ; ; ; ;68507;71.33012;924.45;80.6021;-84.3776;1.1408;1.4645;-75.6382;78.1796;354.155;352.5088;231.0974;149.4955;4.9004;359.8907;;;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, -0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];0.0;-0.0092;0.0099
0.848;0.0;False;False;80.7508;80.7508;-0.0025;-0.0025;-75.1515;-75.1515;359.7776;359.7776;269.9937;269.9937;0.1552;0.1552;-0.7278;-0.0002;-0.0002;-0.0045;-0.0045;-0.7278;68508;12.83992;924.78;80.6021;-84.3776;1.1408;1.4645;-75.6382;78.1796;354.155;352.5088;231.0974;149.4955;4.9004;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];0.3333;-0.0092;0.0099
0.6004;0.0;False;False;80.6885;80.6885;-0.0025;-0.0025;-75.1519;-75.1519;359.7664;359.7664;269.9893;269.9893;0.1536;0.1536;-0.8597;0.0012;0.0012;-0.0053;-0.0053;-0.8597;68514;32.91979;924.86;80.4351;-84.3777;1.1412;1.4645;-75.6394;78.1797;354.0637;352.5089;231.0855;149.4953;4.9664;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.6, 0.5, -0.6, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.4126;-0.0092;0.0099
0.465;0.0;False;False;80.6214;80.6214;-0.0023;-0.0023;-75.1523;-75.1523;359.774;359.774;269.9865;269.9865;0.1645;0.1645;-0.9300;0.0035;0.0035;-0.0064;-0.0064;-0.9300;68519;50.83806;924.94;80.3675;-84.3776;1.1413;1.4645;-75.64;78.1796;354.0722;352.5085;231.0819;149.4954;4.9701;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.4877;-0.0092;0.0099
0.3489;0.0;False;False;80.5541;80.5541;-0.0021;-0.0021;-75.1526;-75.1526;359.7873;359.7873;269.9785;269.9785;0.1698;0.1698;-1.0014;0.0017;0.0017;-0.0045;-0.0045;-1.0014;68524;63.40238;925.01;80.3033;-84.3776;1.1413;1.4645;-75.6405;78.1796;354.0866;352.5086;231.0758;149.4942;4.9678;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.5572;-0.0092;0.0099
0.2436;0.0;False;False;80.4823;80.4823;-0.002;-0.002;-75.1529;-75.1529;359.8027;359.8027;269.9677;269.9677;0.1702;0.1702;-1.0381;0.0012;0.0012;-0.0043;-0.0043;-1.0381;68529;68.67883;925.08;80.2313;-84.3776;1.1414;1.4645;-75.6408;78.1796;354.0991;352.5085;231.0661;149.494;4.9591;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];0.6277;-0.0092;0.0099
0.1471;0.0;False;False;80.4085;80.4085;-0.002;-0.002;-75.1532;-75.1532;359.8193;359.8193;269.9566;269.9566;0.1686;0.1686;-1.0631;0.0009;0.0009;-0.0043;-0.0043;-1.0631;68534;71.45541;925.15;80.1582;-84.3776;1.1414;1.4645;-75.6412;78.1795;354.1109;352.5085;231.0563;149.4944;4.9478;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.4, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];0.6978;-0.0092;0.0099
0.0869;0.0;False;False;80.3336;80.3336;-0.0019;-0.0019;-75.1535;-75.1535;359.8364;359.8364;269.9455;269.9455;0.1663;0.1663;-1.0692;0.0008;0.0008;-0.0045;-0.0045;-1.0692;68539;71.54006;925.22;80.0822;-84.3775;1.1414;1.4645;-75.6415;78.1794;354.123;352.5087;231.0462;149.4957;4.9351;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.4, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, -0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.4, -0.6, 0.7)_1.086072_System.String[];0.7681;-0.0091;0.0099
0.057;0.0;False;False;80.2619;80.2619;-0.0019;-0.0019;-75.1538;-75.1538;359.8519;359.8519;269.9349;269.9349;0.1638;0.1638;-1.0671;0.0008;0.0008;-0.0046;-0.0046;-1.0671;68543;66.97443;925.28;80.0111;-84.3775;1.1414;1.4645;-75.6418;78.1794;354.1336;352.5086;231.037;149.4951;4.9233;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, -0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];0.8353;-0.0091;0.0099
0.0337;0.0;False;False;80.1876;80.1876;-0.0018;-0.0018;-75.1542;-75.1542;359.8662;359.8662;269.924;269.924;0.1613;0.1613;-1.0607;0.0007;0.0007;-0.0048;-0.0048;-1.0607;68548;70.17748;925.35;79.9357;-84.3775;1.1414;1.4645;-75.6421;78.1793;354.1436;352.5087;231.0271;149.4956;4.912;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];0.9052;-0.0091;0.0099
