ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0918;0.0003;False;False;-96.8999;-96.8999;0.0461;0.0461;-106.3999;-106.3999;0.0007;0.0007;36.8828;36.8828;0.0;0.0; ; ; ; ; ; ;84735;69.9014;1157.31;-97.1256;64.2782;1.19;1.5247;-105.8935;105.0568;354.1487;352.5015;358.0054;236.4974;4.6988;359.8912;;;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.1, -0.5, -0.4, 0.8)_1.086072_System.String[];0.0;-0.031;-0.0568
0.0591;0.0002;False;False;-96.8996;-96.8996;0.0461;0.0461;-106.3994;-106.3994;-0.001;-0.001;36.882;36.882;-0.0001;-0.0001;0.0086;0.0000;0.0000;0.0118;0.0118;0.0086;84740;65.87913;1157.39;-97.1254;64.2782;1.19;1.5247;-105.8931;105.0568;354.1477;352.5013;358.0053;236.4976;4.6995;359.8912;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.7, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.1, -0.5, -0.4, 0.8)_1.086072_System.String[];0.0808;-0.031;-0.0568
0.0398;0.0001;False;False;-96.8988;-96.8988;0.0461;0.0461;-106.3984;-106.3984;-0.0028;-0.0028;36.8792;36.8792;-0.0001;-0.0001;0.0125;0.0000;0.0000;0.0172;0.0172;0.0125;84745;70.32761;1157.45;-97.1247;64.2781;1.19;1.5247;-105.8922;105.0567;354.1462;352.5013;358.0024;236.4973;4.7007;359.8912;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.7, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.1, -0.5, -0.4, 0.8)_1.086072_System.String[];0.1481;-0.031;-0.0568
0.0284;0.0001;False;False;-96.8978;-96.8978;0.0461;0.0461;-106.3969;-106.3969;-0.0041;-0.0041;36.8787;36.8787;-0.0002;-0.0002;0.0159;0.0000;0.0000;0.0218;0.0218;0.0159;84750;69.60854;1157.53;-97.1238;64.2782;1.19;1.5247;-105.8909;105.0568;354.1451;352.5015;358.0008;236.4974;4.7016;359.8912;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.1, -0.5, -0.4, 0.8)_1.086072_System.String[];0.2194;-0.031;-0.0568
0.0216;0.0;False;False;-96.8965;-96.8965;0.0461;0.0461;-106.3952;-106.3952;-0.0046;-0.0046;36.8777;36.8777;-0.0002;-0.0002;0.0193;0.0000;0.0000;0.0264;0.0264;0.0193;84755;68.43886;1157.6;-97.1225;64.2782;1.19;1.5247;-105.8892;105.0568;354.1446;352.5017;358.0001;236.4962;4.7019;359.8913;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.1, -0.5, -0.4, 0.8)_1.086072_System.String[];0.2913;-0.031;-0.0568
0.0176;0.0;False;False;-96.8948;-96.8948;0.0461;0.0461;-106.3929;-106.3929;-0.0043;-0.0043;36.8755;36.8755;-0.0002;-0.0002;0.0207;0.0000;0.0000;0.0284;0.0284;0.0207;84760;59.54197;1157.68;-97.1212;64.2782;1.19;1.5247;-105.8874;105.0568;354.1446;352.5016;357.9991;236.4978;4.7019;359.8913;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.1, -0.5, -0.4, 0.8)_1.086072_System.String[];0.3728;-0.031;-0.0568
0.015;0.0;False;False;-96.893;-96.893;0.0461;0.0461;-106.3905;-106.3905;-0.0035;-0.0035;36.8747;36.8747;-0.0001;-0.0001;0.0229;0.0000;0.0000;0.0313;0.0313;0.0229;84766;62.41775;1157.77;-97.1193;64.2782;1.19;1.5247;-105.8848;105.0568;354.1453;352.5016;357.9975;236.4962;4.7015;359.8913;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.1, -0.5, -0.4, 0.8)_1.086072_System.String[];0.4583;-0.031;-0.0568
0.0135;0.0;False;False;-96.8913;-96.8913;0.0461;0.0461;-106.3881;-106.3881;-0.0028;-0.0028;36.8729;36.8729;-0.0001;-0.0001;0.0234;0.0000;0.0000;0.0319;0.0319;0.0234;84772;72.01999;1157.84;-97.1174;64.2782;1.19;1.5247;-105.8822;105.0567;354.1457;352.5014;357.9954;236.4968;4.7011;359.8912;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.0, -0.5, -0.4, 0.8)_1.086072_System.String[];0.5338;-0.031;-0.0568
0.0136;0.0;False;False;-96.8895;-96.8895;0.0461;0.0461;-106.3857;-106.3857;-0.0024;-0.0024;36.8733;36.8733;-0.0001;-0.0001;0.0247;0.0000;0.0000;0.0338;0.0338;0.0247;84777;69.92281;1157.91;-97.1155;64.2781;1.19;1.5247;-105.8796;105.0567;354.1462;352.5014;357.9955;236.4978;4.7007;359.8912;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.0, -0.5, -0.4, 0.8)_1.086072_System.String[];0.6075;-0.031;-0.0568
0.0316;0.0;False;False;-96.8878;-96.8878;0.0461;0.0461;-106.3834;-106.3834;-0.0022;-0.0022;36.8723;36.8723;-0.0001;-0.0001;0.0256;0.0000;0.0000;0.0349;0.0349;0.0256;84782;73.39353;1157.98;-97.1138;64.2781;1.19;1.5247;-105.8773;105.0567;354.1464;352.5014;357.9951;236.498;4.7006;359.8912;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, 0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.6, 0.0)_(0.0, -0.5, -0.4, 0.8)_1.086072_System.String[];0.6747;-0.031;-0.0568
