ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;82.1995;82.1995;-0.0808;-0.0808;25.199;25.199;359.6865;359.6865;208.4237;208.4237;0.0;0.0; ; ; ; ; ; ;125305;71.6592;1735.76;82.5003;107.8631;1.0613;1.4011;24.7369;68.9161;353.8958;352.192;169.5249;218.1256;4.9039;359.8867;;;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.0;-0.0036;-0.0167
0.0;0.0;False;False;82.1996;82.1996;-0.0618;-0.0618;25.1993;25.1993;359.7615;359.7615;208.4217;208.4217;0.0;0.0;-0.0012;0.2275;0.2275;-0.0022;-0.0022;-0.0012;125310;67.9613;1735.84;82.4997;107.8621;1.0796;1.4192;24.736;68.9148;353.9501;352.2664;169.5281;218.1248;4.8599;359.8878;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.0792;-0.0036;-0.0167
0.0;0.0;False;False;82.1997;82.1997;-0.0464;-0.0464;25.1995;25.1995;359.8344;359.8344;208.4213;208.4213;0.0;0.0;-0.0012;0.1900;0.1900;-0.0023;-0.0023;-0.0012;125315;70.1005;1735.92;82.4991;107.8611;1.0968;1.4353;24.7348;68.9134;354.0133;352.3463;169.5323;218.1247;4.8086;359.889;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.4)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.1528;-0.0036;-0.0167
0.0;0.0;False;False;82.1998;82.1998;-0.035;-0.035;25.1997;25.1997;359.8947;359.8947;208.4225;208.4225;0.0;0.0;-0.0002;0.1344;0.1344;-0.0003;-0.0003;-0.0002;125320;71.03187;1735.99;82.4986;107.8604;1.1072;1.4448;24.7339;68.9125;354.0566;352.3987;169.5374;218.1239;4.7735;359.8898;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.4)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.2245;-0.0036;-0.0167
0.0;0.0;False;False;82.1999;82.1999;-0.0269;-0.0269;25.1998;25.1998;359.9402;359.9402;208.4234;208.4234;0.0;0.0;-0.0009;0.0873;0.0873;-0.0016;-0.0016;-0.0009;125325;71.69238;1736.06;82.4983;107.8597;1.1161;1.4528;24.7332;68.9116;354.0962;352.4446;169.5415;218.1238;4.7414;359.8904;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.2958;-0.0036;-0.0167
0.0;0.0;False;False;82.2;82.2;-0.0217;-0.0217;25.1999;25.1999;359.9701;359.9701;208.422;208.422;0.0;0.0;-0.0013;0.0604;0.0604;-0.0024;-0.0024;-0.0013;125330;72.27219;1736.13;82.498;107.8593;1.1215;1.4575;24.7328;68.911;354.1208;352.4724;169.5425;218.1237;4.7214;359.8908;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.365;-0.0036;-0.0181
0.0;0.0;False;False;82.2;82.2;-0.0182;-0.0182;25.1999;25.1999;359.9896;359.9896;208.4214;208.4214;0.0;0.0;-0.0006;0.0350;0.0350;-0.0010;-0.0010;-0.0006;125335;70.39507;1736.2;82.4978;107.859;1.1254;1.4609;24.7324;68.9106;354.1385;352.4924;169.5428;218.1232;4.7071;359.8911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.4375;-0.0036;-0.0215
0.0;0.0;False;False;82.1999;82.1999;-0.0159;-0.0159;25.1999;25.1999;0.0012;0.0012;208.42;208.42;0.0;0.0;-0.0012;0.0190;0.0190;-0.0022;-0.0022;-0.0012;125341;70.84291;1736.28;82.4977;107.8587;1.1277;1.4628;24.7322;68.9104;354.1479;352.5023;169.543;218.124;4.6995;359.8913;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.5193;-0.0036;-0.025
0.0;0.0;False;False;82.1999;82.1999;-0.0149;-0.0149;25.1998;25.1998;0.0054;0.0054;208.4209;208.4209;0.0;0.0;-0.0008;0.0115;0.0115;-0.0014;-0.0014;-0.0008;125346;71.1825;1736.35;82.4976;107.8586;1.1289;1.4638;24.732;68.9101;354.1519;352.5062;169.543;218.123;4.6963;359.8913;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.4, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.5884;-0.0036;-0.0259
0.0;0.0;False;False;82.1998;82.1998;-0.0143;-0.0143;25.1997;25.1997;0.0069;0.0069;208.4209;208.4209;0.0;0.0;-0.0003;0.0054;0.0054;-0.0006;-0.0006;-0.0003;125351;65.95221;1736.43;82.4975;107.8585;1.1296;1.4644;24.7318;68.91;354.1535;352.5076;169.5437;218.122;4.6949;359.8913;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.4, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.6, 0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.7, 0.6, -0.3)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.5, 0.7)_1.086072_System.String[];0.6656;-0.0036;-0.0259
