ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8681;359.8681;273.3849;273.3849;0.1469;0.1469; ; ; ; ; ; ;70455;71.32828;897.58;80.8588;-87.5521;1.1967;1.1535;-75.4387;-84.9487;352.5244;352.5124;286.2133;79.3453;358.4523;359.7151;;;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.0;-0.012;-0.0118
0.0;0.0;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8682;359.8682;273.3869;273.3869;0.1461;0.1461;0.0014;0.0000;0.0000;-0.0014;-0.0014;0.0014;70460;69.45483;897.66;80.8588;-87.5521;1.1967;1.1535;-75.4387;-84.9487;352.5245;352.5125;286.2151;79.3457;358.4517;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.0765;-0.012;-0.0118
0.0;0.0;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1207;-75.1207;359.8681;359.8681;273.3913;273.3913;0.1459;0.1459;0.0004;0.0000;0.0000;-0.0014;-0.0014;0.0004;70465;70.14762;897.73;80.8588;-87.5521;1.1967;1.1535;-75.4388;-84.9487;352.5247;352.5123;286.2189;79.3462;358.4513;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.4, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.1465;-0.012;-0.0118
0.0;0.0;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1208;-75.1208;359.8683;359.8683;273.3959;273.3959;0.1459;0.1459;0.0017;0.0000;0.0000;-0.0015;-0.0015;0.0017;70470;70.45654;897.8;80.8589;-87.5521;1.1967;1.1535;-75.4389;-84.9487;352.5247;352.5124;286.2236;79.3463;358.4514;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.4, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2162;-0.0121;-0.0118
0.0;0.0;False;False;81.0094;81.0094;-0.0027;-0.0027;-75.1209;-75.1209;359.8681;359.8681;273.3994;273.3994;0.146;0.146;0.0001;0.0000;0.0000;-0.0014;-0.0014;0.0001;70475;69.74743;897.87;80.8589;-87.5521;1.1967;1.1535;-75.439;-84.9487;352.5246;352.5124;286.2274;79.3448;358.4514;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2865;-0.0121;-0.0118
0.0;0.0;False;False;81.0096;81.0096;-0.0027;-0.0027;-75.121;-75.121;359.8683;359.8683;273.4026;273.4026;0.1461;0.1461;0.0019;0.0000;0.0000;-0.0015;-0.0015;0.0019;70480;70.42365;897.94;80.859;-87.5521;1.1967;1.1535;-75.4391;-84.9487;352.5247;352.5123;286.2307;79.3436;358.4516;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.3557;-0.0121;-0.0118
0.0;0.0;False;False;81.0097;81.0097;-0.0027;-0.0027;-75.1211;-75.1211;359.8681;359.8681;273.406;273.406;0.1462;0.1462;0.0023;0.0000;0.0000;-0.0015;-0.0015;0.0023;70485;70.62244;898.01;80.8591;-87.5521;1.1967;1.1535;-75.4392;-84.9487;352.5245;352.5124;286.2337;79.3431;358.4516;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.4252;-0.0121;-0.0118
0.0;0.0;False;False;81.0099;81.0099;-0.0027;-0.0027;-75.1212;-75.1212;359.8683;359.8683;273.4107;273.4107;0.1463;0.1463;0.0040;0.0000;0.0000;-0.0016;-0.0016;0.0040;70490;70.88943;898.07;80.8593;-87.5521;1.1967;1.1535;-75.4393;-84.9487;352.5246;352.5123;286.2379;79.34;358.4517;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.4945;-0.0121;-0.0118
0.0;0.0;False;False;81.0101;81.0101;-0.0027;-0.0027;-75.1213;-75.1213;359.8683;359.8683;273.4135;273.4135;0.1463;0.1463;0.0034;0.0000;0.0000;-0.0016;-0.0016;0.0034;70495;70.35429;898.15;80.8595;-87.5521;1.1967;1.1535;-75.4394;-84.9487;352.5247;352.5123;286.2414;79.3418;358.4518;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.5649;-0.0121;-0.0118
0.0;0.0;False;False;81.0104;81.0104;-0.0027;-0.0027;-75.1214;-75.1214;359.8682;359.8682;273.4172;273.4172;0.1463;0.1463;0.0025;0.0000;0.0000;-0.0015;-0.0015;0.0025;70500;71.00323;898.21;80.8598;-87.552;1.1967;1.1535;-75.4395;-84.9487;352.5247;352.5121;286.2446;79.3419;358.4518;359.7151;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, -0.1, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.6342;-0.0121;-0.0118
