ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;-0.4762;False;False;-96.8999;-96.8999;0.0461;0.0461;-106.3999;-106.3999;0.001;0.001;36.8828;36.8828;0.0;0.0; ; ; ; ; ; ;81642;71.48227;1054.04;-97.0782;64.2293;1.246;1.2139;-106.0985;105.552;352.6866;352.5063;49.7259;237.8458;358.3376;359.7154;;;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.0;-0.0262;-0.0013
0.0;-0.4762;False;False;-96.9;-96.9;0.0461;0.0461;-106.4;-106.4;0.001;0.001;36.8817;36.8817;0.0;0.0;-0.0002;-0.0001;-0.0001;-0.0003;-0.0003;-0.0002;81647;67.55199;1054.12;-97.0782;64.2293;1.246;1.2139;-106.0986;105.552;352.6865;352.5062;49.7243;237.8458;358.3376;359.7154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.0812;-0.0262;-0.0013
0.0;-0.4762;False;False;-96.9;-96.9;0.0461;0.0461;-106.4;-106.4;0.0009;0.0009;36.8811;36.8811;0.0;0.0;0.0003;0.0000;0.0000;0.0004;0.0004;0.0003;81652;69.10519;1054.19;-97.0782;64.2293;1.246;1.2139;-106.0986;105.552;352.6865;352.5061;49.7248;237.8458;358.3376;359.7154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.1514;-0.026;-0.0013
0.0;-0.4762;False;False;-96.9;-96.9;0.0461;0.0461;-106.4;-106.4;0.0009;0.0009;36.8804;36.8804;0.0;0.0;0.0002;0.0000;0.0000;0.0003;0.0003;0.0002;81657;68.96494;1054.26;-97.0782;64.2293;1.246;1.2139;-106.0986;105.552;352.6865;352.5061;49.7241;237.8458;358.3376;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2223;-0.0258;-0.0013
0.0;-0.4762;False;False;-96.9;-96.9;0.0461;0.0461;-106.4001;-106.4001;0.0009;0.0009;36.8802;36.8802;0.0;0.0;-0.0002;0.0000;0.0000;-0.0003;-0.0003;-0.0002;81662;69.82382;1054.33;-97.0783;64.2293;1.246;1.2139;-106.0987;105.552;352.6864;352.5061;49.7231;237.8458;358.3376;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2915;-0.0255;-0.0013
0.0;-0.4682;False;False;-96.9;-96.9;0.0461;0.0461;-106.4;-106.4;0.0006;0.0006;36.8811;36.8811;0.0;0.0;0.0003;0.0000;0.0000;0.0004;0.0004;0.0003;81667;70.06284;1054.4;-97.0782;64.2293;1.246;1.2139;-106.0987;105.552;352.6862;352.5061;49.7238;237.8458;358.3376;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.3616;-0.0252;-0.0013
0.0;-0.4682;False;False;-96.9;-96.9;0.0461;0.0461;-106.4;-106.4;0.0003;0.0003;36.8802;36.8802;0.0;0.0;0.0006;0.0000;0.0000;0.0009;0.0009;0.0006;81672;69.79392;1054.47;-97.0782;64.2293;1.246;1.2139;-106.0986;105.552;352.6859;352.5061;49.7236;237.8458;358.3375;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.4318;-0.0249;-0.0013
0.0;-0.4603;False;False;-96.9;-96.9;0.0461;0.0461;-106.4;-106.4;0.0006;0.0006;36.8802;36.8802;0.0;0.0;-0.0009;0.0000;0.0000;-0.0013;-0.0013;-0.0009;81677;69.84013;1054.54;-97.0782;64.2293;1.246;1.2139;-106.0986;105.552;352.686;352.5061;49.7228;237.8458;358.3375;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.5018;-0.0249;-0.0013
0.0;-0.4563;False;False;-96.9;-96.9;0.0461;0.0461;-106.4;-106.4;0.0007;0.0007;36.8803;36.8803;0.0;0.0;-0.0011;0.0000;0.0000;-0.0016;-0.0016;-0.0011;81682;69.92239;1054.61;-97.0782;64.2293;1.246;1.2139;-106.0986;105.552;352.6862;352.5061;49.7237;237.8458;358.3376;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.5715;-0.0249;-0.0013
0.0038;-0.4206;False;False;-96.9;-96.9;0.0461;0.0461;-106.4;-106.4;0.0006;0.0006;36.8787;36.8787;0.0;0.0;0.0013;0.0000;0.0000;0.0018;0.0018;0.0013;81687;70.75587;1054.68;-97.0782;64.2293;1.246;1.2139;-106.0987;105.552;352.6864;352.5061;49.7219;237.8458;358.3376;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.4, 0.0, -0.5, 0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.641;-0.0249;-0.0014
