ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0587;-0.4325;False;False;54.702;54.702;0.0008;0.0008;-115.2019;-115.2019;0.4409;0.4409;305.8757;305.8757;0.2039;0.2039; ; ; ; ; ; ;144088;71.30403;1928.29;54.3938;-131.6236;1.1985;1.1539;-115.3835;-68.1853;353.0702;352.5061;318.6809;87.3742;358.6364;359.7153;;;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.3, 0.1, 0.7, -0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.0;-0.0084;-0.0179
0.068;-0.4325;False;False;54.7016;54.7016;0.0008;0.0008;-115.2017;-115.2017;0.4395;0.4395;305.8745;305.8745;0.2034;0.2034;-0.0110;-0.0001;-0.0001;0.0068;0.0068;-0.0110;144092;67.6001;1928.35;54.3936;-131.6236;1.1985;1.1539;-115.3833;-68.1853;353.0694;352.5061;318.6801;87.3742;358.6358;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.3, 0.1, 0.6, -0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.067;-0.0083;-0.0179
0.0807;-0.4246;False;False;54.7002;54.7002;0.0008;0.0008;-115.2008;-115.2008;0.4366;0.4366;305.8722;305.8722;0.2032;0.2032;-0.0282;-0.0003;-0.0003;0.0191;0.0191;-0.0282;144097;69.47863;1928.43;54.3925;-131.6236;1.1985;1.1539;-115.3826;-68.1853;353.0668;352.5061;318.6782;87.3742;358.6349;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.3, 0.2, 0.6, -0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.1384;-0.0083;-0.0179
0.094;-0.4206;False;False;54.6979;54.6979;0.0008;0.0008;-115.1992;-115.1992;0.4332;0.4332;305.8706;305.8706;0.2032;0.2032;-0.0387;-0.0004;-0.0004;0.0266;0.0266;-0.0387;144102;70.23672;1928.5;54.3904;-131.6236;1.1985;1.1539;-115.3812;-68.1853;353.0635;352.5061;318.6765;87.3742;358.6341;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.2, 0.2, 0.6, -0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2092;-0.0083;-0.0179
0.1026;-0.3928;False;False;54.6944;54.6944;0.0007;0.0007;-115.1968;-115.1968;0.4299;0.4299;305.8683;305.8683;0.2033;0.2033;-0.0598;-0.0006;-0.0006;0.0417;0.0417;-0.0598;144107;71.52003;1928.57;54.3873;-131.6236;1.1984;1.1539;-115.379;-68.1853;353.0604;352.5061;318.6743;87.3742;358.6335;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.3, 0.1, 0.6, -0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.2786;-0.0083;-0.0179
0.1095;-0.3373;False;False;54.6898;54.6898;0.0007;0.0007;-115.1935;-115.1935;0.4269;0.4269;305.8653;305.8653;0.2033;0.2033;-0.0742;-0.0007;-0.0007;0.0521;0.0521;-0.0742;144112;71.77764;1928.63;54.3829;-131.6236;1.1984;1.1539;-115.376;-68.1853;353.0573;352.5061;318.6708;87.3742;358.6328;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.4, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.2, 0.1, 0.6, -0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.3481;-0.0083;-0.0179
0.115;-0.1706;False;False;54.6839;54.6839;0.0006;0.0006;-115.1893;-115.1893;0.4247;0.4247;305.8643;305.8643;0.2034;0.2034;-0.0935;-0.0009;-0.0009;0.0659;0.0659;-0.0935;144117;70.97781;1928.71;54.3773;-131.6236;1.1984;1.1539;-115.3721;-68.1853;353.055;352.5061;318.6703;87.3742;358.6324;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.3, 0.1, 0.6, -0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.4188;-0.0083;-0.0179
0.1183;0.0;False;False;54.6768;54.6768;0.0006;0.0006;-115.1844;-115.1844;0.4228;0.4228;305.8629;305.8629;0.2034;0.2034;-0.1097;-0.0010;-0.0010;0.0775;0.0775;-0.1097;144122;71.61967;1928.78;54.3705;-131.6236;1.1983;1.1539;-115.3673;-68.1853;353.053;352.5061;318.6689;87.3742;358.6319;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.3, 0.1, 0.6, -0.7)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.4884;-0.0083;-0.0179
0.1286;0.0;False;False;54.6682;54.6682;0.0005;0.0005;-115.1783;-115.1783;0.4209;0.4209;305.8611;305.8611;0.2034;0.2034;-0.1316;-0.0012;-0.0012;0.0933;0.0933;-0.1316;144127;70.70021;1928.85;54.3623;-131.6235;1.1982;1.1539;-115.3614;-68.1853;353.0512;352.5059;318.6673;87.3758;358.6315;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.2, 0.1, 0.6, -0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.5597;-0.0083;-0.0179
0.1393;0.0;False;False;54.6583;54.6583;0.0004;0.0004;-115.1712;-115.1712;0.4188;0.4188;305.8592;305.8592;0.2034;0.2034;-0.1514;-0.0014;-0.0014;0.1075;0.1075;-0.1514;144132;71.23591;1928.92;54.3526;-131.6235;1.1981;1.1539;-115.3546;-68.1853;353.0492;352.5062;318.6654;87.3754;358.6311;359.7153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.3, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.1)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(0.2, 0.1, 0.6, -0.8)_1.105294_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, 0.6, 0.4, -0.7)_0.9022688_System.String[];0.6296;-0.0083;-0.0179
