ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;-135.9001;-135.9001;0.0461;0.0461;-146.3;-146.3;0.0007;0.0007;270.2031;270.2031;0.0;0.0; ; ; ; ; ; ;26447;71.24201;281.44;-136.0353;108.6925;1.246;1.227;-146.623;93.7627;352.6863;351.3994;283.0461;273.7688;358.3376;1.4305;;;HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.7, -0.5, 0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.3, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.0;-0.0139;-0.0112
0.0;0.0;False;False;-135.9001;-135.9001;0.0461;0.0461;-146.3;-146.3;0.0007;0.0007;270.2006;270.2006;0.0;0.0;0.0002;0.0000;0.0000;0.0000;0.0000;0.0002;26448;36.09682;281.52;-136.0353;108.6925;1.246;1.227;-146.623;93.7627;352.6863;351.3994;283.0461;273.7688;358.3376;1.4305;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.7, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.2, -0.3, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.0824;-0.0139;-0.0112
0.0;0.0;False;False;-135.9001;-135.9001;0.0461;0.0461;-146.3;-146.3;0.0006;0.0006;270.1976;270.1976;0.0;0.0;-0.0017;0.0000;0.0000;0.0000;0.0000;-0.0017;26454;59.61579;281.59;-136.0353;108.6925;1.246;1.227;-146.623;93.7627;352.6862;351.3995;283.0411;273.7679;358.3376;1.4305;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.6, 0.7, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.2, -0.2, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.1557;-0.0139;-0.0112
0.0;0.0;False;False;-135.9001;-135.9001;0.0461;0.0461;-146.3;-146.3;0.0005;0.0005;270.1964;270.1964;0.0;0.0;-0.0009;0.0000;0.0000;0.0000;0.0000;-0.0009;26459;67.15736;281.66;-136.0353;108.6925;1.246;1.227;-146.623;93.7626;352.6861;351.3994;283.0397;273.7658;358.3375;1.4304;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.6, 0.7, -0.5, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.2, -0.2, -0.6, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.226;-0.0139;-0.0112
0.0;0.0;False;False;-135.9002;-135.9002;0.0461;0.0461;-146.3;-146.3;0.0005;0.0005;270.1966;270.1966;0.0;0.0;-0.0018;0.0000;0.0000;0.0000;0.0000;-0.0018;26464;70.44543;281.73;-136.0354;108.6924;1.246;1.227;-146.623;93.7626;352.6861;351.3994;283.0397;273.764;358.3375;1.4304;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.6, 0.7, -0.5, -0.1)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.2, -0.1, -0.7, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.2954;-0.0139;-0.0112
0.0;0.0;False;False;-135.9002;-135.9002;0.0461;0.0461;-146.3;-146.3;0.0006;0.0006;270.1954;270.1954;0.0;0.0;-0.0010;0.0000;0.0000;0.0000;0.0000;-0.0010;26469;70.38206;281.8;-136.0354;108.6925;1.246;1.227;-146.623;93.7627;352.6862;351.3994;283.0385;273.7627;358.3376;1.4305;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.6, 0.7, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.7, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.3668;-0.0139;-0.0112
0.0;0.0;False;False;-135.9001;-135.9001;0.0461;0.0461;-146.3;-146.3;0.0008;0.0008;270.1942;270.1942;0.0;0.0;0.0003;0.0000;0.0000;0.0000;0.0000;0.0003;26474;72.13675;281.87;-136.0354;108.6925;1.246;1.227;-146.623;93.7627;352.6863;351.3996;283.0372;273.7646;358.3376;1.4306;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.6, 0.7, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.7, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.4359;-0.0139;-0.0112
0.0;0.0;False;False;-135.9001;-135.9001;0.0461;0.0461;-146.3;-146.3;0.0009;0.0009;270.193;270.193;0.0;0.0;0.0010;0.0000;0.0000;0.0000;0.0000;0.0010;26479;70.54697;281.94;-136.0353;108.6925;1.246;1.227;-146.623;93.7627;352.6865;351.3995;283.0362;273.7634;358.3376;1.4305;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.7, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.3, -0.1, -0.7, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.5073;-0.0139;-0.0112
0.0;0.0;False;False;-135.9001;-135.9001;0.0461;0.0461;-146.3;-146.3;0.0008;0.0008;270.1927;270.1927;0.0;0.0;0.0007;0.0000;0.0000;0.0000;0.0000;0.0007;26484;72.08247;282.01;-136.0353;108.6925;1.246;1.227;-146.623;93.7626;352.6863;351.3994;283.0356;273.7607;358.3376;1.4304;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.2, -0.1, -0.7, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.5764;-0.0139;-0.0112
0.0;0.0;False;False;-135.9002;-135.9002;0.0461;0.0461;-146.3;-146.3;0.0005;0.0005;270.194;270.194;0.0;0.0;0.0015;0.0000;0.0000;0.0000;0.0000;0.0015;26489;71.46406;282.08;-136.0354;108.6925;1.246;1.227;-146.623;93.7626;352.6862;351.3994;283.0366;273.7582;358.3375;1.4304;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.3, -0.4, -0.2)_(0.6, 0.6, -0.5, 0.0)_1.105294_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9022688_System.String[];HandRight_(0.0, -0.4, -0.3)_(-0.2, -0.1, -0.7, 0.7)_1.105294_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.4, -0.6)_0.9022688_System.String[];0.6467;-0.0139;-0.0112
