ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
-0.4762;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0008;0.0008;180.3439;180.3439;0.0;0.0; ; ; ; ; ; ;242557;70.3288;2143.54;53.9761;64.1079;1.2274;1.2945;72.0974;105.8907;352.5204;352.6649;176.1841;223.5874;0.5424;1.5647;;;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.5)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.1, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.0;0.056;-0.0213
-0.4762;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;242562;69.90458;2143.61;53.9761;64.1079;1.2274;1.2945;72.0974;105.8907;352.5203;352.6648;176.1841;223.5865;0.5425;1.5647;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.5)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.0, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.0752;0.056;-0.0213
-0.4722;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;242567;70.60883;2143.68;53.9761;64.1079;1.2274;1.2945;72.0974;105.8907;352.5203;352.6648;176.1841;223.5853;0.5425;1.5647;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.5)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.0, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.145;0.056;-0.0213
-0.4643;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;242572;70.92251;2143.75;53.9761;64.1079;1.2274;1.2945;72.0974;105.8907;352.5202;352.6648;176.1841;223.586;0.5425;1.5647;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.4)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.1, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.2146;0.056;-0.0213
-0.4643;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;242577;70.82091;2143.82;53.9761;64.1079;1.2274;1.2945;72.0974;105.8907;352.5202;352.6648;176.1841;223.5896;0.5425;1.5647;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.5)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.1, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.2844;0.056;-0.0213
-0.4643;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;242582;70.35883;2143.89;53.9761;64.1079;1.2274;1.2945;72.0974;105.8907;352.5202;352.6647;176.1841;223.5901;0.5425;1.5648;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.5)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.0, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.3545;0.056;-0.0213
-0.4643;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;242587;67.84483;2143.96;53.9761;64.1078;1.2274;1.2945;72.0974;105.8907;352.5202;352.6647;176.1841;223.5872;0.5425;1.5648;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.5)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.0, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.4272;0.056;-0.0213
-0.4643;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;242593;72.16251;2144.04;53.9761;64.1078;1.2274;1.2945;72.0974;105.8907;352.5202;352.6648;176.1841;223.5877;0.5425;1.5647;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.4)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.1, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.5071;0.056;-0.0228
-0.4603;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;242598;72.24106;2144.11;53.9761;64.1078;1.2274;1.2945;72.0974;105.8906;352.5202;352.6649;176.1841;223.5885;0.5425;1.5647;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.4)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.1, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.5764;0.056;-0.0261
-0.4643;0.0;False;False;53.6;53.6;0.0461;0.0461;72.1999;72.1999;0.0007;0.0007;180.3439;180.3439;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;242603;71.70422;2144.18;53.9761;64.1077;1.2274;1.2945;72.0974;105.8906;352.5202;352.6647;176.1841;223.5886;0.5425;1.5647;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.2, 0.0)_(0.6, 0.8, 0.0, -0.1)_0.9146432_System.String[];HandLeft_(0.0, 0.1, -0.2)_(0.7, 0.4, -0.4, 0.4)_0.9490889_System.String[];HandRight_(0.1, -0.2, 0.0)_(0.1, 0.0, -0.7, 0.7)_0.9146432_System.String[];HandRight_(0.2, 0.1, 0.0)_(0.1, -0.8, -0.5, 0.3)_0.9490889_System.String[];0.6467;0.056;-0.03
