ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0;0.0;False;False;81.0086;81.0086;-0.0361;-0.0361;-75.1194;-75.1194;359.6895;359.6895;273.3839;273.3839;0.153;0.153; ; ; ; ; ; ;94176;72.89741;1307.01;81.1055;-87.0734;1.6144;1.2188;-77.044;-85.8017;352.1769;352.3372;275.7881;73.1158;359.8249;0.5402;;;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.0;-0.002;-0.0018
0.0;0.0;False;False;81.0088;81.0088;-0.0236;-0.0236;-75.1196;-75.1196;359.7574;359.7574;273.3875;273.3875;0.1506;0.1506;-0.0017;0.1316;0.1316;-0.0019;-0.0019;-0.0017;94181;69.34115;1307.09;81.1037;-87.0722;1.6276;1.2317;-77.044;-85.8014;352.2459;352.4044;275.7907;73.1156;359.8252;0.5354;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.0778;-0.002;-0.0018
0.0;0.0;False;False;81.009;81.009;-0.0156;-0.0156;-75.1198;-75.1198;359.8039;359.8039;273.3932;273.3932;0.1493;0.1493;-0.0024;0.0957;0.0957;-0.0017;-0.0017;-0.0024;94186;69.28312;1307.16;81.1022;-87.0712;1.6364;1.2404;-77.044;-85.8012;352.2955;352.453;275.7957;73.1157;359.8259;0.5319;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.1489;-0.002;-0.0018
0.0;0.0;False;False;81.009;81.009;-0.0104;-0.0104;-75.1199;-75.1199;359.835;359.835;273.3983;273.3983;0.1484;0.1484;-0.0009;0.0590;0.0590;-0.0016;-0.0016;-0.0009;94191;70.10973;1307.23;81.1011;-87.0705;1.6423;1.2462;-77.0441;-85.8011;352.3296;352.4862;275.8012;73.1163;359.8264;0.5295;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.2181;-0.002;-0.0018
0.0;0.0;False;False;81.0091;81.0091;-0.007;-0.007;-75.12;-75.12;359.8549;359.8549;273.4011;273.4011;0.1479;0.1479;-0.0003;0.0394;0.0394;-0.0016;-0.0016;-0.0003;94196;70.34568;1307.3;81.1004;-87.07;1.6462;1.25;-77.0442;-85.8009;352.352;352.508;275.8051;73.1167;359.8267;0.528;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.2881;-0.002;-0.0018
0.0;0.0;False;False;81.0091;81.0091;-0.005;-0.005;-75.1202;-75.1202;359.8663;359.8663;273.4055;273.4055;0.1475;0.1475;-0.0018;0.0217;0.0217;-0.0014;-0.0014;-0.0018;94201;70.27166;1307.37;81.1;-87.0696;1.6485;1.2524;-77.0442;-85.8008;352.365;352.5207;275.8086;73.1171;359.8268;0.5271;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.3584;-0.002;-0.0018
0.0;0.0;False;False;81.0092;81.0092;-0.0038;-0.0038;-75.1203;-75.1203;359.872;359.872;273.411;273.411;0.1472;0.1472;-0.0001;0.0133;0.0133;-0.0014;-0.0014;-0.0001;94206;70.82204;1307.44;81.0996;-87.0693;1.6499;1.2537;-77.0443;-85.8008;352.3718;352.527;275.8139;73.1164;359.8268;0.5266;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.4274;-0.002;-0.0018
0.0;0.0;False;False;81.0093;81.0093;-0.0031;-0.0031;-75.1204;-75.1204;359.8742;359.8742;273.4153;273.4153;0.147;0.147;0.0010;0.0064;0.0064;-0.0015;-0.0015;0.0010;94211;70.9063;1307.51;81.0995;-87.0691;1.6506;1.2545;-77.0444;-85.8007;352.3745;352.5298;275.8184;73.1176;359.8267;0.5264;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.4972;-0.002;-0.0018
0.0;0.0;False;False;81.0094;81.0094;-0.0028;-0.0028;-75.1205;-75.1205;359.8744;359.8744;273.419;273.419;0.1468;0.1468;0.0002;0.0034;0.0034;-0.0014;-0.0014;0.0002;94216;69.47036;1307.58;81.0995;-87.0689;1.6511;1.2549;-77.0446;-85.8007;352.3752;352.53;275.8227;73.1179;359.8266;0.5264;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.5686;-0.002;-0.0018
0.0;0.0;False;False;81.0095;81.0095;-0.0027;-0.0027;-75.1206;-75.1206;359.8734;359.8734;273.4208;273.4208;0.1467;0.1467;0.0021;0.0012;0.0012;-0.0015;-0.0015;0.0021;94221;70.73607;1307.65;81.0995;-87.0687;1.6512;1.2551;-77.0447;-85.8006;352.3742;352.5295;275.8241;73.116;359.8264;0.5264;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -1.0, -0.4)_(0.6, -0.2, -0.2, 0.7)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.5, -0.3, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.6368;-0.002;-0.0018
