-0.5156;-0.3072;False;False.1;-49.0059;-49.0059.1;0.0439;0.0439.1;2.8832;2.8832.1;1.7281;1.7281.1;268.5022;268.5022.1;0.0122;0.0122.1;0.0004;-0.0004;-0.0004.1;0.0000;0.0000.1;0.0004.1;146752;63.53282;2045.82;-48.8051;37.9873;1.7080;1.2491;0.9764;-1.8961;354.2360;351.9059;270.9148;81.3523;359.7697;0.0272;LeftFalse_RightFalse;LeftFalse_RightTrue;HandLeft_(1.4, -1.0, -0.6)_(0.6, 0.7, -0.2, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(-0.2, -0.4, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.4, -0.6, -0.5, 0.4)_0.9998702_System.String[];46.1437;-0.0390;-0.0111
AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;82.1997;82.1997;-0.0496;-0.0496;25.1994;25.1994;359.8183;359.8183;208.4238;208.4238;0.0000;0.0000; ; ; ; ; ; ;154555;71.98055;2155.06;83.9787;107.0809;1.6062;1.2285;24.4715;69.7742;352.3119;352.3799;210.8476;213.2444;359.6756;0.5376;;;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.0000;0.0125;-0.0222
0.0000;0.0000;False;False;82.1998;82.1998;-0.0377;-0.0377;25.1996;25.1996;359.8799;359.8799;208.4240;208.4240;0.0000;0.0000;-0.0004;0.1479;0.1479;-0.0008;-0.0008;-0.0004;154559;66.12106;2155.13;83.9780;107.0803;1.6188;1.2379;24.4701;69.7734;352.3745;352.4314;210.8471;213.2440;359.6782;0.5339;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.0693;0.0125;-0.0222
0.0000;0.0000;False;False;82.1999;82.1999;-0.0288;-0.0288;25.1998;25.1998;359.9292;359.9292;208.4232;208.4232;0.0000;0.0000;-0.0014;0.0979;0.0979;-0.0026;-0.0026;-0.0014;154564;68.4635;2155.20;83.9774;107.0798;1.6285;1.2448;24.4690;69.7727;352.4265;352.4706;210.8465;213.2425;359.6805;0.5311;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.1404;0.0125;-0.0222
0.0000;0.0000;False;False;82.2000;82.2000;-0.0230;-0.0230;25.1999;25.1999;359.9626;359.9626;208.4221;208.4221;0.0000;0.0000;-0.0006;0.0686;0.0686;-0.0012;-0.0012;-0.0006;154569;70.56603;2155.27;83.9769;107.0795;1.6351;1.2492;24.4682;69.7723;352.4631;352.4964;210.8453;213.2437;359.6820;0.5293;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.2092;0.0125;-0.0222
0.0000;0.0055;False;False;82.1999;82.1999;-0.0190;-0.0190;25.1998;25.1998;359.9846;359.9846;208.4214;208.4214;0.0000;0.0000;-0.0007;0.0404;0.0404;-0.0014;-0.0014;-0.0007;154574;70.22483;2155.34;83.9766;107.0792;1.6395;1.2521;24.4675;69.7720;352.4875;352.5122;210.8444;213.2435;359.6831;0.5281;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.2803;0.0125;-0.0222
0.0000;0.0203;False;False;82.1999;82.1999;-0.0167;-0.0167;25.1998;25.1998;-0.0029;-0.0029;208.4235;208.4235;0.0000;0.0000;-0.0013;0.0260;0.0260;-0.0024;-0.0024;-0.0013;154579;71.62361;2155.41;83.9764;107.0790;1.6421;1.2537;24.4671;69.7717;352.5017;352.5202;210.8457;213.2429;359.6837;0.5275;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.3489;0.0125;-0.0222
0.0000;0.0306;False;False;82.1998;82.1998;-0.0153;-0.0153;25.1996;25.1996;0.0037;0.0037;208.4241;208.4241;0.0000;0.0000;-0.0014;0.0162;0.0162;-0.0026;-0.0026;-0.0014;154584;70.83187;2155.48;83.9762;107.0788;1.6437;1.2547;24.4668;69.7714;352.5094;352.5238;210.8465;213.2426;359.6840;0.5273;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.4194;0.0125;-0.0222
0.0000;0.0419;False;False;82.1998;82.1998;-0.0145;-0.0145;25.1996;25.1996;0.0064;0.0064;208.4258;208.4258;0.0000;0.0000;-0.0013;0.0080;0.0080;-0.0023;-0.0023;-0.0013;154589;70.84528;2155.55;83.9761;107.0784;1.6446;1.2552;24.4665;69.7709;352.5128;352.5242;210.8480;213.2401;359.6841;0.5273;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.4893;0.0125;-0.0222
0.0000;0.0457;False;False;82.1997;82.1997;-0.0141;-0.0141;25.1994;25.1994;0.0069;0.0069;208.4272;208.4272;0.0000;0.0000;-0.0014;0.0035;0.0035;-0.0025;-0.0025;-0.0014;154594;69.43526;2155.62;83.9760;107.0778;1.6451;1.2554;24.4664;69.7700;352.5136;352.5226;210.8491;213.2404;359.6842;0.5273;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.1, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.5605;0.0125;-0.0222
