ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0547;0.0;False;False;54.7022;54.7022;-0.007;-0.007;-115.2016;-115.2016;0.4178;0.4178;305.8758;305.8758;0.2064;0.2064; ; ; ; ; ; ;162514;71.36296;2266.48;53.732;-131.5408;1.6458;1.2319;-116.8658;-68.8865;352.911;352.3979;308.269;81.1452;359.9095;0.5363;;;HandLeft_(1.4, -1.1, -0.5)_(0.7, 0.3, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.1, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.0;0.0159;-0.0481
0.0993;0.0;False;False;54.7017;54.7017;-0.0033;-0.0033;-115.2014;-115.2014;0.4336;0.4336;305.8766;305.8766;0.2054;0.2054;-0.0169;0.0335;0.0335;0.0112;0.0112;-0.0169;162519;68.68668;2266.56;53.7313;-131.5398;1.6499;1.2413;-116.8653;-68.8864;352.9292;352.4505;308.2693;81.1455;359.9092;0.5326;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.7, 0.3, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.1, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.0781;0.0159;-0.0481
0.2238;0.0104;False;False;54.7;54.7;-0.0014;-0.0014;-115.2002;-115.2002;0.4373;0.4373;305.8771;305.8771;0.205;0.205;-0.0387;0.0210;0.0210;0.0272;0.0272;-0.0387;162524;69.15263;2266.63;53.7298;-131.5391;1.6522;1.247;-116.8643;-68.8863;352.935;352.4833;308.2704;81.146;359.9089;0.5302;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.7, 0.3, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.0, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.1489;0.0159;-0.0481
0.4135;0.0905;False;False;54.696;54.696;-0.0003;-0.0003;-115.1973;-115.1973;0.4335;0.4335;305.8781;305.8781;0.2048;0.2048;-0.0882;0.0101;0.0101;0.0635;0.0635;-0.0882;162529;70.21941;2266.7;53.7264;-131.5385;1.6534;1.2506;-116.8619;-68.8863;352.9327;352.504;308.2715;81.1475;359.9086;0.5287;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.7, 0.3, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.0, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.2185;0.0159;-0.0481
0.5922;0.1592;False;False;54.688;54.688;0.0002;0.0002;-115.1916;-115.1916;0.4215;0.4215;305.8797;305.8797;0.2048;0.2048;-0.1499;0.0047;0.0047;0.1087;0.1087;-0.1499;162534;71.22814;2266.77;53.7195;-131.5374;1.654;1.2529;-116.8569;-68.8862;352.9222;352.5143;308.2727;81.1475;359.9081;0.5278;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.7, 0.3, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.0, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.2876;0.0159;-0.0481
0.6955;0.1995;False;False;54.6741;54.6741;0.0004;0.0004;-115.1815;-115.1815;0.4033;0.4033;305.884;305.884;0.205;0.205;-0.2537;0.0001;0.0001;0.1847;0.1847;-0.2537;162539;70.12663;2266.84;53.7074;-131.5348;1.6542;1.2542;-116.8481;-68.8859;352.9052;352.5161;308.2764;81.1468;359.9075;0.5274;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.7, 0.3, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.0, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.3584;0.0159;-0.0481
0.7251;0.225;False;False;54.6537;54.6537;0.0003;0.0003;-115.1666;-115.1666;0.3831;0.3831;305.8907;305.8907;0.2052;0.2052;-0.3392;-0.0022;-0.0022;0.2474;0.2474;-0.3392;162544;70.75359;2266.91;53.6886;-131.5301;1.6541;1.255;-116.8345;-68.8854;352.8849;352.5129;308.2827;81.1429;359.9069;0.5274;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.7, 0.3, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.0, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.428;0.0159;-0.0481
0.7307;0.2364;False;False;54.6263;54.6263;0.0001;0.0001;-115.1466;-115.1466;0.3641;0.3641;305.8997;305.8997;0.2055;0.2055;-0.4550;-0.0043;-0.0043;0.3324;0.3324;-0.4550;162549;70.67594;2266.98;53.6628;-131.523;1.6538;1.2553;-116.8157;-68.8846;352.8656;352.5072;308.2914;81.1362;359.9064;0.5275;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.7, 0.3, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.0, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.498;0.0159;-0.0481
0.7539;0.2347;False;False;54.5919;54.5919;-0.0002;-0.0002;-115.1215;-115.1215;0.3484;0.3484;305.911;305.911;0.2058;0.2058;-0.5429;-0.0053;-0.0053;0.3969;0.3969;-0.5429;162554;71.2124;2267.05;53.63;-131.5132;1.6534;1.2555;-116.7918;-68.8836;352.8491;352.5009;308.3022;81.1286;359.9059;0.5276;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.0, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.5676;0.0159;-0.0481
0.78;0.2408;False;False;54.5497;54.5497;-0.0006;-0.0006;-115.0906;-115.0906;0.3353;0.3353;305.9249;305.9249;0.2061;0.2061;-0.6644;-0.0065;-0.0065;0.4862;0.4862;-0.6644;162559;70.20715;2267.12;53.5898;-131.5007;1.653;1.2556;-116.7625;-68.8823;352.8357;352.4953;308.3155;81.1188;359.9057;0.5278;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.1, -0.5)_(0.6, 0.6, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.0, -0.5, -0.1, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.6382;0.0159;-0.0481
0.7761;0.2643;False;False;54.5004;54.5004;-0.0011;-0.0011;-115.0545;-115.0545;0.3247;0.3247;305.9412;305.9412;0.2064;0.2064;-0.7568;-0.0073;-0.0073;0.5542;0.5542;-0.7568;162564;70.52033;2267.19;53.5414;-131.4855;1.6525;1.2556;-116.7272;-68.8807;352.8244;352.491;308.3313;81.1066;359.9055;0.528;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.0, -0.5)_(0.5, 0.6, -0.6, -0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.0, -0.5, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.708;0.0159;-0.0482
0.7655;0.2925;False;False;54.4433;54.4433;-0.0017;-0.0017;-115.0127;-115.0127;0.3162;0.3162;305.96;305.96;0.2068;0.2068;-0.8776;-0.0083;-0.0083;0.6433;0.6433;-0.8776;162569;70.2142;2267.26;53.4861;-131.4675;1.6519;1.2556;-116.6867;-68.8788;352.8156;352.4872;308.3494;81.0919;359.9055;0.5281;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.0, -0.6)_(0.5, 0.6, -0.6, -0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.5)_(0.1, -0.4, -0.4, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.7786;0.0159;-0.0482
0.7804;0.3195;False;False;54.38;54.38;-0.0023;-0.0023;-114.9663;-114.9663;0.31;0.31;305.9807;305.9807;0.2071;0.2071;-0.9678;-0.0091;-0.0091;0.7099;0.7099;-0.9678;162574;71.04827;2267.33;53.4237;-131.4466;1.6513;1.2556;-116.6411;-68.8766;352.8089;352.4835;308.3698;81.0747;359.9056;0.5282;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -1.0, -0.6)_(0.5, 0.7, -0.6, -0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.6)_(0.3, -0.4, -0.6, 0.6)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.8474;0.0159;-0.0482
0.808;0.335;False;False;54.3073;54.3073;-0.0029;-0.0029;-114.9129;-114.9129;0.3044;0.3044;306.0046;306.0046;0.2076;0.2076;-1.0914;-0.0101;-0.0101;0.8014;0.8014;-1.0914;162579;69.49545;2267.4;53.3534;-131.4221;1.6506;1.2556;-116.5896;-68.874;352.8033;352.4796;308.3927;81.0546;359.9058;0.5282;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.9, -0.6)_(0.5, 0.6, -0.6, -0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.6)_(0.3, -0.5, -0.6, 0.6)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.9185;0.0159;-0.0485
0.8314;0.3411;False;False;54.2289;54.2289;-0.0037;-0.0037;-114.8553;-114.8553;0.2988;0.2988;306.0305;306.0305;0.2086;0.2086;-1.1872;-0.0112;-0.0112;0.8724;0.8724;-1.1872;162584;70.66679;2267.47;53.2739;-131.3933;1.6498;1.2556;-116.5313;-68.8709;352.7977;352.4758;308.4186;81.031;359.9063;0.5282;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.5, 0.6, -0.6, -0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.6)_(0.3, -0.5, -0.6, 0.6)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.7, -0.5, 0.6)_0.9998702_System.String[];0.9878;0.0159;-0.0518
0.8592;0.3444;False;False;54.1389;54.1389;-0.0045;-0.0045;-114.7891;-114.7891;0.2915;0.2915;306.0604;306.0604;0.2112;0.2112;-1.3186;-0.0129;-0.0129;0.9701;0.9701;-1.3186;162589;69.61563;2267.54;53.1841;-131.36;1.6489;1.2556;-116.4655;-68.8673;352.7905;352.4724;308.4479;81.002;359.9085;0.5279;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.6, 0.5, -0.6, -0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.4, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.0, -0.7)_(0.3, -0.5, -0.6, 0.6)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];1.0598;0.0159;-0.057
0.9121;0.3535;False;False;54.0264;54.0264;-0.0056;-0.0056;-114.7063;-114.7063;0.2803;0.2803;306.0977;306.0977;0.2137;0.2137;-1.4563;-0.0140;-0.0140;1.0728;1.0728;-1.4563;162595;71.13638;2267.63;53.0753;-131.3187;1.6477;1.2555;-116.3857;-68.8627;352.7803;352.4693;308.4835;80.9626;359.9103;0.5272;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.8, -0.6)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.7)_(0.2, -0.4, -0.5, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];1.1416;0.0159;-0.0648
0.9481;0.3662;False;False;53.9219;53.9219;-0.0066;-0.0066;-114.6293;-114.6293;0.2664;0.2664;306.1319;306.1319;0.2194;0.2194;-1.5659;-0.0147;-0.0147;1.1537;1.1537;-1.5659;162600;71.7476;2267.69;52.9703;-131.2782;1.6465;1.2555;-116.3087;-68.8581;352.7669;352.4671;308.5173;80.9196;359.915;0.5262;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.7)_(0.7, 0.5, -0.6, 0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.7)_(0.1, -0.5, -0.4, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.7, -0.5, 0.6)_0.9998702_System.String[];1.2107;0.0127;-0.0746
0.9694;0.3858;False;False;53.806;53.806;-0.0077;-0.0077;-114.544;-114.544;0.2487;0.2487;306.1628;306.1628;0.224;0.224;-1.7185;-0.0150;-0.0150;1.2623;1.2623;-1.7185;162605;70.51526;2267.76;52.8576;-131.2343;1.6452;1.2555;-116.226;-68.8528;352.7501;352.4651;308.5488;80.866;359.9201;0.5248;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.5, -0.5, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.1, -0.5, -0.4, 0.8)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.7, -0.5, 0.6)_0.9998702_System.String[];1.2815;0.0043;-0.087
0.9819;0.4078;False;False;53.6823;53.6823;-0.0087;-0.0087;-114.4533;-114.4533;0.2271;0.2271;306.1782;306.1782;0.2223;0.2223;-1.8365;-0.0156;-0.0156;1.3435;1.3435;-1.8365;162610;70.99947;2267.83;52.7331;-131.1852;1.6441;1.2555;-116.1347;-68.8467;352.7288;352.4628;308.5688;80.7966;359.9182;0.5227;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.5, -0.5, 0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.5, 0.4)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.1, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.7, -0.5, 0.6)_0.9998702_System.String[];1.3511;-0.0014;-0.0995
0.9893;0.4243;False;False;53.5456;53.5456;-0.0099;-0.0099;-114.3535;-114.3535;0.2035;0.2035;306.1786;306.1786;0.2194;0.2194;-1.9944;-0.0167;-0.0167;1.4543;1.4543;-1.9944;162615;69.46098;2267.91;52.6037;-131.1334;1.643;1.2555;-116.04;-68.8399;352.7062;352.4603;308.5721;80.7125;359.9144;0.5206;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.4, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.5, 0.5, -0.5, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.1, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9998702_System.String[];1.4224;-0.0028;-0.106
0.9937;0.4422;False;False;53.4051;53.4051;-0.0111;-0.0111;-114.2511;-114.2511;0.1807;0.1807;306.1718;306.1718;0.2187;0.2187;-2.1126;-0.0169;-0.0169;1.5390;1.5390;-2.1126;162620;71.11099;2267.97;52.4615;-131.0758;1.6418;1.2555;-115.9363;-68.8321;352.6824;352.4575;308.5664;80.6122;359.9113;0.5191;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.5, -0.6, 0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.5, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.1, -0.5, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.5)_0.9998702_System.String[];1.4907;-0.0028;-0.106
0.9963;0.4632;False;False;53.2508;53.2508;-0.0123;-0.0123;-114.1387;-114.1387;0.1623;0.1623;306.163;306.163;0.2287;0.2287;-2.2704;-0.0183;-0.0183;1.6522;1.6522;-2.2704;162625;70.47742;2268.04;52.3127;-131.0148;1.6403;1.2555;-115.8281;-68.8236;352.6629;352.4546;308.5571;80.5043;359.9186;0.5186;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.5, -0.6, 0.1)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.1, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.5)_0.9998702_System.String[];1.5613;-0.0028;-0.1066
0.9978;0.4891;False;False;53.0889;53.0889;-0.0136;-0.0136;-114.0208;-114.0208;0.1511;0.1511;306.1532;306.1532;0.2355;0.2355;-2.3883;-0.0181;-0.0181;1.7375;1.7375;-2.3883;162630;70.71612;2268.11;52.1516;-130.9479;1.6387;1.2555;-115.7111;-68.8141;352.6495;352.4514;308.5464;80.3852;359.9268;0.5184;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.5, -0.6, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.5, 0.5)_0.9998702_System.String[];1.6306;-0.0028;-0.1076
