ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.4881;-0.2976;False;False;-34.0431;29.9989;-0.2419;-0.0494;1.6636;-1.1387;359.0336;0.1936;270.4027;90.1132;359.8871;359.8857;0.0000;0.0006;0.0000;0.0000;0.0000;0.0014;115300;55.25318;inf;1515.72;-34.0011;30.0549;1.4298;1.4908;0.8217;-1.1865;352.0145;352.7366;289.0923;82.9017;357.1912;0.8023;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -1.0, -0.4)_(0.4, 0.6, -0.6, 0.4)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.6, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.9, -0.5)_(-0.2, -0.5, -0.5, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.1, -0.6, -0.6, 0.5)_1.029147_System.String[];64.3168;-0.0009;-0.0013;-34.1068;30.2099;0.9407;1.1151;1.2905;-0.7715;351.4677;353.4374;267.2571;92.5085;358.8711;1.3338
-0.4563;0.0;False;False;98.0999;54.7022;-0.0211;-0.006;55.3999;-115.2016;359.9736;0.4226;214.6056;305.8758;0.0;0.2061; ; ; ; ; ; ;124744;71.70658;inf;1647.44;98.8072;54.6747;1.6487;1.5334;54.9371;-115.1336;352.8595;353.0004;233.2425;298.6263;357.5995;1.0943;;;HandLeft_(0.2, -0.9, -0.5)_(0.5, 0.5, -0.7, 0.1)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.6, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.8, -0.5)_(-0.2, -0.5, -0.4, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.029147_System.String[];0.0;0.0125;-0.0006;98.3841;54.3033;1.1311;1.157;55.1464;-115.3926;356.1369;351.1254;215.1646;296.4931;359.0772;1.7215
-0.4444;0.0;False;False;98.1;54.7021;-0.0187;-0.0038;55.4;-115.2017;359.9869;0.4329;214.6056;305.8754;0.0;0.2055;-0.0040;0.0404;0.0388;-0.0005;0.0017;-0.0003;124747;66.98316;inf;1647.49;98.8069;54.6744;1.6514;1.5359;54.9368;-115.1334;352.8736;353.012;233.2419;298.6265;357.6043;1.0922;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.9, -0.5)_(0.5, 0.5, -0.7, 0.1)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.5, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.8, -0.5)_(-0.2, -0.5, -0.4, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.029147_System.String[];0.0496;0.0125;-0.0006;98.384;54.3034;1.1337;1.159;55.1462;-115.3916;356.1526;351.4652;215.1992;297.1867;359.0277;1.6324
-0.3928;0.0;False;False;98.1;54.7019;-0.0172;-0.0024;55.4;-115.2016;-0.0052;0.4385;214.6056;305.8745;0.0;0.2051;-0.0058;0.0302;0.0290;-0.0003;0.0029;-0.0002;124750;69.33838;inf;1647.53;98.8068;54.6742;1.653;1.5374;54.9366;-115.1332;352.882;353.0183;233.2415;298.625;357.6071;1.0909;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.9, -0.5)_(0.5, 0.5, -0.7, 0.1)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.5, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.8, -0.5)_(-0.2, -0.5, -0.4, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.029147_System.String[];0.0913;0.0125;-0.0006;98.3839;54.3033;1.1353;1.1603;55.146;-115.3903;356.1743;351.7284;215.2446;297.9633;358.9906;1.5619
-0.3373;0.0;False;False;98.1;54.7017;-0.0161;-0.0013;55.4;-115.2014;0.0003;0.4422;214.6056;305.8746;0.0;0.2048;-0.0076;0.0223;0.0214;-0.0002;0.0043;-0.0002;124753;70.2478;inf;1647.57;98.8067;54.6738;1.6542;1.5386;54.9365;-115.133;352.8879;353.0224;233.2412;298.6261;357.6091;1.0901;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.9, -0.5)_(0.5, 0.5, -0.7, 0.1)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.5, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.8, -0.5)_(-0.2, -0.5, -0.4, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.029147_System.String[];0.1333;0.0125;-0.0006;98.3836;54.3033;1.1365;1.161;55.1462;-115.3886;356.1978;351.9925;215.327;298.9027;358.9627;1.4985
-0.3055;0.0;False;False;98.1;54.7013;-0.0154;-0.0006;55.4;-115.2012;0.0038;0.4442;214.6056;305.8746;0.0;0.2046;-0.0095;0.0162;0.0154;-0.0001;0.0056;-0.0001;124756;71.04222;inf;1647.62;98.8067;54.6735;1.6551;1.5394;54.9364;-115.1328;352.8918;353.0249;233.2411;298.6253;357.6104;1.0895;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.9, -0.5)_(0.5, 0.5, -0.7, 0.1)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.5, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.8, -0.5)_(-0.2, -0.5, -0.4, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.029147_System.String[];0.175;0.0124;-0.0006;98.3834;54.3035;1.1373;1.1615;55.1464;-115.3871;356.2273;352.2302;215.4121;299.8711;358.9069;1.4154
-0.2738;0.0;False;False;98.1;54.7008;-0.0148;-0.0001;55.4;-115.2009;0.0058;0.445;214.6056;305.8752;0.0;0.2044;-0.0124;0.0115;0.0109;-0.0001;0.0078;-0.0001;124759;71.50665;inf;1647.66;98.8066;54.673;1.6557;1.54;54.9364;-115.1325;352.8941;353.026;233.241;298.6263;357.6112;1.0892;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.9, -0.5)_(0.5, 0.5, -0.7, 0.1)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.5, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.8, -0.5)_(-0.2, -0.5, -0.4, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.029147_System.String[];0.2167;0.0124;-0.0006;98.3833;54.3036;1.1379;1.1619;55.1465;-115.3853;356.2632;352.4901;215.4701;300.8942;358.8385;1.3109
-0.2579;0.0;False;False;98.1;54.7003;-0.0144;0.0003;55.4;-115.2006;0.0068;0.4449;214.6056;305.8756;0.0;0.2043;-0.0153;0.0080;0.0075;0.0000;0.0099;0.0000;124762;71.7367;inf;1647.7;98.8066;54.6724;1.6561;1.5404;54.9363;-115.1322;352.8953;353.0262;233.241;298.6265;357.6117;1.089;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.9, -0.5)_(0.5, 0.5, -0.7, 0.1)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.5, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.8, -0.5)_(-0.2, -0.5, -0.4, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.029147_System.String[];0.2584;0.0124;-0.0006;98.3834;54.3037;1.1383;1.162;55.1467;-115.3836;356.2552;352.7292;215.4783;301.8835;358.7762;1.2074
-0.254;0.0;False;False;98.1;54.6995;-0.0142;0.0005;55.4;-115.2001;0.0071;0.4442;214.6056;305.8766;0.0;0.2042;-0.0167;0.0044;0.0040;0.0000;0.0109;0.0000;124765;71.56636;inf;1647.74;98.8066;54.6718;1.6564;1.5406;54.9363;-115.1317;352.8958;353.0256;233.2409;298.6276;357.6118;1.0889;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.9, -0.5)_(0.5, 0.5, -0.7, 0.1)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.5, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.8, -0.5)_(-0.2, -0.5, -0.4, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.029147_System.String[];0.3004;0.0124;-0.0006;98.3836;54.3036;1.1387;1.1619;55.1469;-115.3819;356.2452;352.9249;215.4722;302.8438;358.756;1.1151
-0.242;0.0;False;False;98.1;54.6988;-0.014;0.0007;55.4;-115.1996;0.0069;0.4436;214.6056;305.877;0.0;0.2041;-0.0199;0.0028;0.0025;0.0000;0.0132;0.0000;124768;71.7187;inf;1647.78;98.8066;54.6711;1.6566;1.5408;54.9363;-115.1312;352.8958;353.025;233.2409;298.6278;357.6118;1.0889;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.9, -0.5)_(0.5, 0.5, -0.7, 0.1)_1.027716_System.String[];HandLeft_(-0.5, -0.8, -0.4)_(0.5, 0.6, -0.5, 0.2)_1.029147_System.String[];HandRight_(0.5, -0.8, -0.5)_(-0.2, -0.5, -0.4, 0.7)_1.027716_System.String[];HandRight_(-0.2, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.029147_System.String[];0.3422;0.0124;-0.0006;98.3838;54.3034;1.1392;1.1618;55.1471;-115.3804;356.2207;353.0886;215.4992;303.7303;358.7408;1.0025
