ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.2717;0.0;False;False;53.6;63.9415;0.0439;0.0439;72.1999;106.2406;-0.0005;0.0024;180.3439;235.6641;0.0;0.0044; ; ; ; ; ; ;184678;71.44923;inf;2541.85;53.9078;63.8879;1.1568;1.2558;72.0764;105.7491;352.5004;352.5013;181.8235;236.0844;359.8069;359.9499;;;HandLeft_(-0.2, -0.4, -0.3)_(0.5, 0.5, -0.6, 0.2)_1.125229_System.String[];HandLeft_(0.0, -0.7, -0.1)_(0.5, -0.4, -0.8, 0.0)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.0, -0.7, 0.0)_(-0.7, -0.3, -0.6, 0.2)_0.9748163_System.String[];0.0;-0.0007;0.0234;53.9768;64.0328;1.0948;1.1229;72.1275;105.879;349.4436;6.5293;184.9509;234.0384;356.0457;356.5387
0.2632;0.0;False;False;53.6;63.9415;0.0447;0.0447;72.199;106.2406;0.0005;0.0054;180.3448;235.666;0.0;0.0033;-0.0004;0.0136;0.0136;-0.0407;-0.0001;-0.0002;184681;67.65839;inf;2541.9;53.9078;63.8878;1.1577;1.2568;72.0759;105.7491;352.5033;352.5049;181.8242;236.0857;359.8069;359.9487;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.3)_(0.5, 0.5, -0.6, 0.2)_1.125229_System.String[];HandLeft_(0.0, -0.7, -0.1)_(0.5, -0.4, -0.8, 0.0)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.0, -0.7, 0.0)_(-0.7, -0.3, -0.6, 0.2)_0.9748163_System.String[];0.0483;-0.0007;0.0234;53.9768;64.0336;1.0958;1.1251;72.1263;105.8802;349.5715;6.1995;184.9513;233.79;356.0857;356.6429
0.2493;0.0;False;False;53.6;63.9415;0.0452;0.0452;72.197;106.2406;-0.0019;0.0067;180.345;235.6679;0.0;0.0026;-0.0004;0.0095;0.0096;-0.0638;-0.0001;-0.0004;184684;69.68552;inf;2541.94;53.9078;63.8878;1.1583;1.2573;72.0742;105.7491;352.5016;352.5066;181.8244;236.0875;359.8069;359.9479;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.3)_(0.5, 0.5, -0.6, 0.3)_1.125229_System.String[];HandLeft_(0.0, -0.7, -0.1)_(0.5, -0.4, -0.8, 0.0)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.0, -0.7, 0.0)_(-0.7, -0.3, -0.6, 0.2)_0.9748163_System.String[];0.0898;-0.0007;0.0234;53.9768;64.0338;1.0964;1.1259;72.1244;105.8809;349.653;6.2876;184.9511;233.7352;356.1132;356.4756
0.2228;0.004;False;False;53.6;63.9415;0.0456;0.0456;72.1939;106.2406;-0.0056;0.0072;180.3452;235.6702;0.0;0.002;0.0007;0.0065;0.0066;-0.0854;0.0006;-0.0005;184687;70.76215;inf;2541.99;53.9078;63.8877;1.1587;1.2577;72.0716;105.7491;352.4982;352.5073;181.8248;236.09;359.8068;359.9473;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_1.125229_System.String[];HandLeft_(0.0, -0.7, -0.1)_(0.5, -0.4, -0.8, 0.0)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.0, -0.7, 0.0)_(-0.7, -0.3, -0.6, 0.2)_0.9748163_System.String[];0.1316;-0.0007;0.0234;53.977;64.0339;1.0968;1.1259;72.1216;105.8821;349.7456;6.6522;184.9436;233.8247;356.1531;356.263
0.1753;0.0396;False;False;53.5999;63.9414;0.0458;0.0458;72.19;106.2406;359.9903;0.0071;180.3455;235.6711;0.0;0.0016;-0.0011;0.0043;0.0044;-0.1051;-0.0007;-0.0006;184690;71.36194;inf;2542.03;53.9078;63.8877;1.159;1.258;72.068;105.7491;352.4941;352.5074;181.8253;236.0917;359.8067;359.9468;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_1.125229_System.String[];HandLeft_(0.0, -0.7, -0.1)_(0.5, -0.4, -0.8, 0.0)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.0, -0.7, 0.0)_(-0.7, -0.3, -0.6, 0.2)_0.9748163_System.String[];0.1733;-0.0007;0.0234;53.9773;64.0335;1.0971;1.1253;72.1179;105.8835;349.8104;7.1077;184.9258;233.9577;356.2234;356.0858
0.1278;0.1079;False;False;53.5999;63.9413;0.046;0.046;72.1852;106.2405;359.9869;0.0062;180.344;235.6712;0.0;0.0012;-0.0070;0.0027;0.0029;-0.1181;-0.0046;-0.0007;184693;71.36277;inf;2542.07;53.9077;63.8876;1.1591;1.2582;72.0636;105.7491;352.4904;352.5068;181.8239;236.092;359.8066;359.9464;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.3)_(0.5, 0.5, -0.6, 0.2)_1.125229_System.String[];HandLeft_(0.0, -0.7, -0.1)_(0.5, -0.4, -0.8, 0.0)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.4, -0.6, -0.3, 0.5)_0.9748163_System.String[];0.2153;-0.0007;0.0234;53.9775;64.0336;1.0985;1.1254;72.1128;105.8841;349.8361;7.2887;184.9062;233.952;356.3283;355.9441
0.0932;0.1826;False;False;53.5999;63.9408;0.046;0.0461;72.1801;106.2402;359.9848;0.0042;180.3439;235.6726;0.0;0.001;-0.0158;0.0017;0.0017;-0.1284;-0.0105;-0.0007;184696;71.67272;inf;2542.11;53.9077;63.8873;1.1592;1.2583;72.0586;105.7489;352.4879;352.5052;181.8235;236.0929;359.8065;359.9462;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_1.125229_System.String[];HandLeft_(0.0, -0.7, -0.1)_(0.5, -0.4, -0.8, 0.0)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.4, -0.6, -0.3, 0.5)_0.9748163_System.String[];0.2571;-0.0007;0.0234;53.9776;64.0336;1.0994;1.1254;72.1073;105.8854;349.8616;7.2345;184.8886;233.8781;356.4429;355.7789
0.0679;0.2502;False;False;53.5999;63.9398;0.0461;0.0461;72.1745;106.2395;359.9838;0.0009;180.3438;235.6738;0.0;0.0009;-0.0334;0.0009;0.0009;-0.1357;-0.0223;-0.0008;184699;71.51046;inf;2542.15;53.9077;63.8865;1.1593;1.2584;72.0531;105.7484;352.4865;352.5024;181.8234;236.0938;359.8065;359.946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.3)_(0.5, 0.5, -0.6, 0.3)_1.125229_System.String[];HandLeft_(0.0, -0.7, -0.1)_(0.5, -0.4, -0.8, 0.0)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.5, -0.6, -0.4, 0.4)_0.9748163_System.String[];0.2991;-0.0007;0.0234;53.9778;64.033;1.1;1.1259;72.1012;105.8852;349.9769;7.1668;184.8755;233.721;356.4981;355.6764
0.0495;0.3136;False;False;53.5998;63.9378;0.0461;0.0461;72.1686;106.2381;359.9837;-0.0041;180.3437;235.6746;0.0;0.0008;-0.0535;0.0004;0.0004;-0.1409;-0.0357;-0.0008;184702;71.28799;inf;2542.2;53.9076;63.8849;1.1593;1.2585;72.0473;105.7473;352.4861;352.4979;181.8233;236.0955;359.8065;359.9459;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.3)_(0.5, 0.5, -0.6, 0.3)_1.125229_System.String[];HandLeft_(-0.1, -0.5, 0.0)_(0.4, 0.6, -0.7, 0.4)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.5, -0.6, -0.5, 0.3)_0.9748163_System.String[];0.3413;-0.0007;0.0234;53.9781;64.0315;1.0998;1.1262;72.0947;105.8844;350.2437;7.1165;184.8629;233.5353;356.5132;355.6579
0.0361;0.3729;False;False;53.5998;63.9348;0.0461;0.0461;72.1626;106.2362;359.9844;359.9902;180.3436;235.6766;0.0;0.0009;-0.0789;0.0002;0.0000;-0.1443;-0.0527;-0.0008;184705;71.54066;inf;2542.24;53.9076;63.8824;1.1594;1.2585;72.0414;105.7456;352.4866;352.4924;181.8233;236.0966;359.8065;359.9459;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.3)_(0.5, 0.5, -0.6, 0.2)_1.125229_System.String[];HandLeft_(-0.1, -0.5, 0.0)_(0.4, 0.6, -0.7, 0.4)_0.9748163_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.2, -0.8)_1.125229_System.String[];HandRight_(0.1, -0.5, 0.0)_(-0.5, -0.6, -0.6, 0.3)_0.9748163_System.String[];0.3831;-0.0007;0.0234;53.9783;64.0291;1.0995;1.1268;72.0883;105.8829;350.5399;7.1224;184.8607;233.3044;356.5179;355.6081
