ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0;0.0;False;False;98.1;54.702;-0.0139;0.0008;55.4;-115.2019;0.0007;0.4409;214.6056;305.8757;0.0;0.2039; ; ; ; ; ; ;65247;71.91573;inf;899.69;98.2777;54.0205;1.1346;1.4702;55.2164;-115.6009;354.9127;352.9602;262.0528;312.089;354.4828;359.4389;;;HandLeft_(-0.5, -0.3, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.5, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.4, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(0.0, -0.5, -0.5, 0.7)_0.9825718_System.String[];0.0;-0.0057;0.0225;98.3025;54.2839;1.1691;1.0815;55.2073;-115.4503;0.5646;358.1858;256.0526;270.9796;357.4092;7.4959
0.0;0.0;False;False;98.1;54.7019;-0.0139;0.0008;55.4;-115.2019;0.0007;0.4406;214.6072;305.8757;0.0;0.2034;-0.0028;0.0000;0.0000;-0.0006;0.0009;-0.0004;65248;40.05368;inf;899.76;98.2777;54.0205;1.1346;1.4702;55.2164;-115.6009;354.9127;352.9602;262.0528;312.089;354.4828;359.4389;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.4, -0.3, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.5, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.4, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(0.0, -0.5, -0.6, 0.7)_0.9825718_System.String[];0.0692;-0.0057;0.0225;98.3033;54.2844;1.1652;1.0825;55.1984;-115.4423;2.8096;357.9067;251.1575;276.3363;357.0009;7.2747
0.0;0.0;False;False;98.1;54.7016;-0.0139;0.0008;55.4;-115.2018;0.0006;0.4399;214.6079;305.8737;0.0;0.2033;-0.0074;0.0000;-0.0001;0.0015;0.0043;0.0010;65251;51.00468;inf;899.8;98.2777;54.0202;1.1346;1.4702;55.2164;-115.6008;354.9126;352.9595;262.0543;312.0878;354.4828;359.4382;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.4, -0.3, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.5, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.3, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(0.0, -0.5, -0.6, 0.7)_0.9825718_System.String[];0.1112;-0.0057;0.0225;98.3038;54.2844;1.1642;1.0829;55.1953;-115.4398;3.5148;357.8168;249.3088;277.9629;356.9966;7.1799
0.0;0.0;False;False;98.1;54.7013;-0.0139;0.0008;55.4;-115.2016;0.0009;0.4394;214.6085;305.8731;0.0;0.2033;-0.0084;0.0000;-0.0001;0.0000;0.0050;0.0000;65254;59.45699;inf;899.84;98.2777;54.02;1.1346;1.4702;55.2165;-115.6006;354.9128;352.959;262.0554;312.0867;354.4829;359.4381;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.5, -0.3, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.5, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.3, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(0.0, -0.5, -0.6, 0.7)_0.9825718_System.String[];0.1529;-0.0057;0.0225;98.3045;54.2846;1.1629;1.0832;55.1902;-115.4367;4.2587;357.7379;246.2872;279.8819;357.1312;6.9987
0.0;0.0;False;False;98.1001;54.701;-0.0139;0.0008;55.4001;-115.2014;0.001;0.4391;214.6088;305.8733;0.0;0.2033;-0.0114;0.0000;-0.0001;-0.0010;0.0072;-0.0007;65257;64.98884;inf;899.88;98.2777;54.0196;1.1346;1.4702;55.2165;-115.6004;354.9128;352.9586;262.056;312.0868;354.483;359.4381;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.4, -0.3, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.5, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.3, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(0.0, -0.5, -0.6, 0.7)_0.9825718_System.String[];0.1945;-0.0057;0.0225;98.3061;54.2852;1.1609;1.0834;55.184;-115.4328;5.2595;357.6514;242.6154;282.3821;357.1965;6.7361
0.0;0.0;False;False;98.1;54.7005;-0.0139;0.0008;55.4001;-115.201;0.0009;0.4385;214.6081;305.8741;0.0;0.2034;-0.0123;0.0000;-0.0001;-0.0016;0.0078;-0.0011;65260;67.90469;inf;899.93;98.2777;54.0192;1.1346;1.4702;55.2165;-115.6002;354.9128;352.9581;262.0553;312.0872;354.483;359.4381;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.5, -0.3, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.5, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.3, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(0.0, -0.5, -0.6, 0.7)_0.9825718_System.String[];0.2366;-0.0057;0.0225;98.3083;54.286;1.159;1.0837;55.1766;-115.4276;6.4779;357.5119;238.3071;285.4958;357.2293;6.4262
0.0;0.0;False;False;98.1;54.6999;-0.0139;0.0008;55.4;-115.2007;0.0005;0.4382;214.6083;305.8741;0.0;0.2035;-0.0155;0.0000;-0.0002;-0.0013;0.0102;-0.0009;65263;69.60079;inf;899.97;98.2777;54.0186;1.1346;1.4702;55.2165;-115.5998;354.9126;352.9577;262.0554;312.0875;354.4828;359.4381;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.5, -0.4, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.5, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.4, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(-0.1, -0.5, -0.6, 0.7)_0.9825718_System.String[];0.2786;-0.0057;0.0225;98.3106;54.2872;1.157;1.0843;55.1692;-115.4216;7.5522;357.2769;234.2258;289.0598;357.1388;6.0996
0.0;0.0;False;False;98.1;54.6992;-0.0139;0.0008;55.4;-115.2002;0.0004;0.4377;214.608;305.8743;0.0;0.2035;-0.0198;0.0000;-0.0002;0.0000;0.0134;0.0000;65266;70.22426;inf;900.01;98.2777;54.018;1.1346;1.4702;55.2164;-115.5994;354.9125;352.9573;262.0553;312.0876;354.4826;359.4382;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.4, -0.3, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.5, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.3, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(-0.1, -0.4, -0.6, 0.7)_0.9825718_System.String[];0.3209;-0.0057;0.0225;98.3128;54.2886;1.1556;1.0848;55.1626;-115.4156;8.4254;357.0401;230.6262;292.6819;357.0232;5.7882
0.0;0.0;False;False;98.1;54.6983;-0.0139;0.0008;55.4;-115.1996;0.0007;0.4371;214.6079;305.8757;0.0;0.2036;-0.0209;0.0000;-0.0002;0.0008;0.0142;0.0005;65269;70.75209;inf;900.05;98.2777;54.0172;1.1346;1.4702;55.2164;-115.5989;354.9127;352.9566;262.0553;312.0885;354.4828;359.4382;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.4, -0.3, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.5, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.3, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(-0.1, -0.4, -0.6, 0.7)_0.9825718_System.String[];0.3629;-0.0057;0.0225;98.3149;54.2904;1.1546;1.0851;55.1569;-115.4097;9.0241;356.8666;227.6882;296.3704;356.9332;5.4883
0.0;0.0;False;False;98.1;54.6974;-0.0139;0.0008;55.4;-115.199;0.0007;0.4367;214.608;305.8763;0.0;0.2037;-0.0231;0.0000;-0.0002;0.0006;0.0158;0.0004;65272;71.02316;inf;900.09;98.2777;54.0163;1.1346;1.4702;55.2164;-115.5982;354.9127;352.9562;262.0547;312.09;354.4828;359.4382;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.4, -0.3, -0.1)_(0.3, 0.5, -0.8, -0.1)_1.012537_System.String[];HandLeft_(0.2, -0.6, -0.2)_(0.7, 0.5, -0.6, -0.1)_0.9825718_System.String[];HandRight_(-0.3, -0.3, -0.3)_(-0.4, -0.3, -0.4, 0.8)_1.012537_System.String[];HandRight_(0.5, -0.7, -0.2)_(-0.1, -0.4, -0.6, 0.7)_0.9825718_System.String[];0.4049;-0.0057;0.0225;98.3168;54.2923;1.1537;1.0854;55.1523;-115.4039;9.4933;356.7381;225.3652;299.891;356.9683;5.0983
