ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.2143;0.0;False;False;81.01;-87.27;0.9103;0.8821;-75.12;-85.54;0.0;0.0;273.3925;77.1636;0.0;0.0; ; ; ; ; ; ;275349;71.8895;inf;3819.31;82.1221;-87.1331;1.4288;2.1219;-75.538;-85.099;353.3068;352.5056;300.3447;79.3994;356.6084;359.7083;;;HandLeft_(-0.8, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.2)_(0.8, 0.5, -0.2, -0.2)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.0;-0.0187;-0.0071;80.9454;-87.3549;2.0281;1.9933;-75.4334;-85.0125;358.6591;359.8009;277.3653;17.9112;357.1389;10.4501
-0.1746;0.0;False;False;81.01;-87.27;0.8299;0.7919;-75.12;-85.54;0.0;0.0;273.3925;77.1636;0.0;0.0;0.0000;-1.7307;-1.9191;0.0000;0.0000;0.0000;275352;65.80162;inf;3819.36;82.1221;-87.1331;1.3554;2.0388;-75.538;-85.099;353.3068;352.5056;300.3447;79.3994;356.6084;359.7083;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.8, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.2)_(0.8, 0.6, -0.2, -0.2)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.0518;-0.0187;-0.0071;80.9463;-87.3539;1.9539;1.9099;-75.4242;-85.0128;358.9988;359.7679;280.681;18.0865;355.3394;10.3583
-0.1508;0.0;False;False;81.01;-87.27;0.7464;0.7006;-75.12;-85.54;0.0;0.0;273.3925;77.1636;0.0;0.0;0.0000;-2.1068;-2.2938;0.0000;0.0000;0.0000;275355;68.53706;inf;3819.4;82.1221;-87.1331;1.2772;1.9527;-75.538;-85.099;353.3068;352.5056;300.3447;79.3994;356.6084;359.7083;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.8, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.2)_(0.8, 0.6, -0.2, -0.2)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.0935;-0.0187;-0.0071;80.9473;-87.3531;1.8751;1.8238;-75.4184;-85.0128;359.1561;359.6844;282.788;18.1892;354.1302;10.3341
-0.1468;0.0;False;False;81.01;-87.27;0.6467;0.5932;-75.12;-85.54;0.0;0.0;273.3925;77.1636;0.0;0.0;0.0000;-2.6654;-2.8502;0.0000;0.0000;0.0000;275358;70.18179;inf;3819.44;82.1221;-87.1331;1.1826;1.8503;-75.538;-85.099;353.3068;352.5056;300.3447;79.3994;356.6084;359.7083;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.8, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.1)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.2)_(0.7, 0.6, -0.2, -0.2)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.1353;-0.0187;-0.0071;80.948;-87.3527;1.7799;1.7213;-75.414;-85.0129;359.2512;359.5836;284.353;18.2758;353.1806;10.3602
-0.1429;0.0;False;False;81.01;-87.27;0.5301;0.4688;-75.12;-85.54;0.0;0.0;273.3925;77.1636;0.0;0.0;0.0000;-3.0341;-3.2174;0.0000;0.0000;0.0000;275361;70.79971;inf;3819.48;82.1221;-87.1331;1.0722;1.7323;-75.538;-85.099;353.3068;352.5056;300.3447;79.3994;356.6084;359.7083;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.1)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.2)_(0.7, 0.6, -0.2, -0.2)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.1, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.1772;-0.0187;-0.0071;80.9487;-87.3524;1.6692;1.6032;-75.411;-85.013;359.2897;359.5146;285.4034;18.3623;352.4712;10.3844
-0.1389;0.0;False;False;81.01;-87.27;0.3981;0.3292;-75.12;-85.54;0.0;0.0;273.3925;77.1636;0.0;0.0;0.0000;-3.3999;-3.5817;0.0000;0.0000;0.0000;275364;71.34764;inf;3819.53;82.1221;-87.1331;0.9449;1.5972;-75.538;-85.099;353.3068;352.5056;300.3447;79.3994;356.6084;359.7083;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.8, 0.1, -1.4)_(0.5, 0.4, -0.8, -0.1)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.2)_(0.7, 0.6, -0.3, -0.2)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.1, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.219;-0.0187;-0.0071;80.9491;-87.3521;1.5415;1.4682;-75.4089;-85.0134;359.2951;359.4348;286.0435;18.4902;351.9284;10.364
-0.0666;0.0;False;False;81.01;-87.27;0.2484;0.1729;-75.12;-85.54;0.0;-0.0014;273.3925;77.1636;0.0;-0.0001;0.0000;-3.7628;-3.8005;0.0000;0.0000;0.0000;275367;71.27773;inf;3819.57;82.1221;-87.1331;0.8011;1.4457;-75.538;-85.099;353.3068;352.5056;300.3447;79.3994;356.6084;359.7083;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.8, 0.1, -1.4)_(0.5, 0.4, -0.8, -0.1)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.2)_(0.7, 0.6, -0.3, -0.2)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.261;-0.0187;-0.0071;80.9495;-87.3519;1.3975;1.3167;-75.4074;-85.0136;359.2872;359.4382;286.3416;18.6421;351.5891;10.3065
-0.026;0.0;False;False;81.0096;-87.2696;0.1012;0.044;-75.1196;-85.5399;359.9233;359.9401;273.3825;77.1629;0.0753;-0.0003;-0.0024;-2.8244;-2.3076;0.0014;-0.0005;0.0041;275370;71.27978;inf;3819.61;82.1222;-87.1335;0.6447;1.2992;-75.5381;-85.0991;353.252;352.4749;300.3341;79.3988;356.6333;359.7068;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.8, 0.1, -1.4)_(0.5, 0.4, -0.8, -0.1)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.1)_(0.8, 0.5, -0.4, -0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.3032;-0.0187;-0.0071;80.95;-87.3521;1.2419;1.1701;-75.4076;-85.0141;359.2819;359.3882;286.383;18.812;351.5322;10.3137
0.0215;0.0;False;False;81.0091;-87.2693;0.007;-0.0319;-75.1192;-85.5398;359.7914;359.8408;273.3776;77.1619;0.1232;-0.0004;-0.0038;-1.7207;-1.3612;0.0018;-0.0009;0.0107;275373;71.40614;inf;3819.65;82.1228;-87.1351;0.5296;1.2086;-75.5382;-85.0994;353.11;352.3799;300.3325;79.4;356.6328;359.7029;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.8, 0.1, -1.4)_(0.5, 0.4, -0.8, -0.1)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.1)_(0.8, 0.5, -0.4, -0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.3452;-0.0187;-0.0071;80.9517;-87.3527;1.1295;1.0791;-75.4084;-85.0151;359.2652;359.2749;286.268;19.1238;351.6077;10.384
0.0157;0.0;False;False;81.0086;-87.2687;-0.0469;-0.0735;-75.1189;-85.5397;359.6693;359.7501;273.3672;77.1574;0.1485;-0.0005;-0.0002;-0.9637;-0.7197;0.0011;0.0000;0.0072;275376;71.4572;inf;3819.69;82.1235;-87.1366;0.4617;1.1577;-75.5379;-85.0998;352.9809;352.2831;300.3241;79.3958;356.6022;359.699;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.8, 0.1, -1.4)_(0.5, 0.4, -0.8, -0.1)_1.025375_System.String[];HandLeft_(-0.3, -0.2, 0.1)_(0.8, 0.4, -0.4, 0.0)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.2, -0.4, 0.0)_(-0.3, -0.5, -0.2, 0.8)_1.001127_System.String[];0.387;-0.0187;-0.0071;80.9534;-87.3518;1.0642;1.0285;-75.4092;-85.0168;359.2492;359.1155;286.0868;19.9447;351.7008;10.417
