ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0;-0.5703;False;False;81.24;79.67;0.5365;0.6472;-75.4;87.94;0.0;0.0;278.9317;241.9098;0.0;0.0; ; ; ; ; ; ;346290;71.99733;inf;4627.38;81.0753;79.8045;1.6747;1.8088;-75.7259;87.6041;352.5006;352.5053;278.1775;239.7361;0.0984;0.2837;;;HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.0)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.0;-0.0179;-0.0163;81.0455;79.6853;1.7522;1.8332;-75.78;87.514;358.1918;350.2878;285.2564;237.3507;0.4082;7.7538
0.0;-0.5703;False;False;81.24;79.67;0.3693;0.4992;-75.4;87.94;0.0;0.0;278.9317;241.9098;0.0;0.0;0.0000;-3.3999;-3.0341;0.0000;0.0000;0.0000;346293;65.56374;inf;4627.43;81.0753;79.8045;1.5147;1.6681;-75.7259;87.6041;352.5006;352.5053;278.1775;239.7361;0.0984;0.2837;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.0)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.0522;-0.0179;-0.0163;81.0469;79.6829;1.5926;1.6919;-75.7782;87.5147;357.8933;350.835;284.3315;238.7308;359.9155;7.0454
0.0;-0.5703;False;False;81.24;79.67;0.2185;0.3636;-75.4;87.94;0.0;0.0;278.9317;241.9098;0.0;0.0;0.0000;-3.7628;-3.3999;0.0000;0.0000;0.0000;346296;68.55443;inf;4627.48;81.0753;79.8045;1.3691;1.5377;-75.7259;87.6041;352.5006;352.5053;278.1775;239.7361;0.0984;0.2837;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.8, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.0)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.0942;-0.0179;-0.0163;81.0482;79.6817;1.447;1.5612;-75.7772;87.515;357.6649;351.1585;283.5693;239.2872;359.53;6.6644
0.0;-0.5625;False;False;81.2392;79.6699;0.079;0.2242;-75.3999;87.9399;359.8609;359.9804;278.9265;241.9098;0.0064;0.0;0.0000;-2.8460;-3.0461;-0.0005;0.0000;0.0007;346299;70.19467;inf;4627.52;81.0764;79.8045;1.217;1.3934;-75.7261;87.6042;352.4147;352.5021;278.1754;239.7361;0.1046;0.2838;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.8, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.0)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.1357;-0.0179;-0.0163;81.0505;79.6808;1.2951;1.4167;-75.7766;87.515;357.3442;351.4259;282.6786;239.3482;359.1473;6.4192
0.0;-0.5625;False;False;81.2384;79.6696;-0.0071;0.131;-75.3997;87.9398;359.7006;359.8995;278.9259;241.9097;0.0095;-0.0001;0.0049;-1.7358;-1.8981;-0.0012;0.0026;0.0073;346302;71.0621;inf;4627.56;81.0786;79.8054;1.1158;1.2843;-75.7265;87.6046;352.2535;352.4351;278.1707;239.7357;0.1104;0.2863;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.8, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.7, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.1772;-0.0179;-0.0163;81.0539;79.6813;1.1942;1.3072;-75.7765;87.5149;356.9399;351.5973;281.703;238.9375;358.864;6.3616
0.0;-0.5625;False;False;81.2377;79.6694;-0.0558;0.0763;-75.3996;87.9397;359.5646;359.8091;278.9226;241.9097;0.011;-0.0001;0.0043;-0.6928;-0.8167;-0.0006;0.0022;0.0034;346305;71.52004;inf;4627.6;81.0807;79.8067;1.0568;1.2187;-75.7269;87.6053;352.1075;352.3439;278.1682;239.7353;0.1144;0.2897;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.8, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.7, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.2192;-0.0179;-0.0163;81.057;79.6826;1.1354;1.2416;-75.7767;87.5147;356.5786;351.7436;280.7081;238.2738;358.6602;6.3859
0.0;-0.5625;False;False;81.2372;79.6691;-0.0794;0.0478;-75.3995;87.9395;359.4706;359.7377;278.9225;241.9097;0.0119;-0.0001;0.0029;-0.2829;-0.3840;-0.0010;0.0015;0.0058;346308;71.74957;inf;4627.64;81.0822;79.8079;1.026;1.1825;-75.7272;87.6059;351.9989;352.2647;278.1663;239.7348;0.1169;0.2927;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.8, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.7, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.2607;-0.0179;-0.0163;81.0594;79.6838;1.1042;1.2054;-75.7772;87.5146;356.3962;351.8519;279.5168;237.6638;358.5397;6.3559
0.0;-0.5625;False;False;81.2371;79.669;-0.0874;0.0358;-75.3995;87.9395;359.4192;359.6944;278.925;241.9097;0.0123;-0.0001;0.0014;-0.0257;-0.1067;-0.0011;0.0007;0.0066;346311;71.87315;inf;4627.68;81.0832;79.8086;1.0134;1.1656;-75.7273;87.6064;351.9334;352.2116;278.1674;239.7345;0.1183;0.2948;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.7, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.3022;-0.0179;-0.0163;81.061;79.6844;1.0914;1.1886;-75.778;87.5143;356.3671;351.9261;278.3413;237.505;358.4695;6.3167
0.0;-0.5625;False;False;81.2372;79.669;-0.086;0.0341;-75.3995;87.9394;359.4039;359.6786;278.9264;241.9097;0.0124;-0.0001;0.0001;0.1254;0.0615;-0.0013;0.0000;0.0081;346314;71.93253;inf;4627.73;81.0837;79.809;1.0122;1.161;-75.7274;87.6065;351.9067;352.1868;278.1696;239.7344;0.1189;0.2957;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.7, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.3442;-0.0179;-0.0163;81.062;79.6844;1.0892;1.1839;-75.7789;87.5144;356.4962;352.0195;277.0776;237.6676;358.479;6.258
0.0;-0.5625;False;False;81.2376;79.669;-0.0793;0.0384;-75.3996;87.9395;359.4157;359.6853;278.9259;241.9097;0.0123;-0.0001;-0.0010;0.2047;0.1551;-0.0012;-0.0005;0.0071;346317;71.96568;inf;4627.77;81.084;79.809;1.0174;1.1636;-75.7274;87.6065;351.9103;352.1866;278.1689;239.7344;0.1188;0.2957;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.3857;-0.0179;-0.0163;81.0628;79.6842;1.0932;1.1865;-75.78;87.5143;356.7862;352.204;275.8301;237.8534;358.5331;6.1299
0.0;-0.5625;False;False;81.2381;79.6691;-0.0701;0.0457;-75.3997;87.9395;359.4458;359.7081;278.926;241.9097;0.0123;-0.0001;-0.0016;0.2369;0.1989;-0.0012;-0.0009;0.0071;346320;71.98019;inf;4627.81;81.084;79.8087;1.026;1.1702;-75.7275;87.6064;351.9351;352.2046;278.1691;239.7345;0.1184;0.2951;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.4272;-0.0179;-0.0163;81.0635;79.6838;1.1009;1.193;-75.7811;87.5142;357.0784;352.4033;274.7043;237.8955;358.5896;5.9929
0.0;-0.5547;False;False;81.2387;79.6691;-0.0601;0.0543;-75.3998;87.9395;359.4861;359.7409;278.9261;241.9097;0.0122;-0.0001;-0.0020;0.2396;0.2108;-0.0013;-0.0010;0.0082;346323;71.99004;inf;4627.85;81.0838;79.8083;1.0358;1.1785;-75.7274;87.6062;351.9727;352.2347;278.1693;239.7347;0.1178;0.2939;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.8, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.7, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.4692;-0.0179;-0.0163;81.0637;79.6832;1.11;1.2012;-75.7822;87.5139;357.332;352.5497;273.7166;237.8199;358.6375;5.9034
0.0;-0.5547;False;False;81.2393;79.6693;-0.0504;0.063;-75.3999;87.9396;359.5307;359.7786;278.9258;241.9097;0.012;-0.0001;-0.0022;0.2248;0.2034;-0.0013;-0.0011;0.0082;346326;71.99007;inf;4627.89;81.0836;79.8078;1.0456;1.1872;-75.7274;87.6059;352.0165;352.2712;278.1686;239.7349;0.1171;0.2925;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.8, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.0)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.5107;-0.0179;-0.0163;81.0638;79.6826;1.1191;1.2098;-75.7833;87.5137;357.5674;352.63;272.9061;237.639;358.6974;5.8533
0.0;-0.5547;False;False;81.2399;79.6694;-0.0416;0.0711;-75.4;87.9397;359.5751;359.817;278.9268;241.9098;0.0119;-0.0001;-0.0021;0.2010;0.1853;-0.0010;-0.0011;0.0059;346329;71.99518;inf;4627.93;81.0833;79.8072;1.0547;1.1955;-75.7273;87.6056;352.0615;352.3098;278.17;239.7351;0.1164;0.2911;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.8, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.0)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.5522;-0.0179;-0.0163;81.0639;79.682;1.1276;1.218;-75.7841;87.5134;357.7575;352.6668;272.2932;237.3821;358.795;5.8116
0.0;-0.5547;False;False;81.2405;79.6695;-0.0339;0.0782;-75.4001;87.9397;359.6168;359.8536;278.9276;241.9098;0.0119;-0.0001;-0.0020;0.1735;0.1622;-0.0015;-0.0010;0.0097;346332;71.99643;inf;4627.98;81.0831;79.8067;1.0627;1.203;-75.7273;87.6053;352.1042;352.3473;278.1708;239.7353;0.1157;0.2896;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.8, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.0)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.5942;-0.0179;-0.0163;81.0638;79.6815;1.1353;1.2253;-75.7846;87.5131;357.9404;352.6948;271.8655;237.0878;358.9463;5.7128
0.0;-0.5547;False;False;81.2411;79.6696;-0.0274;0.0843;-75.4001;87.9398;359.6538;359.8867;278.9292;241.9098;0.0118;-0.0001;-0.0017;0.1457;0.1377;-0.0014;-0.0009;0.0089;346335;71.99959;inf;4628.02;81.0829;79.8062;1.0695;1.2094;-75.7273;87.605;352.1429;352.3816;278.1727;239.7355;0.1151;0.2883;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.0)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.6357;-0.0179;-0.0163;81.0637;79.6813;1.1418;1.2316;-75.7853;87.513;358.0908;352.7269;271.585;236.8963;359.1175;5.5799
0.0;-0.5547;False;False;81.2416;79.6697;-0.0221;0.0894;-75.4002;87.9398;359.6853;359.9152;278.9295;241.9098;0.0117;-0.0001;-0.0015;0.1197;0.1142;-0.0016;-0.0008;0.0100;346338;71.9975;inf;4628.06;81.0829;79.8058;1.0751;1.2148;-75.7273;87.6048;352.1762;352.4116;278.173;239.7357;0.1146;0.2872;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.6, -0.1, 0.2)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.7, 0.4, -0.6, 0.1)_1.045341_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.7, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, 0.7, 0.3, -0.6)_1.045341_System.String[];0.6772;-0.0179;-0.0163;81.0637;79.6811;1.1473;1.2369;-75.7857;87.5129;358.2368;352.7307;271.3714;236.8827;359.3175;5.4579
