ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.3683;0.3672;80.8398;-87.2186;-75.4751;-85.1533;0.0119;0.0056
0.0688;0.3858;0.3801;80.8389;-87.2177;-75.475;-85.1531;0.0118;0.0044
0.1387;0.4031;0.3902;80.8339;-87.2129;-75.4748;-85.152;0.0118;0.0027
0.2085;0.4184;0.3961;80.8244;-87.2037;-75.4743;-85.1499;0.0118;0.0013
0.2783;0.4312;0.406;80.8101;-87.19;-75.4734;-85.1468;0.0118;0.001
0.3481;0.4402;0.4208;80.7909;-87.1718;-75.4723;-85.1427;0.0114;0.001
0.4175;0.4522;0.4438;80.7668;-87.149;-75.4708;-85.1375;0.0091;0.001
0.4873;0.4724;0.466;80.7377;-87.1215;-75.4691;-85.1312;0.0058;0.001
0.5571;0.5;0.4831;80.7033;-87.0888;-75.467;-85.1238;0.0036;0.001
0.627;0.525;0.5088;80.6634;-87.0508;-75.4646;-85.1152;0.0033;0.001
0.6968;0.5404;0.5436;80.6177;-87.0074;-75.4619;-85.1053;0.0033;0.001
0.7671;0.5502;0.5732;80.566;-86.9581;-75.4588;-85.0941;0.0033;0.001
0.8364;0.5568;0.5912;80.5086;-86.903;-75.4553;-85.0815;0.0024;0.001
0.9063;0.5567;0.5977;80.4449;-86.8413;-75.4516;-85.0675;-0.0015;0.001
0.9756;0.5516;0.5891;80.3756;-86.7735;-75.4478;-85.0521;-0.0077;0.001
1.0449;0.5465;0.5758;80.3005;-86.6994;-75.4435;-85.0353;-0.0144;0.001
1.1157;0.5407;0.5671;80.2193;-86.6188;-75.4391;-85.017;-0.0212;0.001
1.1851;0.5301;0.5598;80.1315;-86.5312;-75.4344;-84.9971;-0.0271;0.001
1.2549;0.521;0.5444;80.0393;-86.4391;-75.4298;-84.9761;-0.0315;0.001
1.3242;0.5216;0.528;79.9419;-86.3413;-75.4252;-84.9539;-0.0349;0.0004
1.394;0.5276;0.515;79.8388;-86.2379;-75.4206;-84.9304;-0.0378;-0.0017
1.4639;0.5339;0.5026;79.7301;-86.129;-75.416;-84.9056;-0.041;-0.005
1.5342;0.5376;0.495;79.6159;-86.0152;-75.4115;-84.8795;-0.0455;-0.0084
1.604;0.5398;0.4906;79.4956;-85.8958;-75.4071;-84.852;-0.0499;-0.0109
1.6938;0.544;0.4879;79.3632;-85.7653;-75.4026;-84.8217;-0.0547;-0.0132
1.7637;0.552;0.4869;79.2285;-85.6332;-75.3986;-84.7908;-0.0575;-0.0161
1.8452;0.568;0.4859;79.0643;-85.4734;-75.3942;-84.7532;-0.0596;-0.0195
1.9243;0.5863;0.4852;78.8779;-85.2937;-75.3895;-84.7106;-0.0615;-0.0227
1.9937;0.5955;0.4847;78.7285;-85.1509;-75.3859;-84.6763;-0.0638;-0.0265
2.0635;0.5983;0.4824;78.5723;-85.0027;-75.3832;-84.6404;-0.0674;-0.0324
2.1333;0.5996;0.4774;78.4113;-84.8513;-75.3813;-84.6032;-0.0715;-0.0398
2.2026;0.6004;0.4661;78.2442;-84.6958;-75.3803;-84.5644;-0.0746;-0.0493
2.2725;0.5998;0.4475;78.0709;-84.5361;-75.3801;-84.5237;-0.0768;-0.0598
2.3423;0.5938;0.4223;77.8926;-84.3738;-75.3807;-84.4813;-0.0785;-0.0697
2.4116;0.5784;0.3969;77.708;-84.2079;-75.3822;-84.4367;-0.0797;-0.0789
2.4814;0.5567;0.3699;77.5185;-84.0401;-75.3846;-84.3904;-0.0805;-0.0914
2.5508;0.5362;0.3364;77.3231;-83.8696;-75.388;-84.3419;-0.0818;-0.1071
2.6206;0.523;0.307;77.1233;-83.6981;-75.3925;-84.2912;-0.0835;-0.1227
2.6904;0.5152;0.2849;76.9185;-83.5255;-75.3981;-84.2381;-0.0845;-0.1356
2.7603;0.5089;0.2702;76.7089;-83.3521;-75.4049;-84.1826;-0.0847;-0.1482
2.8301;0.5053;0.2603;76.495;-83.1785;-75.413;-84.1247;-0.0847;-0.1606
2.8994;0.5038;0.2544;76.2775;-83.0055;-75.4224;-84.0646;-0.0854;-0.1717
2.9688;0.5055;0.251;76.0561;-82.8328;-75.4331;-84.0021;-0.0876;-0.1785
3.0391;0.5064;0.249;75.8298;-82.6597;-75.4454;-83.937;-0.0891;-0.1835
3.1084;0.507;0.2478;75.6005;-82.4876;-75.4593;-83.8699;-0.0891;-0.1858
3.1777;0.5073;0.2575;75.3672;-82.3156;-75.4749;-83.8006;-0.0891;-0.1858
3.2485;0.5075;0.2887;75.1266;-82.1412;-75.4924;-83.7282;-0.0891;-0.1858
3.3179;0.5076;0.3224;74.8857;-81.9692;-75.5113;-83.6547;-0.0891;-0.1858
3.3877;0.5077;0.3431;74.6397;-81.7955;-75.5322;-83.5784;-0.0891;-0.1858
3.457;0.5101;0.3553;74.3911;-81.6217;-75.5549;-83.4999;-0.0891;-0.1858
3.5269;0.5157;0.3626;74.1383;-81.4465;-75.5796;-83.4186;-0.0891;-0.1858
3.5967;0.5228;0.3668;73.881;-81.2696;-75.6063;-83.3342;-0.0891;-0.1858
3.666;0.5279;0.3796;73.6202;-81.0917;-75.6352;-83.2471;-0.0891;-0.1858
3.7358;0.5308;0.3769;73.3567;-80.9134;-75.6662;-83.1575;-0.0891;-0.1869
3.8057;0.5326;0.3753;73.0874;-80.7327;-75.6996;-83.0641;-0.0891;-0.192
3.8765;0.5336;0.3744;72.8112;-80.5491;-75.7359;-82.9664;-0.0891;-0.198
3.9458;0.5367;0.3738;72.5361;-80.3682;-75.774;-82.8669;-0.0891;-0.2036
4.0161;0.5487;0.3735;72.2551;-80.1854;-75.8149;-82.7632;-0.0891;-0.2094
4.0854;0.5618;0.3733;71.9711;-80.0029;-75.8584;-82.6562;-0.0891;-0.2131
4.1548;0.5717;0.3732;71.6845;-79.8211;-75.9044;-82.5459;-0.0891;-0.2165
4.2246;0.5748;0.3738;71.3933;-79.6388;-75.9533;-82.4317;-0.0891;-0.2208
4.2944;0.5762;0.38;71.0973;-79.4561;-76.0053;-82.3134;-0.0891;-0.2237
4.3643;0.577;0.3902;70.7985;-79.2742;-76.0602;-82.1917;-0.0891;-0.226
4.4341;0.5774;0.3985;70.4929;-79.0907;-76.1187;-82.0649;-0.0891;-0.2268
4.5034;0.5767;0.4061;70.1854;-78.9085;-76.1801;-81.9348;-0.0891;-0.2269
4.5732;0.5743;0.4132;69.8745;-78.7265;-76.2447;-81.8008;-0.0891;-0.2269
4.6445;0.5727;0.4243;69.5497;-78.5394;-76.3132;-81.6585;-0.0891;-0.2269
4.7344;0.5719;0.435;69.1927;-78.3367;-76.3942;-81.4991;-0.0891;-0.2269
4.8252;0.5663;0.4423;68.7674;-78.098;-76.4956;-81.3042;-0.0891;-0.2269
4.9004;0.5528;0.4512;68.359;-77.8716;-76.5971;-81.1117;-0.0891;-0.2285
4.9702;0.5338;0.4582;68.026;-77.6891;-76.6831;-80.951;-0.0891;-0.2379
5.0396;0.5104;0.4623;67.6914;-77.508;-76.7726;-80.7856;-0.0905;-0.2552
5.1094;0.4894;0.4647;67.3561;-77.3293;-76.8657;-80.6155;-0.0932;-0.2761
5.1787;0.4759;0.4662;67.0189;-77.1533;-76.9619;-80.439;-0.0952;-0.2932
5.248;0.4679;0.467;66.6804;-76.9804;-77.061;-80.2563;-0.0967;-0.3077
5.3179;0.4631;0.4675;66.3411;-76.8104;-77.1677;-80.0667;-0.0984;-0.322
5.3872;0.4611;0.4678;65.9996;-76.6442;-77.2782;-79.8704;-0.0997;-0.3353
5.457;0.4621;0.4672;65.6561;-76.4819;-77.3929;-79.6673;-0.0998;-0.3489
5.5269;0.463;0.4629;65.3123;-76.3249;-77.5115;-79.4581;-0.0998;-0.3633
5.5972;0.4635;0.4546;64.9661;-76.1727;-77.6348;-79.2412;-0.1004;-0.3771
5.6665;0.4613;0.444;64.6217;-76.0277;-77.7615;-79.0193;-0.1028;-0.3911
5.7358;0.4543;0.4316;64.2772;-75.8896;-77.8925;-78.791;-0.106;-0.4055
5.8052;0.4339;0.4158;63.9327;-75.759;-78.0281;-78.5568;-0.1086;-0.4182
5.8745;0.4054;0.3991;63.5884;-75.6364;-78.1682;-78.3167;-0.1101;-0.4211
5.9443;0.3794;0.3868;63.2449;-75.5219;-78.313;-78.0713;-0.111;-0.4211
6.0156;0.3638;0.3795;62.895;-75.4133;-78.4655;-77.8156;-0.1121;-0.4211
6.0854;0.3542;0.3752;62.5512;-75.3145;-78.6204;-77.5585;-0.1143;-0.4211
6.1553;0.3414;0.3727;62.2106;-75.2245;-78.7791;-77.2983;-0.1178;-0.4153
6.2246;0.3135;0.373;61.872;-75.1429;-78.9423;-77.034;-0.1208;-0.4001
6.2944;0.2787;0.3816;61.5375;-75.0691;-79.109;-76.7673;-0.1224;-0.3859
6.3638;0.2453;0.3981;61.2055;-75.0024;-79.2801;-76.4966;-0.1228;-0.382
6.4331;0.2184;0.4162;60.8776;-74.9432;-79.4545;-76.2228;-0.1228;-0.382
